ngram,street,strret,stree,stret
1500,2.4285381186928134e-05,0.0,0.0,0.0
1501,1.9428304949542507e-05,0.0,0.0,0.0
1502,3.182851954382689e-05,0.0,0.0,0.0
1503,2.728158818042305e-05,0.0,0.0,0.0
1504,3.8973084883764386e-05,0.0,0.0,0.0
1505,3.4204517370588814e-05,0.0,0.0,0.0
1506,3.4204517370588814e-05,0.0,0.0,0.0
1507,3.4204517370588814e-05,0.0,0.0,0.0
1508,3.4204517370588814e-05,0.0,0.0,0.0
1509,2.080028986841041e-05,0.0,0.0,0.0
1510,2.080028986841041e-05,0.0,0.0,0.0
1511,5.3662853523357105e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,5.713222890335601e-07,0.0,0.0,0.0
1518,5.713222890335601e-07,0.0,0.0,0.0
1519,5.713222890335601e-07,0.0,0.0,0.0
1520,3.55043610917554e-06,0.0,0.0,0.0
1521,2.97911382014198e-06,0.0,0.0,0.0
1522,2.97911382014198e-06,0.0,0.0,0.0
1523,2.97911382014198e-06,0.0,0.0,0.0
1524,2.97911382014198e-06,0.0,0.0,0.0
1525,2.97911382014198e-06,0.0,0.0,0.0
1526,2.97911382014198e-06,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,1.4578970097188306e-06,0.0,0.0,0.0
1531,7.202745239607923e-06,0.0,0.0,0.0
1532,7.202745239607923e-06,0.0,0.0,0.0
1533,7.202745239607923e-06,0.0,0.0,0.0
1534,7.202745239607923e-06,0.0,0.0,0.0
1535,9.085292991325592e-06,0.0,0.0,0.0
1536,1.5346994587162044e-05,0.0,0.0,0.0
1537,1.3889097577443213e-05,0.0,0.0,0.0
1538,8.14424934755412e-06,0.0,0.0,0.0
1539,8.14424934755412e-06,0.0,0.0,0.0
1540,8.14424934755412e-06,0.0,0.0,0.0
1541,8.14424934755412e-06,0.0,0.0,0.0
1542,1.6794226082441e-05,0.0,0.0,0.0
1543,1.0532524486604547e-05,0.0,0.0,0.0
1544,1.3314623044737215e-05,0.0,0.0,0.0
1545,2.671062767538907e-05,0.0,0.0,0.0
1546,3.789887601409906e-05,0.0,0.0,0.0
1547,3.789887601409906e-05,0.0,0.0,0.0
1548,6.31644413390729e-05,0.0,0.0,0.0
1549,5.263191685246836e-05,0.0,0.0,0.0
1550,5.263191685246836e-05,0.0,0.0,0.0
1551,4.984981829433569e-05,0.0,0.0,0.0
1552,3.789603566214542e-05,0.0,0.0,0.0
1553,2.6707787323435434e-05,0.0,0.0,0.0
1554,2.6707787323435434e-05,0.0,0.0,0.0
1555,2.043207002446122e-06,0.0,0.0,0.0
1556,2.043207002446122e-06,0.0,0.0,0.0
1557,2.043207002446122e-06,0.0,0.0,0.0
1558,2.043207002446122e-06,0.0,0.0,0.0
1559,5.758654619317635e-06,0.0,0.0,0.0
1560,1.6527220525728937e-05,0.0,0.0,0.0
1561,1.6527220525728937e-05,0.0,0.0,0.0
1562,1.5926235521744404e-05,0.0,0.0,0.0
1563,1.5926235521744404e-05,0.0,0.0,0.0
1564,1.5926235521744404e-05,0.0,0.0,0.0
1565,1.7949836806760038e-05,0.0,0.0,0.0
1566,1.2792167191426934e-05,0.0,0.0,0.0
1567,2.023601285015632e-06,0.0,0.0,0.0
1568,2.023601285015632e-06,0.0,0.0,0.0
1569,7.222538572802607e-06,0.0,0.0,0.0
1570,7.222538572802607e-06,0.0,0.0,0.0
1571,7.222538572802607e-06,0.0,0.0,0.0
1572,6.758819706322226e-06,0.0,0.0,0.0
1573,9.275638408975542e-06,0.0,0.0,0.0
1574,9.275638408975542e-06,0.0,0.0,0.0
1575,9.275638408975542e-06,0.0,0.0,0.0
1576,4.978062016951819e-06,0.0,0.0,0.0
1577,4.978062016951819e-06,0.0,0.0,0.0
1578,1.0037237513772976e-05,0.0,0.0,0.0
1579,8.477355095237726e-06,0.0,0.0,0.0
1580,5.96053639258441e-06,0.0,0.0,0.0
1581,6.553843767116112e-06,0.0,0.0,0.0
1582,7.391806515702878e-06,0.0,0.0,0.0
1583,8.893558775266033e-06,0.0,0.0,0.0
