ngram,medium,mdium,medum,medim
1500,1.3677144465873425e-06,0.0,0.0,0.0
1501,1.0941715572698741e-06,0.0,0.0,0.0
1502,3.723183264507194e-06,0.0,0.0,0.0
1503,3.1912999410061663e-06,0.0,0.0,0.0
1504,3.0576389430539815e-06,0.0,0.0,0.0
1505,3.0410765248234384e-06,0.0,0.0,0.0
1506,3.0410765248234384e-06,0.0,0.0,0.0
1507,3.0410765248234384e-06,0.0,0.0,0.0
1508,3.0410765248234384e-06,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,4.250214260537177e-06,0.0,0.0,0.0
1518,4.250214260537177e-06,0.0,0.0,0.0
1519,4.250214260537177e-06,0.0,0.0,0.0
1520,8.123062278692877e-06,0.0,0.0,0.0
1521,8.123062278692877e-06,0.0,0.0,0.0
1522,8.123062278692877e-06,0.0,0.0,0.0
1523,9.355152282556187e-06,0.0,0.0,0.0
1524,5.104938022019009e-06,0.0,0.0,0.0
1525,5.104938022019009e-06,0.0,0.0,0.0
1526,2.2267474118312487e-05,0.0,0.0,0.0
1527,1.839462610015679e-05,0.0,0.0,0.0
1528,1.839462610015679e-05,0.0,0.0,0.0
1529,1.839462610015679e-05,0.0,0.0,0.0
1530,1.716253609629348e-05,0.0,0.0,0.0
1531,2.2907384326182572e-05,0.0,0.0,0.0
1532,2.696563361886157e-05,0.0,0.0,0.0
1533,9.803097522568091e-06,0.0,0.0,0.0
1534,9.803097522568091e-06,0.0,0.0,0.0
1535,1.0556116649240721e-05,0.0,0.0,0.0
1536,1.0556116649240721e-05,0.0,0.0,0.0
1537,1.0556116649240721e-05,0.0,0.0,0.0
1538,4.811268419351629e-06,0.0,0.0,0.0
1539,4.903574855623967e-06,0.0,0.0,0.0
1540,4.903574855623967e-06,0.0,0.0,0.0
1541,4.903574855623967e-06,0.0,0.0,0.0
1542,7.159848402287545e-06,0.0,0.0,0.0
1543,7.159848402287545e-06,0.0,0.0,0.0
1544,8.27268779955505e-06,0.0,0.0,0.0
1545,8.27268779955505e-06,0.0,0.0,0.0
1546,4.122132070603714e-06,0.0,0.0,0.0
1547,4.122132070603714e-06,0.0,0.0,0.0
1548,4.716615941496067e-06,0.0,0.0,0.0
1549,1.707323268159858e-06,0.0,0.0,0.0
1550,5.489743346385824e-06,0.0,0.0,0.0
1551,4.376903949118319e-06,0.0,0.0,0.0
1552,7.2613479460414965e-06,0.0,0.0,0.0
1553,7.2613479460414965e-06,0.0,0.0,0.0
1554,7.2613479460414965e-06,0.0,0.0,0.0
1555,6.666864075149144e-06,0.0,0.0,0.0
1556,2.748438912801378e-05,0.0,0.0,0.0
1557,2.3701969049787814e-05,0.0,0.0,0.0
1558,2.6430163675935807e-05,0.0,0.0,0.0
1559,2.3545719679012628e-05,0.0,0.0,0.0
1560,2.444310017121357e-05,0.0,0.0,0.0
1561,2.444310017121357e-05,0.0,0.0,0.0
