ngram,wood,wod,ood,wood
1500,1.490099089096475e-05,0.0,7.827065076071449e-07,1.490099089096475e-05
1501,1.1920792712771799e-05,0.0,6.26165206085716e-07,1.1920792712771799e-05
1502,1.4326765115887005e-05,0.0,5.218043384047633e-07,1.4326765115887005e-05
1503,1.2280084385046003e-05,0.0,4.4726086148979706e-07,1.2280084385046003e-05
1504,1.1077135370994387e-05,0.0,4.627786763324236e-08,1.1077135370994387e-05
1505,5.65921553581055e-06,0.0,0.0,5.65921553581055e-06
1506,5.65921553581055e-06,0.0,0.0,5.65921553581055e-06
1507,5.65921553581055e-06,0.0,0.0,5.65921553581055e-06
1508,5.65921553581055e-06,0.0,0.0,5.65921553581055e-06
1509,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1510,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1511,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.7135949761640016e-06,2.8566114451678004e-07,0.0,3.7135949761640016e-06
1515,3.7135949761640016e-06,2.8566114451678004e-07,0.0,3.7135949761640016e-06
1516,3.7135949761640016e-06,2.8566114451678004e-07,0.0,3.7135949761640016e-06
1517,0.00018753536720136514,2.8566114451678004e-07,0.0,0.00018753536720136514
1518,0.00018753536720136514,2.8566114451678004e-07,0.0,0.00018753536720136514
1519,0.00018753536720136514,2.8566114451678004e-07,0.0,0.00018753536720136514
1520,0.0002063037850997976,2.8566114451678004e-07,2.979113885105887e-07,0.0002063037850997976
1521,0.0002025901901236336,0.0,2.979113885105887e-07,0.0002025901901236336
1522,0.0002819341087680576,0.0,2.979113885105887e-07,0.0002819341087680576
1523,0.000285014333712752,0.0,2.979113885105887e-07,0.000285014333712752
1524,0.00010532191767457075,0.0,2.979113885105887e-07,0.00010532191767457075
1525,0.00010532191767457075,0.0,2.979113885105887e-07,0.00010532191767457075
1526,0.00010532191767457075,0.0,2.979113885105887e-07,0.00010532191767457075
1527,8.655349977613826e-05,0.0,0.0,8.655349977613826e-05
1528,8.655349977613826e-05,0.0,0.0,8.655349977613826e-05
1529,7.209581131714263e-06,0.0,0.0,7.209581131714263e-06
1530,6.316201636634235e-06,0.0,0.0,6.316201636634235e-06
1531,6.53801754586831e-05,0.0,0.0,6.53801754586831e-05
1532,6.62820086420522e-05,0.0,0.0,6.62820086420522e-05
1533,6.62820086420522e-05,0.0,0.0,6.62820086420522e-05
