ngram,courage,corage,curage,courage
1500,8.098626835817413e-08,0.0,0.0,8.098626835817413e-08
1501,6.47890146865393e-08,0.0,0.0,6.47890146865393e-08
1502,5.3990845572116086e-08,0.0,0.0,5.3990845572116086e-08
1503,4.627786763324236e-08,0.0,0.0,4.627786763324236e-08
1504,4.627786763324236e-08,0.0,0.0,4.627786763324236e-08
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1515,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1516,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1517,1.9195370311665883e-06,0.0,0.0,1.9195370311665883e-06
1518,1.9195370311665883e-06,0.0,0.0,1.9195370311665883e-06
1519,1.9195370311665883e-06,0.0,0.0,1.9195370311665883e-06
1520,9.665233067477987e-06,0.0,0.0,9.665233067477987e-06
1521,8.808249601445692e-06,0.0,0.0,8.808249601445692e-06
1522,1.198200646155913e-05,0.0,0.0,1.198200646155913e-05
1523,1.198200646155913e-05,0.0,0.0,1.198200646155913e-05
1524,1.0919452896424836e-05,2.064678093509948e-06,0.0,1.0919452896424836e-05
1525,1.0919452896424836e-05,2.064678093509948e-06,0.0,1.0919452896424836e-05
1526,1.0919452896424836e-05,2.064678093509948e-06,0.0,1.0919452896424836e-05
1527,3.1737568601134366e-06,2.064678093509948e-06,0.0,3.1737568601134366e-06
1528,3.1737568601134366e-06,2.064678093509948e-06,0.0,3.1737568601134366e-06
1529,0.0,2.064678093509948e-06,0.0,0.0
1530,0.0,2.064678093509948e-06,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,1.596347595165883e-05,0.0,0.0,1.596347595165883e-05
1534,2.7199241490702013e-05,0.0,0.0,2.7199241490702013e-05
1535,2.8705279744047273e-05,0.0,0.0,2.8705279744047273e-05
1536,2.8705279744047273e-05,0.0,0.0,2.8705279744047273e-05
1537,2.8705279744047273e-05,0.0,0.0,2.8705279744047273e-05
1538,3.1881718314252794e-05,0.0,0.0,3.1881718314252794e-05
1539,3.1881718314252794e-05,0.0,0.0,3.1881718314252794e-05
1540,1.5918242362593965e-05,0.0,0.0,1.5918242362593965e-05
1541,4.682476823550782e-06,0.0,0.0,4.682476823550782e-06
1542,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1543,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1544,7.071376395677882e-06,0.0,0.0,7.071376395677882e-06
1545,4.430778030187607e-06,1.0716804094304929e-06,0.0,4.430778030187607e-06
1546,5.269896616612511e-06,1.0716804094304929e-06,0.0,5.269896616612511e-06
1547,5.269896616612511e-06,1.0716804094304929e-06,0.0,5.269896616612511e-06
1548,8.5395578740385e-06,1.0716804094304929e-06,0.0,8.5395578740385e-06
1549,8.5395578740385e-06,1.0716804094304929e-06,0.0,8.5395578740385e-06
1550,8.5395578740385e-06,1.0716804094304929e-06,0.0,8.5395578740385e-06
1551,4.644620048566139e-06,1.0716804094304929e-06,0.0,4.644620048566139e-06
1552,6.272112776579368e-06,0.0,0.0,6.272112776579368e-06
1553,5.432994190154464e-06,0.0,0.0,5.432994190154464e-06
1554,5.432994190154464e-06,0.0,0.0,5.432994190154464e-06
1555,2.1633329327284756e-06,0.0,0.0,2.1633329327284756e-06
1556,2.1633329327284756e-06,0.0,0.0,2.1633329327284756e-06
1557,2.1633329327284756e-06,0.0,0.0,2.1633329327284756e-06
1558,2.8453815892654736e-06,0.0,0.0,2.8453815892654736e-06
1559,4.120495239996151e-06,0.0,0.0,4.120495239996151e-06
1560,1.444037051052354e-05,0.0,0.0,1.444037051052354e-05
1561,1.444037051052354e-05,0.0,0.0,1.444037051052354e-05
1562,1.444037051052354e-05,0.0,0.0,1.444037051052354e-05
1563,1.444037051052354e-05,0.0,0.0,1.444037051052354e-05
1564,1.444037051052354e-05,0.0,0.0,1.444037051052354e-05
1565,1.3758321853986541e-05,0.0,0.0,1.3758321853986541e-05
1566,1.0319875270527388e-05,0.0,0.0,1.0319875270527388e-05
1567,4.776781029899471e-06,0.0,0.0,4.776781029899471e-06
1568,4.776781029899471e-06,0.0,0.0,4.776781029899471e-06
1569,4.776781029899471e-06,0.0,0.0,4.776781029899471e-06
1570,4.776781029899471e-06,0.0,0.0,4.776781029899471e-06
1571,9.680484384132018e-06,0.0,0.0,9.680484384132018e-06
1572,1.2800249221202518e-05,0.0,0.0,1.2800249221202518e-05
1573,2.9159570528593447e-05,0.0,0.0,2.9159570528593447e-05
1574,2.71063472609967e-05,0.0,0.0,2.71063472609967e-05
1575,2.9620906518955182e-05,0.0,0.0,2.9620906518955182e-05
1576,3.547975237389827e-05,0.0,0.0,3.547975237389827e-05
1577,4.823713165283802e-05,0.0,0.0,4.823713165283802e-05
1578,4.791077740914521e-05,2.40913111935827e-07,0.0,4.791077740914521e-05
1579,6.29001476357059e-05,2.40913111935827e-07,0.0,6.29001476357059e-05
1580,4.8521748015316136e-05,2.40913111935827e-07,0.0,4.8521748015316136e-05
1581,4.9951341939699235e-05,2.40913111935827e-07,0.0,4.9951341939699235e-05
1582,5.0369652334276384e-05,6.598944862292098e-07,0.0,5.0369652334276384e-05
1583,5.700699447126161e-05,1.6211396963886467e-06,0.0,5.700699447126161e-05
