ngram,cup,cup,cup,cupp
1500,5.3260249387676595e-05,5.3260249387676595e-05,5.3260249387676595e-05,0.0
1501,4.260819951014127e-05,4.260819951014127e-05,4.260819951014127e-05,0.0
1502,3.568254377720829e-05,3.568254377720829e-05,3.568254377720829e-05,0.0
1503,3.058503752332139e-05,3.058503752332139e-05,3.058503752332139e-05,0.0
1504,3.852838712451298e-06,3.852838712451298e-06,3.852838712451298e-06,0.0
1505,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0
1506,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0
1507,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0
1508,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,1.0625535651342943e-06,1.0625535651342943e-06,0.0
1518,1.0625535651342943e-06,1.0625535651342943e-06,1.0625535651342943e-06,0.0
1519,1.0625535651342943e-06,1.0625535651342943e-06,1.0625535651342943e-06,0.0
1520,3.7437561591754535e-06,3.7437561591754535e-06,3.7437561591754535e-06,0.0
1521,3.7437561591754535e-06,3.7437561591754535e-06,3.7437561591754535e-06,0.0
1522,1.64387835996292e-05,1.64387835996292e-05,1.64387835996292e-05,0.0
1523,1.64387835996292e-05,1.64387835996292e-05,1.64387835996292e-05,0.0
1524,1.9505586221514803e-05,1.9505586221514803e-05,1.9505586221514803e-05,0.0
1525,1.9505586221514803e-05,1.9505586221514803e-05,1.9505586221514803e-05,0.0
1526,1.9505586221514803e-05,1.9505586221514803e-05,1.9505586221514803e-05,0.0
1527,1.6824383627473643e-05,1.6824383627473643e-05,1.6824383627473643e-05,0.0
1528,1.6824383627473643e-05,1.6824383627473643e-05,1.6824383627473643e-05,0.0
1529,4.129356187019896e-06,4.129356187019896e-06,4.129356187019896e-06,0.0
1530,4.129356187019896e-06,4.129356187019896e-06,4.129356187019896e-06,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,2.8089413847607958e-06,2.8089413847607958e-06,2.8089413847607958e-06,0.0
1535,3.5619605114334263e-06,3.5619605114334263e-06,3.5619605114334263e-06,0.0
1536,3.5619605114334263e-06,3.5619605114334263e-06,3.5619605114334263e-06,0.0
1537,3.5619605114334263e-06,3.5619605114334263e-06,3.5619605114334263e-06,0.0
1538,3.5619605114334263e-06,3.5619605114334263e-06,3.5619605114334263e-06,0.0
1539,6.882405094594495e-06,6.882405094594495e-06,6.882405094594495e-06,0.0
1540,6.882405094594495e-06,6.882405094594495e-06,6.882405094594495e-06,0.0
1541,4.073463709833699e-06,4.073463709833699e-06,4.073463709833699e-06,0.0
1542,3.320444583161069e-06,3.320444583161069e-06,3.320444583161069e-06,0.0
1543,3.320444583161069e-06,3.320444583161069e-06,3.320444583161069e-06,0.0
1544,4.989703614098419e-06,4.989703614098419e-06,4.989703614098419e-06,0.0
1545,6.597224195762205e-06,6.597224195762205e-06,6.597224195762205e-06,2.679201023576232e-07
1546,8.311491261078377e-06,8.311491261078377e-06,8.311491261078377e-06,5.476262978325914e-07
1547,2.7974338471332366e-05,2.7974338471332366e-05,2.7974338471332366e-05,5.476262978325914e-07
1548,2.9163306213117073e-05,2.9163306213117073e-05,2.9163306213117073e-05,5.476262978325914e-07
1549,3.522659504337103e-05,3.522659504337103e-05,3.522659504337103e-05,5.476262978325914e-07
1550,3.522659504337103e-05,3.522659504337103e-05,3.522659504337103e-05,5.476262978325914e-07
1551,3.355733601243368e-05,3.355733601243368e-05,3.355733601243368e-05,5.476262978325914e-07
1552,3.19498154307699e-05,3.19498154307699e-05,3.19498154307699e-05,2.7970619547496814e-07
1553,2.6915103782292655e-05,2.6915103782292655e-05,2.6915103782292655e-05,0.0
1554,7.252256572038667e-06,7.252256572038667e-06,7.252256572038667e-06,0.0
1555,6.063288830253961e-06,6.063288830253961e-06,6.063288830253961e-06,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,6.8768931669183075e-06,6.8768931669183075e-06,6.8768931669183075e-06,0.0
1560,1.0915105251894732e-05,1.0915105251894732e-05,1.0915105251894732e-05,0.0
1561,1.0915105251894732e-05,1.0915105251894732e-05,1.0915105251894732e-05,0.0
1562,1.2692819836956915e-05,1.2692819836956915e-05,1.2692819836956915e-05,0.0
1563,1.2692819836956915e-05,1.2692819836956915e-05,1.2692819836956915e-05,0.0
1564,1.2692819836956915e-05,1.2692819836956915e-05,1.2692819836956915e-05,0.0
1565,1.572822176448036e-05,1.572822176448036e-05,1.572822176448036e-05,0.0
1566,1.075499910387277e-05,1.075499910387277e-05,1.075499910387277e-05,0.0
1567,7.39918433672366e-06,7.39918433672366e-06,7.39918433672366e-06,0.0
1568,7.39918433672366e-06,7.39918433672366e-06,7.39918433672366e-06,0.0
1569,5.621469751661477e-06,5.621469751661477e-06,5.621469751661477e-06,0.0
1570,1.4687543690732647e-05,1.4687543690732647e-05,1.4687543690732647e-05,0.0
1571,1.713939536784892e-05,1.713939536784892e-05,1.713939536784892e-05,0.0
1572,1.566387585886072e-05,1.566387585886072e-05,1.566387585886072e-05,0.0
1573,1.3760205352550006e-05,1.3760205352550006e-05,1.3760205352550006e-05,0.0
1574,1.6890788953917634e-05,1.6890788953917634e-05,1.6890788953917634e-05,0.0
1575,1.6890788953917634e-05,1.6890788953917634e-05,1.6890788953917634e-05,0.0
