ngram,top,tp,top
1568,2.3693045347629648e-05,8.045167500573111e-06,2.3693045347629648e-05
1569,1.8067597661034336e-05,4.489738330448745e-06,1.8067597661034336e-05
1570,2.4111646780511364e-05,6.000750610318002e-06,2.4111646780511364e-05
1571,3.146720181186018e-05,6.000750610318002e-06,3.146720181186018e-05
1572,3.313956767669879e-05,6.000750610318002e-06,3.313956767669879e-05
1573,3.120378434167443e-05,2.1934095976965703e-06,3.120378434167443e-05
1574,3.0371638266452855e-05,1.5110122798692567e-06,3.0371638266452855e-05
1575,3.288619752441134e-05,1.5110122798692567e-06,3.288619752441134e-05
1576,4.1315757178901027e-05,1.5110122798692567e-06,4.1315757178901027e-05
1577,6.07864666173035e-05,0.0,6.07864666173035e-05
1578,5.608095593093562e-05,4.81826223871654e-07,5.608095593093562e-05
1579,5.812244515774572e-05,4.81826223871654e-07,5.812244515774572e-05
1580,5.73185996992314e-05,4.81826223871654e-07,5.73185996992314e-05
1581,5.310669491466667e-05,4.81826223871654e-07,5.310669491466667e-05
1582,6.525648417924199e-05,4.81826223871654e-07,6.525648417924199e-05
1583,5.6302759081258304e-05,7.221375264115133e-07,5.6302759081258304e-05
1584,3.348533521472875e-05,7.221375264115133e-07,3.348533521472875e-05
1585,3.593067932732603e-05,2.403113025398592e-07,3.593067932732603e-05
1586,6.842767808328582e-05,2.403113025398592e-07,6.842767808328582e-05
1587,7.307004567077715e-05,5.863908622164413e-07,7.307004567077715e-05
1588,7.329864092753269e-05,5.863908622164413e-07,7.329864092753269e-05
1589,6.0314830729372e-05,5.863908622164413e-07,6.0314830729372e-05
1590,6.221331776552168e-05,6.060552095732419e-07,6.221331776552168e-05
1591,6.964425431630974e-05,8.725886735711746e-07,6.964425431630974e-05
1592,6.872766841427489e-05,8.725886735711746e-07,6.872766841427489e-05
1593,3.248859320592601e-05,8.725886735711746e-07,3.248859320592601e-05
1594,2.604826412217725e-05,1.1970354470187367e-06,2.604826412217725e-05
1595,2.8547717452706172e-05,1.6478325375958645e-06,2.8547717452706172e-05
1596,2.8971361384070144e-05,1.858250763169573e-06,2.8971361384070144e-05
1597,3.579659603149464e-05,1.961461391277096e-06,3.579659603149464e-05
1598,3.16841374764668e-05,1.960331425315027e-06,3.16841374764668e-05
1599,3.4108358964398834e-05,2.0782425735887955e-06,3.4108358964398834e-05
1600,3.3604078453208786e-05,2.1847486583023316e-06,3.3604078453208786e-05
1601,3.672778231183267e-05,2.490841633776394e-06,3.672778231183267e-05
1602,4.1824677412348266e-05,2.1444452613650355e-06,4.1824677412348266e-05
1603,4.507792670795295e-05,1.934027035791327e-06,4.507792670795295e-05
1604,3.89686364152502e-05,2.4221923727704312e-06,3.89686364152502e-05
1605,3.7900047183419315e-05,2.1567888747345672e-06,3.7900047183419315e-05
1606,3.802375197535314e-05,2.1189578335776915e-06,3.802375197535314e-05
1607,3.8241536718227766e-05,2.012451748864156e-06,3.8241536718227766e-05
1608,4.6723777943822953e-05,1.0358324402659491e-06,4.6723777943822953e-05
1609,4.070371765659989e-05,1.686127632183343e-06,4.070371765659989e-05
1610,4.044421647059997e-05,1.686127632183343e-06,4.044421647059997e-05
1611,4.2091566293882874e-05,8.347760172000562e-07,4.2091566293882874e-05
1612,4.064135230562117e-05,1.6417782018964187e-06,4.064135230562117e-05
1613,3.679121203146808e-05,1.7215085758185263e-06,3.679121203146808e-05
1614,4.09693607902487e-05,2.0511183233143778e-06,4.09693607902487e-05
1615,3.085659747219844e-05,2.0511183233143778e-06,3.085659747219844e-05
1616,3.159688614167473e-05,2.0172714779878983e-06,3.159688614167473e-05
1617,3.144060896634723e-05,3.129143432748346e-06,3.144060896634723e-05
1618,2.887646535652623e-05,3.2276205713190265e-06,2.887646535652623e-05
1619,3.336940530321694e-05,2.533152886436645e-06,3.336940530321694e-05
1620,4.3991831262246706e-05,2.3733424053976445e-06,4.3991831262246706e-05
1621,3.964955690857356e-05,2.935822619422522e-06,3.964955690857356e-05
1622,4.176664567369569e-05,3.0765194359056684e-06,4.176664567369569e-05
1623,4.714046216187333e-05,2.3556703711489846e-06,4.714046216187333e-05
1624,5.1756069296970963e-05,1.243798416388537e-06,5.1756069296970963e-05
1625,6.363350725483283e-05,1.5606447293846161e-06,6.363350725483283e-05
1626,6.0006372223142534e-05,1.677732045988835e-06,6.0006372223142534e-05
1627,4.874415649932676e-05,2.157046083084424e-06,4.874415649932676e-05
1628,5.028570324481864e-05,1.527002625932385e-06,5.028570324481864e-05
1629,4.987606683114011e-05,1.7164231849164935e-06,4.987606683114011e-05
1630,4.50070999379802e-05,2.320166166620246e-06,4.50070999379802e-05
1631,3.992755851608568e-05,2.603566079934743e-06,3.992755851608568e-05
1632,2.859815244197047e-05,2.463121031074219e-06,2.859815244197047e-05
1633,2.8622307581827044e-05,2.3705920122145992e-06,2.8622307581827044e-05
1634,3.156907145499385e-05,3.2488777281157255e-06,3.156907145499385e-05
1635,3.345634052363623e-05,5.291783135622349e-06,3.345634052363623e-05
1636,3.333766133956877e-05,5.3958877970217145e-06,3.333766133956877e-05
1637,3.4872648809271466e-05,5.084785324730287e-06,3.4872648809271466e-05
1638,3.3761681801739284e-05,6.0807510798050705e-06,3.3761681801739284e-05
1639,3.5849942962938387e-05,6.428834516165287e-06,3.5849942962938387e-05
1640,3.59865277589831e-05,6.7029739381853555e-06,3.59865277589831e-05
1641,3.1340463887577895e-05,6.778704313806624e-06,3.1340463887577895e-05
1642,3.0172579142474986e-05,5.121451392499564e-06,3.0172579142474986e-05
1643,2.727203981781453e-05,5.048519142292207e-06,2.727203981781453e-05
1644,2.4481905744063886e-05,5.489170364723707e-06,2.4481905744063886e-05
1645,2.470068261573033e-05,5.241258155105502e-06,2.470068261573033e-05
1646,2.4744642392501453e-05,5.625680452275057e-06,2.4744642392501453e-05
1647,2.6255729900575326e-05,5.734675986397113e-06,2.6255729900575326e-05
1648,2.906522539498318e-05,5.4475767033831545e-06,2.906522539498318e-05
1649,2.863365092967537e-05,6.051522112621959e-06,2.863365092967537e-05
1650,4.3002223070029034e-05,6.524714893073126e-06,4.3002223070029034e-05
1651,4.4028434266303e-05,6.479424460589403e-06,4.4028434266303e-05
1652,5.3135984022186934e-05,6.1716991370173806e-06,5.3135984022186934e-05
1653,5.1113382661632e-05,8.857728029657405e-06,5.1113382661632e-05
1654,4.980782380568728e-05,9.042714412186927e-06,4.980782380568728e-05
1655,5.2735958368949855e-05,8.76802921214091e-06,5.2735958368949855e-05
1656,5.26391995663289e-05,7.833536138995051e-06,5.26391995663289e-05
1657,4.0947433392700206e-05,8.083426434625704e-06,4.0947433392700206e-05
1658,4.1976066703292804e-05,8.25327528478478e-06,4.1976066703292804e-05
1659,3.3850728349144834e-05,7.883386193238298e-06,3.3850728349144834e-05
1660,3.470328374532983e-05,4.430497564758948e-06,3.470328374532983e-05
1661,3.6020887429393565e-05,4.5315083200746035e-06,3.6020887429393565e-05
1662,4.0464121411787346e-05,4.187760834741182e-06,4.0464121411787346e-05
1663,4.041876205259801e-05,4.396169336879601e-06,4.041876205259801e-05
1664,4.955361847740798e-05,4.255067990145887e-06,4.955361847740798e-05
1665,4.806858877210678e-05,4.190866954039458e-06,4.806858877210678e-05
1666,5.5485368388222665e-05,5.03547986292168e-06,5.5485368388222665e-05
1667,6.397268225555308e-05,5.736072645439501e-06,6.397268225555308e-05
1668,6.256383650387371e-05,5.236120257125419e-06,6.256383650387371e-05
1669,5.759665925454881e-05,5.337358061296982e-06,5.759665925454881e-05
1670,6.0302789539231784e-05,6.048571614363547e-06,6.0302789539231784e-05
1671,5.1594852266134694e-05,6.474156797204549e-06,5.1594852266134694e-05
1672,5.160774188490385e-05,6.6891323708010276e-06,5.160774188490385e-05
1673,4.462128215111859e-05,7.296910000929659e-06,4.462128215111859e-05
1674,3.801555612881202e-05,7.787135830637584e-06,3.801555612881202e-05
1675,3.9623682044163744e-05,8.922240275361609e-06,3.9623682044163744e-05
1676,3.8768398423729066e-05,9.409813563771812e-06,3.8768398423729066e-05
1677,3.4601910166592074e-05,9.07986753060998e-06,3.4601910166592074e-05
1678,4.438512691454629e-05,8.687020843873533e-06,4.438512691454629e-05
1679,4.454204619313324e-05,9.016558838733804e-06,4.454204619313324e-05
1680,4.34359008067986e-05,8.54987203118591e-06,4.34359008067986e-05
1681,4.4276984356526684e-05,8.64008662964417e-06,4.4276984356526684e-05
1682,4.7063160569190844e-05,8.247083379891202e-06,4.7063160569190844e-05
1683,5.0464536668316994e-05,8.85171792625832e-06,5.0464536668316994e-05
1684,5.464678776791386e-05,9.756628449914778e-06,5.464678776791386e-05
1685,4.5234203103713556e-05,1.0619349073489762e-05,4.5234203103713556e-05
1686,4.50641631947032e-05,1.071790516756924e-05,4.50641631947032e-05
1687,4.4262255219759285e-05,1.0902765682528428e-05,4.4262255219759285e-05
1688,4.221601843060593e-05,9.753940698179317e-06,4.221601843060593e-05
1689,3.61515654471337e-05,9.905271456643408e-06,3.61515654471337e-05
1690,3.597547116182146e-05,9.097920480728914e-06,3.597547116182146e-05
1691,3.575371868334644e-05,8.313756812380494e-06,3.575371868334644e-05
1692,3.5942150394216045e-05,8.060785148700234e-06,3.5942150394216045e-05
1693,3.6594502099822943e-05,7.878114177271658e-06,3.6594502099822943e-05
1694,3.872300346431855e-05,7.109662939391066e-06,3.872300346431855e-05
1695,3.963050351428267e-05,8.442678660815415e-06,3.963050351428267e-05
1696,4.584270001422348e-05,8.518395783799601e-06,4.584270001422348e-05
1697,4.442939565966039e-05,8.912282282835804e-06,4.442939565966039e-05
1698,4.253342454571144e-05,9.388542366650654e-06,4.253342454571144e-05
1699,4.0783184106528226e-05,9.488754130870802e-06,4.0783184106528226e-05
1700,4.1627519489598595e-05,1.0821279114939639e-05,4.1627519489598595e-05
1701,4.4635423754308636e-05,1.1950345132001011e-05,4.4635423754308636e-05
1702,4.252588795290129e-05,1.2377955239831603e-05,4.252588795290129e-05
1703,3.748645498749933e-05,1.3377022956514598e-05,3.748645498749933e-05
1704,3.579373826921385e-05,1.3827582214227213e-05,3.579373826921385e-05
1705,3.4457925981509364e-05,1.4402569572017196e-05,3.4457925981509364e-05
1706,3.504477405970517e-05,1.4200700206856709e-05,3.504477405970517e-05
1707,3.2539038719343285e-05,1.3667891965139591e-05,3.2539038719343285e-05
1708,2.6386487921367268e-05,1.4512654420936347e-05,2.6386487921367268e-05
1709,2.598975385938372e-05,1.4748224072848512e-05,2.598975385938372e-05
1710,2.5326735080203173e-05,1.4694472676118104e-05,2.5326735080203173e-05
1711,2.2909116523806006e-05,1.5349524021855488e-05,2.2909116523806006e-05
1712,2.1177060001978782e-05,1.6258142750302795e-05,2.1177060001978782e-05
1713,2.1974573038668105e-05,1.7143186726441074e-05,2.1974573038668105e-05
1714,2.2256305133591274e-05,1.717603325752342e-05,2.2256305133591274e-05
1715,2.3228156611107158e-05,1.6869236268186277e-05,2.3228156611107158e-05
1716,2.4196362314147075e-05,1.770580300736973e-05,2.4196362314147075e-05
1717,2.5189149580130887e-05,1.8144274300928892e-05,2.5189149580130887e-05
1718,2.645474186075652e-05,1.7573422415547873e-05,2.645474186075652e-05
1719,2.663261979510675e-05,1.698946003411298e-05,2.663261979510675e-05
1720,2.5831853106085744e-05,1.666812970922495e-05,2.5831853106085744e-05
1721,2.4534722277686732e-05,1.692921419557284e-05,2.4534722277686732e-05
1722,2.9007951135489357e-05,1.649222044112061e-05,2.9007951135489357e-05
1723,2.8874782401544508e-05,1.512075297276689e-05,2.8874782401544508e-05
1724,2.8250012811830466e-05,1.3911660971643869e-05,2.8250012811830466e-05
1725,2.91883546066986e-05,1.326030126490098e-05,2.91883546066986e-05
1726,2.8837451801726794e-05,1.2019347975313264e-05,2.8837451801726794e-05
1727,2.9071573668001554e-05,1.1107423753336271e-05,2.9071573668001554e-05
1728,2.984800292844219e-05,1.003620153434375e-05,2.984800292844219e-05
1729,2.5495933576686574e-05,9.624089995798255e-06,2.5495933576686574e-05
1730,2.693782776727208e-05,8.976632151253788e-06,2.693782776727208e-05
1731,2.5893004671421034e-05,8.996496944746468e-06,2.5893004671421034e-05
1732,2.5848004432711086e-05,9.382466617223275e-06,2.5848004432711086e-05
1733,2.5961765589142616e-05,9.681094005437834e-06,2.5961765589142616e-05
1734,2.8215270504006185e-05,9.94403243177138e-06,2.8215270504006185e-05
1735,2.963234692288097e-05,1.0019146689696104e-05,2.963234692288097e-05
1736,2.9938239094917662e-05,9.806812678497018e-06,2.9938239094917662e-05
1737,2.7930740543524735e-05,9.935352474193288e-06,2.7930740543524735e-05
1738,2.783757658367644e-05,9.733980082923413e-06,2.783757658367644e-05
1739,2.5471976706674987e-05,9.613975375292025e-06,2.5471976706674987e-05
1740,2.7276632213865275e-05,9.597868094195811e-06,2.7276632213865275e-05
1741,2.5340566935483366e-05,9.601197624371188e-06,2.5340566935483366e-05
1742,3.240435918477098e-05,9.60161300359427e-06,3.240435918477098e-05
1743,3.224479379631313e-05,9.675146429799497e-06,3.224479379631313e-05
1744,3.32774839729869e-05,9.819784801428405e-06,3.32774839729869e-05
1745,3.524058463101808e-05,1.0084888214935614e-05,3.524058463101808e-05
1746,3.840512882951381e-05,9.976776709663682e-06,3.840512882951381e-05
1747,3.8896252330492386e-05,1.0149641899001186e-05,3.8896252330492386e-05
1748,3.7529247492784634e-05,1.0378082931440855e-05,3.7529247492784634e-05
1749,2.886255398542354e-05,1.040364791801299e-05,2.886255398542354e-05
1750,2.8900865800096653e-05,1.0222088219182166e-05,2.8900865800096653e-05
1751,2.8328008868681665e-05,1.03827294099444e-05,2.8328008868681665e-05
1752,2.7731469474799398e-05,1.0622874859629e-05,2.7731469474799398e-05
1753,2.9674811750218006e-05,1.0495975662446913e-05,2.9674811750218006e-05
1754,3.044551652107787e-05,1.0564245323101723e-05,3.044551652107787e-05
1755,3.402225619148729e-05,1.0463408736021457e-05,3.402225619148729e-05
1756,3.705482803135445e-05,1.070678198240265e-05,3.705482803135445e-05
1757,4.262552855444872e-05,1.1377781967374695e-05,4.262552855444872e-05
1758,4.4401647496020556e-05,1.1662342590820377e-05,4.4401647496020556e-05
1759,4.456479291548021e-05,1.1652233167426726e-05,4.456479291548021e-05
1760,4.139873375866695e-05,1.2700246640763777e-05,4.139873375866695e-05
1761,4.2285956754182864e-05,1.2823736921875803e-05,4.2285956754182864e-05
1762,4.1553900830747027e-05,1.2938396529144874e-05,4.1553900830747027e-05
1763,4.1508010326651856e-05,1.3230722028570849e-05,4.1508010326651856e-05
1764,4.0936327942680304e-05,1.318654878040044e-05,4.0936327942680304e-05
1765,4.198975459855449e-05,1.2985201335270955e-05,4.198975459855449e-05
1766,4.6462677086570435e-05,1.3024009993906865e-05,4.6462677086570435e-05
1767,4.942644851066039e-05,1.2090667951270007e-05,4.942644851066039e-05
1768,5.2827907763587844e-05,1.1876914478697082e-05,5.2827907763587844e-05
1769,5.3503238242618476e-05,1.2051108699649507e-05,5.3503238242618476e-05
1770,5.674595844798854e-05,1.193390211743203e-05,5.674595844798854e-05
1771,5.7772906854682204e-05,1.1564694952020155e-05,5.7772906854682204e-05
1772,5.987466179898807e-05,1.1503371881969673e-05,5.987466179898807e-05
1773,6.154533080656879e-05,1.1247547912976838e-05,6.154533080656879e-05
1774,6.373342538219211e-05,1.1415340590506925e-05,6.373342538219211e-05
1775,6.22683614242955e-05,1.1457310912581825e-05,6.22683614242955e-05
1776,6.388518003015114e-05,1.1062687917728908e-05,6.388518003015114e-05
1777,6.429467300352241e-05,1.0804440275283664e-05,6.429467300352241e-05
1778,6.175046551756427e-05,1.1139982104525967e-05,6.175046551756427e-05
1779,6.0133702001102006e-05,1.1465077737479337e-05,6.0133702001102006e-05
1780,5.6685251495634604e-05,1.2204057514151958e-05,5.6685251495634604e-05
1781,5.469583369891292e-05,1.2854867366383718e-05,5.469583369891292e-05
1782,5.489986194463979e-05,1.320246337854769e-05,5.489986194463979e-05
1783,5.415592334299747e-05,1.3335482305722377e-05,5.415592334299747e-05
1784,5.214015462635351e-05,1.3596964111327128e-05,5.214015462635351e-05
1785,5.224053893471137e-05,1.3098180716042407e-05,5.224053893471137e-05
1786,5.087723652000672e-05,1.221494559493814e-05,5.087723652000672e-05
1787,5.285031407506072e-05,1.1099772694121515e-05,5.285031407506072e-05
1788,5.216360347861025e-05,1.0192123357098484e-05,5.216360347861025e-05
1789,5.008330637273113e-05,9.423541087016929e-06,5.008330637273113e-05
1790,4.974247817049867e-05,9.197870505366673e-06,4.974247817049867e-05
1791,5.141147370782814e-05,8.91567106009461e-06,5.141147370782814e-05
1792,5.229589390052881e-05,9.221933396474924e-06,5.229589390052881e-05
1793,5.6426064215234616e-05,9.572456032661389e-06,5.6426064215234616e-05
1794,5.599756280259628e-05,9.595506136455307e-06,5.599756280259628e-05
1795,5.9263424191158265e-05,9.52769655019178e-06,5.9263424191158265e-05
1796,6.11575524089858e-05,9.570902745638574e-06,6.11575524089858e-05
1797,6.307439876504109e-05,9.223739847844367e-06,6.307439876504109e-05
1798,6.32405535725411e-05,8.787575682487971e-06,6.32405535725411e-05
1799,6.396902712627448e-05,8.163737220456824e-06,6.396902712627448e-05
1800,6.123798448243178e-05,7.374975731571405e-06,6.123798448243178e-05
1801,6.043710735476842e-05,6.9025057720344714e-06,6.043710735476842e-05
1802,5.8987599913962185e-05,6.437130845629976e-06,5.8987599913962185e-05
1803,5.976257671136409e-05,5.87481203443271e-06,5.976257671136409e-05
1804,6.0138652250835935e-05,5.455636190682915e-06,6.0138652250835935e-05
1805,5.8297157790678155e-05,4.855108889907049e-06,5.8297157790678155e-05
1806,6.029997062536755e-05,4.289920687889597e-06,6.029997062536755e-05
1807,6.17006241684846e-05,4.006181987798689e-06,6.17006241684846e-05
1808,6.1009485632114646e-05,3.6884737580424243e-06,6.1009485632114646e-05
1809,5.852202022132198e-05,3.272065149368635e-06,5.852202022132198e-05
1810,5.75018410537658e-05,2.878082308857951e-06,5.75018410537658e-05
1811,5.6084276626019604e-05,2.6144964197426035e-06,5.6084276626019604e-05
1812,5.8239164250803045e-05,2.425555814105402e-06,5.8239164250803045e-05
1813,5.4126039945653505e-05,2.22287831417946e-06,5.4126039945653505e-05
1814,5.2793405172581386e-05,2.0778238649654668e-06,5.2793405172581386e-05
1815,5.371513283794879e-05,1.87759537441577e-06,5.371513283794879e-05
1816,5.683350744740372e-05,1.777020738050591e-06,5.683350744740372e-05
1817,5.604217585641891e-05,1.6975096254360063e-06,5.604217585641891e-05
1818,5.604179178979913e-05,1.5563280807587683e-06,5.604179178979913e-05
1819,5.489447877542781e-05,1.4252326699144241e-06,5.489447877542781e-05
1820,5.6881534484481176e-05,1.2902768844469392e-06,5.6881534484481176e-05
1821,5.762718865298666e-05,1.1964529075417625e-06,5.762718865298666e-05
1822,5.779088938392566e-05,1.1215313163250227e-06,5.779088938392566e-05
1823,5.5800619780451856e-05,1.0403854925503505e-06,5.5800619780451856e-05
1824,5.6014010624494404e-05,9.794497048330543e-07,5.6014010624494404e-05
1825,5.587888569737386e-05,9.193673885679995e-07,5.587888569737386e-05
1826,5.610513367823192e-05,8.451482439600763e-07,5.610513367823192e-05
1827,5.512684999432947e-05,8.05698342836487e-07,5.512684999432947e-05
1828,5.452714062162808e-05,7.553424796112398e-07,5.452714062162808e-05
1829,5.412587051978335e-05,6.936297885269076e-07,5.412587051978335e-05
1830,5.4085471284841855e-05,6.395153206995019e-07,5.4085471284841855e-05
1831,5.3435398253246345e-05,5.308720980273003e-07,5.3435398253246345e-05
1832,5.3153552081702014e-05,4.841920672658619e-07,5.3153552081702014e-05
1833,5.219030676276556e-05,4.5396410541798105e-07,5.219030676276556e-05
1834,5.1795032049994916e-05,4.1575177078811976e-07,5.1795032049994916e-05
1835,5.260688547943053e-05,3.9166982495381877e-07,5.260688547943053e-05
1836,5.250011755768875e-05,3.6978148695457745e-07,5.250011755768875e-05
1837,5.272176869246843e-05,3.57479466726675e-07,5.272176869246843e-05
1838,5.3660182727201444e-05,3.519946208793304e-07,5.3660182727201444e-05
1839,5.500540750550239e-05,3.4110993039705916e-07,5.500540750550239e-05
1840,5.5324988872078916e-05,3.309947658181045e-07,5.5324988872078916e-05
1841,5.587237423502042e-05,3.9179325637763084e-07,5.587237423502042e-05
1842,5.5958195194502226e-05,4.2121700565595735e-07,5.5958195194502226e-05
1843,5.604874136874319e-05,4.699337320549343e-07,5.604874136874319e-05
1844,5.67303281318995e-05,4.667213642863187e-07,5.67303281318995e-05
1845,5.635328281121994e-05,4.5473148751235773e-07,5.635328281121994e-05
1846,5.585939704490427e-05,4.577966673683217e-07,5.585939704490427e-05
1847,5.6326381517075265e-05,4.855060028928295e-07,5.6326381517075265e-05
1848,5.703167127129356e-05,4.547154008248201e-07,5.703167127129356e-05
1849,5.7201327373539766e-05,4.998319005673173e-07,5.7201327373539766e-05
1850,5.725577908119054e-05,4.845417679786936e-07,5.725577908119054e-05
1851,5.739717952175332e-05,5.031448771270724e-07,5.739717952175332e-05
1852,5.804582542623393e-05,5.322919897870244e-07,5.804582542623393e-05
1853,5.860070034811672e-05,5.514499353661709e-07,5.860070034811672e-05
1854,5.93109658179206e-05,5.386387402138228e-07,5.93109658179206e-05
1855,5.9650082091268685e-05,5.151816131793956e-07,5.9650082091268685e-05
1856,5.984654905790064e-05,4.4805468795467665e-07,5.984654905790064e-05
1857,6.11228663599052e-05,4.368732667054636e-07,6.11228663599052e-05
1858,6.176693100964517e-05,4.395427270407838e-07,6.176693100964517e-05
1859,6.284163360500575e-05,4.5163243303899693e-07,6.284163360500575e-05
1860,6.317517701453263e-05,4.562936786507115e-07,6.317517701453263e-05
1861,6.304917717768279e-05,4.730901658993909e-07,6.304917717768279e-05
1862,6.365532421373896e-05,8.447867563583194e-07,6.365532421373896e-05
1863,6.37929156904907e-05,8.637626121656337e-07,6.37929156904907e-05
1864,6.414632142488179e-05,8.683935277531418e-07,6.414632142488179e-05
1865,6.44172853623916e-05,8.961893383587136e-07,6.44172853623916e-05
1866,6.434208418275895e-05,8.792053612134103e-07,6.434208418275895e-05
1867,6.439134761291956e-05,8.923540398037793e-07,6.439134761291956e-05
1868,6.491136134302775e-05,8.801897714809976e-07,6.491136134302775e-05
1869,6.553933781106025e-05,5.226879409292451e-07,6.553933781106025e-05
1870,6.691284423660753e-05,5.173966144411679e-07,6.691284423660753e-05
1871,6.818479596404359e-05,5.113894628396208e-07,6.818479596404359e-05
1872,6.957648500766871e-05,5.119885275105065e-07,6.957648500766871e-05
1873,7.068865150878472e-05,6.342656807386707e-07,7.068865150878472e-05
1874,7.163216754893906e-05,9.513953256958172e-07,7.163216754893906e-05
1875,7.305960753001273e-05,1.0366115808275417e-06,7.305960753001273e-05
1876,7.323839963646606e-05,1.117211285515753e-06,7.323839963646606e-05
1877,7.352850869730381e-05,1.4690994386715569e-06,7.352850869730381e-05
1878,7.316916993918962e-05,1.8549227028025989e-06,7.316916993918962e-05
1879,7.336302535674934e-05,1.8813720186829284e-06,7.336302535674934e-05
1880,7.386577739712916e-05,1.9101155430689687e-06,7.386577739712916e-05
1881,7.455525961371936e-05,1.5753888078506861e-06,7.455525961371936e-05
1882,7.479610732324156e-05,1.5183387306803655e-06,7.479610732324156e-05
1883,7.495219740251611e-05,1.4529890514885274e-06,7.495219740251611e-05
1884,7.495869275382055e-05,1.0903179697509456e-06,7.495869275382055e-05
1885,7.547786247284551e-05,6.955597565852909e-07,7.547786247284551e-05
1886,7.563869231879445e-05,6.30426362541974e-07,7.563869231879445e-05
