ngram,top,tp,top
1500,5.630248415400274e-05,0.0,5.630248415400274e-05
1501,4.504198732320219e-05,0.0,4.504198732320219e-05
1502,4.087349558782686e-05,0.0,4.087349558782686e-05
1503,3.503442478956588e-05,0.0,3.503442478956588e-05
1504,1.017347962520684e-05,0.0,1.017347962520684e-05
1505,4.1242320938701075e-06,0.0,4.1242320938701075e-06
1506,4.1242320938701075e-06,0.0,4.1242320938701075e-06
1507,4.1242320938701075e-06,0.0,4.1242320938701075e-06
1508,4.1242320938701075e-06,0.0,4.1242320938701075e-06
1509,1.2626553923057924e-06,0.0,1.2626553923057924e-06
1510,1.2626553923057924e-06,0.0,1.2626553923057924e-06
1511,1.2626553923057924e-06,0.0,1.2626553923057924e-06
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1515,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1516,1.7139669320645875e-06,0.0,1.7139669320645875e-06
1517,1.658971632423345e-05,0.0,1.658971632423345e-05
1518,1.658971632423345e-05,0.0,1.658971632423345e-05
1519,1.658971632423345e-05,0.0,1.658971632423345e-05
1520,2.6420791722817478e-05,0.0,2.6420791722817478e-05
1521,2.470682479075289e-05,0.0,2.470682479075289e-05
1522,5.6444393911598513e-05,0.0,5.6444393911598513e-05
1523,5.8292528982357385e-05,0.0,5.8292528982357385e-05
1524,6.199888308141713e-05,4.3358238014791694e-05,6.199888308141713e-05
1525,6.199888308141713e-05,4.3358238014791694e-05,6.199888308141713e-05
1526,7.661882123751898e-05,4.39938874998396e-05,7.661882123751898e-05
1527,0.00012483615890752326,4.39938874998396e-05,0.00012483615890752326
1528,0.00012483615890752326,4.39938874998396e-05,0.00012483615890752326
1529,9.309858978667762e-05,4.39938874998396e-05,9.309858978667762e-05
1530,9.197940322077816e-05,5.0554424108538243e-05,9.197940322077816e-05
1531,0.00011361123889790698,7.196186093746551e-06,0.00011361123889790698
1532,0.00013435340166064895,7.647102685431101e-06,0.00013435340166064895
1533,0.00011973346350454708,2.2974929152042023e-05,0.00011973346350454708
1534,6.16850504359588e-05,2.2974929152042023e-05,6.16850504359588e-05
1535,6.319108868930405e-05,2.2974929152042023e-05,6.319108868930405e-05
1536,6.363835307508583e-05,2.2974929152042023e-05,6.363835307508583e-05
1537,6.29094045702264e-05,1.6414392543343377e-05,6.29094045702264e-05
1538,2.2695465401868985e-05,1.6414392543343377e-05,2.2695465401868985e-05
1539,2.187597013809344e-05,1.596347595165883e-05,2.187597013809344e-05
1540,0.0002373467776318908,0.0,0.0002373467776318908
1541,0.0002373467776318908,0.0,0.0002373467776318908
1542,0.00023885003205188177,0.0,0.00023885003205188177
1543,0.0002840367381265553,0.0,0.0002840367381265553
1544,0.000284871367642024,0.0,0.000284871367642024
1545,0.0002859430480514545,0.0,0.0002859430480514545
1546,0.00026685949913891297,0.0,0.00026685949913891297
1547,6.12201152502426e-05,0.0,6.12201152502426e-05
1548,6.597598621738143e-05,0.0,6.597598621738143e-05
1549,6.539200902417568e-05,0.0,6.539200902417568e-05
1550,2.4621149870134624e-05,0.0,2.4621149870134624e-05
1551,2.8508914640821915e-05,0.0,2.8508914640821915e-05
1552,3.03216782283146e-05,0.0,3.03216782283146e-05
1553,2.9482559641889695e-05,0.0,2.9482559641889695e-05
1554,1.96511360367627e-05,0.0,1.96511360367627e-05
1555,1.549625007360841e-05,0.0,1.549625007360841e-05
1556,2.5561450456734747e-05,0.0,2.5561450456734747e-05
1557,4.873336469505115e-05,0.0,4.873336469505115e-05
1558,4.810326234811717e-05,0.0,4.810326234811717e-05
1559,4.865726493465315e-05,0.0,4.865726493465315e-05
1560,7.333522808039561e-05,0.0,7.333522808039561e-05
1561,7.333522808039561e-05,0.0,7.333522808039561e-05
1562,7.984510141665981e-05,3.5554291701243656e-06,7.984510141665981e-05
1563,6.735458555340301e-05,3.5554291701243656e-06,6.735458555340301e-05
1564,3.931956000867233e-05,3.5554291701243656e-06,3.931956000867233e-05
1565,3.927447063948161e-05,3.5554291701243656e-06,3.927447063948161e-05
1566,4.154703544502679e-05,7.362770182745797e-06,4.154703544502679e-05
1567,2.3693045347629648e-05,8.045167500573111e-06,2.3693045347629648e-05
