ngram,risk,rsk,riskk,riisk
1500,3.571965635273955e-06,0.0,0.0,0.0
1501,2.857572508219164e-06,0.0,0.0,0.0
1502,2.381803506068536e-05,0.0,0.0,0.0
1503,2.9340125365706626e-05,0.0,0.0,0.0
1504,2.8270837382089148e-05,0.0,0.0,0.0
1505,2.8877321320968414e-05,0.0,0.0,0.0
1506,2.8877321320968414e-05,0.0,0.0,0.0
1507,2.8877321320968414e-05,0.0,0.0,0.0
1508,2.8877321320968414e-05,0.0,0.0,0.0
1509,1.0502985917680365e-05,0.0,0.0,0.0
1510,1.5783191754183333e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,1.3482147096510744e-06,0.0,0.0,0.0
1518,1.3482147096510744e-06,0.0,0.0,0.0
1519,1.3482147096510744e-06,0.0,0.0,0.0
1520,1.058346817574472e-05,0.0,0.0,0.0
1521,1.029780703122794e-05,0.0,0.0,0.0
1522,1.029780703122794e-05,0.0,0.0,0.0
1523,1.3994077172745684e-05,0.0,0.0,0.0
1524,1.293152360761139e-05,0.0,0.0,0.0
1525,1.293152360761139e-05,0.0,0.0,0.0
1526,1.293152360761139e-05,0.0,0.0,0.0
1527,3.6962701415177435e-06,0.0,0.0,0.0
1528,5.7867350083792445e-06,0.0,0.0,0.0
1529,5.7867350083792445e-06,0.0,0.0,0.0
1530,2.0904648668615015e-06,0.0,0.0,0.0
1531,1.3580161326639687e-05,0.0,0.0,0.0
1532,7.806123189116729e-05,0.0,0.0,0.0
1533,7.806123189116729e-05,0.0,0.0,0.0
1534,7.946570258354768e-05,0.0,0.0,0.0
1535,7.81282568433588e-05,0.0,0.0,0.0
1536,7.857552122914058e-05,0.0,0.0,0.0
1537,7.857552122914058e-05,0.0,0.0,0.0
1538,6.70858247693624e-05,0.0,0.0,0.0
1539,5.925198787995864e-06,0.0,0.0,0.0
1540,5.925198787995864e-06,0.0,0.0,0.0
1541,4.520728095615466e-06,0.0,0.0,0.0
1542,3.767708968942835e-06,0.0,0.0,0.0
1543,3.320444583161069e-06,0.0,0.0,0.0
