ngram,tool,tol,toll,tool
1500,5.578518198490201e-07,0.0,2.0875388599961298e-06,5.578518198490201e-07
1501,4.462814558792161e-07,0.0,1.6700310879969039e-06,4.462814558792161e-07
1502,8.990337695043612e-07,0.0,1.3340030060741507e-05,8.990337695043612e-07
1503,1.8619933858384945e-05,0.0,1.1434311480635578e-05,1.8619933858384945e-05
1504,1.8486272860432757e-05,0.0,1.1166989484731207e-05,1.8486272860432757e-05
1505,1.830116138989979e-05,3.156638480764481e-07,1.024143213206636e-05,1.830116138989979e-05
1506,1.830116138989979e-05,3.156638480764481e-07,1.024143213206636e-05,1.830116138989979e-05
1507,1.830116138989979e-05,3.156638480764481e-07,1.024143213206636e-05,1.830116138989979e-05
1508,1.830116138989979e-05,3.156638480764481e-07,1.024143213206636e-05,1.830116138989979e-05
1509,1.784933348452406e-05,3.156638480764481e-07,0.0,1.784933348452406e-05
1510,0.0,3.156638480764481e-07,0.0,0.0
1511,0.0,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,2.2852891561342403e-06,0.0
1515,0.0,0.0,2.2852891561342403e-06,0.0
1516,0.0,0.0,2.2852891561342403e-06,0.0
1517,4.250214260537177e-06,0.0,3.3478427212685347e-06,4.250214260537177e-06
1518,4.250214260537177e-06,0.0,3.3478427212685347e-06,4.250214260537177e-06
1519,4.250214260537177e-06,0.0,3.3478427212685347e-06,4.250214260537177e-06
1520,5.143948458550897e-06,0.0,3.943665498289712e-06,5.143948458550897e-06
1521,5.143948458550897e-06,0.0,1.6583763421554716e-06,5.143948458550897e-06
1522,5.143948458550897e-06,0.0,1.6583763421554716e-06,5.143948458550897e-06
1523,6.376038462414206e-06,0.0,1.6583763421554716e-06,6.376038462414206e-06
1524,6.255180388896926e-06,0.0,2.6605008705311254e-06,6.255180388896926e-06
1525,6.255180388896926e-06,0.0,2.6605008705311254e-06,6.255180388896926e-06
