ngram,device,devie,devce,deivce
1500,7.837081739126006e-06,0.0,0.0,0.0
1501,6.269665391300805e-06,0.0,0.0,0.0
1502,5.224721159417338e-06,0.0,0.0,0.0
1503,5.802633287592991e-05,0.0,0.0,0.0
1504,5.655606193093783e-05,0.0,0.0,0.0
1505,6.049260524118186e-05,0.0,0.0,0.0
1506,6.049260524118186e-05,0.0,0.0,0.0
1507,6.049260524118186e-05,0.0,0.0,0.0
1508,6.049260524118186e-05,0.0,0.0,0.0
1509,6.049260524118186e-05,0.0,0.0,0.0
1510,6.944604787609673e-06,0.0,0.0,0.0
1511,6.944604787609673e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,0.0,0.0,0.0
1515,1.999628044099414e-06,0.0,0.0,0.0
1516,1.999628044099414e-06,0.0,0.0,0.0
1517,5.140836947248317e-05,0.0,0.0,0.0
1518,5.140836947248317e-05,0.0,0.0,0.0
1519,5.140836947248317e-05,0.0,0.0,0.0
1520,5.260001502652553e-05,0.0,0.0,0.0
1521,5.0600386982426115e-05,0.0,0.0,0.0
1522,5.0600386982426115e-05,0.0,0.0,0.0
1523,5.0600386982426115e-05,0.0,0.0,0.0
1524,1.1916455540423548e-06,0.0,0.0,0.0
1525,1.1916455540423548e-06,0.0,0.0,0.0
1526,1.8272950390902615e-06,0.0,0.0,0.0
1527,6.356494850479066e-07,0.0,0.0,0.0
1528,2.8856924992786454e-05,0.0,0.0,0.0
1529,2.8856924992786454e-05,0.0,0.0,0.0
1530,2.8856924992786454e-05,0.0,0.0,0.0
1531,2.8856924992786454e-05,0.0,0.0,0.0
1532,3.1562424607857664e-05,0.0,0.0,0.0
1533,3.092677512280976e-05,0.0,0.0,0.0
1534,3.2331245815190156e-05,0.0,0.0,0.0
1535,5.616008560796867e-06,0.0,0.0,0.0
1536,5.616008560796867e-06,0.0,0.0,0.0
1537,5.616008560796867e-06,0.0,0.0,0.0
1538,1.196888570120791e-05,0.0,0.0,0.0
1539,5.159905270245092e-05,0.0,0.0,0.0
1540,5.159905270245092e-05,0.0,0.0,0.0
1541,5.019458201007053e-05,0.0,0.0,0.0
1542,4.8688543756725267e-05,0.0,0.0,0.0
1543,4.8688543756725267e-05,0.0,0.0,0.0
1544,5.355721597360181e-05,0.0,0.0,0.0
1545,4.827601924262126e-05,0.0,0.0,0.0
1546,5.940352626307036e-06,0.0,0.0,0.0
1547,5.940352626307036e-06,0.0,0.0,0.0
1548,7.129320368091742e-06,0.0,0.0,0.0
1549,7.129320368091742e-06,0.0,0.0,0.0
1550,8.750357470229833e-06,0.0,0.0,0.0
1551,3.881685253353291e-06,0.0,0.0,0.0
1552,2.8100048439227976e-06,0.0,0.0,0.0
1553,2.8100048439227976e-06,0.0,0.0,0.0
1554,2.8100048439227976e-06,0.0,0.0,0.0
1555,6.428917134014357e-06,0.0,0.0,0.0
1556,8.510669691271947e-06,0.0,0.0,0.0
1557,6.889632589133855e-06,0.0,0.0,0.0
1558,7.571681245670854e-06,0.0,0.0,0.0
1559,1.2729350861003955e-05,0.0,0.0,0.0
1560,1.3178041107104426e-05,0.0,0.0,0.0
1561,1.3178041107104426e-05,0.0,0.0,0.0
1562,8.37016107522816e-06,0.0,0.0,0.0
1563,6.743030228660375e-06,0.0,0.0,0.0
1564,1.3104676976841542e-05,0.0,0.0,0.0
1565,1.2422628320304544e-05,0.0,0.0,0.0
1566,8.53154532316174e-05,0.0,0.0,0.0
1567,0.0001183042307145245,0.0,0.0,0.0
1568,0.0001183042307145245,0.0,0.0,0.0
1569,0.00013018751594375187,0.0,0.0,0.0
1570,0.00012973289423306205,0.0,0.0,0.0
1571,0.0002067342055462567,0.0,0.0,0.0
1572,0.00021193381326156668,0.0,0.0,0.0
1573,0.0001338833187349207,0.0,0.0,0.0
1574,0.00010044585100591316,0.0,0.0,0.0
1575,0.00010044585100591316,0.0,0.0,0.0
1576,9.216800935973879e-05,0.0,0.0,0.0
1577,9.982243734287164e-05,0.0,0.0,0.0
1578,1.7904957920628866e-05,0.0,0.0,0.0
1579,1.3998859815598865e-05,0.0,0.0,0.0
1580,1.5979781502600027e-05,0.0,0.0,0.0
1581,3.496561748761451e-05,0.0,0.0,0.0
1582,3.496561748761451e-05,0.0,0.0,0.0
1583,3.400359816753605e-05,0.0,0.0,0.0
1584,2.6349170184403192e-05,0.0,0.0,0.0
1585,2.7734462881718563e-05,0.0,0.0,0.0
1586,7.388794685019613e-05,0.0,0.0,0.0
1587,8.644236679953923e-05,0.0,0.0,0.0
1588,6.812603662962959e-05,0.0,0.0,0.0
1589,7.074020712544942e-05,0.0,0.0,0.0
1590,6.965663669689093e-05,0.0,0.0,0.0
1591,7.631997323187534e-05,0.0,0.0,0.0
1592,7.647406086367223e-05,0.0,0.0,0.0
