ngram,finance,finace,fince,financ
1500,2.1127882064320147e-05,0.0,0.0,0.0
1501,1.690230565145612e-05,0.0,0.0,0.0
1502,1.5315230636285076e-05,0.0,0.0,0.0
1503,1.3127340545387206e-05,0.0,0.0,0.0
1504,1.179073050090145e-05,0.0,0.0,0.0
1505,8.314533650783623e-06,0.0,0.0,0.0
1506,8.314533650783623e-06,0.0,7.602423595796738e-06,0.0
1507,8.314533650783623e-06,0.0,7.602423595796738e-06,0.0
1508,8.314533650783623e-06,0.0,7.602423595796738e-06,0.0
1509,7.260268570722214e-06,0.0,7.602423595796738e-06,0.0
1510,7.260268570722214e-06,0.0,7.602423595796738e-06,0.0
1511,7.260268570722214e-06,0.0,7.602423595796738e-06,0.0
1512,0.0,0.0,7.602423595796738e-06,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,5.312767825671472e-07,0.0,0.0,0.0
1521,5.312767825671472e-07,0.0,0.0,0.0
1522,5.312767825671472e-07,0.0,0.0,0.0
1523,9.15590693953813e-06,0.0,0.0,0.0
1524,8.624630156970983e-06,0.0,0.0,0.0
1525,8.624630156970983e-06,0.0,0.0,0.0
1526,8.624630156970983e-06,0.0,0.0,0.0
1527,8.624630156970983e-06,0.0,0.0,0.0
1528,8.624630156970983e-06,0.0,0.0,0.0
1529,8.624630156970983e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,1.3527498075356043e-06,0.0,0.0,0.0
1533,1.3527498075356043e-06,0.0,0.0,0.0
1534,1.3527498075356043e-06,0.0,0.0,0.0
1535,1.3527498075356043e-06,0.0,0.0,0.0
1536,8.956244528235402e-06,0.0,0.0,0.0
1537,8.956244528235402e-06,0.0,0.0,0.0
1538,8.956244528235402e-06,0.0,0.0,0.0
1539,7.603494720699798e-06,0.0,0.0,0.0
1540,7.603494720699798e-06,0.0,0.0,0.0
1541,7.603494720699798e-06,0.0,0.0,0.0
1542,7.603494720699798e-06,0.0,1.5046463366681046e-06,0.0
1543,0.0,0.0,1.5046463366681046e-06,0.0
1544,0.0,0.0,4.843164398542805e-06,0.0
1545,0.0,0.0,4.843164398542805e-06,0.0
1546,0.0,0.0,4.843164398542805e-06,0.0
1547,0.0,0.0,4.843164398542805e-06,0.0
1548,7.133806190852608e-06,0.0,4.843164398542805e-06,0.0
1549,7.133806190852608e-06,0.0,3.3385180618747005e-06,0.0
1550,1.0375880395128792e-05,0.0,3.3385180618747005e-06,0.0
1551,1.0375880395128792e-05,0.0,0.0,0.0
1552,1.4702546260585742e-05,0.0,0.0,0.0
1553,1.4702546260585742e-05,0.0,0.0,0.0
1554,1.4702546260585742e-05,0.0,9.256602165156177e-06,0.0
1555,7.568740069733135e-06,0.0,9.256602165156177e-06,0.0
1556,7.568740069733135e-06,0.0,9.256602165156177e-06,0.0
1557,4.326665865456951e-06,0.0,9.256602165156177e-06,0.0
1558,1.1829200957436115e-05,0.0,9.256602165156177e-06,0.0
1559,7.502535091979163e-06,0.0,9.256602165156177e-06,0.0
1560,7.951225338079634e-06,0.0,9.705292411256647e-06,0.0
1561,7.951225338079634e-06,0.0,4.4869024610047094e-07,0.0
1562,7.951225338079634e-06,0.0,2.226404831162654e-06,0.0
1563,7.951225338079634e-06,0.0,2.226404831162654e-06,0.0
1564,7.951225338079634e-06,0.0,2.226404831162654e-06,0.0
1565,4.4869024610047094e-07,0.0,2.226404831162654e-06,0.0
1566,4.4869024610047094e-07,0.0,2.226404831162654e-06,0.0
1567,0.0,0.0,3.82490660350803e-06,0.0
1568,0.0,0.0,3.82490660350803e-06,0.0
1569,2.748009657287704e-05,0.0,2.0471920184458474e-06,0.0
1570,2.748009657287704e-05,0.0,3.558204298315104e-06,0.0
1571,2.748009657287704e-05,0.0,3.558204298315104e-06,0.0
1572,2.748009657287704e-05,0.0,5.638047436410229e-06,0.0
1573,2.748009657287704e-05,0.0,6.8964567877368865e-06,0.0
1574,2.748009657287704e-05,0.0,6.483399374701548e-06,0.0
1575,2.748009657287704e-05,0.0,1.1512517890618515e-05,0.0
1576,4.5068044788162555e-07,0.0,1.1963198338500141e-05,0.0
1577,4.5068044788162555e-07,0.0,1.0452186058630883e-05,0.0
1578,4.5068044788162555e-07,0.0,1.1415838506374193e-05,0.0
1579,4.5068044788162555e-07,0.0,9.982750173419066e-06,0.0
1580,4.5068044788162555e-07,0.0,2.952401899035197e-05,0.0
1581,4.5068044788162555e-07,0.0,2.788988438494146e-05,0.0
1582,4.5068044788162555e-07,0.0,2.5374654179748696e-05,0.0
1583,2.403113155326407e-06,0.0,2.5885218942026506e-05,0.0
1584,2.403113155326407e-06,0.0,2.5885218942026506e-05,0.0
1585,2.403113155326407e-06,0.0,3.265900795668131e-05,0.0
1586,2.403113155326407e-06,0.0,3.4887828535699684e-05,0.0
1587,2.403113155326407e-06,0.0,1.4434229927116706e-05,0.0
1588,2.403113155326407e-06,0.0,1.9790276447955485e-05,0.0
1589,5.390736727609432e-06,0.0,1.821002050356973e-05,0.0
1590,2.9876235722830254e-06,0.0,2.6867873982285217e-05,0.0
1591,2.9876235722830254e-06,0.0,2.9533208492336727e-05,0.0
1592,2.9876235722830254e-06,0.0,3.672006161130932e-05,0.0
1593,2.9876235722830254e-06,0.0,4.277555581211345e-05,0.0
1594,3.6581499054071694e-06,0.0,4.678789751518967e-05,0.0
1595,3.6581499054071694e-06,0.0,5.134938659726426e-05,0.0
1596,1.0913627842715608e-06,0.0,5.146784535879435e-05,0.0
1597,2.180921585802155e-06,0.0,4.269618135107781e-05,0.0
1598,4.215681721169469e-06,0.0,4.073858950245527e-05,0.0
1599,5.276882088115339e-06,0.0,3.1591941089053375e-05,0.0
1600,7.087485560727405e-06,0.0,2.489749931555707e-05,0.0
1601,6.416959227603261e-06,0.0,2.464087914891674e-05,0.0
1602,6.521359945769031e-06,0.0,1.5662949993254317e-05,0.0
1603,6.100523494621614e-06,0.0,2.202884109335303e-05,0.0
1604,5.01096469309102e-06,0.0,2.3565190986118978e-05,0.0
1605,2.9762045577237065e-06,0.0,3.3651389652992035e-05,0.0
1606,1.995084297894729e-06,0.0,2.9074945099897116e-05,0.0
1607,1.844808252826624e-07,0.0,5.1472720315359766e-05,0.0
1608,1.844808252826624e-07,0.0,5.5358023213817174e-05,0.0
1609,8.008010711689297e-08,0.0,7.328581471353703e-05,0.0
1610,2.0752837112273221e-07,0.0,7.313238347705919e-05,0.0
1611,1.538888032622968e-06,0.0,9.880956219733759e-05,0.0
1612,1.538888032622968e-06,0.0,9.285763397721374e-05,0.0
1613,1.458807925506075e-06,0.0,9.740960948485216e-05,0.0
1614,1.458807925506075e-06,0.0,7.903779156289861e-05,0.0
1615,1.458807925506075e-06,0.0,9.581199992680922e-05,0.0
1616,1.458807925506075e-06,0.0,0.00010469729126530833,0.0
1617,1.3313596615002358e-06,0.0,0.00010385688957675094,0.0
1618,1.6741113150991232e-06,0.0,8.318171187836145e-05,0.0
1619,1.6741113150991232e-06,0.0,8.869287298044323e-05,0.0
1620,1.77485022894481e-06,0.0,8.918550832147178e-05,0.0
1621,1.77485022894481e-06,0.0,9.933737861242012e-05,0.0
1622,1.77485022894481e-06,0.0,7.865627386698699e-05,0.0
1623,2.3136786109846852e-06,0.0,6.518253706287527e-05,0.0
1624,2.4630108035645596e-06,0.0,6.473167559306603e-05,0.0
1625,7.888994884654364e-07,0.0,6.648300638646885e-05,0.0
1626,7.888994884654364e-07,0.0,6.370735224793731e-05,0.0
1627,8.479319149046205e-07,0.0,7.120187495144949e-05,0.0
1628,1.2410016876986317e-06,0.0,6.140409381519671e-05,0.0
1629,1.4060603754322592e-06,0.0,6.995087616295288e-05,0.0
1630,9.534809919387044e-07,0.0,6.662554629396514e-05,0.0
1631,8.608287852699245e-07,0.0,7.476557480653614e-05,0.0
1632,8.608287852699245e-07,0.0,7.781473427062988e-05,0.0
1633,8.608287852699245e-07,0.0,8.21642871804735e-05,0.0
1634,8.244756080395226e-07,0.0,7.545878751053741e-05,0.0
1635,4.3140583524551144e-07,0.0,7.452217323589139e-05,0.0
1636,4.400359655067275e-07,0.0,6.971118013357877e-05,0.0
1637,3.5378696696040735e-07,0.0,7.880343192872325e-05,0.0
1638,2.9710698104931256e-07,0.0,7.229897476333593e-05,0.0
1639,3.7497721093261915e-07,0.0,7.57646152383781e-05,0.0
1640,4.777852658272812e-07,0.0,7.658574135608173e-05,0.0
1641,3.5436710277281236e-07,0.0,7.683700044123855e-05,0.0
1642,3.5436710277281236e-07,0.0,7.817367960732164e-05,0.0
1643,1.8067828477796866e-07,0.0,8.697701248040955e-05,0.0
1644,1.8067828477796866e-07,0.0,8.068035822361708e-05,0.0
1645,2.2979511576133e-07,0.0,8.196164552438339e-05,0.0
1646,2.5266329625342874e-07,0.0,8.917734885471873e-05,0.0
1647,2.5390079372300534e-07,0.0,9.005911696086904e-05,0.0
1648,7.58242370985889e-07,0.0,8.607416748418473e-05,0.0
1649,8.364701459738301e-07,0.0,9.133918865700252e-05,0.0
1650,8.80390282580785e-07,0.0,8.310860513509917e-05,0.0
1651,9.233903637907912e-07,0.0,8.152840746333823e-05,0.0
1652,1.0412877153547534e-06,0.0,8.483029731516061e-05,0.0
1653,1.0159250832332743e-06,0.0,7.183690468082204e-05,0.0
1654,9.118795308690356e-07,0.0,7.405351477375786e-05,0.0
1655,4.0753795360615186e-07,0.0,7.935162024555861e-05,0.0
1656,3.7461750983831213e-07,0.0,8.492094795136447e-05,0.0
1657,4.419151033679165e-07,0.0,8.776519202261365e-05,0.0
1658,3.0260811578435617e-06,0.0,9.264594076999597e-05,0.0
1659,3.0842372698966107e-06,0.0,8.759501932737683e-05,0.0
1660,3.089036291774911e-06,0.0,9.559977219656243e-05,0.0
1661,3.089036291774911e-06,0.0,0.00010568676173404259,0.0
1662,3.089036291774911e-06,0.0,0.00010829307211679406,0.0
1663,3.175118917754714e-06,0.0,9.917941653319369e-05,0.0
1664,3.1032041688052104e-06,0.0,9.722193031588436e-05,0.0
1665,4.7603803311955873e-07,0.0,9.066596404798994e-05,0.0
1666,2.508677385191861e-07,0.0,9.431091686045485e-05,0.0
1667,2.3559757015131515e-07,0.0,9.372902111083801e-05,0.0
1668,2.3559757015131515e-07,0.0,8.560301336858953e-05,0.0
1669,2.655516624372467e-07,0.0,9.518559298677636e-05,0.0
1670,1.3416170523734244e-07,0.0,0.00010592734179226682,0.0
1671,9.485872405028723e-08,0.0,0.00011014485374159579,0.0
1672,1.1945932547925103e-07,0.0,0.00011259096520786573,0.0
1673,1.1945932547925103e-07,0.0,0.00011882799195258745,0.0
1674,5.4554693714895363e-08,0.0,0.00011685278462079753,0.0
1675,5.4554693714895363e-08,0.0,0.00011706243822118267,0.0
1676,2.4600601428963794e-08,0.0,0.0001179622850031592,0.0
1677,2.4600601428963794e-08,0.0,0.0001203477181011944,0.0
1678,6.443774428329821e-08,0.0,0.00012424361505379369,0.0
1679,1.0905245062531321e-07,0.0,0.0001259081286012328,0.0
1680,1.633582371596276e-07,0.0,0.00011987290469863052,0.0
1681,1.8573408462024027e-07,0.0,0.00011806604015873745,0.0
1682,2.0589511759031405e-07,0.0,0.00011906068227420161,0.0
1683,2.0589511759031405e-07,0.0,0.00012279414243364175,0.0
1684,2.643382767278776e-07,0.0,0.0001196313397875721,0.0
1685,2.64912797222548e-07,0.0,0.00011608342174440622,0.0
1686,2.785851092669743e-07,0.0,0.00011288985427069877,0.0
1687,2.2427932273265988e-07,0.0,0.00011895882094644808,0.0
1688,2.48495053613494e-07,0.0,0.00013256010736638148,0.0
1689,3.546186998651787e-07,0.0,0.00013226995672864308,0.0
1690,3.7538899074921315e-07,0.0,0.0001245447960432752,0.0
1691,3.4141188466816986e-07,0.0,0.00012707951931848323,0.0
1692,3.2466826585927523e-07,0.0,0.00012840974107218374,0.0
1693,2.7313183993880686e-07,0.0,0.0001431457744079775,0.0
1694,4.4383069410157206e-07,0.0,0.00014640210117379735,0.0
1695,4.1274591922046966e-07,0.0,0.00013438942862973948,0.0
1696,3.02207185752325e-07,0.0,0.0001269418218206348,0.0
1697,4.798079211403612e-07,0.0,0.0001201926767992388,0.0
1698,3.203728575889337e-06,0.0,0.00010739835592435807,0.0
1699,3.2192691524609733e-06,0.0,0.0001037544742367962,0.0
1700,3.226911516662767e-06,0.0,8.483438432449475e-05,0.0
1701,3.056212662500002e-06,0.0,7.216762709763966e-05,0.0
1702,3.855696720376857e-06,0.0,6.900121973428343e-05,0.0
1703,9.636586152542545e-06,0.0,6.638343100868431e-05,0.0
1704,9.455538659608465e-06,0.0,6.234837876815748e-05,0.0
1705,7.119253161087207e-06,0.0,6.878759761873101e-05,0.0
1706,8.132205893827762e-06,0.0,6.376151213771664e-05,0.0
1707,8.093212335731031e-06,0.0,6.622021153037037e-05,0.0
1708,8.093212335731031e-06,0.0,6.769879525693665e-05,0.0
1709,7.302271506708686e-06,0.0,6.367403693730012e-05,0.0
1710,1.6089262727194052e-06,0.0,6.495079703329663e-05,0.0
1711,1.601295068098807e-06,0.0,6.732395818939299e-05,0.0
1712,1.2109206985704596e-06,0.0,6.352321309220445e-05,0.0
1713,1.9121339026436805e-07,0.0,6.486502440696183e-05,0.0
1714,2.1035661136790752e-07,0.0,6.209979359742388e-05,0.0
1715,2.216789647085144e-07,0.0,6.288186237465457e-05,0.0
1716,2.0648389055720274e-07,0.0,6.266436061456002e-05,0.0
1717,1.4140077451786836e-07,0.0,6.21684271858872e-05,0.0
1718,1.3170844580047613e-07,0.0,7.074340932636655e-05,0.0
1719,1.2973621872041414e-07,0.0,6.820988398560855e-05,0.0
1720,1.0634330140289552e-07,0.0,6.668242973059282e-05,0.0
1721,8.720008029935603e-08,0.0,7.573174090274344e-05,0.0
1722,2.5564330568629756e-06,0.0,7.52600644773338e-05,4.6365520185125727e-08
1723,2.584629154763921e-06,0.0,8.103934045980818e-05,4.6365520185125727e-08
1724,2.552293046623585e-06,0.0,7.877646930865012e-05,4.6365520185125727e-08
1725,2.552293046623585e-06,0.0,7.204125462781772e-05,4.6365520185125727e-08
1726,2.6922258895873644e-06,0.0,7.388655129554016e-05,4.6365520185125727e-08
1727,2.7173783401224227e-06,0.0,8.644999875936524e-05,4.6365520185125727e-08
1728,2.7303374601217456e-06,0.0,8.362744067978513e-05,4.6365520185125727e-08
1729,2.6252608366559927e-07,0.0,8.300450125326668e-05,0.0
1730,2.2547502760111066e-07,0.0,8.619952183965194e-05,0.0
1731,2.4050432654933373e-07,0.0,9.277760130186965e-05,0.0
1732,2.4676285040722436e-07,0.0,9.357507120252453e-05,0.0
1733,1.2219924373977976e-07,0.0,9.577099886623078e-05,0.0
1734,9.314739658959428e-08,0.0,8.380866503492663e-05,0.0
1735,1.448575359981013e-07,0.0,8.510874977218919e-05,0.0
1736,1.5967520842049714e-07,0.0,8.743671527814254e-05,0.0
1737,2.0812660598120862e-07,0.0,7.92395330790896e-05,0.0
1738,2.421445520285813e-07,0.0,7.894213974525752e-05,0.0
1739,2.5850244307028855e-07,0.0,8.388826712949335e-05,0.0
1740,3.2071321243165585e-07,0.0,8.104082943256279e-05,0.0
1741,8.502730395321123e-07,0.0,8.27568921002759e-05,0.0
1742,7.856037801242824e-07,0.0,7.799063054595276e-05,0.0
1743,9.314072408577496e-07,0.0,8.162477908107186e-05,0.0
1744,8.96348024882952e-07,0.0,8.296024680021219e-05,0.0
1745,8.477414361607316e-07,0.0,7.836674974117029e-05,0.0
1746,8.500149069691685e-07,0.0,7.275831896030078e-05,0.0
1747,7.568394403887981e-07,0.0,7.250855404501115e-05,0.0
1748,5.387745406640729e-07,0.0,7.408157918169829e-05,0.0
1749,5.387745406640729e-07,0.0,7.499016230992441e-05,0.0
1750,4.4457901081175676e-07,0.0,6.9089192298374e-05,0.0
1751,4.4546338376757634e-07,0.0,7.193781701581819e-05,0.0
1752,5.288193776209482e-07,0.0,7.088524008785109e-05,0.0
1753,8.710722342795764e-07,0.0,6.681702922963138e-05,0.0
1754,8.710971512369627e-07,0.0,6.521281466120854e-05,0.0
1755,5.660004155519768e-07,0.0,6.127633865357243e-05,0.0
1756,6.449226465881403e-07,0.0,5.7231379157331374e-05,0.0
1757,6.327458036890578e-07,0.0,5.247175327635237e-05,0.0
1758,6.68190605830026e-07,0.0,4.586605531845375e-05,0.0
1759,6.341837543999418e-07,0.0,4.313274101670166e-05,0.0
1760,3.335751862668498e-07,0.0,4.222425455476956e-05,0.0
1761,4.376382512256376e-07,0.0,3.946653357291195e-05,0.0
1762,4.797299685118819e-07,0.0,3.912839019903913e-05,0.0
1763,4.717746021144974e-07,0.0,4.144909637813855e-05,0.0
1764,4.7223820079774927e-07,0.0,4.3063299796943155e-05,0.0
1765,5.168339133173763e-07,0.0,4.763234496100007e-05,0.0
1766,7.298563145598434e-07,0.0,5.1243070109714086e-05,0.0
1767,6.868781586685405e-07,0.0,5.26300110712847e-05,2.9445022927835194e-09
1768,7.046950137074808e-07,0.0,5.454157040471078e-05,2.9445022927835194e-09
1769,7.72893754076774e-07,0.0,5.66007209792068e-05,2.9445022927835194e-09
1770,7.624682406718161e-07,0.0,5.189847927665271e-05,2.9445022927835194e-09
1771,9.082560836759512e-07,0.0,5.2149048185258706e-05,2.9445022927835194e-09
1772,1.1355409859398996e-06,0.0,4.866277309442272e-05,2.9445022927835194e-09
1773,1.012188558239099e-06,0.0,4.468416201624288e-05,2.9445022927835194e-09
1774,1.6995077609343362e-06,0.0,4.205399896558707e-05,0.0
1775,1.6745478969174395e-06,0.0,4.29310881112802e-05,0.0
1776,1.7940984093911538e-06,0.0,4.15535055903352e-05,0.0
1777,2.1041494489639134e-06,0.0,4.437054303707555e-05,0.0
1778,2.3803865717906902e-06,0.0,4.502205566885615e-05,0.0
1779,2.314953170363359e-06,0.0,4.503848270230394e-05,0.0
1780,2.5313900745719105e-06,0.0,4.578316137277787e-05,0.0
1781,2.128430066607377e-06,0.0,4.899349369225092e-05,0.0
1782,2.5992312820173017e-06,0.0,4.7103263308859565e-05,2.1581334814462546e-09
1783,2.7970994064422224e-06,0.0,4.685338353738189e-05,2.1581334814462546e-09
1784,2.917526282025002e-06,0.0,4.738017638114148e-05,5.487077712830666e-09
1785,2.898918637583847e-06,0.0,4.557193460641429e-05,7.10520011080819e-09
1786,3.74565102642269e-06,0.0,4.311127382347227e-05,2.0506183291096088e-08
1787,3.963997154901985e-06,0.0,4.374237843356761e-05,2.0506183291096088e-08
1788,4.2962924778424035e-06,0.0,4.3426471425586245e-05,2.0506183291096088e-08
1789,4.578311583307888e-06,0.0,4.338441950884382e-05,2.0674819443757186e-08
1790,4.5036425230396815e-06,0.0,4.177901999875238e-05,2.0674819443757186e-08
1791,4.427462369806433e-06,0.0,3.846733826711508e-05,1.7345875212372774e-08
1792,4.574721612828268e-06,2.1765241038045654e-09,3.753042905633005e-05,1.681601486629753e-08
1793,4.087098432137282e-06,2.1765241038045654e-09,3.6425615689950064e-05,4.401053807104713e-09
1794,4.38022207812797e-06,2.1765241038045654e-09,3.43949756955096e-05,5.399039374306572e-09
1795,4.546430805671012e-06,2.1765241038045654e-09,3.2318012537351546e-05,6.312311498898485e-09
1796,4.325878340491077e-06,2.1765241038045654e-09,3.0491034392200944e-05,3.985541864791133e-09
1797,4.508926654775028e-06,2.1765241038045654e-09,2.7454170257052673e-05,5.686312817435432e-09
1798,4.527501394997151e-06,3.333837460063803e-09,2.5075486129415886e-05,6.264969495565051e-09
1799,4.5479865938042555e-06,1.1573133562592375e-09,2.267008611462578e-05,5.777477036466345e-09
