ngram,pain,pin,pain,pain
1500,5.487997611908213e-07,9.914121960719058e-06,5.487997611908213e-07,5.487997611908213e-07
1501,4.3903980895265704e-07,7.931297568575247e-06,4.3903980895265704e-07,4.3903980895265704e-07
1502,1.2444208058089619e-06,6.785125492569932e-06,1.2444208058089619e-06,1.2444208058089619e-06
1503,1.0666464049791102e-06,5.815821850774228e-06,1.0666464049791102e-06,1.0666464049791102e-06
1504,7.993244090747404e-07,3.357207723248783e-07,7.993244090747404e-07,7.993244090747404e-07
1505,7.53046541441498e-07,1.506093017919089e-07,7.53046541441498e-07,7.53046541441498e-07
1506,7.53046541441498e-07,1.506093017919089e-07,7.53046541441498e-07,7.53046541441498e-07
1507,7.53046541441498e-07,1.506093017919089e-07,7.53046541441498e-07,7.53046541441498e-07
1508,7.53046541441498e-07,1.506093017919089e-07,7.53046541441498e-07,7.53046541441498e-07
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.999256088198828e-06,0.0,3.999256088198828e-06,3.999256088198828e-06
1515,3.999256088198828e-06,0.0,3.999256088198828e-06,3.999256088198828e-06
1516,3.999256088198828e-06,0.0,3.999256088198828e-06,3.999256088198828e-06
1517,5.0618096533331225e-06,5.312767825671472e-07,5.0618096533331225e-06,5.0618096533331225e-06
1518,5.0618096533331225e-06,5.312767825671472e-07,5.0618096533331225e-06,5.0618096533331225e-06
1519,5.0618096533331225e-06,5.312767825671472e-07,5.0618096533331225e-06,5.0618096533331225e-06
1520,8.040923473475101e-06,1.1270995595883245e-06,8.040923473475101e-06,8.040923473475101e-06
1521,4.041667385276274e-06,1.1270995595883245e-06,4.041667385276274e-06,4.041667385276274e-06
1522,4.041667385276274e-06,1.1270995595883245e-06,4.041667385276274e-06,4.041667385276274e-06
1523,4.041667385276274e-06,1.7431445615199794e-06,4.041667385276274e-06,4.041667385276274e-06
1524,2.97911382014198e-06,3.2765458724627805e-06,2.97911382014198e-06,2.97911382014198e-06
1525,2.97911382014198e-06,3.2765458724627805e-06,2.97911382014198e-06,2.97911382014198e-06
1526,2.97911382014198e-06,3.2765458724627805e-06,2.97911382014198e-06,2.97911382014198e-06
1527,0.0,2.6807230954416028e-06,0.0,0.0
1528,0.0,2.6807230954416028e-06,0.0,0.0
1529,0.0,2.6807230954416028e-06,0.0,0.0
1530,0.0,2.064678093509948e-06,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,1.938941256542291e-05,0.0,0.0
1533,0.0,1.938941256542291e-05,0.0,0.0
1534,3.6516239301168495e-05,2.0793883257803308e-05,3.6516239301168495e-05,3.6516239301168495e-05
1535,4.178737331780472e-05,2.1170392821139622e-05,4.178737331780472e-05,4.178737331780472e-05
1536,4.178737331780472e-05,2.1170392821139622e-05,4.178737331780472e-05,4.178737331780472e-05
1537,4.178737331780472e-05,2.1170392821139622e-05,4.178737331780472e-05,4.178737331780472e-05
1538,4.178737331780472e-05,2.1170392821139622e-05,4.178737331780472e-05,4.178737331780472e-05
1539,4.178737331780472e-05,9.25198030797349e-06,4.178737331780472e-05,4.178737331780472e-05
1540,4.178737331780472e-05,9.25198030797349e-06,4.178737331780472e-05,4.178737331780472e-05
1541,5.271134016636227e-06,7.84750961559309e-06,5.271134016636227e-06,5.271134016636227e-06
1542,1.5046463366681046e-06,7.471000052256775e-06,1.5046463366681046e-06,1.5046463366681046e-06
1543,1.2913138951781938e-05,7.471000052256775e-06,1.2913138951781938e-05,1.2913138951781938e-05
1544,2.0146595098984627e-05,7.749209901573653e-06,2.0146595098984627e-05,2.0146595098984627e-05
1545,2.095035538981652e-05,7.749209901573653e-06,2.095035538981652e-05,2.095035538981652e-05
1546,2.1789473976241425e-05,2.782098493168762e-07,2.1789473976241425e-05,2.1789473976241425e-05
1547,2.1789473976241425e-05,2.782098493168762e-07,2.1789473976241425e-05,2.1789473976241425e-05
1548,2.2383957847133778e-05,2.782098493168762e-07,2.2383957847133778e-05,2.2383957847133778e-05
1549,2.0879311510465675e-05,2.782098493168762e-07,2.0879311510465675e-05,2.0879311510465675e-05
1550,1.0011164606891856e-05,2.782098493168762e-07,1.0011164606891856e-05,1.0011164606891856e-05
1551,7.500102745845132e-06,0.0,7.500102745845132e-06,7.500102745845132e-06
1552,1.6070784990266213e-05,7.211109992307943e-07,1.6070784990266213e-05,1.6070784990266213e-05
1553,1.523166640384131e-05,7.211109992307943e-07,1.523166640384131e-05,1.523166640384131e-05
1554,2.448826856899749e-05,7.211109992307943e-07,2.448826856899749e-05,2.448826856899749e-05
1555,2.3893784698105135e-05,7.211109992307943e-07,2.3893784698105135e-05,2.3893784698105135e-05
1556,2.5975537255362724e-05,7.211109992307943e-07,2.5975537255362724e-05,2.5975537255362724e-05
1557,2.543519154382271e-05,1.0066119167666849e-05,2.543519154382271e-05,2.543519154382271e-05
1558,2.139484591420374e-05,1.0066119167666849e-05,2.139484591420374e-05,2.139484591420374e-05
1559,4.1247199598209204e-05,9.345008168436055e-06,4.1247199598209204e-05,4.1247199598209204e-05
1560,5.3361836372849734e-05,9.793698414536525e-06,5.3361836372849734e-05,5.3361836372849734e-05
1561,4.4105234207693555e-05,9.793698414536525e-06,4.4105234207693555e-05,4.4105234207693555e-05
1562,4.588294879275574e-05,9.793698414536525e-06,4.588294879275574e-05,4.588294879275574e-05
1563,4.425581794618795e-05,9.793698414536525e-06,4.425581794618795e-05,4.425581794618795e-05
1564,4.425581794618795e-05,4.4869024610047094e-07,4.425581794618795e-05,4.425581794618795e-05
1565,6.583338290511165e-05,4.4869024610047094e-07,6.583338290511165e-05,6.583338290511165e-05
1566,3.6606586685853214e-05,4.4869024610047094e-07,3.6606586685853214e-05,3.6606586685853214e-05
1567,2.5174347229039995e-05,0.0,2.5174347229039995e-05,2.5174347229039995e-05
1568,2.5174347229039995e-05,0.0,2.5174347229039995e-05,2.5174347229039995e-05
1569,2.4139337970804524e-05,7.427053268267108e-07,2.4139337970804524e-05,2.4139337970804524e-05
1570,2.368471626011472e-05,7.427053268267108e-07,2.368471626011472e-05,2.368471626011472e-05
1571,2.368471626011472e-05,3.1945570039429834e-06,2.368471626011472e-05,2.368471626011472e-05
1572,1.910376918853477e-05,5.794360861597982e-06,1.910376918853477e-05,1.910376918853477e-05
1573,1.910376918853477e-05,5.794360861597982e-06,1.910376918853477e-05,1.910376918853477e-05
1574,1.8421371870707454e-05,6.88378395352629e-06,1.8421371870707454e-05,1.8421371870707454e-05
1575,2.4707770145531477e-05,6.88378395352629e-06,2.4707770145531477e-05,2.4707770145531477e-05
1576,2.576778661023127e-05,6.591759074581205e-06,2.576778661023127e-05,2.576778661023127e-05
1577,2.576778661023127e-05,6.591759074581205e-06,2.576778661023127e-05,2.576778661023127e-05
1578,3.853618168899889e-05,4.3808205094007595e-06,3.853618168899889e-05,3.853618168899889e-05
1579,2.1504269950258147e-05,1.781016651745761e-06,2.1504269950258147e-05,2.1504269950258147e-05
1580,2.2494730793758727e-05,1.781016651745761e-06,2.2494730793758727e-05,2.2494730793758727e-05
1581,2.308803816829043e-05,6.915935598174526e-07,2.308803816829043e-05,2.308803816829043e-05
1582,1.763960264205317e-05,6.915935598174526e-07,1.763960264205317e-05,1.763960264205317e-05
1583,2.0883418008971993e-05,4.812244144756863e-07,2.0883418008971993e-05,2.0883418008971993e-05
1584,2.3580752700321943e-05,4.812244144756863e-07,2.3580752700321943e-05,2.3580752700321943e-05
1585,1.1567229973609625e-05,1.7500560066504737e-06,1.1567229973609625e-05,1.1567229973609625e-05
1586,2.2422776705103127e-05,2.4689498526900673e-06,2.2422776705103127e-05,2.2422776705103127e-05
1587,2.212447498095571e-05,3.1611089720432313e-06,2.212447498095571e-05,2.212447498095571e-05
1588,2.2200673421528855e-05,3.830614787148079e-06,2.2200673421528855e-05,2.2200673421528855e-05
1589,2.322997540561898e-05,4.390794206951146e-06,2.322997540561898e-05,2.322997540561898e-05
1590,3.326202574628821e-05,4.150482904411287e-06,3.326202574628821e-05,3.326202574628821e-05
1591,3.2430425367887695e-05,4.950083296405085e-06,3.2430425367887695e-05,3.2430425367887695e-05
1592,3.28694966031305e-05,3.4403385922944707e-06,3.28694966031305e-05,3.28694966031305e-05
1593,2.4716345901002308e-05,4.061105106042565e-06,2.4716345901002308e-05,2.4716345901002308e-05
1594,3.52555025529e-05,3.704209153251473e-06,3.52555025529e-05,3.52555025529e-05
1595,3.8192373462412176e-05,3.936297519300881e-06,3.8192373462412176e-05,3.8192373462412176e-05
1596,4.1795982334796076e-05,3.3761180994978143e-06,4.1795982334796076e-05,4.1795982334796076e-05
1597,2.8533326258184388e-05,3.497180192165875e-06,2.8533326258184388e-05,2.8533326258184388e-05
1598,2.7109931124869036e-05,2.8745154655293196e-06,2.7109931124869036e-05,2.7109931124869036e-05
1599,2.992496664384297e-05,3.699893470963746e-06,2.992496664384297e-05,2.992496664384297e-05
1600,2.817340704755874e-05,3.1057756716888562e-06,2.817340704755874e-05,2.817340704755874e-05
1601,2.5536341191972106e-05,3.942455675444632e-06,2.5536341191972106e-05,2.5536341191972106e-05
1602,2.4853184640960535e-05,3.4584643669534543e-06,2.4853184640960535e-05,2.4853184640960535e-05
1603,1.9382311035899746e-05,3.4584643669534543e-06,1.9382311035899746e-05,1.9382311035899746e-05
1604,2.3015029845347662e-05,3.848213217289802e-06,2.3015029845347662e-05,2.3015029845347662e-05
1605,2.459655466477021e-05,4.3458988849514365e-06,2.459655466477021e-05,2.459655466477021e-05
1606,2.883582666462254e-05,4.481482197401679e-06,2.883582666462254e-05,2.883582666462254e-05
1607,2.7238235426401453e-05,4.48243671209119e-06,2.7238235426401453e-05,2.7238235426401453e-05
1608,2.1040116605165948e-05,3.90952631538052e-06,2.1040116605165948e-05,2.1040116605165948e-05
1609,2.0192310200530172e-05,3.680597420238233e-06,2.0192310200530172e-05,2.0192310200530172e-05
1610,2.05746549844272e-05,3.680597420238233e-06,2.05746549844272e-05,2.05746549844272e-05
1611,1.6047715267372302e-05,3.272198755764423e-06,1.6047715267372302e-05,1.6047715267372302e-05
1612,1.4561852724779914e-05,2.8665781509776674e-06,1.4561852724779914e-05,1.4561852724779914e-05
1613,7.432275034651477e-06,2.2252377951709993e-06,7.432275034651477e-06,7.432275034651477e-06
1614,1.4024469854640692e-05,1.47874071996869e-06,1.4024469854640692e-05,1.4024469854640692e-05
1615,1.2390225265335175e-05,8.797079463615123e-07,1.2390225265335175e-05,1.2390225265335175e-05
1616,1.1035660561122182e-05,6.910339688407216e-07,1.1035660561122182e-05,1.1035660561122182e-05
1617,1.2012270417471882e-05,8.145753034633734e-07,1.2012270417471882e-05,1.2012270417471882e-05
1618,1.2764671217675122e-05,9.091173020741345e-07,1.2764671217675122e-05,1.2764671217675122e-05
1619,2.426786094084881e-05,1.6529270802883339e-06,2.426786094084881e-05,2.426786094084881e-05
1620,2.4458793372364846e-05,1.7362617735930793e-06,2.4458793372364846e-05,2.4458793372364846e-05
1621,1.8401852555273634e-05,2.2715157764910795e-06,1.8401852555273634e-05,1.8401852555273634e-05
1622,2.397132298678376e-05,2.4122125929742263e-06,2.397132298678376e-05,2.397132298678376e-05
1623,2.351988811304701e-05,2.6816267839941636e-06,2.351988811304701e-05,2.351988811304701e-05
1624,2.260893003429893e-05,2.8567498345312614e-06,2.260893003429893e-05,2.260893003429893e-05
1625,2.1350142170766568e-05,3.905765879608225e-06,2.1350142170766568e-05,2.1350142170766568e-05
1626,1.252365642098344e-05,3.122577189580105e-06,1.252365642098344e-05,1.252365642098344e-05
1627,1.2811763943838222e-05,2.879392874482229e-06,1.2811763943838222e-05,1.2811763943838222e-05
1628,1.3586742430301716e-05,2.6716969939246027e-06,1.3586742430301716e-05,1.3586742430301716e-05
1629,7.750561573110254e-06,2.778588217162386e-06,7.750561573110254e-06,7.750561573110254e-06
1630,1.110360527231283e-05,2.9404190269945374e-06,1.110360527231283e-05,1.110360527231283e-05
1631,1.2922808017330162e-05,2.6984346277458826e-06,1.2922808017330162e-05,1.2922808017330162e-05
1632,1.3790250445059168e-05,1.635716573998382e-06,1.3790250445059168e-05,1.3790250445059168e-05
1633,1.1398101768073892e-05,1.5431875551387617e-06,1.1398101768073892e-05,1.1398101768073892e-05
1634,1.1034569979528897e-05,1.6302525409628288e-06,1.1034569979528897e-05,1.1034569979528897e-05
1635,1.3840323065648721e-05,1.7966126993737167e-06,1.3840323065648721e-05,1.3840323065648721e-05
1636,1.5082035133673344e-05,1.8095578947655407e-06,1.5082035133673344e-05,1.5082035133673344e-05
