ngram,consideration,consideraton,considration,consideration
1500,4.834639094042359e-05,0.0,0.0,4.834639094042359e-05
1501,3.8677112752338874e-05,0.0,0.0,3.8677112752338874e-05
1502,8.388991591345984e-05,0.0,0.0,8.388991591345984e-05
1503,0.00011652897384400214,0.0,0.0,0.00011652897384400214
1504,0.0001259482336796022,0.0,0.0,0.0001259482336796022
1505,0.00012453895552815602,0.0,0.0,0.00012453895552815602
1506,0.00012453895552815602,0.0,0.0,0.00012453895552815602
1507,0.00012453895552815602,0.0,0.0,0.00012453895552815602
1508,0.00012453895552815602,0.0,0.0,0.00012453895552815602
1509,8.02598224254325e-05,0.0,0.0,8.02598224254325e-05
1510,3.563649079296738e-05,0.0,0.0,3.563649079296738e-05
1511,2.020248627689268e-05,0.0,0.0,2.020248627689268e-05
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.570578312268481e-06,0.0,0.0,4.570578312268481e-06
1515,4.570578312268481e-06,0.0,0.0,4.570578312268481e-06
1516,4.570578312268481e-06,0.0,0.0,4.570578312268481e-06
1517,1.2008453008352912e-05,0.0,0.0,1.2008453008352912e-05
1518,1.2008453008352912e-05,0.0,0.0,1.2008453008352912e-05
1519,1.2008453008352912e-05,0.0,0.0,1.2008453008352912e-05
1520,2.154161744069175e-05,0.0,0.0,2.154161744069175e-05
1521,1.697103912842327e-05,0.0,0.0,1.697103912842327e-05
1522,1.697103912842327e-05,0.0,0.0,1.697103912842327e-05
1523,5.454978444114593e-05,0.0,0.0,5.454978444114593e-05
1524,4.711190974506151e-05,0.0,0.0,4.711190974506151e-05
1525,4.711190974506151e-05,0.0,0.0,4.711190974506151e-05
1526,5.537535305068429e-05,0.0,0.0,5.537535305068429e-05
1527,4.584218861834545e-05,0.0,0.0,4.584218861834545e-05
1528,6.570160517834925e-05,0.0,0.0,6.570160517834925e-05
1529,6.570160517834925e-05,0.0,0.0,6.570160517834925e-05
1530,3.687024166408394e-05,0.0,0.0,3.687024166408394e-05
1531,3.687024166408394e-05,0.0,0.0,3.687024166408394e-05
1532,6.302340313725705e-05,0.0,0.0,6.302340313725705e-05
1533,5.475995983163427e-05,0.0,0.0,5.475995983163427e-05
1534,6.037784260115586e-05,0.0,0.0,6.037784260115586e-05
1535,4.390701204621499e-05,0.0,0.0,4.390701204621499e-05
1536,6.940108193832981e-05,0.0,0.0,6.940108193832981e-05
1537,6.0653700139872467e-05,0.0,0.0,6.0653700139872467e-05
1538,6.383013871007799e-05,0.0,0.0,6.383013871007799e-05
1539,6.341042197683626e-05,0.0,0.0,6.341042197683626e-05
1540,6.341042197683626e-05,0.0,0.0,6.341042197683626e-05
1541,5.7792539207314674e-05,0.0,0.0,5.7792539207314674e-05
1542,6.0422538548924164e-05,0.0,0.0,6.0422538548924164e-05
1543,3.492846865680933e-05,0.0,0.0,3.492846865680933e-05
1544,3.9240721369943845e-05,0.0,0.0,3.9240721369943845e-05
1545,4.061892468598671e-05,0.0,0.0,4.061892468598671e-05
1546,2.1318722636871306e-05,0.0,0.0,2.1318722636871306e-05
1547,2.1318722636871306e-05,0.0,0.0,2.1318722636871306e-05
1548,3.67753034100003e-05,0.0,0.0,3.67753034100003e-05
1549,3.196937580339311e-05,0.0,0.0,3.196937580339311e-05
1550,6.384977197220516e-05,0.0,0.0,6.384977197220516e-05
1551,5.953751925907065e-05,0.0,0.0,5.953751925907065e-05
1552,6.219398749505802e-05,0.0,0.0,6.219398749505802e-05
1553,5.5760744804242025e-05,0.0,0.0,5.5760744804242025e-05
1554,5.5760744804242025e-05,0.0,0.0,5.5760744804242025e-05
1555,4.87179540868965e-05,0.0,0.0,4.87179540868965e-05
1556,5.2709677610047425e-05,0.0,0.0,5.2709677610047425e-05
1557,2.082928144123538e-05,0.0,0.0,2.082928144123538e-05
1558,5.1521470075905586e-05,0.0,0.0,5.1521470075905586e-05
1559,4.9468029569002935e-05,0.0,0.0,4.9468029569002935e-05
1560,5.3954931770152014e-05,0.0,0.0,5.3954931770152014e-05
1561,5.3954931770152014e-05,0.0,0.0,5.3954931770152014e-05
1562,4.731885629943073e-05,0.0,0.0,4.731885629943073e-05
1563,4.347834016828399e-05,0.0,0.0,4.347834016828399e-05
