ngram,credit,crdit,creit,credt
1500,2.0677207885455573e-05,0.0,0.0,0.0
1501,1.6541766308364457e-05,0.0,0.0,0.0
1502,2.590885348278486e-05,0.0,0.0,0.0
1503,2.220758869952988e-05,0.0,0.0,0.0
1504,3.443372926475214e-05,0.0,0.0,0.0
1505,4.4134548391282025e-05,0.0,0.0,0.0
1506,4.4134548391282025e-05,0.0,0.0,0.0
1507,4.4134548391282025e-05,0.0,0.0,0.0
1508,4.4134548391282025e-05,0.0,0.0,0.0
1509,3.374250705486962e-05,0.0,0.0,0.0
1510,3.374250705486962e-05,0.0,0.0,0.0
1511,1.8308502538794918e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,0.0,0.0,0.0
1515,2.2852891561342403e-06,0.0,0.0,0.0
1516,2.2852891561342403e-06,0.0,0.0,0.0
1517,2.2852891561342403e-06,0.0,0.0,0.0
1518,2.2852891561342403e-06,0.0,0.0,0.0
1519,2.2852891561342403e-06,0.0,0.0,0.0
1520,6.45604866024639e-06,0.0,0.0,0.0
1521,4.170759504112149e-06,0.0,0.0,0.0
1522,4.170759504112149e-06,0.0,0.0,0.0
1523,2.3268154628957355e-05,0.0,0.0,0.0
1524,2.5332832722467303e-05,0.0,0.0,0.0
1525,2.5332832722467303e-05,0.0,0.0,0.0
1526,2.5332832722467303e-05,0.0,0.0,0.0
1527,2.1162073218355154e-05,0.0,0.0,0.0
1528,2.1162073218355154e-05,0.0,0.0,0.0
1529,2.1162073218355154e-05,0.0,0.0,0.0
1530,2.064678093509948e-06,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,3.156416174273805e-06,0.0,0.0,0.0
1533,3.156416174273805e-06,0.0,0.0,0.0
1534,4.560886866654203e-06,0.0,0.0,0.0
1535,8.32598237008954e-06,0.0,0.0,0.0
1536,1.950759191718784e-05,0.0,0.0,0.0
1537,1.950759191718784e-05,0.0,0.0,0.0
1538,1.950759191718784e-05,0.0,0.0,0.0
1539,1.6351175742914036e-05,0.0,0.0,0.0
1540,1.6351175742914036e-05,0.0,0.0,0.0
1541,1.4946705050533637e-05,0.0,0.0,0.0
1542,2.1714134033702847e-05,0.0,0.0,0.0
1543,1.0532524486604547e-05,0.0,0.0,0.0
1544,1.6235826478805393e-05,0.0,0.0,0.0
1545,1.9450867642132964e-05,0.0,0.0,0.0
1546,1.9450867642132964e-05,0.0,0.0,0.0
1547,1.9450867642132964e-05,0.0,0.0,0.0
1548,2.5692948059128996e-05,0.0,0.0,0.0
1549,1.516042357252445e-05,0.0,0.0,0.0
1550,1.5700769284064465e-05,0.0,0.0,0.0
1551,1.4719861578019586e-05,0.0,0.0,0.0
1552,1.2947042413153603e-05,0.0,0.0,0.0
1553,1.2947042413153603e-05,0.0,0.0,0.0
1554,1.2947042413153603e-05,0.0,0.0,0.0
1555,8.50791700811117e-06,0.0,0.0,0.0
1556,9.548793286739965e-06,0.0,0.0,0.0
1557,9.00844757519995e-06,0.0,0.0,0.0
1558,7.696296701656788e-06,0.0,0.0,0.0
1559,9.692521286654352e-06,0.0,0.0,0.0
1560,1.8666325688952513e-05,0.0,0.0,0.0
1561,1.8666325688952513e-05,0.0,0.0,0.0
1562,1.6863370676998913e-05,0.0,0.0,0.0
1563,1.6277116109059924e-05,0.0,0.0,0.0
1564,2.263876285724109e-05,0.0,0.0,0.0
1565,2.2263921372151735e-05,0.0,0.0,0.0
1566,1.882547478869258e-05,0.0,0.0,0.0
1567,1.5310848929012927e-05,0.0,0.0,0.0
1568,1.8251930279283052e-05,0.0,0.0,0.0
1569,9.25224608831091e-05,0.0,0.0,0.0
1570,9.811188829189632e-05,0.0,0.0,0.0
1571,9.175024154371516e-05,0.0,0.0,0.0
1572,9.079468275428683e-05,0.0,0.0,0.0
1573,0.00010212036665637112,0.0,0.0,0.0
1574,9.775061120568093e-05,0.0,0.0,0.0
1575,9.606680948439004e-05,0.0,0.0,0.0
1576,2.94578466569614e-05,0.0,0.0,0.0
1577,2.341379753748437e-05,0.0,0.0,0.0
1578,3.305032214484527e-05,0.0,0.0,0.0
1579,3.4204252902522315e-05,0.0,0.0,0.0
1580,4.466870664795611e-05,0.0,0.0,0.0
1581,5.3072201548535046e-05,0.0,0.0,0.0
1582,5.432881023028001e-05,0.0,0.0,0.0
1583,5.4116892767654334e-05,0.0,0.0,0.0
1584,5.8612450759808e-05,0.0,0.0,0.0
1585,6.312978309454463e-05,0.0,0.0,0.0
1586,6.061490304481205e-05,0.0,0.0,0.0
1587,4.124732225006612e-05,0.0,0.0,0.0
1588,4.7822543820075225e-05,0.0,0.0,0.0
1589,6.342112296156952e-05,0.0,0.0,0.0
1590,7.364981697069847e-05,0.0,0.0,0.0
1591,7.47514619173931e-05,0.0,0.0,0.0
