ngram,location,loation,locaton,locaion
1500,3.1466484870179556e-05,0.0,0.0,0.0
1501,2.5173187896143646e-05,0.0,0.0,0.0
1502,2.0977656580119703e-05,0.0,0.0,0.0
1503,1.798084849724546e-05,0.0,0.0,0.0
1504,2.121390830974893e-05,0.0,0.0,0.0
1505,2.6376087979380308e-05,0.0,0.0,0.0
1506,2.6376087979380308e-05,0.0,0.0,0.0
1507,2.6376087979380308e-05,0.0,0.0,0.0
1508,2.6376087979380308e-05,0.0,0.0,0.0
1509,2.6376087979380308e-05,0.0,0.0,0.0
1510,2.6376087979380308e-05,0.0,0.0,0.0
1511,2.020248627689268e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.6563840427635502e-06,0.0,0.0,0.0
1518,2.6563840427635502e-06,0.0,0.0,0.0
1519,2.6563840427635502e-06,0.0,0.0,0.0
1520,2.6563840427635502e-06,0.0,0.0,0.0
1521,2.6563840427635502e-06,0.0,0.0,0.0
1522,5.830140902876987e-06,0.0,0.0,0.0
1523,6.446185904808642e-06,0.0,0.0,0.0
1524,3.7898018620450913e-06,0.0,0.0,0.0
1525,3.7898018620450913e-06,0.0,0.0,0.0
1526,5.696750317188812e-06,0.0,0.0,0.0
1527,5.696750317188812e-06,0.0,0.0,0.0
1528,2.3465701100836407e-05,0.0,0.0,0.0
1529,2.029194424072297e-05,0.0,0.0,0.0
1530,1.9675899238791317e-05,0.0,0.0,0.0
1531,1.9675899238791317e-05,0.0,0.0,0.0
1532,4.6279978830300805e-05,0.0,0.0,0.0
1533,4.4373030375157085e-05,0.0,0.0,0.0
1534,4.4373030375157085e-05,0.0,0.0,0.0
1535,2.6604079591509488e-05,0.0,0.0,0.0
1536,3.823295368679932e-05,0.0,0.0,0.0
1537,3.823295368679932e-05,0.0,0.0,0.0
1538,3.823295368679932e-05,0.0,0.0,0.0
1539,4.3173098155031244e-05,0.0,0.0,0.0
1540,4.3173098155031244e-05,0.0,0.0,0.0
1541,4.3173098155031244e-05,0.0,0.0,0.0
1542,4.4677744491699354e-05,0.0,0.0,0.0
1543,3.3048870396409514e-05,0.0,0.0,0.0
1544,3.3187975321067954e-05,0.0,0.0,0.0
1545,3.3187975321067954e-05,0.0,0.0,0.0
1546,1.9234574568015106e-06,0.0,0.0,0.0
1547,5.200598658510509e-06,0.0,0.0,0.0
1548,1.3820614818931582e-05,0.0,0.0,0.0
1549,1.2315968482263478e-05,0.0,0.0,0.0
1550,1.7719425662627536e-05,0.0,0.0,0.0
1551,1.7580320737969097e-05,0.0,0.0,0.0
1552,1.830143173719989e-05,0.0,0.0,0.0
1553,1.8021725541724925e-05,0.0,0.0,0.0
1554,1.4744584340015926e-05,0.0,0.0,0.0
1555,6.725553183579385e-06,0.0,0.0,0.0
1556,1.5052563412609743e-05,0.0,0.0,0.0
1557,9.649106232245686e-06,0.0,0.0,0.0
1558,1.2377300858393678e-05,0.0,0.0,0.0
1559,1.1656189859162883e-05,0.0,0.0,0.0
1560,1.1656189859162883e-05,0.0,0.0,0.0
1561,1.1656189859162883e-05,0.0,0.0,0.0
1562,1.105520485517835e-05,0.0,0.0,0.0
1563,2.7281946261479917e-06,0.0,0.0,0.0
1564,9.089841374329158e-06,0.0,0.0,0.0
1565,6.361646748181167e-06,0.0,0.0,0.0
1566,2.1591010798666893e-05,0.0,0.0,0.0
1567,2.1591010798666893e-05,0.0,0.0,0.0
1568,2.1591010798666893e-05,0.0,0.0,0.0
1569,2.1591010798666893e-05,0.0,0.0,0.0
1570,2.1591010798666893e-05,0.0,0.0,0.0
1571,1.5229364050485725e-05,0.0,0.0,0.0
1572,1.5229364050485725e-05,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,3.1240469979820773e-06,0.0,0.0,0.0
1584,3.1240469979820773e-06,0.0,0.0,0.0
1585,3.1240469979820773e-06,0.0,0.0,0.0
1586,1.3907454818503798e-05,0.0,0.0,0.0
1587,1.425353437818038e-05,0.0,0.0,0.0
1588,1.425353437818038e-05,0.0,0.0,0.0
1589,2.1722593308887944e-05,0.0,0.0,0.0
1590,1.8598546310905867e-05,0.0,0.0,0.0
1591,1.8598546310905867e-05,0.0,0.0,0.0
1592,1.8598546310905867e-05,0.0,0.0,0.0
1593,7.815138490384146e-06,0.0,0.0,0.0
1594,7.469058930707563e-06,0.0,0.0,0.0
1595,7.469058930707563e-06,0.0,0.0,0.0
1596,6.312546767211253e-07,0.0,0.0,0.0
1597,7.523167693891862e-07,0.0,0.0,0.0
1598,1.3314749237127086e-05,0.0,0.0,0.0
1599,2.062524062499246e-05,0.0,0.0,0.0
1600,2.062524062499246e-05,0.0,0.0,0.0
1601,2.1406536071871024e-05,0.0,0.0,0.0
1602,2.2554943987935466e-05,0.0,0.0,0.0
1603,2.2335799420553875e-05,0.0,0.0,0.0
1604,2.2385007647634276e-05,0.0,0.0,0.0
1605,1.0047448962982994e-05,0.0,0.0,0.0
1606,4.178399486980717e-06,0.0,0.0,0.0
1607,4.178399486980717e-06,0.0,0.0,0.0
1608,3.3971040401021516e-06,0.0,0.0,0.0
1609,2.2486961240377113e-06,0.0,0.0,0.0
1610,1.8365860146981764e-06,0.0,0.0,0.0
1611,3.3049121514393065e-06,0.0,0.0,0.0
1612,3.080038368352689e-06,0.0,0.0,0.0
1613,1.6385964564895922e-06,0.0,0.0,0.0
1614,1.6385964564895922e-06,0.0,0.0,0.0
1615,1.6385964564895922e-06,0.0,0.0,0.0
1616,1.6385964564895922e-06,0.0,0.0,0.0
1617,1.6385964564895922e-06,0.0,0.0,0.0
1618,2.264974162764182e-06,0.0,0.0,0.0
1619,2.264974162764182e-06,0.0,0.0,0.0
1620,3.574580010276155e-06,0.0,0.0,0.0
1621,3.752998005828496e-06,0.0,0.0,0.0
