ngram,stuff,stuf,stufff,suff
1500,7.017202392489708e-07,0.0,0.0,0.0
1501,5.613761913991766e-07,0.0,0.0,0.0
1502,6.435243449232075e-07,0.0,0.0,0.0
1503,5.515922956484636e-07,0.0,0.0,0.0
1504,1.506093017919089e-07,0.0,0.0,0.0
1505,1.506093017919089e-07,3.156638480764481e-07,0.0,0.0
1506,1.506093017919089e-07,3.156638480764481e-07,0.0,0.0
1507,1.506093017919089e-07,3.156638480764481e-07,0.0,0.0
1508,1.506093017919089e-07,3.156638480764481e-07,0.0,0.0
1509,0.0,3.156638480764481e-07,0.0,0.0
1510,0.0,3.156638480764481e-07,0.0,0.0
1511,0.0,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.427561908228589e-06,0.0,0.0,0.0
1515,5.427561908228589e-06,0.0,0.0,0.0
1516,5.427561908228589e-06,0.0,0.0,0.0
1517,5.427561908228589e-06,0.0,0.0,0.0
1518,5.427561908228589e-06,0.0,0.0,0.0
1519,5.427561908228589e-06,0.0,0.0,0.0
1520,6.321296106242309e-06,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,8.937341980137197e-07,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,1.4044706923803979e-06,0.0,0.0,0.0
1535,3.0772216762540794e-05,0.0,0.0,0.0
1536,3.0772216762540794e-05,0.0,0.0,0.0
1537,3.0772216762540794e-05,0.0,0.0,0.0
1538,3.0772216762540794e-05,0.0,0.0,0.0
1539,3.0772216762540794e-05,0.0,0.0,0.0
1540,3.0772216762540794e-05,0.0,0.0,0.0
1541,2.93677460701604e-05,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,2.3647836704705175e-06,0.0,0.0,0.0
1545,2.900623875185764e-06,0.0,0.0,0.0
1546,3.180330070660732e-06,0.0,0.0,0.0
1547,3.180330070660732e-06,0.0,0.0,0.0
1548,3.477572006106909e-06,0.0,0.0,0.0
1549,3.477572006106909e-06,0.0,0.0,0.0
1550,4.558263429186939e-06,0.0,0.0,0.0
1551,2.193479758716421e-06,0.0,0.0,0.0
1552,1.6576395540011748e-06,0.0,0.0,0.0
1553,1.3779333585262066e-06,0.0,0.0,0.0
1554,1.3779333585262066e-06,0.0,0.0,0.0
1555,2.88364643503363e-06,6.009850039845333e-07,0.0,0.0
1556,2.88364643503363e-06,6.009850039845333e-07,0.0,0.0
1557,1.8029550119535998e-06,6.009850039845333e-07,0.0,0.0
1558,3.167052325027596e-06,6.009850039845333e-07,0.0,0.0
1559,6.6054989084867496e-06,6.009850039845333e-07,0.0,0.0
1560,7.05418915458722e-06,6.009850039845333e-07,0.0,0.0
1561,7.05418915458722e-06,6.009850039845333e-07,0.0,0.0
1562,5.251234142633621e-06,0.0,0.0,0.0
1563,6.160477564013231e-06,4.5462171068980493e-07,0.0,0.0
1564,6.160477564013231e-06,4.5462171068980493e-07,0.0,0.0
1565,5.80818089344705e-06,4.5462171068980493e-07,0.0,0.0
1566,2.369734309987897e-06,4.5462171068980493e-07,0.0,0.0
1567,1.921044063887426e-06,4.5462171068980493e-07,0.0,0.0
1568,1.921044063887426e-06,4.5462171068980493e-07,0.0,0.0
1569,2.6637493907141367e-06,4.5462171068980493e-07,0.0,0.0
1570,1.7545059693345268e-06,0.0,0.0,0.0
1571,1.7545059693345268e-06,0.0,0.0,0.0
1572,1.2626661113504918e-06,0.0,0.0,0.0
1573,1.2626661113504918e-06,0.0,0.0,0.0
1574,1.807377657314646e-06,5.447115459641541e-07,0.0,0.0
1575,1.807377657314646e-06,5.447115459641541e-07,0.0,0.0
1576,1.5153527783695608e-06,5.447115459641541e-07,0.0,0.0
1577,1.5153527783695608e-06,5.447115459641541e-07,0.0,0.0
1578,3.924483930209785e-06,5.447115459641541e-07,0.0,0.0
1579,5.344787561105997e-06,5.447115459641541e-07,0.0,0.0
1580,5.344787561105997e-06,5.447115459641541e-07,0.0,0.0
1581,4.800076015141842e-06,0.0,0.0,5.933073745317026e-07
1582,5.638038763728608e-06,0.0,0.0,1.0122887488250853e-06
1583,5.427669618386842e-06,0.0,0.0,1.0122887488250853e-06
1584,6.326781203824794e-06,0.0,0.0,1.0122887488250853e-06
1585,4.106368139998397e-06,0.0,0.0,1.0122887488250853e-06
1586,2.166103724578404e-06,0.0,0.0,1.0122887488250853e-06
1587,2.166103724578404e-06,0.0,0.0,1.0122887488250853e-06
1588,2.166103724578404e-06,0.0,0.0,4.189813742933828e-07
1589,2.2617733423300834e-06,0.0,0.0,0.0
1590,2.8013889569982505e-06,0.0,0.0,0.0
1591,1.9022773715602983e-06,0.0,0.0,0.0
1592,4.698418251791736e-06,0.0,0.0,0.0
1593,5.81480194991205e-06,0.0,0.0,0.0
1594,7.155854616160338e-06,0.0,0.0,0.0
1595,7.606651706737466e-06,0.0,0.0,0.0
1596,6.673019340399021e-06,0.0,0.0,0.0
1597,6.740527104349374e-06,0.0,0.0,0.0
1598,7.005930602385238e-06,0.0,0.0,0.0
1599,4.256893930687511e-06,0.0,0.0,0.0
1600,3.460028486707805e-06,0.0,0.0,0.0
1601,2.704947405618441e-06,0.0,0.0,0.0
1602,2.3585510332070825e-06,0.0,0.0,0.0
1603,2.3585510332070825e-06,0.0,0.0,0.0
1604,1.8516569915456266e-06,0.0,0.0,0.0
1605,1.5862534935097626e-06,0.0,0.0,0.0
1606,1.991072053897369e-06,0.0,0.0,0.0
1607,1.671553799756761e-06,0.0,0.0,0.0
1608,2.2836477618121923e-06,0.0,0.0,0.0
1609,2.3679210211672138e-06,0.0,0.0,0.0
1610,3.387507133213928e-06,0.0,0.0,0.0
1611,3.251791050778203e-06,0.0,0.0,0.0
1612,3.7897925072424447e-06,0.0,0.0,0.0
1613,4.267825066303235e-06,0.0,0.0,0.0
1614,4.927044561294938e-06,0.0,0.0,0.0
1615,5.252752024326972e-06,0.0,0.0,0.0
1616,5.064078046806182e-06,0.0,0.0,0.0
1617,4.291574604004771e-06,0.0,0.0,0.0
1618,4.0867500469435725e-06,0.0,0.0,0.0
1619,7.149852584526732e-06,0.0,0.0,3.3760349132145553e-07
1620,6.837090479296291e-06,1.0073891384568664e-07,0.0,3.3760349132145553e-07
1621,6.356288979856929e-06,1.0073891384568664e-07,0.0,5.160214868737967e-07
1622,7.927846062167581e-06,1.0073891384568664e-07,0.0,5.8636989511537e-07
1623,8.466674444207456e-06,1.0073891384568664e-07,0.0,5.8636989511537e-07
1624,9.862245877099798e-06,1.0073891384568664e-07,0.0,5.8636989511537e-07
1625,9.862245877099798e-06,1.0073891384568664e-07,0.0,5.8636989511537e-07
1626,6.490763699470595e-06,1.0073891384568664e-07,0.0,2.4876640379391445e-07
1627,5.684852388705102e-06,0.0,0.0,2.4876640379391445e-07
1628,5.506434393152761e-06,6.55116260921724e-08,0.0,2.013716604259181e-07
1629,2.41110430059572e-06,6.55116260921724e-08,0.0,2.1355259605115862e-07
1630,2.131022906074317e-06,6.55116260921724e-08,0.0,2.1355259605115862e-07
1631,8.284487194032408e-07,6.55116260921724e-08,0.0,2.1355259605115862e-07
1632,8.284487194032408e-07,6.55116260921724e-08,0.0,2.1355259605115862e-07
1633,1.010105279419804e-06,6.55116260921724e-08,0.0,2.1355259605115862e-07
1634,1.010105279419804e-06,6.55116260921724e-08,0.0,2.1355259605115862e-07
1635,1.4217038629534988e-06,0.0,0.0,8.252934386681382e-08
1636,1.6822370980662527e-06,0.0,0.0,1.736888179948437e-07
1637,2.0819312729664877e-06,0.0,0.0,1.736888179948437e-07
1638,1.8091863946015759e-06,0.0,0.0,1.736888179948437e-07
1639,1.8870566244848824e-06,0.0,0.0,1.736888179948437e-07
1640,1.5785863029447813e-06,0.0,0.0,2.764968728895058e-07
1641,1.7577525690220291e-06,0.0,0.0,3.3621896022850706e-07
1642,2.101802851127234e-06,0.0,0.0,3.3621896022850706e-07
1643,2.1122369641294166e-06,0.0,0.0,3.431750355632955e-07
1644,1.5454572681911877e-06,0.0,0.0,3.431750355632955e-07
1645,1.920173718060271e-06,0.0,0.0,3.922918665466568e-07
1646,2.2452571296785858e-06,0.0,0.0,3.922918665466568e-07
1647,2.142449074783924e-06,0.0,0.0,2.8948381165199475e-07
