ngram,audience,audience,adience,audince
1500,2.3390674641632359e-07,2.3390674641632359e-07,0.0,0.0
1501,1.8712539713305886e-07,1.8712539713305886e-07,0.0,0.0
1502,1.5593783094421573e-07,1.5593783094421573e-07,0.0,0.0
1503,1.336609979521849e-07,1.336609979521849e-07,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1506,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1507,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1508,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1509,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1510,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1511,6.313276961528962e-07,6.313276961528962e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1515,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1516,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1517,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1518,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1519,2.1424585221601384e-05,2.1424585221601384e-05,0.0,0.0
1520,2.2914142131672372e-05,2.2914142131672372e-05,0.0,0.0
1521,1.48955691007099e-06,1.48955691007099e-06,0.0,0.0
1522,7.837070630297863e-06,7.837070630297863e-06,0.0,0.0
1523,1.091729557499223e-05,1.091729557499223e-05,0.0,0.0
1524,1.091729557499223e-05,1.091729557499223e-05,0.0,0.0
1525,1.091729557499223e-05,1.091729557499223e-05,0.0,0.0
1526,1.1552945060040137e-05,1.1552945060040137e-05,0.0,0.0
1527,1.0063388149969146e-05,1.0063388149969146e-05,0.0,0.0
1528,1.0063388149969146e-05,1.0063388149969146e-05,0.0,0.0
1529,3.7158744297422734e-06,3.7158744297422734e-06,0.0,0.0
1530,6.356494850479066e-07,6.356494850479066e-07,0.0,0.0
1531,6.380497714936999e-06,6.380497714936999e-06,0.0,0.0
1532,6.380497714936999e-06,6.380497714936999e-06,0.0,0.0
1533,5.744848229889092e-06,5.744848229889092e-06,0.0,0.0
1534,5.744848229889092e-06,5.744848229889092e-06,0.0,0.0
1535,1.929919225014081e-05,1.929919225014081e-05,0.0,0.0
1536,1.929919225014081e-05,1.929919225014081e-05,0.0,0.0
1537,1.929919225014081e-05,1.929919225014081e-05,0.0,0.0
1538,1.3554344020251716e-05,1.3554344020251716e-05,0.0,0.0
1539,1.3554344020251716e-05,1.3554344020251716e-05,0.0,0.0
1540,1.3554344020251716e-05,1.3554344020251716e-05,0.0,0.0
1541,1.3554344020251716e-05,1.3554344020251716e-05,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.1128394232530678e-05,1.1128394232530678e-05,0.0,0.0
1545,1.2735914814194465e-05,1.2735914814194465e-05,0.0,0.0
1546,1.4134445856533212e-05,1.4134445856533212e-05,0.0,0.0
1547,1.4134445856533212e-05,1.4134445856533212e-05,0.0,0.0
1548,1.4134445856533212e-05,1.4134445856533212e-05,0.0,0.0
1549,1.4134445856533212e-05,1.4134445856533212e-05,0.0,0.0
1550,1.4674791568073228e-05,1.4674791568073228e-05,0.0,0.0
1551,3.546397335542549e-06,3.546397335542549e-06,0.0,0.0
1552,1.9388767538787633e-06,1.9388767538787633e-06,0.0,0.0
1553,5.40345711540015e-07,5.40345711540015e-07,0.0,0.0
1554,5.40345711540015e-07,5.40345711540015e-07,0.0,0.0
1555,1.1413307155245484e-06,1.1413307155245484e-06,0.0,0.0
1556,1.1413307155245484e-06,1.1413307155245484e-06,0.0,0.0
1557,6.009850039845333e-07,6.009850039845333e-07,0.0,0.0
1558,1.9650823170585293e-06,1.9650823170585293e-06,0.0,0.0
1559,1.9650823170585293e-06,1.9650823170585293e-06,0.0,0.0
1560,4.657223793661355e-06,4.657223793661355e-06,0.0,0.0
1561,4.657223793661355e-06,4.657223793661355e-06,0.0,0.0
1562,4.056238789676822e-06,4.056238789676822e-06,0.0,0.0
1563,4.056238789676822e-06,4.056238789676822e-06,0.0,0.0
1564,1.0417885537857988e-05,1.0417885537857988e-05,0.0,0.0
1565,9.053788224783993e-06,9.053788224783993e-06,0.0,0.0
1566,9.053788224783993e-06,9.053788224783993e-06,0.0,0.0
1567,1.4550414821964555e-05,1.4550414821964555e-05,0.0,0.0
1568,1.4550414821964555e-05,1.4550414821964555e-05,0.0,0.0
1569,1.5293120148791267e-05,1.5293120148791267e-05,0.0,0.0
1570,1.6804132428660523e-05,1.6804132428660523e-05,0.0,0.0
1571,1.0442485680479357e-05,1.0442485680479357e-05,0.0,0.0
1572,1.2002368099014607e-05,1.2002368099014607e-05,0.0,0.0
1573,1.2002368099014607e-05,1.2002368099014607e-05,0.0,0.0
1574,4.903023117159526e-06,4.903023117159526e-06,0.0,0.0
1575,4.903023117159526e-06,4.903023117159526e-06,0.0,0.0
1576,7.76576137338582e-06,7.76576137338582e-06,0.0,0.0
1577,6.254749093516564e-06,6.254749093516564e-06,0.0,0.0
1578,1.1313924590337723e-05,1.1313924590337723e-05,0.0,0.0
1579,1.1694306587222464e-05,1.1694306587222464e-05,0.0,0.0
1580,1.2684767430723046e-05,1.2684767430723046e-05,0.0,0.0
1581,1.218865171332644e-05,1.218865171332644e-05,0.0,0.0
1582,1.2607633087619824e-05,1.2607633087619824e-05,0.0,0.0
1583,1.0444057319805974e-05,1.0444057319805974e-05,0.0,0.0
1584,1.0444057319805974e-05,1.0444057319805974e-05,0.0,0.0
1585,6.139754175040123e-06,6.139754175040123e-06,0.0,0.0
1586,4.918383605659723e-06,4.918383605659723e-06,0.0,0.0
1587,4.966161441188888e-06,4.966161441188888e-06,0.0,0.0
1588,1.2406923847915355e-05,1.2406923847915355e-05,0.0,0.0
1589,1.2734848366692728e-05,1.2734848366692728e-05,0.0,0.0
1590,1.2852834385869625e-05,1.2852834385869625e-05,0.0,0.0
1591,1.7383903208870572e-05,1.7383903208870572e-05,2.6653346399793267e-07,0.0
1592,1.8419946237762425e-05,1.8419946237762425e-05,2.6653346399793267e-07,0.0
1593,1.8594159298247958e-05,1.8594159298247958e-05,2.6653346399793267e-07,0.0
1594,1.8058815385302296e-05,1.8058815385302296e-05,2.6653346399793267e-07,0.0
1595,1.318032530304793e-05,1.318032530304793e-05,2.6653346399793267e-07,0.0
1596,1.3064674086698297e-05,1.3064674086698297e-05,2.6653346399793267e-07,0.0
1597,1.3320751674785112e-05,1.3320751674785112e-05,2.6653346399793267e-07,0.0
