ngram,audience,audience,adience,audince
1598,9.187788106958448e-06,9.187788106958448e-06,0.0,0.0
1599,1.1523762883111236e-05,1.1523762883111236e-05,0.0,0.0
1600,1.1908728993148543e-05,1.1908728993148543e-05,0.0,0.0
1601,1.4921663738018001e-05,1.4921663738018001e-05,0.0,0.0
1602,1.385409833736568e-05,1.385409833736568e-05,0.0,0.0
1603,1.5695504316681763e-05,1.5695504316681763e-05,0.0,0.0
1604,6.01931011650387e-05,6.01931011650387e-05,0.0,0.0
1605,6.283079203837718e-05,6.283079203837718e-05,0.0,0.0
1606,6.070590461604297e-05,6.070590461604297e-05,0.0,0.0
1607,6.241381990028978e-05,6.241381990028978e-05,0.0,0.0
1608,6.0894766387978704e-05,6.0894766387978704e-05,0.0,0.0
1609,6.107083988484061e-05,6.107083988484061e-05,0.0,0.0
1610,6.00001100922652e-05,6.00001100922652e-05,0.0,0.0
1611,1.5427590499582167e-05,1.5427590499582167e-05,0.0,0.0
1612,1.3198796555765771e-05,1.3198796555765771e-05,0.0,0.0
1613,1.710978163568403e-05,1.710978163568403e-05,0.0,0.0
1614,1.4453403082370642e-05,1.4453403082370642e-05,0.0,0.0
1615,1.3599456808931012e-05,1.3599456808931012e-05,0.0,0.0
1616,1.2056218078474298e-05,1.2056218078474298e-05,0.0,0.0
1617,1.3001572467276543e-05,1.3001572467276543e-05,0.0,0.0
1618,3.0266651882422074e-05,3.0266651882422074e-05,0.0,0.0
1619,3.081006366301153e-05,3.081006366301153e-05,0.0,0.0
1620,3.043771601239444e-05,3.043771601239444e-05,0.0,0.0
1621,3.2962794193736045e-05,3.2962794193736045e-05,0.0,0.0
1622,3.322693263336467e-05,3.322693263336467e-05,0.0,0.0
1623,3.412256877969152e-05,3.412256877969152e-05,0.0,0.0
1624,3.311927321192343e-05,3.311927321192343e-05,0.0,0.0
1625,1.535915544081945e-05,1.535915544081945e-05,0.0,0.0
1626,1.607533782329743e-05,1.607533782329743e-05,0.0,0.0
1627,1.1493325733421703e-05,1.1493325733421703e-05,0.0,0.0
1628,9.686823822059004e-06,9.686823822059004e-06,0.0,0.0
1629,2.7426662849653178e-05,2.7426662849653178e-05,0.0,0.0
1630,2.6758916646940634e-05,2.6758916646940634e-05,0.0,0.0
1631,2.6435166676362443e-05,2.6435166676362443e-05,0.0,0.0
1632,3.105326894521048e-05,3.105326894521048e-05,0.0,0.0
1633,2.9946322164115763e-05,2.9946322164115763e-05,0.0,0.0
1634,3.0592130185271215e-05,3.0592130185271215e-05,0.0,0.0
1635,3.069642012373411e-05,3.069642012373411e-05,0.0,0.0
1636,1.4241789488421222e-05,1.4241789488421222e-05,0.0,0.0
1637,1.4024651786063e-05,1.4024651786063e-05,0.0,0.0
1638,1.3812432501124152e-05,1.3812432501124152e-05,0.0,0.0
1639,8.72706219264988e-06,8.72706219264988e-06,0.0,0.0
1640,8.487069018363919e-06,8.487069018363919e-06,0.0,0.0
1641,1.0227069716555498e-05,1.0227069716555498e-05,0.0,0.0
1642,1.0369991741754347e-05,1.0369991741754347e-05,0.0,0.0
1643,8.58103963504878e-06,8.58103963504878e-06,0.0,0.0
1644,8.216084194957927e-06,8.216084194957927e-06,0.0,0.0
1645,8.292166739920503e-06,8.292166739920503e-06,0.0,0.0
1646,8.52084859356442e-06,8.52084859356442e-06,0.0,0.0
1647,9.98614876022787e-06,9.98614876022787e-06,0.0,0.0
1648,6.916807381328129e-06,6.916807381328129e-06,0.0,0.0
1649,6.5601426675649625e-06,6.5601426675649625e-06,0.0,0.0
1650,6.359640402869056e-06,6.359640402869056e-06,0.0,0.0
1651,6.680995836307245e-06,6.680995836307245e-06,0.0,0.0
1652,7.244349132763871e-06,7.244349132763871e-06,0.0,0.0
1653,7.216850105708415e-06,7.216850105708415e-06,0.0,0.0
1654,6.815670563550416e-06,6.815670563550416e-06,0.0,0.0
1655,6.83109036409795e-06,6.83109036409795e-06,0.0,0.0
1656,6.7078890424454585e-06,6.7078890424454585e-06,0.0,0.0
1657,6.8671042754431255e-06,6.8671042754431255e-06,0.0,0.0
1658,6.608028050842611e-06,6.608028050842611e-06,0.0,0.0
1659,6.672429500602968e-06,6.672429500602968e-06,0.0,0.0
1660,6.333942792480229e-06,6.333942792480229e-06,0.0,0.0
1661,5.62513231930747e-06,5.62513231930747e-06,0.0,0.0
1662,5.984214859771393e-06,5.984214859771393e-06,0.0,0.0
1663,6.0884126144498755e-06,6.0884126144498755e-06,0.0,0.0
1664,6.916503447687969e-06,6.916503447687969e-06,0.0,0.0
1665,7.898510115670174e-06,7.898510115670174e-06,0.0,0.0
1666,8.384072316403035e-06,8.384072316403035e-06,0.0,0.0
1667,8.35926792725721e-06,8.35926792725721e-06,0.0,0.0
1668,8.290625373774674e-06,8.290625373774674e-06,0.0,0.0
1669,8.449788115935267e-06,8.449788115935267e-06,0.0,0.0
1670,7.993848417494778e-06,7.993848417494778e-06,0.0,0.0
1671,6.694922084144699e-06,6.694922084144699e-06,0.0,0.0
1672,5.505395750203336e-06,5.505395750203336e-06,0.0,0.0
1673,4.299747680696393e-06,4.299747680696393e-06,0.0,0.0
1674,4.4964167500438634e-06,4.4964167500438634e-06,0.0,0.0
1675,5.034425287573997e-06,5.034425287573997e-06,0.0,0.0
1676,4.8698624206216275e-06,4.8698624206216275e-06,0.0,0.0
1677,4.876279198080218e-06,4.876279198080218e-06,0.0,0.0
1678,5.1026529815447115e-06,5.1026529815447115e-06,0.0,0.0
1679,5.711831265996027e-06,5.711831265996027e-06,0.0,0.0
1680,5.499321137644334e-06,5.499321137644334e-06,0.0,0.0
1681,5.267830114722269e-06,5.267830114722269e-06,0.0,0.0
1682,4.227523407150459e-06,4.227523407150459e-06,0.0,0.0
1683,4.024670358506098e-06,4.024670358506098e-06,0.0,0.0
1684,3.7882362156389197e-06,3.7882362156389197e-06,0.0,0.0
1685,3.696112133054287e-06,3.696112133054287e-06,0.0,0.0
1686,3.2799665307590786e-06,3.2799665307590786e-06,0.0,0.0
1687,2.8243050727334255e-06,2.8243050727334255e-06,0.0,0.0
1688,2.8948150786943316e-06,2.8948150786943316e-06,0.0,0.0
1689,2.8327856235981538e-06,2.8327856235981538e-06,0.0,0.0
1690,2.682225109700604e-06,2.682225109700604e-06,0.0,0.0
1691,2.693113011836041e-06,2.693113011836041e-06,0.0,0.0
1692,2.664790339882269e-06,2.664790339882269e-06,0.0,0.0
1693,2.3757570245054793e-06,2.3757570245054793e-06,0.0,0.0
1694,2.6423255690133374e-06,2.6423255690133374e-06,0.0,0.0
1695,2.284672754220602e-06,2.284672754220602e-06,0.0,0.0
1696,2.0788655693390216e-06,2.0788655693390216e-06,0.0,0.0
1697,3.125249065760727e-06,3.125249065760727e-06,0.0,0.0
1698,3.0154150424875425e-06,3.0154150424875425e-06,0.0,0.0
1699,2.649081498670317e-06,2.649081498670317e-06,0.0,0.0
1700,2.8226273392257487e-06,2.8226273392257487e-06,0.0,0.0
1701,2.461458807699403e-06,2.461458807699403e-06,0.0,0.0
1702,2.4544734011604826e-06,2.4544734011604826e-06,0.0,0.0
1703,2.2955726909198608e-06,2.2955726909198608e-06,0.0,0.0
1704,9.75728659519908e-07,9.75728659519908e-07,0.0,0.0
1705,1.0515316485485267e-06,1.0515316485485267e-06,0.0,0.0
1706,1.474605416059863e-06,1.474605416059863e-06,0.0,0.0
1707,1.3093317789980574e-06,1.3093317789980574e-06,0.0,0.0
1708,1.617936843802324e-06,1.617936843802324e-06,0.0,0.0
1709,1.414468115967793e-06,1.414468115967793e-06,0.0,0.0
1710,1.664265090945654e-06,1.664265090945654e-06,0.0,0.0
1711,1.7341725180943155e-06,1.7341725180943155e-06,0.0,0.0
1712,1.6321772104025252e-06,1.6321772104025252e-06,0.0,0.0
1713,1.2406782648862906e-06,1.2406782648862906e-06,0.0,0.0
1714,1.2410038315075717e-06,1.2410038315075717e-06,0.0,0.0
1715,1.0392667328622856e-06,1.0392667328622856e-06,0.0,0.0
1716,1.0879159942435633e-06,1.0879159942435633e-06,0.0,0.0
1717,1.0435625361943884e-06,1.0435625361943884e-06,0.0,0.0
1718,3.6272376503023096e-06,3.6272376503023096e-06,0.0,0.0
1719,4.098072086630314e-06,4.098072086630314e-06,0.0,0.0
1720,4.896281471441658e-06,4.896281471441658e-06,0.0,0.0
1721,6.085047760149921e-06,6.085047760149921e-06,0.0,0.0
1722,6.273738157298274e-06,6.273738157298274e-06,0.0,0.0
1723,6.85723421156581e-06,6.85723421156581e-06,0.0,0.0
1724,7.367076380303063e-06,7.367076380303063e-06,0.0,0.0
1725,5.321171296860225e-06,5.321171296860225e-06,0.0,0.0
1726,5.169665038400646e-06,5.169665038400646e-06,0.0,0.0
1727,4.571849363596162e-06,4.571849363596162e-06,0.0,0.0
1728,4.4154013331925464e-06,4.4154013331925464e-06,0.0,0.0
1729,4.925571667107371e-06,4.925571667107371e-06,0.0,0.0
1730,5.011208583839886e-06,5.011208583839886e-06,0.0,0.0
1731,4.553037927377902e-06,4.553037927377902e-06,0.0,0.0
1732,4.265997209326347e-06,4.265997209326347e-06,0.0,0.0
1733,4.66695766070708e-06,4.66695766070708e-06,0.0,0.0
1734,5.414066046276795e-06,5.414066046276795e-06,0.0,0.0
1735,4.862103196501266e-06,4.862103196501266e-06,0.0,0.0
1736,4.644754621300048e-06,4.644754621300048e-06,0.0,0.0
1737,6.126934489917143e-06,6.126934489917143e-06,0.0,0.0
1738,7.3686823205727185e-06,7.3686823205727185e-06,0.0,0.0
1739,1.1108138551207958e-05,1.1108138551207958e-05,0.0,0.0
1740,1.0983019884796314e-05,1.0983019884796314e-05,0.0,0.0
1741,1.0366379683546256e-05,1.0366379683546256e-05,0.0,0.0
1742,1.0702250230159344e-05,1.0702250230159344e-05,0.0,0.0
1743,1.108653473888158e-05,1.108653473888158e-05,0.0,0.0
1744,1.0610342022638569e-05,1.0610342022638569e-05,0.0,0.0
1745,1.0397491158593247e-05,1.0397491158593247e-05,0.0,0.0
1746,7.908049415813626e-06,7.908049415813626e-06,0.0,0.0
1747,1.012396985190987e-05,1.012396985190987e-05,0.0,0.0
1748,1.0915663096966455e-05,1.0915663096966455e-05,0.0,7.279463635053876e-09
1749,1.1769156701900232e-05,1.1769156701900232e-05,0.0,7.279463635053876e-09
1750,1.3162370903176321e-05,1.3162370903176321e-05,0.0,7.279463635053876e-09
1751,1.4113370525592472e-05,1.4113370525592472e-05,0.0,7.279463635053876e-09
1752,1.484751153059603e-05,1.484751153059603e-05,0.0,7.279463635053876e-09
1753,1.5075132978381589e-05,1.5075132978381589e-05,0.0,7.279463635053876e-09
1754,1.4711874298102754e-05,1.4711874298102754e-05,0.0,7.279463635053876e-09
1755,1.7438342313523337e-05,1.7438342313523337e-05,0.0,0.0
1756,2.019086124554243e-05,2.019086124554243e-05,0.0,0.0
1757,2.2202275561409935e-05,2.2202275561409935e-05,0.0,0.0
1758,2.3253230470540336e-05,2.3253230470540336e-05,0.0,0.0
1759,2.443281378613652e-05,2.443281378613652e-05,0.0,0.0
1760,2.5691096587771816e-05,2.5691096587771816e-05,0.0,0.0
1761,2.5085854628871728e-05,2.5085854628871728e-05,0.0,0.0
1762,2.3293056593891898e-05,2.3293056593891898e-05,0.0,0.0
1763,2.2038194012046525e-05,2.2038194012046525e-05,0.0,0.0
1764,2.1302648227512172e-05,2.1302648227512172e-05,0.0,0.0
1765,2.074668814852235e-05,2.074668814852235e-05,0.0,0.0
1766,2.0972746954482447e-05,2.0972746954482447e-05,0.0,0.0
1767,2.225378687268988e-05,2.225378687268988e-05,0.0,0.0
1768,2.2544892479865147e-05,2.2544892479865147e-05,0.0,0.0
1769,2.346099816869745e-05,2.346099816869745e-05,0.0,0.0
1770,2.2924341465113685e-05,2.2924341465113685e-05,0.0,0.0
1771,2.2183726416967276e-05,2.2183726416967276e-05,0.0,0.0
1772,2.211417423885515e-05,2.211417423885515e-05,0.0,0.0
1773,2.1855079207203483e-05,2.1855079207203483e-05,0.0,0.0
1774,1.9819858217878e-05,1.9819858217878e-05,0.0,0.0
1775,2.1624582067098735e-05,2.1624582067098735e-05,0.0,0.0
1776,2.1782797505563523e-05,2.1782797505563523e-05,0.0,0.0
1777,2.317046138549423e-05,2.317046138549423e-05,0.0,0.0
1778,2.4715188763886025e-05,2.4715188763886025e-05,0.0,0.0
1779,2.410785782558378e-05,2.410785782558378e-05,0.0,2.5616857206906776e-09
1780,2.470706281850913e-05,2.470706281850913e-05,0.0,2.5616857206906776e-09
1781,2.633097470347171e-05,2.633097470347171e-05,0.0,2.5616857206906776e-09
1782,2.5270778028893153e-05,2.5270778028893153e-05,0.0,2.5616857206906776e-09
1783,2.498760659364052e-05,2.498760659364052e-05,0.0,2.5616857206906776e-09
1784,2.412421781627927e-05,2.412421781627927e-05,0.0,2.5616857206906776e-09
1785,2.320113656294e-05,2.320113656294e-05,0.0,2.5616857206906776e-09
1786,2.339540411152744e-05,2.339540411152744e-05,0.0,0.0
1787,2.2973592422204092e-05,2.2973592422204092e-05,0.0,0.0
1788,2.1616955824096556e-05,2.1616955824096556e-05,0.0,0.0
1789,2.145828745727028e-05,2.145828745727028e-05,0.0,0.0
1790,2.19344391163239e-05,2.19344391163239e-05,0.0,0.0
1791,2.120072089642885e-05,2.120072089642885e-05,0.0,0.0
1792,2.0896316138013e-05,2.0896316138013e-05,0.0,1.0882620519022827e-09
1793,2.1147150619071908e-05,2.1147150619071908e-05,0.0,1.0882620519022827e-09
1794,2.0998163433562566e-05,2.0998163433562566e-05,0.0,1.0882620519022827e-09
1795,2.1345533501257057e-05,2.1345533501257057e-05,0.0,1.0882620519022827e-09
1796,2.1997098364019102e-05,2.1997098364019102e-05,0.0,1.0882620519022827e-09
1797,2.1953662196340573e-05,2.1953662196340573e-05,0.0,1.0882620519022827e-09
1798,2.256768623608098e-05,2.256768623608098e-05,0.0,1.0882620519022827e-09
1799,2.2380632539612373e-05,2.2380632539612373e-05,0.0,0.0
1800,2.1973363930426005e-05,2.1973363930426005e-05,4.116639093102289e-10,0.0
1801,2.1987106655225424e-05,2.1987106655225424e-05,4.116639093102289e-10,0.0
1802,2.2423323701202336e-05,2.2423323701202336e-05,1.2799175053146428e-09,4.341267980022069e-10
1803,2.2698567980634315e-05,2.2698567980634315e-05,1.2799175053146428e-09,4.341267980022069e-10
1804,2.23582361026534e-05,2.23582361026534e-05,1.2799175053146428e-09,4.341267980022069e-10
1805,2.3300147534298177e-05,2.3300147534298177e-05,1.2799175053146428e-09,4.341267980022069e-10
1806,2.2950983683196163e-05,2.2950983683196163e-05,1.2799175053146428e-09,4.341267980022069e-10
1807,2.3594714938164024e-05,2.3594714938164024e-05,8.682535960044138e-10,4.341267980022069e-10
1808,2.3368769689113833e-05,2.3368769689113833e-05,1.1036167852600848e-09,9.048531765135489e-10
1809,2.2984373312543278e-05,2.2984373312543278e-05,2.35363189255671e-10,4.70726378511342e-10
1810,2.192853363729747e-05,2.192853363729747e-05,2.35363189255671e-10,4.70726378511342e-10
1811,2.136300801274566e-05,2.136300801274566e-05,2.35363189255671e-10,4.70726378511342e-10
1812,1.96150057100957e-05,1.96150057100957e-05,2.35363189255671e-10,4.70726378511342e-10
1813,1.9321026619374087e-05,1.9321026619374087e-05,2.35363189255671e-10,6.647057824795053e-10
1814,1.940134825417772e-05,1.940134825417772e-05,2.35363189255671e-10,6.647057824795053e-10
1815,1.9219145802448372e-05,1.9219145802448372e-05,1.9314070977470366e-10,1.9397940396816337e-10
1816,1.9117901891669525e-05,1.9117901891669525e-05,1.9314070977470366e-10,1.9397940396816337e-10
1817,1.969456700732865e-05,1.969456700732865e-05,1.9314070977470366e-10,1.9397940396816337e-10
1818,2.064494713392508e-05,2.064494713392508e-05,1.9314070977470366e-10,1.9397940396816337e-10
1819,2.1564532029775103e-05,2.1564532029775103e-05,1.9314070977470366e-10,1.9397940396816337e-10
1820,2.268709223634297e-05,2.268709223634297e-05,1.9314070977470366e-10,0.0
1821,2.2459034620884006e-05,2.2459034620884006e-05,1.9314070977470366e-10,0.0
1822,2.297663065421927e-05,2.297663065421927e-05,7.486134252181792e-10,0.0
1823,2.363432213314809e-05,2.363432213314809e-05,7.486134252181792e-10,1.4046276840064464e-10
1824,2.3838913486023167e-05,2.3838913486023167e-05,8.827334418981536e-10,1.4046276840064464e-10
1825,2.325813927330143e-05,2.325813927330143e-05,1.0093502462409682e-09,1.4046276840064464e-10
1826,2.2592731641322773e-05,2.2592731641322773e-05,1.12784848920506e-09,2.5896101136473655e-10
1827,2.1866779986469608e-05,2.1866779986469608e-05,1.8598427639230204e-09,2.5896101136473655e-10
1828,2.1643434073277084e-05,2.1643434073277084e-05,1.9701720731037297e-09,2.5896101136473655e-10
1829,2.0437594814991045e-05,2.0437594814991045e-05,1.2918329263454454e-09,3.292352898246317e-10
1830,1.9644423965863617e-05,1.9644423965863617e-05,1.2918329263454454e-09,1.8877252142398707e-10
1831,1.88913969135943e-05,1.88913969135943e-05,1.157712909665471e-09,2.816671816420678e-10
1832,1.850009201526908e-05,1.850009201526908e-05,1.0310961053226565e-09,2.816671816420678e-10
1833,1.845759184756649e-05,1.845759184756649e-05,9.125978623585646e-10,1.6316893867797588e-10
1834,1.8368761759899955e-05,1.8368761759899955e-05,1.8060358764060425e-10,1.6316893867797588e-10
1835,1.8113362395005034e-05,1.8113362395005034e-05,7.027427845989515e-11,1.6316893867797588e-10
1836,1.894377757188132e-05,1.894377757188132e-05,3.002447179767387e-10,9.289466021808072e-11
1837,1.882331785704342e-05,1.882331785704342e-05,3.002447179767387e-10,1.7033607064525265e-10
1838,1.8831979624727474e-05,1.8831979624727474e-05,9.871764358341091e-10,7.744141042717193e-11
1839,1.8843046616114278e-05,1.8843046616114278e-05,1.1387393091969296e-09,7.744141042717193e-11
1840,1.9161134852246115e-05,1.9161134852246115e-05,1.365497207369718e-09,7.744141042717193e-11
1841,1.9021991777533132e-05,1.9021991777533132e-05,1.4354748183771043e-09,7.744141042717193e-11
1842,1.894750676001422e-05,1.894750676001422e-05,1.4354748183771043e-09,1.3825685041268798e-10
1843,1.853904749233542e-05,1.853904749233542e-05,1.1352301004003656e-09,1.3825685041268798e-10
1844,1.8369345135787235e-05,1.8369345135787235e-05,1.2687958144448024e-09,6.081543998551605e-11
1845,1.8328274174044573e-05,1.8328274174044573e-05,5.818640965874319e-10,6.081543998551605e-11
1846,1.8314761941188147e-05,1.8314761941188147e-05,5.607422224964052e-10,6.081543998551605e-11
1847,1.796079024123693e-05,1.796079024123693e-05,4.5519525450542023e-10,6.081543998551605e-11
1848,1.7955415387405083e-05,1.7955415387405083e-05,3.852176434980338e-10,6.081543998551605e-11
1849,1.7936470612767152e-05,1.7936470612767152e-05,4.3895718012823947e-10,0.0
1850,1.799214987840969e-05,1.799214987840969e-05,4.3895718012823947e-10,0.0
1851,1.833609063136724e-05,1.833609063136724e-05,3.982486562748022e-10,0.0
1852,1.828381417518748e-05,1.828381417518748e-05,4.488102270780051e-10,1.5168471240960864e-10
1853,1.8470793293090537e-05,1.8470793293090537e-05,9.457406524582268e-10,1.5168471240960864e-10
1854,1.8639899540825615e-05,1.8639899540825615e-05,1.0265371647959804e-09,1.5168471240960864e-10
1855,1.8727443083272582e-05,1.8727443083272582e-05,1.0790389137760314e-09,1.5168471240960864e-10
1856,1.9009687353640663e-05,1.9009687353640663e-05,1.0749981817413457e-09,2.510823216006486e-10
1857,1.909601659073295e-05,1.909601659073295e-05,1.0749981817413457e-09,3.47350775126947e-10
1858,1.8971187663347727e-05,1.8971187663347727e-05,1.0397445047795527e-09,4.6255780158535996e-10
1859,1.8980620422683258e-05,1.8980620422683258e-05,9.891829339763498e-10,3.108730891757513e-10
1860,1.912951483973302e-05,1.912951483973302e-05,4.2280671820803054e-10,3.108730891757513e-10
1861,1.930911535704841e-05,1.930911535704841e-05,2.2079927568847372e-10,3.6735976958825386e-10
1862,1.9550853591811445e-05,1.9550853591811445e-05,2.797340692417549e-10,3.6735976958825386e-10
1863,1.9212985664905447e-05,1.9212985664905447e-05,2.3003526464623495e-10,2.679621603972139e-10
1864,1.9299487446135443e-05,1.9299487446135443e-05,2.3003526464623495e-10,2.65883949777747e-10
1865,1.928809069795534e-05,1.928809069795534e-05,8.358300401007617e-10,1.5067692331933406e-10
1866,1.942526432685554e-05,1.942526432685554e-05,8.358300401007617e-10,1.5067692331933406e-10
1867,1.9323010876957725e-05,1.9323010876957725e-05,8.612597460607877e-10,1.5067692331933406e-10
1868,1.9220524856271887e-05,1.9220524856271887e-05,9.060714440638812e-10,9.41902429068315e-11
1869,1.8823559003067203e-05,1.8823559003067203e-05,8.342207876868965e-10,1.3377612906317893e-10
1870,1.9089052979584915e-05,1.9089052979584915e-05,9.609301687696359e-10,1.3377612906317893e-10
1871,1.8923086827271618e-05,1.8923086827271618e-05,1.0015062311209887e-09,8.016194850770018e-11
1872,1.9308060343194355e-05,1.9308060343194355e-05,3.381079424372554e-10,8.016194850770018e-11
1873,1.9051122632975292e-05,1.9051122632975292e-05,3.381079424372554e-10,8.016194850770018e-11
1874,1.9000875649258626e-05,1.9000875649258626e-05,2.91423742280829e-10,1.5964337788229192e-10
