ngram,machine,machne,mahin,macine
1500,1.2723413874482503e-05,0.0,0.0,0.0
1501,1.0178731099586002e-05,0.0,0.0,0.0
1502,1.533499895837546e-05,0.0,0.0,0.0
1503,5.7767616453929804e-05,0.0,0.0,0.0
1504,5.978512932155614e-05,0.0,0.0,0.0
1505,5.61092058757952e-05,0.0,0.0,0.0
1506,5.61092058757952e-05,0.0,0.0,0.0
1507,5.61092058757952e-05,0.0,0.0,0.0
1508,5.61092058757952e-05,0.0,0.0,0.0
1509,5.023544326832052e-05,0.0,0.0,0.0
1510,5.612111635855399e-06,0.0,0.0,0.0
1511,2.525310784611585e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,3.400171408429742e-05,0.0,0.0,0.0
1518,3.400171408429742e-05,0.0,0.0,0.0
1519,3.400171408429742e-05,0.0,0.0,0.0
1520,3.8470384814510385e-05,0.0,0.0,0.0
1521,3.8470384814510385e-05,0.0,0.0,0.0
1522,3.8470384814510385e-05,0.0,0.0,0.0
1523,3.97024748183737e-05,0.0,0.0,0.0
1524,5.700760734076279e-06,0.0,0.0,0.0
1525,5.700760734076279e-06,0.0,0.0,0.0
1526,6.336410219124186e-06,0.0,0.0,0.0
1527,1.8677394889112163e-06,0.0,0.0,0.0
1528,1.8677394889112163e-06,0.0,0.0,0.0
1529,1.8677394889112163e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,2.2279646405617575e-05,0.0,0.0,0.0
1533,2.1643996920569668e-05,0.0,0.0,0.0
1534,2.1643996920569668e-05,0.0,0.0,0.0
1535,2.1643996920569668e-05,0.0,0.0,0.0
1536,2.2091261306351434e-05,0.0,0.0,0.0
1537,2.2091261306351434e-05,0.0,0.0,0.0
1538,2.2091261306351434e-05,0.0,0.0,0.0
1539,2.286026558197461e-05,0.0,0.0,0.0
1540,2.286026558197461e-05,0.0,0.0,0.0
1541,2.286026558197461e-05,0.0,0.0,0.0
1542,2.286026558197461e-05,0.0,0.0,0.0
1543,2.2413001196192844e-05,0.0,0.0,0.0
1544,2.2552106120851283e-05,0.0,0.0,0.0
1545,2.2552106120851283e-05,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,4.894975891797263e-06,0.0,0.0,0.0
1549,4.894975891797263e-06,0.0,0.0,0.0
1550,5.4353216033372775e-06,0.0,0.0,0.0
1551,5.29621667867884e-06,0.0,0.0,0.0
1552,2.6929547045386115e-05,0.0,0.0,0.0
1553,2.6929547045386115e-05,0.0,0.0,0.0
1554,2.6929547045386115e-05,0.0,0.0,0.0
1555,2.217367607824729e-05,0.0,0.0,0.0
1556,2.217367607824729e-05,0.0,0.0,0.0
1557,2.1633330366707275e-05,0.0,0.0,0.0
1558,2.7089719619003256e-05,0.0,0.0,0.0
1559,5.456389252295983e-06,0.0,0.0,0.0
1560,5.456389252295983e-06,0.0,0.0,0.0
1561,5.456389252295983e-06,0.0,0.0,0.0
1562,5.456389252295983e-06,0.0,0.0,0.0
1563,5.456389252295983e-06,0.0,0.0,0.0
1564,5.456389252295983e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,1.4854106536534215e-06,0.0,0.0,0.0
1570,1.4854106536534215e-06,0.0,0.0,0.0
1571,1.4854106536534215e-06,0.0,0.0,0.0
1572,1.4854106536534215e-06,0.0,0.0,0.0
1573,6.5190480589600545e-06,0.0,0.0,0.0
1574,6.5190480589600545e-06,0.0,0.0,0.0
1575,6.5190480589600545e-06,0.0,0.0,0.0
1576,5.033637405306633e-06,0.0,0.0,0.0
1577,5.033637405306633e-06,0.0,0.0,0.0
1578,5.515463629178287e-06,0.0,0.0,0.0
1579,5.515463629178287e-06,0.0,0.0,0.0
1580,4.81826223871654e-07,0.0,0.0,0.0
1581,2.261748412430669e-06,0.0,0.0,0.0
1582,2.261748412430669e-06,0.0,4.189813742933828e-07,0.0
1583,2.502059714970528e-06,0.0,4.189813742933828e-07,0.0
1584,2.502059714970528e-06,0.0,4.189813742933828e-07,0.0
1585,2.020233491098874e-06,0.0,4.189813742933828e-07,0.0
1586,2.739127337138468e-06,0.0,4.189813742933828e-07,0.0
1587,2.739127337138468e-06,0.0,4.189813742933828e-07,0.0
1588,9.59205148579453e-07,0.0,4.189813742933828e-07,0.0
1589,9.59205148579453e-07,0.0,0.0,0.0
1590,7.188938460395937e-07,0.0,0.0,0.0
1591,7.188938460395937e-07,0.0,0.0,0.0
1592,7.188938460395937e-07,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,2.1041822557370843e-07,0.0,0.0,0.0
1597,6.626708974571167e-06,0.0,0.0,0.0
