ngram,black,blak,blac,blackk
1500,2.0784868297596404e-06,0.0,0.0,0.0
1501,1.6627894638077124e-06,0.0,0.0,0.0
1502,2.2642121848548413e-06,0.0,0.0,0.0
1503,1.9407533013041496e-06,0.0,0.0,0.0
1504,1.539770307447595e-06,0.0,0.0,0.0
1505,3.5940211091656238e-06,0.0,0.0,0.0
1506,3.5940211091656238e-06,0.0,0.0,0.0
1507,3.5940211091656238e-06,0.0,0.0,0.0
1508,3.5940211091656238e-06,0.0,0.0,0.0
1509,2.8409745677241257e-06,0.0,0.0,0.0
1510,2.8409745677241257e-06,0.0,0.0,0.0
1511,2.8409745677241257e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.228342963648694e-05,0.0,0.0,0.0
1515,1.228342963648694e-05,0.0,0.0,0.0
1516,1.228342963648694e-05,0.0,0.0,0.0
1517,7.97555798531643e-05,0.0,0.0,0.0
1518,7.97555798531643e-05,0.0,0.0,0.0
1519,7.97555798531643e-05,0.0,0.0,0.0
1520,0.00010060937659415816,0.0,0.0,0.0
1521,8.832594695767122e-05,0.0,0.0,0.0
1522,0.0001454535688805793,0.0,0.0,0.0
1523,0.0001509979738330003,0.0,0.0,0.0
1524,9.178453599036272e-05,0.0,2.064678093509948e-06,0.0
1525,9.178453599036272e-05,0.0,2.064678093509948e-06,0.0
1526,9.496278341560225e-05,0.0,2.064678093509948e-06,0.0
1527,7.410898667460839e-05,0.0,2.064678093509948e-06,0.0
1528,7.410898667460839e-05,0.0,2.064678093509948e-06,0.0
1529,1.6981364751700312e-05,0.0,2.064678093509948e-06,0.0
1530,1.1436959799279326e-05,0.0,2.064678093509948e-06,0.0
1531,1.4667943885017718e-05,0.0,0.0,0.0
1532,1.8726193177696716e-05,0.0,0.0,0.0
1533,1.5547945752457182e-05,0.0,0.0,0.0
1534,1.9761357699670562e-05,1.4044706923803979e-06,0.0,0.0
1535,2.8797587739453384e-05,1.4044706923803979e-06,0.0,0.0
1536,2.8797587739453384e-05,1.4044706923803979e-06,0.0,0.0
1537,2.8797587739453384e-05,1.4044706923803979e-06,0.0,0.0
1538,1.7307891279675198e-05,4.580909262585919e-06,0.0,0.0
1539,1.989053115331834e-05,4.580909262585919e-06,0.0,0.0
1540,1.989053115331834e-05,4.580909262585919e-06,0.0,0.0
1541,1.567711920610496e-05,3.1764385702055212e-06,0.0,0.0
1542,1.4164120719734846e-05,3.1764385702055212e-06,0.0,0.0
1543,1.4164120719734846e-05,3.1764385702055212e-06,0.0,0.0
1544,1.6111589632471025e-05,3.1764385702055212e-06,0.0,0.0
1545,1.852287056993061e-05,1.0716804094304929e-06,0.0,0.0
1546,1.2441393794558411e-05,1.0716804094304929e-06,0.0,0.0
1547,1.5718534996267408e-05,1.0716804094304929e-06,0.0,0.0
1548,1.5718534996267408e-05,1.0716804094304929e-06,0.0,0.0
1549,1.0620618922985159e-05,1.0716804094304929e-06,0.0,0.0
1550,1.4403039001211124e-05,1.0716804094304929e-06,0.0,0.0
1551,1.2455570088474945e-05,1.0716804094304929e-06,0.0,0.0
1552,1.7255399273251116e-05,0.0,0.0,0.0
1553,1.669598688230118e-05,0.0,0.0,0.0
1554,1.3418845680592182e-05,0.0,0.0,0.0
1555,1.3418845680592182e-05,0.0,0.0,0.0
1556,1.0993530200461724e-05,0.0,0.0,0.0
1557,5.3936149924993515e-05,0.0,0.0,0.0
1558,5.598229589460451e-05,0.0,0.0,0.0
1559,7.799798199162719e-05,0.0,0.0,0.0
1560,8.517702592923473e-05,0.0,0.0,0.0
1561,9.283528366462892e-05,0.0,0.0,0.0
1562,9.283528366462892e-05,0.0,0.0,0.0
1563,0.00011283863945469161,5.2736119999151144e-05,0.0,0.0
1564,7.883689314829618e-05,5.2736119999151144e-05,0.0,0.0
1565,8.387335141638427e-05,6.38659268068815e-05,0.0,0.0
1566,6.987591924761156e-05,6.38659268068815e-05,0.0,0.0
1567,6.74736563399035e-05,6.38659268068815e-05,0.0,0.0
1568,5.9815398604509286e-05,6.38659268068815e-05,0.0,0.0
1569,6.0558103931335996e-05,6.38659268068815e-05,0.0,0.0
1570,4.055474814127332e-05,1.1129806807730347e-05,0.0,0.0
1571,4.0090713550203615e-05,1.1129806807730347e-05,0.0,0.0
1572,3.7167795588694776e-05,0.0,0.0,0.0
1573,2.9488887646169004e-05,0.0,0.0,0.0
1574,2.7980375827090548e-05,0.0,0.0,0.0
1575,2.7980375827090548e-05,0.0,0.0,0.0
1576,3.399787705607845e-05,0.0,0.0,0.0
1577,6.971853820557174e-05,0.0,0.0,0.0
1578,6.444575930280345e-05,0.0,0.0,0.0
1579,9.262381302375746e-05,0.0,0.0,0.0
1580,8.606381775929808e-05,0.0,0.0,0.0
1581,9.76282325869501e-05,0.0,0.0,0.0
1582,9.972313942593505e-05,0.0,0.0,0.0
1583,9.488542329043932e-05,0.0,0.0,0.0
1584,6.545854343390342e-05,0.0,0.0,0.0
1585,6.262386127023742e-05,0.0,0.0,0.0
1586,0.00016615705440666976,0.0,0.0,0.0
1587,0.00018800784515146267,0.0,0.0,0.0
1588,0.00017451417274319932,0.0,0.0,0.0
1589,0.00017465998358342664,0.0,0.0,0.0
1590,0.00018573627520319342,0.0,0.0,0.0
1591,0.00019063689978793263,2.3988011110174867e-06,0.0,0.0
1592,0.00019066390450461768,2.3988011110174867e-06,0.0,0.0
1593,5.903522911207152e-05,2.3988011110174867e-06,0.0,0.0
1594,4.172582001566687e-05,2.5664326942985227e-06,0.0,0.0
1595,4.444398213568742e-05,2.5664326942985227e-06,0.0,0.0
1596,4.451786506771376e-05,2.7768509198722313e-06,0.0,0.0
1597,3.708793935532283e-05,2.7768509198722313e-06,0.0,0.0
1598,2.8901439821181286e-05,3.7804980885474446e-07,0.0,0.0
