ngram,meat,met,mat,meatt
1500,4.381828375699115e-06,1.3550416497309925e-05,1.8893580886469863e-06,0.0
1501,3.505462700559292e-06,1.084033319784794e-05,1.511486470917589e-06,0.0
1502,3.975484029676106e-06,1.3777803966756133e-05,1.4352829111885512e-06,0.0
1503,3.4075577397223763e-06,2.0734212999481576e-05,1.2302424953044725e-06,0.0
1504,2.338269756104897e-06,2.9873552453604395e-05,4.2827650759136304e-07,0.0
1505,1.5349835069043496e-06,2.8179295830861e-05,1.506093017919089e-07,0.0
1506,1.5349835069043496e-06,3.578171942665774e-05,1.506093017919089e-07,0.0
1507,1.5349835069043496e-06,3.578171942665774e-05,1.506093017919089e-07,0.0
1508,1.5349835069043496e-06,3.578171942665774e-05,1.506093017919089e-07,0.0
1509,6.313276961528962e-07,3.171526831075815e-05,0.0,0.0
1510,6.313276961528962e-07,2.279060156849612e-05,0.0,0.0
1511,6.313276961528962e-07,1.0443398163520864e-05,0.0,0.0
1512,0.0,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.427933864129175e-06,1.4854379904656006e-05,2.8566114451678004e-07,0.0
1515,3.427933864129175e-06,1.4854379904656006e-05,2.8566114451678004e-07,0.0
1516,3.427933864129175e-06,1.4854379904656006e-05,2.8566114451678004e-07,0.0
1517,4.490487429263469e-06,1.6979487034924595e-05,2.8566114451678004e-07,0.0
1518,4.490487429263469e-06,1.6979487034924595e-05,2.8566114451678004e-07,0.0
1519,4.490487429263469e-06,1.6979487034924595e-05,2.8566114451678004e-07,0.0
1520,5.980044339334459e-06,3.068341123123121e-05,8.814839215379575e-07,0.0
1521,2.552110475205284e-06,1.5829031326575205e-05,5.958227770211774e-07,0.0
1522,1.8420895035628098e-05,2.2176545046802077e-05,2.281212157738212e-05,0.0
1523,2.458134492501683e-05,4.9282524352228006e-05,2.3428166579313775e-05,0.0
1524,4.210089485111114e-05,4.715741722195942e-05,2.5492844672823723e-05,0.0
1525,4.210089485111114e-05,4.715741722195942e-05,2.5492844672823723e-05,0.0
1526,4.210089485111114e-05,4.906436567710314e-05,2.5492844672823723e-05,0.0
1527,4.061133794104015e-05,3.536044148079652e-05,2.4897021895802546e-05,0.0
1528,4.061133794104015e-05,4.267706857977568e-05,2.4897021895802546e-05,0.0
1529,2.474255338061734e-05,3.632955485954881e-05,2.6807230954416028e-06,0.0
1530,1.931105199608802e-05,9.952524058982298e-06,2.7936265983693635e-06,0.0
1531,7.289485048594153e-07,3.293191697853867e-05,7.289485048594153e-07,0.0
1532,1.6307816882285157e-06,3.608833315281247e-05,2.0816983123950195e-06,0.0
1533,1.6307816882285157e-06,3.418138469766875e-05,2.0816983123950195e-06,0.0
1534,1.6307816882285157e-06,4.260820859209551e-05,3.4861690047754176e-06,0.0
1535,7.27842520323715e-06,5.825866557123456e-05,3.4861690047754176e-06,0.0
1536,7.27842520323715e-06,6.0942251820961246e-05,3.933433390557184e-06,0.0
1537,4.212147548189803e-05,6.021330331610183e-05,3.2044848856977685e-06,0.0
1538,7.388586170366449e-05,4.0410348966750984e-05,3.2044848856977685e-06,0.0
1539,7.29840285202954e-05,4.306471107286468e-05,1.8517350781621644e-06,0.0
1540,7.29840285202954e-05,4.306471107286468e-05,1.8517350781621644e-06,0.0
1541,7.29840285202954e-05,3.463788717843792e-05,6.868568935455446e-05,0.0
1542,6.733638500528676e-05,2.521262000040484e-05,6.868568935455446e-05,0.0
1543,6.733638500528676e-05,2.2529033750678146e-05,6.82384249687727e-05,0.0
1544,3.593753405896548e-05,3.6578631417277006e-05,6.82384249687727e-05,0.0
1545,5.5127483002641905e-06,3.474179331013667e-05,6.984594555043648e-05,0.0
1546,6.351866886689095e-06,3.0049839811649042e-05,7.040535794138642e-05,0.0
1547,9.629008088398092e-06,3.0049839811649042e-05,7.040535794138642e-05,0.0
1548,1.0223491959290446e-05,3.5400194454788494e-05,2.4641749080598984e-06,0.0
1549,1.3861465049558319e-05,2.670900851496429e-05,4.889490388190357e-06,0.0
1550,1.548250215169641e-05,4.075799707996859e-05,5.429836099730372e-06,0.0
1551,1.1309354314497405e-05,2.9069596556447713e-05,1.0152230385886338e-05,0.0
1552,1.2854197848355398e-05,3.854666127673616e-05,9.986931802684143e-06,0.0
1553,1.2015079261930492e-05,3.742783649483629e-05,9.427519411734206e-06,0.0
1554,8.737938060221495e-06,3.742783649483629e-05,9.427519411734206e-06,0.0
1555,1.0547394205267275e-05,3.388043686365043e-05,9.130277476288029e-06,0.0
1556,8.991173672256991e-06,2.9029805903389517e-05,6.70496199615757e-06,0.0
1557,7.3701365701189e-06,2.4325825506821275e-05,6.164616284617555e-06,0.0
1558,7.3701365701189e-06,3.765174785387769e-05,1.4422219984615886e-06,0.0
1559,6.465850648445277e-05,3.7150421901190255e-05,0.0,0.0
1560,6.555588697665371e-05,6.0931005854009914e-05,3.5895219688037675e-06,0.0
1561,6.555588697665371e-05,7.624752132479833e-05,2.6564295694697648e-05,0.0
1562,6.492966154577775e-05,7.444456631284473e-05,2.8342010279759832e-05,0.0
1563,6.421177412058958e-05,7.489918802353454e-05,2.8342010279759832e-05,0.0
1564,7.057342086877075e-05,7.191582660327964e-05,2.8342010279759832e-05,0.0
1565,8.271502857886455e-05,7.140571649090686e-05,2.8342010279759832e-05,0.0
1566,2.2542214667607497e-05,6.299404776655138e-05,2.8342010279759832e-05,0.0
1567,2.6421615205306027e-05,4.6719834374796066e-05,2.611728294661069e-05,0.0
1568,2.6421615205306027e-05,3.140331890400765e-05,6.0835905709869365e-06,0.0
1569,2.83574272543774e-05,3.883037217227476e-05,4.3058759859247535e-06,0.0
1570,2.6993562122307984e-05,3.8375750461584956e-05,4.3058759859247535e-06,0.0
1571,2.063191537412682e-05,3.936965874475261e-05,4.3058759859247535e-06,0.0
1572,1.0050190082568275e-05,2.8872296362741118e-05,4.3058759859247535e-06,0.0
1573,1.508382748787491e-05,3.200226326173704e-05,4.3058759859247535e-06,0.0
1574,1.7933008296365317e-05,2.6674738884529298e-05,4.575215955680635e-06,0.0
1575,2.0447567554323802e-05,2.793201851350854e-05,4.148693863368992e-06,0.0
1576,1.9438123542516094e-05,2.546245039931299e-05,5.050054759132243e-06,0.0
1577,2.198959945027517e-05,2.546245039931299e-05,5.050054759132243e-06,0.0
1578,2.6566948560814906e-05,3.063437725359108e-05,6.254620335052355e-06,0.0
1579,2.694733055769965e-05,3.112876869896094e-05,6.901375140192353e-06,0.0
1580,2.2904153995893595e-05,2.807605298065547e-05,9.872757735658005e-06,0.0
1581,1.646480690656712e-05,6.327557223682691e-05,8.238623130247496e-06,0.0
1582,1.562617314578217e-05,6.537014360219473e-05,8.237952183013217e-06,0.0
1583,1.3402713128536042e-05,6.714137465938361e-05,7.5769025897898246e-06,0.0
1584,1.1750348806214919e-05,7.25360440420835e-05,7.5769025897898246e-06,0.0
1585,1.340069658389049e-05,6.850087590594609e-05,7.882081717980327e-06,0.0
1586,1.1460432168470497e-05,7.842360862144102e-05,8.673114604919516e-06,0.0
1587,1.2200369188316732e-05,8.924763018772605e-05,5.701732009453865e-06,0.0
1588,1.3022271884567869e-05,6.258135778937555e-05,5.701732009453865e-06,0.0
1589,1.6014508284050472e-05,6.837910353039791e-05,3.187843698729661e-06,0.0
1590,1.865359334780286e-05,6.684990044699848e-05,2.947532396189802e-06,0.0
1591,2.201901718633183e-05,7.398230341745407e-05,2.947532396189802e-06,0.0
1592,2.355195335569858e-05,8.996583294772011e-05,1.4377876920791875e-06,0.0
1593,3.449251250588402e-05,9.742001098597289e-05,0.0,0.0
1594,3.5444219975033775e-05,8.981164657078417e-05,1.67631583281036e-07,0.0
1595,3.79436733055627e-05,8.586150995272744e-05,3.323211282284839e-06,0.0
1596,3.516927543906994e-05,7.944735001988843e-05,7.531575793759007e-06,0.0
1597,3.3744437132554594e-05,7.763757561666093e-05,8.984320905775739e-06,0.0
1598,3.0762685258066214e-05,7.205522810441575e-05,9.07278873845436e-06,0.0
1599,2.7128942357584102e-05,5.1352541569420805e-05,1.0605633698495304e-05,0.0
1600,1.9703083905499496e-05,3.551147580895174e-05,1.1457682376203593e-05,0.0
1601,2.3857313473334735e-05,3.949511821182179e-05,1.2852641686679687e-05,0.0
1602,2.1228555591993165e-05,3.784879715697441e-05,1.1576274882177781e-05,0.0
1603,2.3455892655225137e-05,4.54161132178602e-05,8.604240698722216e-06,0.0
1604,2.4144807866832707e-05,5.5137188610387966e-05,9.194739358723122e-06,0.0
1605,2.8596305777942428e-05,5.7187415222870186e-05,9.780892859063378e-06,0.0
1606,3.4319269226606206e-05,6.638723581480528e-05,8.728528557964768e-06,0.0
1607,3.1551065603707684e-05,7.087480896318863e-05,9.369474030661098e-06,0.0
1608,4.028958320694593e-05,6.788459307114993e-05,8.20623833013607e-06,0.0
1609,4.010843615885408e-05,7.27686783648096e-05,6.893047384437523e-06,0.0
1610,4.07029206144216e-05,7.04951661256408e-05,6.039061840315948e-06,0.0
1611,4.0469793865278394e-05,6.813764152216859e-05,5.429589951485728e-06,0.0
1612,3.8770523328171945e-05,6.667471045927544e-05,6.637973716091697e-06,0.0
1613,3.323555269422026e-05,5.7856805662075726e-05,7.276166473145297e-06,0.0
1614,4.9628762878585674e-05,5.4899592994063694e-05,8.090440587693593e-06,0.0
1615,3.8244286120711225e-05,5.518562284123618e-05,8.833915119664328e-06,0.0
1616,4.447555992166079e-05,4.987142087234783e-05,1.0430440300167123e-05,0.0
1617,4.5937040990143684e-05,5.024299103492272e-05,1.1283508813773682e-05,0.0
1618,4.5263540284525205e-05,4.9632846899580075e-05,1.0539076876219561e-05,0.0
1619,4.854327198700048e-05,5.0540913954526854e-05,1.0456623775618417e-05,0.0
1620,4.6545383936193373e-05,5.595603839278088e-05,1.0647556207134454e-05,0.0
1621,3.511505253430057e-05,5.842087453597092e-05,1.1194975871019e-05,0.0
1622,3.8592653124526676e-05,5.48994724210518e-05,1.0474236595265601e-05,0.0
1623,3.685983964325195e-05,7.607771710484355e-05,9.65876038857719e-06,0.0
1624,3.247475927180078e-05,7.589017669878168e-05,9.020675861393102e-06,0.0
1625,3.515083673326964e-05,8.277529273722653e-05,1.0823276560196454e-05,0.0
1626,2.9902690455076352e-05,7.984612888581719e-05,1.2007808306537169e-05,0.0
1627,3.621334781200858e-05,7.762541359365318e-05,1.1976373181304162e-05,0.0
1628,3.6465529904359884e-05,7.379905452710642e-05,1.0038848033998096e-05,0.0
1629,3.53173718394828e-05,8.281117646090155e-05,9.946874960015911e-06,0.0
1630,3.308829959028766e-05,6.074236911704897e-05,9.376045032435546e-06,0.0
1631,4.2405590517903746e-05,6.454525542462111e-05,1.0082355954312203e-05,0.0
1632,4.301691491751366e-05,5.5121963149369026e-05,8.32342438375885e-06,0.0
1633,4.492600965022575e-05,5.454638033240501e-05,6.02380464442831e-06,0.0
1634,3.963064773415681e-05,5.8181115621534574e-05,5.48614288423518e-06,0.0
1635,4.066626544434777e-05,5.838188995507413e-05,6.215374436838569e-06,0.0
1636,4.283088830041899e-05,6.100499532684418e-05,6.3194790982379345e-06,0.0
1637,4.859373153262173e-05,6.620873474665652e-05,6.2016792656192725e-06,0.0
1638,4.2265241842999656e-05,6.638021971282017e-05,6.379410381539076e-06,0.0
