ngram,sand,sand,sand,sand
1500,2.9693356395910087e-06,2.9693356395910087e-06,2.9693356395910087e-06,2.9693356395910087e-06
1501,2.375468511672807e-06,2.375468511672807e-06,2.375468511672807e-06,2.375468511672807e-06
1502,2.5066896493323534e-06,2.5066896493323534e-06,2.5066896493323534e-06,2.5066896493323534e-06
1503,2.1485911279991602e-06,2.1485911279991602e-06,2.1485911279991602e-06,2.1485911279991602e-06
1504,2.6442014944093118e-05,2.6442014944093118e-05,2.6442014944093118e-05,2.6442014944093118e-05
1505,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05
1506,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05
1507,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05
1508,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05,3.019685628454941e-05
1509,2.9745028379173683e-05,2.9745028379173683e-05,2.9745028379173683e-05,2.9745028379173683e-05
1510,2.9745028379173683e-05,2.9745028379173683e-05,2.9745028379173683e-05,2.9745028379173683e-05
1511,5.05062156922317e-06,5.05062156922317e-06,5.05062156922317e-06,5.05062156922317e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1515,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1516,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06,1.7139669320645875e-06
1517,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06
1518,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06
1519,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06,2.2452437146317346e-06
1520,9.990939750943134e-06,9.990939750943134e-06,9.990939750943134e-06,9.990939750943134e-06
1521,8.276972818878545e-06,8.276972818878545e-06,8.276972818878545e-06,8.276972818878545e-06
1522,1.7798243139363228e-05,1.7798243139363228e-05,1.7798243139363228e-05,1.7798243139363228e-05
1523,1.7798243139363228e-05,1.7798243139363228e-05,1.7798243139363228e-05,1.7798243139363228e-05
1524,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05
1525,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05
1526,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05,1.933164445030603e-05
1527,1.1585948413994629e-05,1.1585948413994629e-05,1.1585948413994629e-05,1.1585948413994629e-05
1528,1.5766878147717633e-05,1.5766878147717633e-05,1.5766878147717633e-05,1.5766878147717633e-05
1529,6.245607827232951e-06,6.245607827232951e-06,6.245607827232951e-06,6.245607827232951e-06
1530,6.245607827232951e-06,6.245607827232951e-06,6.245607827232951e-06,6.245607827232951e-06
1531,4.180929733723003e-06,4.180929733723003e-06,4.180929733723003e-06,4.180929733723003e-06
1532,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05
1533,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05
1534,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05,1.094467864147321e-05
1535,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06
1536,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06
1537,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06
1538,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06,7.516768034422837e-06
1539,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05
1540,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05
1541,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05,1.0714352876155836e-05
1542,9.961333749483206e-06,9.961333749483206e-06,9.961333749483206e-06,9.961333749483206e-06
1543,9.961333749483206e-06,9.961333749483206e-06,9.961333749483206e-06,9.961333749483206e-06
1544,1.0656858389016374e-05,1.0656858389016374e-05,1.0656858389016374e-05,1.0656858389016374e-05
1545,1.0924778491373996e-05,1.0924778491373996e-05,1.0924778491373996e-05,1.0924778491373996e-05
1546,1.2431509373657588e-06,1.2431509373657588e-06,1.2431509373657588e-06,1.2431509373657588e-06
1547,4.520292139074757e-06,4.520292139074757e-06,4.520292139074757e-06,4.520292139074757e-06
1548,1.0167888880070158e-05,1.0167888880070158e-05,1.0167888880070158e-05,1.0167888880070158e-05
