ngram,people,peple,poeple,peoople
1500,1.7285318335780175e-05,0.0,0.0,0.0
1501,1.3828254668624141e-05,0.0,0.0,0.0
1502,1.9430533635992713e-05,1.7571085209056037e-07,0.0,0.0
1503,4.3428743343351274e-05,1.506093017919089e-07,0.0,0.0
1504,6.007829402473622e-05,1.506093017919089e-07,0.0,0.0
1505,5.96481555216347e-05,4.66273149868357e-07,0.0,0.0
1506,5.96481555216347e-05,4.66273149868357e-07,0.0,0.0
1507,5.96481555216347e-05,4.66273149868357e-07,0.0,0.0
1508,5.96481555216347e-05,4.66273149868357e-07,0.0,0.0
1509,5.2870737168372474e-05,3.156638480764481e-07,0.0,0.0
1510,2.609673694158638e-05,3.156638480764481e-07,0.0,0.0
1511,7.575932353834755e-06,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7996652916605982e-05,0.0,0.0,0.0
1515,1.7996652916605982e-05,0.0,0.0,0.0
1516,1.7996652916605982e-05,0.0,0.0,0.0
1517,4.987325935092356e-05,0.0,0.0,0.0
1518,4.987325935092356e-05,0.0,0.0,0.0
1519,4.987325935092356e-05,0.0,0.0,0.0
1520,0.0001469923757083182,0.0,0.0,0.0
1521,0.0001289957227917122,0.0,0.0,0.0
1522,0.0004019388122417565,0.0,0.0,0.0
1523,0.000533156400446647,0.0,0.0,0.0
1524,0.000523991252911011,0.0,0.0,0.0
1525,0.0006821356801083311,0.0,0.0,0.0
1526,0.0006821356801083311,0.0,0.0,0.0
1527,0.0005850165637509365,0.0,0.0,0.0
1528,0.0005850165637509365,0.0,0.0,0.0
1529,0.00031207347430089224,0.0,0.0,0.0
1530,0.0002224059488591073,0.0,0.0,0.0
1531,0.0002571429732987391,0.0,0.0,0.0
1532,0.00012424987549560944,0.0,0.0,0.0
1533,0.0003237933207336547,0.0,0.0,0.0
1534,0.0003350290862726979,0.0,0.0,0.0
1535,0.00036929145634141084,3.7650956333631515e-07,0.0,0.0
1536,0.0003773422150905909,3.7650956333631515e-07,0.0,0.0
1537,0.0005847961438121274,3.7650956333631515e-07,0.0,0.0
1538,0.0005495827312448195,3.7650956333631515e-07,0.0,0.0
1539,0.0005309722910169512,3.7650956333631515e-07,0.0,0.0
1540,0.00033142884577890594,3.7650956333631515e-07,0.0,0.0
1541,0.00032019308023986274,3.7650956333631515e-07,0.0,0.0
1542,0.00037921878122558283,0.0,0.0,0.0
1543,0.0003711680224764028,0.0,0.0,0.0
1544,0.00019630695377210422,1.391049246584381e-07,0.0,0.0
1545,0.00020407893420529684,4.0702502701606136e-07,0.0,0.0
1546,0.00027547607481080504,4.0702502701606136e-07,0.0,0.0
1547,0.000347573181248403,4.0702502701606136e-07,0.0,0.0
1548,0.00038651187371994766,4.0702502701606136e-07,0.0,0.0
1549,0.0005187781394592353,4.0702502701606136e-07,0.0,0.0
1550,0.0007905720267444849,4.0702502701606136e-07,0.0,0.0
1551,0.0007754590312418129,2.679201023576232e-07,0.0,0.0
1552,0.0008961641869973391,0.0,0.0,0.0
1553,0.0008181261572255087,0.0,0.0,0.0
1554,0.0008478516787623189,0.0,0.0,0.0
1555,0.0008293464759065371,0.0,0.0,0.0
1556,0.0006318957977262991,0.0,0.0,0.0
1557,0.00036944691860948557,0.0,0.0,0.0
1558,0.0006337080610267419,0.0,0.0,0.0
1559,0.0004984688639524393,1.7192232917295769e-06,0.0,0.0
1560,0.0006119874981647756,1.7192232917295769e-06,0.0,0.0
1561,0.0005867474506625772,1.7192232917295769e-06,0.0,0.0
1562,0.0007049757020597878,1.7192232917295769e-06,0.0,0.0
1563,0.0006782359085783744,1.7192232917295769e-06,0.0,0.0
1564,0.0007197840743953878,1.7192232917295769e-06,0.0,0.0
1565,0.00041065821317585815,1.7192232917295769e-06,0.0,0.0
1566,0.00042945127162446236,0.0,0.0,0.0
1567,0.0003643828483421073,0.0,0.0,0.0
1568,0.00028780026786989765,0.0,0.0,0.0
1569,0.00019741437258094914,0.0,0.0,0.0
1570,0.00028520023001224866,0.0,0.0,0.0
1571,0.00025637372164055705,0.0,0.0,0.0
1572,0.00024532827800222937,0.0,0.0,0.0
1573,0.00024378085228298523,0.0,0.0,0.0
1574,0.0002688666993760437,0.0,0.0,0.0
1575,0.00028018221564707346,0.0,0.0,0.0
1576,0.0003107754471005007,0.0,0.0,0.0
1577,0.00032878771630099176,0.0,0.0,0.0
1578,0.00033418514638989497,0.0,0.0,0.0
1579,0.0004953411043970846,0.0,0.0,0.0
1580,0.0005468116360134445,0.0,0.0,0.0
1581,0.0005711712926443267,0.0,0.0,0.0
1582,0.0006599923279801649,0.0,0.0,0.0
1583,0.0006361545404485826,2.403113025398592e-07,0.0,0.0
1584,0.000562259677930602,2.403113025398592e-07,0.0,0.0
1585,0.0005748038155226303,2.403113025398592e-07,0.0,0.0
1586,0.0004241870753633391,2.403113025398592e-07,0.0,0.0
1587,0.00038187352765817195,2.403113025398592e-07,0.0,0.0
1588,0.00036230999103281647,2.403113025398592e-07,0.0,0.0
1589,0.000285700975967172,2.403113025398592e-07,0.0,0.0
1590,0.00025900703206259223,0.0,0.0,0.0
1591,0.00026465379050932825,7.99600391993798e-07,0.0,0.0
1592,0.00027061238402633795,7.99600391993798e-07,0.0,0.0
1593,0.00030406479033574996,7.99600391993798e-07,0.0,0.0
1594,0.000291524689860775,7.99600391993798e-07,0.0,0.0
1595,0.00025646903460645784,7.99600391993798e-07,0.0,0.0
1596,0.00025019579230242277,7.99600391993798e-07,0.0,0.0
1597,0.0003262139725848101,7.99600391993798e-07,0.0,0.0
1598,0.0003359131608574119,0.0,0.0,0.0
1599,0.0003399406611736465,0.0,0.0,0.0
1600,0.00037633004103554413,0.0,0.0,0.0
1601,0.00043117909912585413,3.906477234392826e-07,0.0,0.0
1602,0.00046557670845816446,3.906477234392826e-07,0.0,0.0
1603,0.000542283515512411,3.906477234392826e-07,0.0,0.0
1604,0.000479814488374229,3.906477234392826e-07,0.0,0.0
1605,0.0004954028783166515,3.906477234392826e-07,0.0,0.0
1606,0.0005051483125758491,4.707278305561756e-07,0.0,0.0
1607,0.0004731558437924832,4.707278305561756e-07,0.0,0.0
1608,0.0006651253830308893,8.008010711689297e-08,0.0,0.0
1609,0.0006676376921989556,8.008010711689297e-08,0.0,0.0
1610,0.000650018100194367,8.008010711689297e-08,0.0,0.0
1611,0.0006622052834635335,8.008010711689297e-08,0.0,0.0
1612,0.0006859670517899628,8.008010711689297e-08,0.0,0.0
1613,0.0007203556638809719,0.0,0.0,0.0
1614,0.0007044452151084053,0.0,0.0,0.0
1615,0.000494956159465281,7.618865051231946e-07,0.0,0.0
1616,0.0005203741062099912,7.618865051231946e-07,0.0,0.0
1617,0.0005066680522369486,7.618865051231946e-07,0.0,0.0
1618,0.000565547649914931,7.618865051231946e-07,0.0,0.0
1619,0.0005519697234766292,7.618865051231946e-07,0.0,0.0
1620,0.0005158669622947595,7.618865051231946e-07,0.0,0.0
1621,0.0005634118944206941,7.618865051231946e-07,0.0,0.0
1622,0.0005568947152434183,0.0,0.0,0.0
1623,0.0005442382243927568,0.0,0.0,0.0
1624,0.0005069892421098692,0.0,0.0,0.0
1625,0.0004953748845894422,0.0,0.0,0.0
1626,0.0004949277998613459,0.0,0.0,0.0
1627,0.00051087631644415,0.0,0.0,0.0
1628,0.0004589170670702255,0.0,0.0,0.0
1629,0.00047279799764510244,0.0,1.6505868773362765e-07,0.0
1630,0.0004236645909259096,0.0,1.6505868773362765e-07,0.0
1631,0.0004858486998793004,5.6679985911094784e-08,1.6505868773362765e-07,0.0
1632,0.00043783618561324796,5.6679985911094784e-08,1.6505868773362765e-07,0.0
1633,0.00042956541333946267,5.6679985911094784e-08,1.6505868773362765e-07,0.0
1634,0.000402737024290088,5.6679985911094784e-08,1.6505868773362765e-07,0.0
1635,0.0004666327606953148,5.6679985911094784e-08,1.6505868773362765e-07,0.0
1636,0.0004688533330668828,5.6679985911094784e-08,0.0,0.0
1637,0.0005085145489179663,5.6679985911094784e-08,0.0,0.0
1638,0.0005358175424459789,0.0,0.0,0.0
1639,0.0005700951442122459,0.0,0.0,0.0
1640,0.0006118621136660554,1.028080548946621e-07,0.0,0.0
1641,0.000723577121139637,1.028080548946621e-07,0.0,0.0
1642,0.0006862510137060392,1.028080548946621e-07,0.0,0.0
1643,0.0006861434459486711,1.028080548946621e-07,0.0,0.0
1644,0.0006667391031182238,1.028080548946621e-07,0.0,0.0
1645,0.0007053556203443025,1.028080548946621e-07,0.0,0.0
1646,0.0006968312663957477,1.028080548946621e-07,1.007384103754053e-07,0.0
1647,0.0006950030801817775,0.0,1.007384103754053e-07,0.0
1648,0.0006287577894649335,0.0,1.007384103754053e-07,0.0
1649,0.0006494670815300196,0.0,1.007384103754053e-07,0.0
1650,0.0006453542778867164,0.0,1.007384103754053e-07,0.0
1651,0.000684010106072362,4.300008121000636e-08,1.007384103754053e-07,0.0
1652,0.0006153075540039156,4.300008121000636e-08,1.007384103754053e-07,0.0
1653,0.00063768369311999,4.300008121000636e-08,0.0,0.0
1654,0.0006344994430297188,4.300008121000636e-08,0.0,0.0
1655,0.000614570894478155,4.300008121000636e-08,0.0,0.0
1656,0.0006076487147116236,4.300008121000636e-08,0.0,0.0
1657,0.0005990137994688537,4.300008121000636e-08,0.0,0.0
1658,0.0005805167685528951,0.0,0.0,0.0
1659,0.0005829666375315615,0.0,0.0,0.0
1660,0.000571707496419549,1.6034960026445333e-07,0.0,0.0
1661,0.0005370084046652275,1.6034960026445333e-07,0.0,0.0
1662,0.0005270076799206436,1.6034960026445333e-07,0.0,0.0
1663,0.0006113615901475507,1.6034960026445333e-07,0.0,0.0
1664,0.0005902181895050619,1.6034960026445333e-07,0.0,0.0
1665,0.0005745064034791929,2.0444121722513436e-07,0.0,0.0
1666,0.0005642096096250628,2.0444121722513436e-07,0.0,0.0
1667,0.0005483287552903805,4.4091616960681024e-08,0.0,0.0
1668,0.0005612430395558476,4.4091616960681024e-08,0.0,0.0
1669,0.0005434280860104731,4.4091616960681024e-08,5.990818457186314e-08,0.0
1670,0.00044898607718226103,4.4091616960681024e-08,5.990818457186314e-08,0.0
1671,0.0004687641381419131,4.4091616960681024e-08,5.990818457186314e-08,0.0
1672,0.00044000033605178554,2.4600601428963794e-08,5.990818457186314e-08,0.0
