ngram,branch,brnch,brnch,branch
1500,1.3145967159289285e-05,0.0,0.0,1.3145967159289285e-05
1501,1.0516773727431428e-05,0.0,0.0,1.0516773727431428e-05
1502,1.4913858194631757e-05,0.0,0.0,1.4913858194631757e-05
1503,2.170797376623211e-05,0.0,0.0,2.170797376623211e-05
1504,2.2789859680675102e-05,0.0,0.0,2.2789859680675102e-05
1505,2.2333414952819502e-05,0.0,0.0,2.2333414952819502e-05
1506,2.2333414952819502e-05,0.0,0.0,2.2333414952819502e-05
1507,2.2333414952819502e-05,0.0,0.0,2.2333414952819502e-05
1508,2.2333414952819502e-05,0.0,0.0,2.2333414952819502e-05
1509,1.7062089162729016e-05,0.0,0.0,1.7062089162729016e-05
1510,8.137422420466983e-06,0.0,0.0,8.137422420466983e-06
1511,5.05062156922317e-06,0.0,0.0,5.05062156922317e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1517,1.1025990716007072e-06,0.0,0.0,1.1025990716007072e-06
1518,1.1025990716007072e-06,0.0,0.0,1.1025990716007072e-06
1519,1.1025990716007072e-06,0.0,0.0,1.1025990716007072e-06
1520,1.3912788290326716e-05,0.0,0.0,1.3912788290326716e-05
1521,1.3341466001293156e-05,0.0,0.0,1.3341466001293156e-05
1522,1.6515222861406592e-05,0.0,0.0,1.6515222861406592e-05
1523,2.6987987829280818e-05,0.0,0.0,2.6987987829280818e-05
1524,2.645671104671367e-05,0.0,0.0,2.645671104671367e-05
1525,2.645671104671367e-05,0.0,0.0,2.645671104671367e-05
1526,3.217755641214483e-05,0.0,0.0,3.217755641214483e-05
1527,1.936736719341882e-05,0.0,0.0,1.936736719341882e-05
1528,1.936736719341882e-05,0.0,0.0,1.936736719341882e-05
1529,1.6193610333305385e-05,0.0,0.0,1.6193610333305385e-05
1530,5.72084536543116e-06,0.0,0.0,5.72084536543116e-06
1531,2.2955389535387178e-05,0.0,0.0,2.2955389535387178e-05
1532,2.2955389535387178e-05,0.0,0.0,2.2955389535387178e-05
1533,1.723454416995602e-05,0.0,0.0,1.723454416995602e-05
1534,1.723454416995602e-05,0.0,0.0,1.723454416995602e-05
1535,1.836407292492887e-05,0.0,0.0,1.836407292492887e-05
1536,3.178200417356233e-05,0.0,0.0,3.178200417356233e-05
1537,3.178200417356233e-05,0.0,0.0,3.178200417356233e-05
1538,1.454746000360631e-05,0.0,0.0,1.454746000360631e-05
1539,1.537757114939658e-05,0.0,0.0,1.537757114939658e-05
1540,1.537757114939658e-05,0.0,0.0,1.537757114939658e-05
1541,1.537757114939658e-05,0.0,0.0,1.537757114939658e-05
1542,1.4248042394423724e-05,0.0,0.0,1.4248042394423724e-05
1543,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1544,3.3339996921962926e-06,0.0,0.0,3.3339996921962926e-06
1545,3.3339996921962926e-06,0.0,0.0,3.3339996921962926e-06
