ngram,sentence,sentnce,senence,sentnce
1500,8.106484438030748e-05,0.0,0.0,0.0
1501,6.485187550424598e-05,0.0,0.0,0.0
1502,5.773315751866903e-05,0.0,0.0,0.0
1503,4.94855635874306e-05,0.0,0.0,0.0
1504,4.3470818906955954e-05,0.0,0.0,0.0
1505,9.502097860344552e-05,0.0,0.0,0.0
1506,9.502097860344552e-05,0.0,0.0,0.0
1507,9.502097860344552e-05,0.0,0.0,0.0
1508,9.502097860344552e-05,0.0,0.0,0.0
1509,9.185818323333348e-05,0.0,0.0,0.0
1510,9.185818323333348e-05,0.0,0.0,0.0
1511,9.185818323333348e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.999256088198828e-06,0.0,0.0,0.0
1515,3.999256088198828e-06,0.0,0.0,0.0
1516,3.999256088198828e-06,0.0,0.0,0.0
1517,4.530532870765975e-06,0.0,0.0,0.0
1518,4.530532870765975e-06,0.0,0.0,0.0
1519,4.530532870765975e-06,0.0,0.0,0.0
1520,7.807558176864404e-06,0.0,0.0,0.0
1521,3.8083020886655764e-06,0.0,0.0,0.0
1522,1.3329572409150256e-05,0.0,0.0,0.0
1523,1.8257932424603496e-05,0.0,0.0,0.0
1524,1.772665564203635e-05,0.0,0.0,0.0
1525,1.772665564203635e-05,0.0,0.0,0.0
1526,1.772665564203635e-05,0.0,0.0,0.0
1527,1.4449630335937919e-05,0.0,0.0,0.0
1528,1.654009520279942e-05,0.0,0.0,0.0
1529,7.01882488231474e-06,0.0,0.0,0.0
1530,8.651001475560146e-06,0.0,0.0,0.0
1531,2.014069793533833e-05,0.0,0.0,0.0
1532,2.014069793533833e-05,0.0,0.0,0.0
1533,2.8122435911167747e-05,0.0,0.0,0.0
1534,4.3571613917135566e-05,0.0,0.0,0.0
1535,4.562275431193744e-05,0.0,0.0,0.0
1536,6.03824792051455e-05,0.0,0.0,0.0
1537,5.382194259644686e-05,0.0,0.0,0.0
1538,5.503800041749075e-05,0.0,0.0,0.0
1539,5.503800041749075e-05,0.0,0.0,0.0
1540,4.7056262441661344e-05,0.0,0.0,0.0
1541,3.160708443569352e-05,0.0,0.0,0.0
1542,2.8970125510698252e-05,0.0,0.0,0.0
1543,1.421040061749019e-05,0.0,0.0,0.0
1544,1.9496387981884516e-05,0.0,0.0,0.0
1545,1.6435757450900773e-05,0.0,0.0,0.0
1546,1.9512525536161513e-05,0.0,0.0,0.0
1547,1.9512525536161513e-05,0.0,0.0,0.0
1548,4.4183605626000955e-05,0.0,0.0,0.0
1549,4.631693237960073e-05,0.0,0.0,0.0
1550,5.820453848822841e-05,0.0,0.0,0.0
1551,8.361411372399224e-05,0.0,0.0,0.0
1552,8.334343250940687e-05,0.0,0.0,0.0
1553,8.026666442414612e-05,0.0,0.0,0.0
1554,8.026666442414612e-05,0.0,0.0,0.0
1555,5.860050935422935e-05,0.0,0.0,0.0
1556,5.600341254259027e-05,0.0,0.0,0.0
1557,4.411580643396259e-05,0.0,0.0,0.0
1558,1.683048724641724e-05,0.0,0.0,0.0
1559,1.0894491294623418e-05,0.0,0.0,0.0
1560,4.544364011443187e-05,0.0,0.0,0.0
1561,7.60766710560087e-05,0.0,0.0,0.0
1562,9.440432157654348e-05,0.0,0.0,0.0
1563,9.336344529791469e-05,0.0,0.0,0.0
1564,0.00011881003229063936,0.0,0.0,0.0
1565,0.00012147059273307345,0.0,0.0,0.0
1566,0.00012183948716223572,0.0,0.0,0.0
1567,0.00010025588692639888,0.0,0.0,0.0
1568,6.962285598482205e-05,0.0,0.0,0.0
1569,5.1261101751671436e-05,0.0,0.0,0.0
1570,5.730515087114847e-05,0.0,0.0,0.0
1571,3.6762267232656344e-05,0.0,0.0,0.0
1572,3.069146337760945e-05,0.0,0.0,0.0
1573,3.317616886176568e-05,0.0,0.0,0.0
1574,3.4917832506055545e-05,0.0,0.0,0.0
1575,3.617511213503478e-05,0.0,0.0,0.0
1576,3.9513817292962426e-05,0.0,0.0,0.0
1577,3.8572719989003546e-05,0.0,0.0,0.0
1578,3.945093119130304e-05,0.0,0.0,0.0
1579,4.2037950411863024e-05,0.0,0.0,0.0
1580,4.0698208067624364e-05,0.0,0.0,0.0
1581,3.1330762405039945e-05,0.0,0.0,0.0
1582,4.264292406982609e-05,0.0,0.0,0.0
1583,4.4984604755882174e-05,0.0,0.0,0.0
1584,4.437721093251769e-05,0.0,0.0,0.0
1585,5.274915331808318e-05,0.0,0.0,0.0
1586,5.0881027943562784e-05,0.0,0.0,0.0
1587,5.111991738106424e-05,0.0,0.0,0.0
1588,5.4483726151894576e-05,0.0,0.0,0.0
1589,5.9279847196843806e-05,0.0,0.0,0.0
1590,5.8427909477489137e-05,0.0,0.0,0.0
1591,6.37940898481507e-05,0.0,0.0,0.0
1592,5.6206922896048385e-05,0.0,0.0,0.0
1593,5.928373346770448e-05,0.0,0.0,0.0
1594,6.901175064350744e-05,0.0,0.0,0.0
1595,6.25621606949218e-05,0.0,0.0,0.0
1596,5.171956347891994e-05,0.0,0.0,0.0
1597,4.948915037467876e-05,0.0,0.0,0.0
1598,4.997814877632274e-05,0.0,0.0,0.0
1599,8.338333723908622e-05,0.0,0.0,0.0
1600,8.93861930048193e-05,0.0,0.0,0.0
1601,8.755368071433622e-05,0.0,0.0,0.0
1602,8.790971332928166e-05,0.0,0.0,0.0
1603,8.63320695186433e-05,0.0,0.0,0.0
1604,9.642808280269881e-05,0.0,0.0,0.0
1605,9.192406443097363e-05,0.0,0.0,0.0
1606,5.771795362566731e-05,0.0,0.0,0.0
1607,5.015888460288157e-05,0.0,0.0,0.0
1608,3.767121890112841e-05,0.0,0.0,0.0
1609,3.883468038371315e-05,0.0,0.0,0.0
1610,4.3702875505654705e-05,0.0,0.0,0.0
1611,3.705028659948896e-05,0.0,0.0,0.0
1612,3.3086573304379794e-05,0.0,0.0,0.0
1613,3.978602301555968e-05,0.0,0.0,0.0
1614,4.084262926491127e-05,0.0,0.0,0.0
1615,4.4053029081883975e-05,0.0,0.0,0.0
1616,4.280252142052632e-05,0.0,0.0,0.0
1617,3.842482354749726e-05,0.0,0.0,0.0
1618,4.5661270632990636e-05,0.0,0.0,0.0
1619,4.884231800263349e-05,0.0,0.0,0.0
1620,4.181700205663219e-05,0.0,0.0,0.0
1621,4.494395268141359e-05,0.0,0.0,0.0
1622,7.609767921426933e-05,0.0,0.0,0.0
1623,7.8962991080646e-05,0.0,0.0,0.0
1624,7.502049447793979e-05,0.0,0.0,0.0
1625,6.126370733129858e-05,0.0,0.0,0.0
1626,5.9184738607395305e-05,0.0,0.0,0.0
1627,5.7739120685645116e-05,0.0,0.0,0.0
1628,7.077302481255694e-05,0.0,0.0,0.0
1629,4.158691990596708e-05,0.0,0.0,0.0
1630,4.016609013238589e-05,0.0,0.0,0.0
1631,4.4567486578931236e-05,0.0,0.0,0.0
1632,4.519083449849859e-05,0.0,0.0,0.0
1633,5.0020040362142026e-05,0.0,0.0,0.0
1634,4.849412003490475e-05,0.0,0.0,0.0
1635,4.072656754163161e-05,0.0,0.0,0.0
