ngram,law,lw,la,lwa
1500,0.00021812681370647624,0.0,3.13987800382165e-06,0.0
1501,0.000174501450965181,0.0,2.51190240305732e-06,0.0
1502,0.00033430703236566234,0.0,5.2560474159690784e-06,0.0
1503,0.0002954735516271155,0.0,4.505183499402067e-06,0.0
1504,0.0002847477943370385,0.0,6.1217134056538014e-06,0.0
1505,0.0002706520608626306,0.0,8.007415349961125e-06,0.0
1506,0.0002706520608626306,0.0,3.081468613735134e-05,0.0
1507,0.0002706520608626306,0.0,3.081468613735134e-05,0.0
1508,0.0002706520608626306,0.0,3.081468613735134e-05,0.0
1509,0.00010874706952433501,0.0,2.8103718640133074e-05,0.0
1510,9.982240278207297e-05,0.0,2.8103718640133074e-05,0.0
1511,7.512799597212247e-05,0.0,2.501691778888926e-05,0.0
1512,0.0,0.0,2.2807270787390216e-05,0.0
1513,0.0,0.0,0.0,0.0
1514,1.2569089968954878e-05,0.0,7.65571853012911e-05,0.0
1515,1.2569089968954878e-05,0.0,7.65571853012911e-05,0.0
1516,1.2569089968954878e-05,0.0,7.65571853012911e-05,0.0
1517,6.835315018958812e-05,0.0,0.00011534038847977561,0.0
1518,6.835315018958812e-05,0.0,0.00011534038847977561,0.0
1519,6.835315018958812e-05,0.0,0.00011534038847977561,0.0
1520,9.576099858220135e-05,0.0,0.00011951114798388776,0.0
1521,8.319190861324646e-05,0.0,4.295396268259667e-05,0.0
1522,0.00010223444925421583,0.0,4.930147640282355e-05,0.0
1523,0.00014597364393661598,0.0,5.6077971229180025e-05,0.0
1524,9.844829609002253e-05,0.0,8.749382245046686e-05,0.0
1525,9.844829609002253e-05,0.0,8.749382245046686e-05,0.0
1526,0.00010353349197040578,0.0,0.0001014781111215208,0.0
1527,7.612564357779255e-05,0.0,9.730735161740865e-05,0.0
1528,0.0001053921519737092,0.0,9.939781648427015e-05,0.0
1529,8.634961133273984e-05,0.0,9.305030276404327e-05,0.0
1530,6.083412933678899e-05,7.289485048594153e-07,9.283434454638544e-05,0.0
1531,7.555480988230556e-05,7.289485048594153e-07,2.263529014661409e-05,0.0
1532,7.735847624904377e-05,7.289485048594153e-07,2.3086206738298642e-05,0.0
1533,7.227328036866052e-05,7.289485048594153e-07,1.708365604307411e-05,0.0
1534,0.00029698859530721426,7.289485048594153e-07,1.708365604307411e-05,0.0
1535,0.0002895596409351648,7.289485048594153e-07,3.8336783193569446e-05,0.0
1536,0.0005780451570639603,7.289485048594153e-07,3.878404757935121e-05,0.0
1537,0.0005953934431610313,0.0,6.779550975417286e-05,0.0
1538,0.000572414050241475,0.0,7.41483868945839e-05,0.0
1539,0.0005722706061663173,0.0,7.452758144868962e-05,0.0
1540,0.0005722706061663173,0.0,6.654584347286021e-05,0.0
1541,0.0003816745037121499,0.0,6.654584347286021e-05,0.0
1542,0.0003944438155615769,0.0,4.922083680217578e-05,0.0
1543,0.00010595829943278139,0.0,4.877357241639402e-05,0.0
1544,9.250398319896444e-05,0.0,2.739027617540809e-05,0.0
1545,0.00016055569046459693,0.0,2.8539161836046594e-05,0.0
1546,0.00017008371651172638,0.0,3.330317485961132e-05,0.0
1547,0.00017663799891514436,0.0,3.330317485961132e-05,0.0
1548,0.00025457899443738697,0.0,3.4492142601396025e-05,0.0
1549,0.00022846073261462152,0.0,2.8473557254723607e-05,0.0
1550,0.0002851970327485885,0.0,2.9554248677803635e-05,0.0
1551,0.0003008585044881329,0.0,1.7726743278347256e-05,0.0
1552,0.00024362346240585403,0.0,5.637608442806855e-05,0.0
1553,0.00023243521406714405,0.0,5.0781960258713556e-05,0.0
1554,0.00023513753382888223,0.0,5.0781960258713556e-05,0.0
1555,0.0001308901306141966,0.0,5.4400872548805114e-05,0.0
1556,0.00012448327912092542,0.0,6.897314070946387e-05,0.0
1557,6.774697898695845e-05,0.0,9.592747483111452e-05,0.0
1558,7.361893871607858e-05,0.0,9.424832634457354e-05,0.0
1559,8.687139909722776e-05,0.0,5.32548920091358e-05,0.0
1560,0.00010840853091005036,0.0,0.00023946134894816038,0.0
1561,0.0001068101864802884,0.0,0.0002471196066835546,0.0
1562,0.0001843276838501749,0.0,0.00024408944123674052,0.0
1563,0.00023816440131797987,0.0,0.00024088271571339907,0.0
1564,0.00025724934208223464,0.0,0.0002128476901686684,0.0
1565,0.00047059559489883086,0.0,0.00021418924279714702,0.0
1566,0.00046937051489034535,0.0,0.00039749495733433705,0.0
1567,0.0004880948238548756,0.0,0.0002883993985441131,0.0
1568,0.0004804365661194814,0.0,0.000283682222158989,0.0
1569,0.0004864590217558933,0.0,0.00030418566841815064,0.0
1570,0.00043960662566990195,0.0,0.0002943311380607026,0.0
1571,0.00042297353658276346,0.0,0.00030904224812340023,0.0
1572,0.00018417479701124,0.0,0.0003116982938341347,0.0
1573,0.00017643166367114254,0.0,0.0001244933190329383,0.0
1574,0.00015251156946760602,0.0,4.7927132430101794e-05,0.0
1575,0.0001751426020096655,0.0,4.498605107983167e-05,0.0
1576,9.685957723247287e-05,0.0,3.847870587898277e-05,0.0
1577,0.00013116859242602783,0.0,0.0001951592024787325,0.0
1578,0.00013233043734674408,0.0,0.00018357996288744159,0.0
1579,0.00026870621175995827,0.0,0.00018084058030711146,0.0
1580,0.0002694526730400477,0.0,0.00018057263179928538,0.0
1581,0.00028218338801317647,0.0,0.00020079367790718346,0.0
1582,0.0002930708648948764,0.0,0.00020330756621790767,0.0
1583,0.00030667568639078775,0.0,0.00019282059910048183,0.0
