ngram,web,wb,webb,webb
1500,1.0256653126816673e-06,0.0,0.0,0.0
1501,8.205322501453338e-07,0.0,0.0,0.0
1502,6.837768751211115e-07,0.0,0.0,0.0
1503,5.860944643895241e-07,0.0,0.0,0.0
1504,1.8511147053296944e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.2844902040170772e-05,0.0,0.0,0.0
1518,2.2844902040170772e-05,0.0,0.0,0.0
1519,2.2844902040170772e-05,0.0,0.0,0.0
1520,2.373863623818449e-05,0.0,0.0,0.0
1521,2.373863623818449e-05,0.0,0.0,0.0
1522,2.373863623818449e-05,0.0,0.0,0.0
1523,2.373863623818449e-05,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,7.289485048594153e-07,0.0,0.0
1531,0.0,7.289485048594153e-07,0.0,0.0
1532,4.509165916845502e-07,7.289485048594153e-07,0.0,0.0
1533,4.509165916845502e-07,7.289485048594153e-07,0.0,0.0
1534,4.509165916845502e-07,2.133419197239813e-06,0.0,0.0
1535,4.509165916845502e-07,2.133419197239813e-06,0.0,0.0
1536,4.509165916845502e-07,2.133419197239813e-06,0.0,0.0
1537,4.509165916845502e-07,1.4044706923803979e-06,0.0,0.0
1538,4.509165916845502e-07,1.4044706923803979e-06,0.0,0.0
1539,0.0,1.4044706923803979e-06,0.0,0.0
1540,0.0,1.4044706923803979e-06,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0
1545,4.0702502701606136e-07,0.0,0.0,0.0
1546,4.0702502701606136e-07,0.0,0.0,0.0
1547,4.0702502701606136e-07,0.0,0.0,0.0
1548,4.0702502701606136e-07,0.0,0.0,0.0
1549,4.0702502701606136e-07,0.0,0.0,0.0
1550,9.473707385560764e-07,0.0,0.0,0.0
1551,8.082658138976382e-07,0.0,0.0,0.0
1552,5.40345711540015e-07,0.0,0.0,0.0
1553,5.40345711540015e-07,0.0,0.0,0.0
1554,5.40345711540015e-07,0.0,0.0,0.0
1555,1.1413307155245484e-06,0.0,0.0,0.0
1556,1.1413307155245484e-06,0.0,0.0,0.0
1557,9.945993172420589e-06,0.0,0.0,0.0
1558,9.945993172420589e-06,0.0,0.0,0.0
1559,9.945993172420589e-06,0.0,0.0,0.0
1560,9.945993172420589e-06,4.4869024610047094e-07,0.0,0.0
1561,9.945993172420589e-06,4.4869024610047094e-07,0.0,0.0
1562,9.345008168436055e-06,4.4869024610047094e-07,0.0,0.0
1563,9.345008168436055e-06,4.4869024610047094e-07,0.0,0.0
1564,0.0,4.4869024610047094e-07,0.0,0.0
1565,0.0,4.4869024610047094e-07,0.0,0.0
1566,0.0,4.4869024610047094e-07,0.0,0.0
1567,6.823973178273133e-07,0.0,0.0,0.0
1568,6.823973178273133e-07,0.0,0.0,0.0
1569,1.4251026446540242e-06,0.0,0.0,0.0
1570,1.4251026446540242e-06,0.0,0.0,0.0
1571,1.4251026446540242e-06,0.0,0.0,0.0
1572,1.4251026446540242e-06,0.0,0.0,0.0
1573,1.4251026446540242e-06,0.0,0.0,0.0
1574,7.427053268267108e-07,0.0,0.0,0.0
1575,7.427053268267108e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1576,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1577,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1578,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1579,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1580,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1581,9.013608957632511e-07,0.0,1.2572796289792417e-06,1.2572796289792417e-06
1582,1.320342270056634e-06,0.0,0.0,0.0
1583,4.189813742933828e-07,0.0,0.0,0.0
1584,4.189813742933828e-07,0.0,0.0,0.0
1585,6.076994623072096e-07,0.0,0.0,0.0
1586,6.076994623072096e-07,0.0,0.0,0.0
1587,9.537790219837916e-07,0.0,0.0,0.0
1588,9.537790219837916e-07,0.0,0.0,0.0
1589,7.215241209580978e-07,0.0,0.0,0.0
1590,2.5413536377527635e-06,0.0,2.599756498966599e-07,2.599756498966599e-07
1591,3.607487493744494e-06,0.0,5.265091138945926e-07,5.265091138945926e-07
1592,3.418769405730667e-06,0.0,5.265091138945926e-07,5.265091138945926e-07
1593,3.6420461323619487e-06,0.0,5.265091138945926e-07,5.265091138945926e-07
1594,3.6312297392474387e-06,0.0,5.265091138945926e-07,5.265091138945926e-07
1595,4.082026829824567e-06,4.5079709057712793e-07,5.265091138945926e-07,5.265091138945926e-07
1596,3.895300356556877e-06,4.5079709057712793e-07,5.265091138945926e-07,5.265091138945926e-07
1597,2.438657117766395e-06,4.5079709057712793e-07,2.6653346399793267e-07,2.6653346399793267e-07
1598,1.5494589271319065e-06,4.5079709057712793e-07,0.0,0.0
1599,1.5494589271319065e-06,4.5079709057712793e-07,1.1791114827376856e-07,1.1791114827376856e-07
1600,1.6457004546412333e-06,4.5079709057712793e-07,1.1791114827376856e-07,1.1791114827376856e-07
1601,1.701085011518444e-06,4.5079709057712793e-07,1.1791114827376856e-07,1.1791114827376856e-07
1602,1.3546886391070854e-06,0.0,1.1791114827376856e-07,1.1791114827376856e-07
1603,1.7667987484466202e-06,4.121101093395347e-07,1.1791114827376856e-07,1.1791114827376856e-07
1604,1.4036124704424374e-06,4.121101093395347e-07,1.1791114827376856e-07,1.1791114827376856e-07
1605,1.788861270922228e-06,4.121101093395347e-07,1.1791114827376856e-07,1.1791114827376856e-07
1606,2.9099827867997064e-06,4.921902164564276e-07,0.0,0.0
1607,3.3369616078614073e-06,4.921902164564276e-07,0.0,0.0
1608,3.745024270886331e-06,4.921902164564276e-07,0.0,0.0
1609,4.017971507762143e-06,4.921902164564276e-07,0.0,0.0
1610,4.370550966216667e-06,8.008010711689297e-08,0.0,0.0
1611,4.7802000803390655e-06,8.008010711689297e-08,0.0,0.0
1612,4.218015614502032e-06,3.490808353490138e-07,0.0,0.0
1613,3.2567045796635545e-06,2.6900072823212084e-07,0.0,0.0
1614,2.510207504461245e-06,2.6900072823212084e-07,0.0,0.0
1615,1.711497117997039e-06,2.6900072823212084e-07,0.0,0.0
1616,1.3341491629554575e-06,2.6900072823212084e-07,0.0,0.0
1617,6.930009297840505e-07,3.9254206285477267e-07,0.0,0.0
1618,3.8182895423233276e-07,3.9254206285477267e-07,0.0,0.0
1619,8.319669534882581e-07,1.2354133462265183e-07,0.0,0.0
1620,9.743732139863174e-07,2.2428024846833849e-07,0.0,0.0
1621,9.743732139863174e-07,5.811162395730207e-07,3.5683599110468223e-07,3.5683599110468223e-07
1622,9.743732139863174e-07,8.625098725393141e-07,3.5683599110468223e-07,3.5683599110468223e-07
1623,9.743732139863174e-07,8.625098725393141e-07,3.5683599110468223e-07,3.5683599110468223e-07
1624,8.508318793636655e-07,8.883007304965369e-07,5.061681836845569e-07,5.061681836845569e-07
1625,1.1676781923597446e-06,8.883007304965369e-07,5.061681836845569e-07,5.061681836845569e-07
1626,7.175401931038193e-07,8.883007304965369e-07,5.061681836845569e-07,5.061681836845569e-07
