ngram,bird,bid,brd,bird
1557,2.0132238335333697e-05,2.361197143077983e-06,0.0,2.0132238335333697e-05
1558,2.0132238335333697e-05,0.0,0.0,2.0132238335333697e-05
1559,5.1355259659300956e-05,1.3753786333836615e-05,0.0,5.1355259659300956e-05
1560,5.2252640151501896e-05,1.868937917086961e-05,0.0,5.2252640151501896e-05
1561,5.2252640151501896e-05,1.868937917086961e-05,0.0,5.2252640151501896e-05
1562,5.2252640151501896e-05,2.0467093755931793e-05,0.0,5.2252640151501896e-05
1563,5.2252640151501896e-05,2.0467093755931793e-05,0.0,5.2252640151501896e-05
1564,4.628591731099212e-05,2.0467093755931793e-05,0.0,4.628591731099212e-05
1565,4.628591731099212e-05,2.2490695040947424e-05,0.0,4.628591731099212e-05
1566,1.3620673988563275e-05,8.73690870711081e-06,0.0,1.3620673988563275e-05
1567,1.5452882767671588e-05,5.166110505732442e-06,0.0,1.5452882767671588e-05
1568,1.5452882767671588e-05,5.166110505732442e-06,0.0,1.5452882767671588e-05
1569,1.6195588094498297e-05,3.3883959206702585e-06,0.0,1.6195588094498297e-05
1570,1.6195588094498297e-05,3.3883959206702585e-06,0.0,1.6195588094498297e-05
1571,5.924146275252237e-06,3.3883959206702585e-06,0.0,5.924146275252237e-06
1572,8.003989413347362e-06,6.04444163140475e-06,0.0,8.003989413347362e-06
1573,9.26239876467402e-06,7.302850982731408e-06,0.0,9.26239876467402e-06
1574,8.166944098775275e-06,7.0274794390050895e-06,0.0,8.166944098775275e-06
1575,1.068150335673376e-05,8.284759067984332e-06,0.0,1.068150335673376e-05
1576,1.0389478477788674e-05,1.3242244222055888e-05,0.0,1.0389478477788674e-05
1577,1.0389478477788674e-05,1.3242244222055888e-05,0.0,1.0389478477788674e-05
1578,1.0346757952512625e-05,1.4928636054329608e-05,0.0,1.0346757952512625e-05
1579,1.3440953255537482e-05,1.154249866885948e-05,0.0,1.3440953255537482e-05
1580,1.2182543904210824e-05,1.1274550161033403e-05,0.0,1.2182543904210824e-05
1581,1.2328331487359329e-05,1.552489363478214e-05,0.0,1.2328331487359329e-05
1582,1.0232753603694228e-05,1.803844634196139e-05,0.0,1.0232753603694228e-05
1583,9.782073155812604e-06,1.4522829003128987e-05,0.0,9.782073155812604e-06
1584,9.782073155812604e-06,1.542194058856694e-05,0.0,9.782073155812604e-06
1585,8.505250564537295e-06,1.845350107032573e-05,0.0,8.505250564537295e-06
1586,4.7689998154965e-06,2.1473354536283296e-05,1.4377876920791875e-06,4.7689998154965e-06
1587,9.268034156255972e-06,2.5328007398327047e-05,1.4377876920791875e-06,9.268034156255972e-06
1588,8.157617782801805e-06,2.1327252462859697e-05,1.4377876920791875e-06,8.157617782801805e-06
1589,1.0352806904328255e-05,3.2867991064579526e-05,1.4377876920791875e-06,1.0352806904328255e-05
