ngram,basis,bais,bssis,basisi
1500,8.617168896307703e-05,0.0,0.0,0.0
1501,6.893735117046163e-05,0.0,0.0,0.0
1502,5.885347945877584e-05,0.0,0.0,0.0
1503,7.721983976287967e-05,0.0,0.0,0.0
1504,7.285941865120549e-05,0.0,0.0,0.0
1505,6.936715232898547e-05,0.0,0.0,0.0
1506,6.936715232898547e-05,0.0,0.0,0.0
1507,6.936715232898547e-05,0.0,0.0,0.0
1508,6.936715232898547e-05,0.0,0.0,0.0
1509,6.816227791465021e-05,0.0,0.0,0.0
1510,4.1388277687864115e-05,0.0,0.0,0.0
1511,2.9041074282888856e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.1688088956621609e-05,0.0,0.0,0.0
1518,1.1688088956621609e-05,0.0,0.0,0.0
1519,1.1688088956621609e-05,0.0,0.0,0.0
1520,1.8242139568818467e-05,0.0,0.0,0.0
1521,1.8242139568818467e-05,0.0,0.0,0.0
1522,2.1415896428931903e-05,0.0,0.0,0.0
1523,8.610062312592553e-05,0.0,0.0,0.0
1524,7.647721226281387e-05,0.0,0.0,0.0
1525,7.647721226281387e-05,0.0,0.0,0.0
1526,0.00013368566383828044,0.0,0.0,0.0
1527,0.00012713161322608357,0.0,0.0,0.0
1528,0.00018461939505089373,0.0,0.0,0.0
1529,0.0001814456381907803,0.0,0.0,0.0
1530,0.00011676091149378667,0.0,0.0,0.0
1531,0.00011469623340027673,0.0,0.0,0.0
1532,0.00016745347446495934,0.0,0.0,0.0
1533,0.00011024502288949276,0.0,0.0,0.0
1534,0.00011024502288949276,0.0,0.0,0.0
1535,5.27572410646826e-05,0.0,0.0,0.0
1536,6.617517231331606e-05,0.0,0.0,0.0
1537,6.617517231331606e-05,0.0,0.0,0.0
1538,6.617517231331606e-05,0.0,0.0,0.0
1539,2.752982046721237e-05,0.0,0.0,0.0
1540,2.752982046721237e-05,0.0,0.0,0.0
1541,2.752982046721237e-05,0.0,0.0,0.0
1542,3.956699116055721e-05,0.0,0.0,0.0
1543,2.614905991192375e-05,0.0,0.0,0.0
1544,2.6844584551456918e-05,0.0,0.0,0.0
1545,2.6844584551456918e-05,0.0,0.0,0.0
1546,1.4970344896677748e-05,0.0,0.0,0.0
1547,2.1524627300095744e-05,0.0,0.0,0.0
1548,3.757569226893663e-05,0.0,0.0,0.0
1549,2.5538521575591794e-05,0.0,0.0,0.0
1550,7.36292918840523e-05,0.0,0.0,0.0
1551,7.529496438759711e-05,0.0,0.0,0.0
1552,8.611162957095075e-05,0.0,0.0,0.0
1553,8.387398000715101e-05,0.0,0.0,0.0
1554,7.731969760373301e-05,0.0,0.0,0.0
1555,6.787946793857762e-05,0.0,0.0,0.0
1556,0.0001251276628733779,0.0,0.0,0.0
1557,7.703689256491739e-05,0.0,0.0,0.0
1558,0.00011900885770696082,0.0,0.0,0.0
1559,0.00010819219252360719,0.0,0.0,0.0
1560,0.0001095382632619086,0.0,0.0,0.0
1561,0.0001095382632619086,0.0,0.0,0.0
1562,0.0001029274279582231,0.0,0.0,0.0
1563,4.7497719866182054e-05,0.0,0.0,0.0
1564,4.7497719866182054e-05,0.0,0.0,0.0
1565,3.1645575810606327e-06,0.0,0.0,0.0
1566,1.0779239606303495e-05,0.0,0.0,0.0
1567,9.433168868002082e-06,0.0,0.0,0.0
1568,1.237425021827221e-05,0.0,0.0,0.0
1569,1.9058598159712608e-05,0.0,0.0,0.0
1570,1.7240111316953388e-05,0.0,0.0,0.0
