ngram,writing,wrting,writng,writting
1500,4.423419613885926e-05,0.0,0.0,0.0
1501,3.538735691108741e-05,0.0,0.0,0.0
1502,5.7427489688658774e-05,0.0,0.0,0.0
1503,5.814822933254098e-05,0.0,0.0,0.0
1504,5.5487607304322796e-05,0.0,0.0,0.0
1505,6.0580126955755986e-05,0.0,0.0,0.0
1506,6.0580126955755986e-05,0.0,0.0,0.0
1507,6.0580126955755986e-05,0.0,0.0,0.0
1508,6.0580126955755986e-05,0.0,0.0,0.0
1509,3.663324787339661e-05,0.0,0.0,0.0
1510,2.770858113113458e-05,0.0,0.0,0.0
1511,2.4621780279890766e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.0281941812884596e-05,0.0,0.0,0.0
1515,2.0281941812884596e-05,0.0,0.0,0.0
1516,2.0281941812884596e-05,0.0,0.0,0.0
1517,2.6125986291195398e-05,0.0,0.0,0.0
1518,2.6125986291195398e-05,0.0,0.0,0.0
1519,2.6125986291195398e-05,0.0,0.0,0.0
1520,3.0892568507364816e-05,0.0,0.0,0.0
1521,1.0610626694480224e-05,0.0,0.0,0.0
1522,2.0131897014964905e-05,0.0,0.0,0.0
1523,2.1980032085723777e-05,0.0,0.0,0.0
1524,1.820066570092292e-05,0.0,0.0,0.0
1525,1.820066570092292e-05,0.0,0.0,0.0
1526,1.8836315185970826e-05,0.0,0.0,0.0
1527,1.4069732969801407e-05,0.0,0.0,0.0
1528,1.616019783666291e-05,0.0,0.0,0.0
1529,6.638927516178228e-06,0.0,0.0,0.0
1530,5.519740950278772e-06,0.0,0.0,0.0
1531,2.0689607026724843e-05,0.0,0.0,0.0
1532,2.1140523618409395e-05,0.0,0.0,0.0
1533,2.0504874133361488e-05,0.0,0.0,0.0
1534,2.1909344825741884e-05,0.0,0.0,0.0
1535,4.9563136047124446e-05,0.0,0.0,0.0
1536,6.29810672957579e-05,0.0,0.0,0.0
1537,6.225211879089849e-05,0.0,0.0,0.0
1538,4.819401319114799e-05,0.0,0.0,0.0
1539,5.106354118262451e-05,0.0,0.0,8.301111457902672e-07
1540,5.106354118262451e-05,0.0,0.0,8.301111457902672e-07
1541,4.965907049024411e-05,0.0,0.0,8.301111457902672e-07
1542,9.966107271403806e-05,0.0,0.0,8.301111457902672e-07
1543,8.62431414654046e-05,0.0,0.0,8.301111457902672e-07
1544,0.00010043184400793897,0.0,0.0,8.301111457902672e-07
1545,0.00010020252661239024,0.0,0.0,1.6338714366221602e-06
1546,0.00010107767489638977,0.0,0.0,8.037602908318929e-07
1547,0.00010763195729980777,0.0,0.0,8.037602908318929e-07
1548,0.00012100784390765642,0.0,0.0,8.037602908318929e-07
1549,4.4899558685886275e-05,0.0,0.0,8.037602908318929e-07
1550,7.245718994194508e-05,0.0,0.0,8.037602908318929e-07
1551,7.71580645440346e-05,0.0,0.0,8.037602908318929e-07
