ngram,group,grup,grop,grooup
1500,3.2096272207127186e-05,0.0,0.0,0.0
1501,2.567701776570175e-05,0.0,0.0,0.0
1502,2.1397514804751456e-05,0.0,0.0,0.0
1503,2.726539371776328e-05,0.0,0.0,0.0
1504,2.405752976691084e-05,0.0,0.0,0.0
1505,1.4290952094597742e-05,0.0,0.0,0.0
1506,1.4290952094597742e-05,0.0,0.0,0.0
1507,1.4290952094597742e-05,0.0,0.0,0.0
1508,1.4290952094597742e-05,0.0,0.0,0.0
1509,1.4290952094597742e-05,0.0,0.0,0.0
1510,5.3662853523357105e-06,0.0,0.0,0.0
1511,5.3662853523357105e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,6.322193907440774e-05,0.0,0.0,0.0
1518,6.322193907440774e-05,0.0,0.0,0.0
1519,6.322193907440774e-05,0.0,0.0,0.0
1520,7.543630636064336e-05,0.0,0.0,0.0
1521,7.543630636064336e-05,0.0,0.0,0.0
1522,8.495757668112804e-05,0.0,0.0,0.0
1523,0.00016011506730657338,0.0,0.0,0.0
1524,9.689312823216564e-05,0.0,0.0,0.0
1525,9.689312823216564e-05,0.0,0.0,0.0
1526,0.00015155898602513065,0.0,0.0,0.0
1527,0.000139344618738895,0.0,0.0,0.0
1528,0.000139344618738895,0.0,0.0,0.0
1529,0.00012982334841841033,0.0,0.0,0.0
1530,5.4665857792965e-05,0.0,0.0,0.0
1531,5.4665857792965e-05,0.0,0.0,0.0
1532,6.23314398191204e-05,0.0,0.0,0.0
1533,7.665582026155399e-06,0.0,0.0,0.0
1534,7.665582026155399e-06,0.0,0.0,0.0
1535,7.665582026155399e-06,0.0,0.0,0.0
1536,1.1690961400745437e-05,0.0,0.0,0.0
1537,1.1690961400745437e-05,0.0,0.0,0.0
1538,1.1690961400745437e-05,0.0,0.0,0.0
1539,8.175935103541373e-06,0.0,0.0,0.0
1540,8.175935103541373e-06,0.0,0.0,0.0
1541,8.175935103541373e-06,0.0,0.0,0.0
1542,9.680581440209477e-06,0.0,0.0,0.0
1543,5.65520206561944e-06,0.0,0.0,0.0
1544,6.072516823353778e-06,0.0,0.0,0.0
1545,6.072516823353778e-06,0.0,0.0,0.0
1546,1.921961094402442e-06,0.0,0.0,0.0
