ngram,signal,sigal,signl,sgnal
1500,4.346102343788516e-06,0.0,0.0,0.0
1501,3.4768818750308126e-06,0.0,0.0,0.0
1502,3.073112414616238e-06,0.0,0.0,0.0
1503,2.6340963553853465e-06,0.0,0.0,0.0
1504,2.233113361528792e-06,0.0,0.0,0.0
1505,4.66273149868357e-07,0.0,0.0,0.0
1506,4.66273149868357e-07,0.0,0.0,0.0
1507,4.66273149868357e-07,0.0,0.0,0.0
1508,4.66273149868357e-07,0.0,0.0,0.0
1509,3.156638480764481e-07,0.0,0.0,0.0
1510,3.156638480764481e-07,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,8.341519008224299e-06,0.0,0.0,0.0
1521,8.341519008224299e-06,0.0,0.0,0.0
1522,1.1515275868337735e-05,0.0,0.0,0.0
1523,1.2747365872201044e-05,0.0,0.0,0.0
1524,1.2747365872201044e-05,0.0,0.0,0.0
1525,1.2747365872201044e-05,0.0,0.0,0.0
1526,4.198724218440475e-05,0.0,0.0,0.0
1527,3.364572317618045e-05,0.0,0.0,0.0
1528,3.364572317618045e-05,0.0,0.0,0.0
1529,3.0471966316067016e-05,0.0,0.0,0.0
1530,2.9239876312203705e-05,0.0,0.0,0.0
1531,2.9239876312203705e-05,0.0,0.0,0.0
1532,3.0141709495572805e-05,0.0,0.0,0.0
1533,9.018331833691004e-07,0.0,0.0,0.0
1534,9.018331833691004e-07,0.0,0.0,0.0
1535,9.018331833691004e-07,0.0,0.0,0.0
1536,9.018331833691004e-07,0.0,0.0,0.0
1537,9.018331833691004e-07,0.0,0.0,0.0
1538,9.018331833691004e-07,0.0,0.0,0.0
1539,1.3281778332644275e-05,0.0,0.0,0.0
1540,1.3281778332644275e-05,0.0,0.0,0.0
1541,1.3281778332644275e-05,0.0,0.0,0.0
1542,1.4786424669312379e-05,0.0,0.0,0.0
1543,1.4786424669312379e-05,0.0,0.0,0.0
1544,1.603836894251539e-05,0.0,0.0,0.0
1545,1.603836894251539e-05,0.0,0.0,0.0
1546,2.756590609871117e-06,0.0,0.0,0.0
1547,6.033731811580115e-06,0.0,0.0,0.0
1548,7.519941521292951e-06,0.0,0.0,0.0
1549,7.227952924690076e-06,0.0,0.0,0.0
1550,8.848990026828168e-06,0.0,0.0,0.0
1551,7.597045753625155e-06,0.0,0.0,0.0
1552,8.318156752855949e-06,0.0,0.0,0.0
1553,8.318156752855949e-06,0.0,0.0,0.0
1554,5.041015551146952e-06,0.0,0.0,0.0
1555,3.554805841434115e-06,0.0,0.0,0.0
1556,1.1710034998811483e-05,0.0,0.0,0.0
1557,1.008899789667339e-05,0.0,0.0,0.0
1558,1.008899789667339e-05,0.0,0.0,0.0
1559,9.367886897442596e-06,0.0,0.0,0.0
1560,1.6546930835050133e-05,0.0,0.0,0.0
1561,1.6546930835050133e-05,0.0,0.0,0.0
1562,1.6546930835050133e-05,0.0,0.0,0.0
1563,7.179043937607535e-06,0.0,0.0,0.0
1564,7.179043937607535e-06,0.0,0.0,0.0
1565,7.179043937607535e-06,0.0,0.0,0.0
1566,7.179043937607535e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,1.8027217915265022e-06,0.0,0.0,0.0
1577,1.8027217915265022e-06,0.0,0.0,0.0
1578,5.898244775640446e-06,0.0,0.0,0.0
1579,1.5599566982668227e-05,0.0,0.0,0.0
1580,1.5599566982668227e-05,0.0,0.0,0.0
1581,1.5599566982668227e-05,0.0,0.0,0.0
1582,1.5599566982668227e-05,0.0,0.0,0.0
1583,1.4517779098761302e-05,0.0,0.0,0.0
1584,1.4517779098761302e-05,0.0,0.0,0.0
1585,1.0422256114647358e-05,0.0,0.0,0.0
1586,7.209339076195777e-07,0.0,0.0,0.0
1587,7.209339076195777e-07,0.0,0.0,0.0
1588,7.209339076195777e-07,0.0,0.0,0.0
1589,9.076603808872668e-07,0.0,0.0,0.0
1590,4.46702123164349e-07,0.0,0.0,0.0
1591,1.779369378190105e-06,0.0,0.0,0.0
1592,1.779369378190105e-06,0.0,0.0,0.0
1593,2.225922831452668e-06,0.0,0.0,0.0
1594,2.225922831452668e-06,0.0,0.0,0.0
1595,2.225922831452668e-06,0.0,0.0,0.0
1596,2.039196358184979e-06,0.0,0.0,0.0
1597,1.9002828009563797e-06,0.0,0.0,0.0
1598,3.265884418267108e-06,0.0,0.0,0.0
1599,3.265884418267108e-06,0.0,0.0,0.0
1600,3.990897864371488e-06,0.0,0.0,0.0
1601,4.772193311250053e-06,0.0,0.0,0.0
1602,6.338204035013664e-06,0.0,0.0,0.0
1603,6.338204035013664e-06,0.0,0.0,0.0
1604,7.74957477135883e-06,0.0,0.0,0.0
1605,5.051305899022347e-06,0.0,0.0,0.0
1606,5.211466113256133e-06,0.0,0.0,0.0
1607,4.039899213889189e-06,0.0,0.0,0.0
1608,3.2586037670106246e-06,0.0,0.0,0.0
1609,1.6925930432470132e-06,0.0,0.0,0.0
1610,1.6925930432470132e-06,0.0,0.0,0.0
1611,1.6016021423378595e-07,0.0,0.0,0.0
1612,1.6016021423378595e-07,0.0,0.0,0.0
1613,3.196209620780012e-07,0.0,0.0,0.0
1614,1.3084502370475093e-06,0.0,0.0,0.0
1615,1.3084502370475093e-06,0.0,0.0,0.0
1616,1.6688747694258512e-06,0.0,0.0,0.0
1617,1.6688747694258512e-06,0.0,0.0,0.0
1618,1.9643061932583805e-06,0.0,0.0,0.0
1619,2.1893751928863433e-06,0.0,0.0,0.0
1620,2.474187713882462e-06,0.0,0.0,0.0
1621,1.4853584389129537e-06,0.0,0.0,0.0
1622,1.4853584389129537e-06,0.0,0.0,0.0
1623,1.6637622885744868e-06,0.0,0.0,0.0
1624,5.247734780563665e-06,0.0,0.0,0.0
1625,4.952303356731136e-06,0.0,0.0,0.0
1626,6.564208888448775e-06,0.0,0.0,0.0
1627,6.119546745659525e-06,0.0,0.0,0.0
1628,6.119546745659525e-06,0.0,0.0,0.0
1629,6.367134785380456e-06,0.0,0.0,0.0
1630,2.445809028423745e-05,0.0,0.0,0.0
1631,2.0987477764070457e-05,0.0,0.0,0.0
1632,2.107910389830587e-05,0.0,0.0,0.0
1633,1.924212936696027e-05,0.0,0.0,0.0
1634,2.2908321073243443e-05,0.0,0.0,0.0
1635,2.4060797029181102e-05,0.0,0.0,0.0
1636,2.4247431026326793e-05,0.0,0.0,0.0
1637,5.617647145429926e-06,0.0,0.0,0.0
1638,5.571622210709393e-06,0.0,0.0,0.0
1639,5.557866306357287e-06,0.0,0.0,0.0
1640,5.6606743612519494e-06,0.0,0.0,0.0
1641,1.954155489361905e-06,0.0,0.0,0.0
1642,1.665278209169888e-06,0.0,0.0,0.0
1643,1.4117010656328993e-06,0.0,0.0,0.0
1644,2.0533313228757573e-06,0.0,0.0,0.0
1645,2.6736319033001825e-06,0.0,0.0,0.0
1646,5.517175590544607e-06,0.0,0.0,0.0
1647,5.726504200863149e-06,0.0,0.0,0.0
1648,5.836306205050537e-06,0.0,0.0,0.0
1649,5.285618629256662e-06,0.0,0.0,0.0
1650,5.456334828782669e-06,0.0,0.0,0.0
1651,5.5027058708999125e-06,0.0,0.0,0.0
1652,4.982084435921154e-06,0.0,0.0,0.0
1653,2.437549401942566e-06,0.0,0.0,0.0
1654,3.4113914710230475e-06,0.0,0.0,0.0
1655,4.286103083878905e-06,0.0,0.0,0.0
1656,5.377719194906863e-06,0.0,0.0,0.0
1657,6.166339809559369e-06,0.0,0.0,0.0
1658,6.068110483933456e-06,0.0,0.0,0.0
1659,6.930446228839823e-06,0.0,0.0,0.0
1660,7.836364147806307e-06,0.0,0.0,0.0
1661,7.625351957228434e-06,0.0,0.0,0.0
1662,6.7649933238759075e-06,0.0,0.0,0.0
1663,5.754635984495897e-06,0.0,0.0,0.0
1664,6.343985432977206e-06,0.0,0.0,0.0
1665,6.724229056739464e-06,0.0,0.0,0.0
1666,6.733537475156481e-06,0.0,0.0,0.0
1667,6.781285687143931e-06,0.0,0.0,0.0
1668,6.53763023754956e-06,0.0,0.0,0.0
1669,7.312470188480802e-06,0.0,0.0,0.0
1670,8.193722806026926e-06,0.0,0.0,0.0
1671,7.3639260855478435e-06,0.0,0.0,0.0
1672,6.959724292495853e-06,0.0,0.0,0.0
1673,6.960266481265924e-06,0.0,0.0,0.0
1674,7.061064479785273e-06,0.0,0.0,0.0
1675,7.1563528893290955e-06,0.0,0.0,0.0
1676,7.082737023925542e-06,0.0,0.0,0.0
1677,6.2439351040666224e-06,0.0,0.0,0.0
1678,5.981794954225604e-06,0.0,0.0,0.0
1679,5.92356007343499e-06,0.0,0.0,0.0
1680,6.079086850669617e-06,0.0,0.0,0.0
1681,6.594442538698786e-06,0.0,0.0,0.0
1682,6.43396226353486e-06,0.0,0.0,0.0
1683,7.077979489622521e-06,0.0,0.0,0.0
1684,7.459563156381981e-06,0.0,0.0,0.0
1685,7.4687554842967074e-06,0.0,0.0,0.0
1686,8.646558204158542e-06,0.0,0.0,0.0
1687,8.48183312232972e-06,0.0,0.0,0.0
1688,7.513557583089485e-06,0.0,0.0,0.0
1689,7.757715788362215e-06,0.0,0.0,0.0
1690,7.498173934956347e-06,0.0,0.0,0.0
1691,7.3405531111347955e-06,0.0,0.0,0.0
1692,7.640688246673172e-06,0.0,0.0,0.0
1693,6.394223321746852e-06,0.0,0.0,0.0
1694,5.900703204783245e-06,0.0,0.0,0.0
1695,6.038769892516679e-06,0.0,0.0,0.0
1696,6.571595089813595e-06,0.0,0.0,0.0
1697,6.8145704972266685e-06,0.0,0.0,0.0
1698,7.180742873710447e-06,0.0,0.0,0.0
1699,7.71087914992157e-06,0.0,0.0,1.3069540370582087e-08
1700,8.89669403087672e-06,0.0,0.0,1.3069540370582087e-08
1701,9.626557389960258e-06,0.0,0.0,1.3069540370582087e-08
1702,9.732553800339311e-06,0.0,0.0,1.3069540370582087e-08
1703,9.514396294564773e-06,0.0,0.0,1.3069540370582087e-08
1704,1.0107563931731939e-05,0.0,0.0,1.3069540370582087e-08
1705,1.0555214690352191e-05,0.0,0.0,1.3069540370582087e-08
1706,1.0296648724761326e-05,0.0,0.0,0.0
1707,9.546893774573359e-06,0.0,0.0,0.0
1708,9.746720154778035e-06,0.0,0.0,0.0
1709,1.046026149456988e-05,0.0,0.0,0.0
1710,1.0219862815574743e-05,0.0,0.0,0.0
1711,9.41134723169463e-06,0.0,0.0,0.0
1712,9.294868115310756e-06,0.0,0.0,0.0
1713,1.0813533793095433e-05,0.0,0.0,0.0
1714,1.4044778124246346e-05,0.0,0.0,0.0
1715,1.3541006280450216e-05,0.0,0.0,0.0
1716,1.3136886471849201e-05,0.0,0.0,0.0
1717,1.3404868825870966e-05,0.0,0.0,0.0
1718,1.2992437015262631e-05,0.0,0.0,0.0
1719,1.2358845391905301e-05,0.0,0.0,0.0
1720,1.1080729239308442e-05,0.0,0.0,0.0
1721,8.306037086315752e-06,0.0,0.0,0.0
1722,7.884568146567159e-06,0.0,0.0,0.0
1723,7.649447395254225e-06,0.0,0.0,0.0
1724,8.017098025447922e-06,0.0,0.0,0.0
1725,8.807900680299749e-06,0.0,0.0,0.0
1726,9.16943950609753e-06,0.0,0.0,0.0
1727,8.73700530844092e-06,0.0,0.0,0.0
1728,9.530772136453639e-06,0.0,0.0,0.0
1729,1.0321584146108112e-05,0.0,0.0,0.0
1730,1.0612345314647037e-05,0.0,0.0,0.0
1731,9.944143585016718e-06,0.0,0.0,0.0
1732,9.642048683287743e-06,0.0,0.0,0.0
1733,9.7574097058636e-06,0.0,0.0,0.0
1734,1.0165963690919203e-05,0.0,0.0,0.0
1735,9.353453996092348e-06,0.0,6.466926042289092e-09,0.0
1736,9.157249873429204e-06,0.0,6.466926042289092e-09,0.0
1737,9.50083592345306e-06,0.0,6.466926042289092e-09,0.0
1738,9.92615683311929e-06,0.0,6.466926042289092e-09,0.0
1739,1.0153645884461834e-05,0.0,6.466926042289092e-09,0.0
1740,1.0060527399348627e-05,0.0,6.466926042289092e-09,0.0
1741,1.070503874091498e-05,0.0,6.466926042289092e-09,0.0
1742,1.2166409630611139e-05,0.0,0.0,0.0
1743,1.3352036538500605e-05,0.0,0.0,0.0
1744,1.4228796187256063e-05,0.0,0.0,0.0
1745,1.5206700611867876e-05,0.0,0.0,0.0
1746,1.5333103354870608e-05,0.0,0.0,0.0
1747,1.600510313437553e-05,0.0,0.0,0.0
1748,1.5046667873061129e-05,0.0,3.639731817526938e-09,0.0
1749,1.3546018115968244e-05,0.0,3.639731817526938e-09,0.0
1750,1.4015579056701557e-05,0.0,6.938463264256305e-09,3.298731446729367e-09
1751,1.3217110141080671e-05,0.0,6.938463264256305e-09,3.298731446729367e-09
1752,1.2929523238978749e-05,0.0,6.938463264256305e-09,3.298731446729367e-09
1753,1.3360373876431758e-05,0.0,6.938463264256305e-09,3.298731446729367e-09
1754,1.4412871418504178e-05,0.0,6.938463264256305e-09,3.298731446729367e-09
1755,1.6698157976082128e-05,0.0,3.298731446729367e-09,3.298731446729367e-09
1756,1.9388975358326987e-05,0.0,3.298731446729367e-09,3.298731446729367e-09
1757,2.1165933633580736e-05,0.0,0.0,0.0
1758,2.2640111118172562e-05,0.0,0.0,0.0
1759,2.439309693207698e-05,0.0,0.0,0.0
1760,2.4607641794968265e-05,0.0,0.0,0.0
1761,2.4292467060149647e-05,0.0,2.7755674584081393e-09,0.0
1762,2.2192560468933413e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1763,2.0175566792853976e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1764,1.8536610046534667e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1765,1.72753534570802e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1766,1.5191319627254935e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1767,1.618917537728391e-05,0.0,2.7755674584081393e-09,2.6825820295276313e-09
1768,1.5466135794538006e-05,0.0,0.0,2.6825820295276313e-09
1769,1.6130648353802307e-05,0.0,0.0,0.0
1770,1.657037656903932e-05,0.0,0.0,0.0
1771,1.616108836190376e-05,0.0,0.0,0.0
1772,1.615832349801037e-05,0.0,0.0,0.0
1773,1.6787186593449276e-05,0.0,1.0380763423459679e-08,2.5951908558649197e-09
1774,1.5315756952207137e-05,0.0,1.0380763423459679e-08,2.5951908558649197e-09
1775,1.5338342304208448e-05,0.0,1.0380763423459679e-08,5.483880016754483e-09
1776,1.9868962226610165e-05,0.0,1.0380763423459679e-08,8.196249520356754e-09
1777,2.00497874435054e-05,0.0,1.0380763423459679e-08,8.196249520356754e-09
1778,2.112080372691188e-05,0.0,1.0380763423459679e-08,8.196249520356754e-09
