ngram,spirit,spiritt,spirt,sprit
1500,2.096590890232619e-06,0.0,0.0,1.6197253671634826e-07
1501,1.6772727121860954e-06,0.0,0.0,1.295780293730786e-07
1502,2.979124966865735e-06,0.0,0.0,1.0798169114423217e-07
1503,2.553535685884916e-06,0.0,0.0,9.255573526648472e-08
1504,8.59347639042036e-06,0.0,0.0,9.255573526648472e-08
1505,7.84474929917321e-06,0.0,0.0,0.0
1506,7.84474929917321e-06,0.0,0.0,0.0
1507,7.84474929917321e-06,0.0,0.0,0.0
1508,7.84474929917321e-06,0.0,0.0,0.0
1509,6.489265550564076e-06,0.0,0.0,0.0
1510,6.489265550564076e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,7.723535840601212e-06,0.0,0.0,0.0
1518,7.723535840601212e-06,0.0,0.0,0.0
1519,7.723535840601212e-06,0.0,0.0,0.0
1520,2.3512839918891715e-05,0.0,0.0,0.0
1521,2.3227178774374935e-05,0.0,0.0,0.0
1522,2.640093563448837e-05,0.0,0.0,0.0
1523,3.2561385523877107e-05,0.0,0.0,0.0
1524,2.5123510827792677e-05,0.0,0.0,0.0
1525,2.5123510827792677e-05,0.0,0.0,0.0
1526,2.5759160312840583e-05,0.0,0.0,0.0
1527,9.969856234550076e-06,0.0,0.0,0.0
1528,9.969856234550076e-06,0.0,0.0,0.0
1529,6.79609937443664e-06,0.0,0.0,0.0
1530,7.925134663569874e-06,0.0,0.0,1.4578970097188306e-06
1531,3.090452758312624e-05,0.0,0.0,1.4578970097188306e-06
1532,3.090452758312624e-05,0.0,0.0,1.4578970097188306e-06
1533,3.026887809807834e-05,0.0,0.0,1.4578970097188306e-06
1534,4.010017281481331e-05,0.0,0.0,1.4578970097188306e-06
1535,4.160621106815857e-05,0.0,0.0,1.4578970097188306e-06
1536,4.2053475453940337e-05,0.0,0.0,1.4578970097188306e-06
1537,3.476399027541837e-05,0.0,0.0,0.0
1538,1.1784597355861998e-05,0.0,0.0,0.0
1539,1.1784597355861998e-05,0.0,0.0,0.0
1540,1.1784597355861998e-05,0.0,0.0,0.0
1541,1.953302639127027e-06,0.0,0.0,0.0
1542,6.4658497324541846e-06,0.0,0.0,0.0
1543,6.018585346672418e-06,0.0,0.0,0.0
1544,2.090281226888432e-05,0.0,0.0,0.0
1545,2.6529134629527107e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1546,2.876678419332685e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1547,5.498391380699884e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1548,5.617288154878354e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1549,6.228087386261905e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1550,6.76843310429831e-05,2.679201023576232e-07,0.0,2.679201023576232e-07
1551,5.5161301263849183e-05,2.6291172454356067e-06,0.0,2.679201023576232e-07
1552,6.467830995201698e-05,2.361197143077983e-06,0.0,0.0
1553,6.244066038821725e-05,2.361197143077983e-06,0.0,0.0
1554,3.6223530774545255e-05,2.361197143077983e-06,0.0,0.0
1555,3.503456303276055e-05,2.361197143077983e-06,0.0,0.0
1556,2.290798537225263e-05,2.361197143077983e-06,0.0,0.0
1557,1.7504528191888573e-05,2.361197143077983e-06,0.0,0.0
1558,2.4692011980472932e-05,0.0,0.0,0.0
1559,9.548680931662343e-06,0.0,0.0,0.0
1560,3.7367475410324656e-05,0.0,0.0,0.0
1561,3.7367475410324656e-05,0.0,0.0,0.0
1562,5.158919209082212e-05,0.0,0.0,0.0
1563,5.158919209082212e-05,0.0,0.0,0.0
1564,5.795083883900328e-05,0.0,0.0,0.0
1565,5.143755983486439e-05,0.0,0.0,1.011800642507816e-06
1566,5.143755983486439e-05,0.0,0.0,1.011800642507816e-06
1567,5.6373837651335634e-05,0.0,0.0,1.6941979603351292e-06
1568,5.6373837651335634e-05,0.0,0.0,1.6941979603351292e-06
1569,5.032187956593199e-05,0.0,0.0,1.6941979603351292e-06
1570,5.7876940835350456e-05,0.0,0.0,1.6941979603351292e-06
1571,7.113010750409947e-05,0.0,0.0,1.6941979603351292e-06
1572,7.173443113320641e-05,0.0,0.0,6.823973178273133e-07
1573,7.173443113320641e-05,0.0,0.0,6.823973178273133e-07
1574,6.45808010761227e-05,0.0,0.0,0.0
1575,6.45808010761227e-05,0.0,0.0,0.0
1576,7.263553821498394e-05,0.0,0.0,0.0
1577,6.508047694556549e-05,0.0,0.0,0.0
1578,4.932027331960853e-05,0.0,0.0,0.0
1579,5.6675379320430306e-05,0.0,0.0,0.0
1580,6.757044814418935e-05,0.0,0.0,0.0
1581,4.493554271383411e-05,0.0,0.0,0.0
1582,6.420868547658236e-05,0.0,0.0,0.0
1583,7.105407478645378e-05,2.403113025398592e-07,0.0,0.0
1584,9.982564552046824e-05,2.403113025398592e-07,0.0,0.0
1585,0.00011446540780265682,4.2902939055368604e-07,0.0,0.0
1586,0.00010418947009124427,4.2902939055368604e-07,0.0,0.0
1587,9.986991283637638e-05,7.75108950230268e-07,0.0,3.46079559676582e-07
1588,0.00010092041091931086,7.75108950230268e-07,0.0,3.46079559676582e-07
1589,8.743578876289706e-05,7.75108950230268e-07,0.0,3.46079559676582e-07
1590,7.710471059648885e-05,5.347976476904088e-07,0.0,3.46079559676582e-07
1591,5.4996476397458795e-05,5.347976476904088e-07,0.0,3.46079559676582e-07
1592,5.5605201721066677e-05,3.46079559676582e-07,0.0,3.46079559676582e-07
1593,6.649669791970934e-05,3.46079559676582e-07,0.0,3.46079559676582e-07
1594,6.528539701581135e-05,0.0,0.0,0.0
1595,6.893191260002953e-05,0.0,0.0,0.0
1596,6.693092005402182e-05,0.0,0.0,0.0
1597,7.319886234264621e-05,0.0,0.0,0.0
1598,6.91010929066189e-05,0.0,0.0,0.0
1599,5.32995075315869e-05,1.1791114827376856e-07,0.0,0.0
1600,7.449299066917905e-05,1.1791114827376856e-07,0.0,0.0
1601,7.694173447297154e-05,1.4851781803112577e-06,0.0,1.953238617196413e-07
1602,7.637743302828832e-05,1.4851781803112577e-06,0.0,1.953238617196413e-07
1603,9.072274925918984e-05,1.8972882896507924e-06,0.0,1.953238617196413e-07
1604,7.614302843908913e-05,1.8972882896507924e-06,0.0,3.655941814681033e-07
1605,0.00010022500542358362,1.8972882896507924e-06,0.0,3.655941814681033e-07
1606,0.00012190848740699169,1.7793771413770237e-06,0.0,4.4567428858499625e-07
1607,0.00010328805832874164,1.7793771413770237e-06,0.0,4.4567428858499625e-07
1608,0.00012622545442094894,4.121101093395347e-07,0.0,2.5035042686535493e-07
1609,0.00013195603553737913,4.121101093395347e-07,0.0,2.5035042686535493e-07
1610,0.0001306463621274036,0.0,0.0,2.5035042686535493e-07
1611,0.00013174959687083692,1.0241227853059951e-07,0.0,8.008010711689297e-08
1612,0.00017531124363553578,1.0241227853059951e-07,0.0,8.008010711689297e-08
1613,0.00017062217999149913,1.0241227853059951e-07,0.0,4.79431426876025e-07
1614,0.0001613828821323945,1.0241227853059951e-07,0.0,4.79431426876025e-07
1615,0.00014129894303290972,1.0241227853059951e-07,0.0,4.79431426876025e-07
1616,0.00014612991591483087,1.0241227853059951e-07,0.0,4.79431426876025e-07
1617,0.00015846250088153674,1.0241227853059951e-07,0.0,7.265140961213287e-07
1618,0.00016583274243332977,0.0,0.0,7.265140961213287e-07
1619,0.0001199310042596023,0.0,0.0,7.265140961213287e-07
1620,0.00011676068970700726,0.0,0.0,2.4708266924530366e-07
1621,0.00012894467155482353,0.0,0.0,2.4708266924530366e-07
1622,0.0001426891581754067,0.0,0.0,2.4708266924530366e-07
1623,0.00013984613594532545,0.0,0.0,5.164968602652412e-07
1624,0.00011561834253370762,0.0,0.0,2.6941419101993755e-07
1625,0.00011434689492619197,0.0,0.0,2.6941419101993755e-07
1626,0.00010404637266349579,0.0,0.0,2.6941419101993755e-07
