ngram,noise,noie,nise,nois
1500,0.0,0.0,0.0,2.3390674641632359e-07
1501,0.0,0.0,0.0,1.8712539713305886e-07
1502,1.581397706710656e-06,0.0,0.0,1.5593783094421573e-07
1503,1.0280150490871165e-05,0.0,0.0,1.336609979521849e-07
1504,1.336695134211498e-05,0.0,0.0,0.0
1505,1.3682615190191427e-05,0.0,0.0,0.0
1506,1.3682615190191427e-05,0.0,0.0,0.0
1507,1.3682615190191427e-05,0.0,0.0,0.0
1508,1.3682615190191427e-05,0.0,0.0,0.0
1509,1.2327131441582293e-05,0.0,0.0,0.0
1510,3.4024646993202623e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,5.713222890335601e-07,0.0,0.0,0.0
1518,5.713222890335601e-07,0.0,0.0,0.0
1519,5.713222890335601e-07,0.0,0.0,0.0
1520,2.0608791991045498e-06,0.0,0.0,0.0
1521,1.48955691007099e-06,0.0,0.0,0.0
1522,4.663313770184427e-06,0.0,0.0,0.0
1523,4.663313770184427e-06,0.0,0.0,0.0
1524,6.727991863694374e-06,4.129356187019896e-06,0.0,0.0
1525,6.727991863694374e-06,4.129356187019896e-06,0.0,0.0
1526,1.117753825902972e-05,4.129356187019896e-06,0.0,0.0
1527,9.687981348958732e-06,4.129356187019896e-06,0.0,0.0
1528,9.687981348958732e-06,4.129356187019896e-06,0.0,0.0
1529,6.514224488845295e-06,4.129356187019896e-06,0.0,0.0
1530,6.514224488845295e-06,4.129356187019896e-06,0.0,0.0
1531,4.4495463953353465e-06,0.0,0.0,0.0
1532,9.409629066275166e-06,0.0,0.0,0.0
1533,4.9600826709398205e-06,0.0,0.0,0.0
1534,4.9600826709398205e-06,0.0,0.0,0.0
1535,4.9600826709398205e-06,0.0,0.0,0.0
1536,4.9600826709398205e-06,0.0,0.0,0.0
1537,4.9600826709398205e-06,0.0,0.0,0.0
1538,8.136521241145342e-06,0.0,0.0,0.0
1539,1.0647438622462297e-05,0.0,0.0,0.0
1540,1.0647438622462297e-05,0.0,0.0,0.0
1541,1.0647438622462297e-05,0.0,0.0,0.0
1542,1.0647438622462297e-05,0.0,0.0,0.0
1543,1.0647438622462297e-05,0.0,0.0,0.0
1544,1.1482068137930973e-05,0.0,0.0,1.391049246584381e-07
1545,8.30562956772545e-06,0.0,0.0,1.391049246584381e-07
1546,8.346295154686751e-07,0.0,0.0,1.391049246584381e-07
1547,8.346295154686751e-07,0.0,0.0,1.391049246584381e-07
1548,8.346295154686751e-07,0.0,0.0,1.391049246584381e-07
1549,2.0472872555339042e-06,0.0,0.0,1.391049246584381e-07
1550,2.0472872555339042e-06,0.0,0.0,1.391049246584381e-07
1551,1.2126577400652292e-06,0.0,0.0,0.0
1552,1.2126577400652292e-06,0.0,0.0,0.0
1553,1.2126577400652292e-06,0.0,0.0,0.0
1554,1.2126577400652292e-06,0.0,0.0,0.0
1555,1.2126577400652292e-06,0.0,0.0,0.0
1556,4.163505114515179e-06,0.0,0.0,0.0
1557,4.163505114515179e-06,0.0,0.0,0.0
1558,4.163505114515179e-06,0.0,0.0,0.0
1559,5.882728406244756e-06,0.0,0.0,0.0
1560,1.1267011359450407e-05,0.0,0.0,0.0
1561,1.1267011359450407e-05,0.0,0.0,0.0
1562,1.1267011359450407e-05,0.0,0.0,0.0
1563,7.103506244935229e-06,0.0,0.0,0.0
1564,1.3465152993116395e-05,0.0,0.0,0.0
1565,1.6500554920639843e-05,0.0,0.0,0.0
1566,1.4781331628910266e-05,0.0,0.0,0.0
1567,9.397048675704614e-06,0.0,0.0,0.0
1568,9.397048675704614e-06,0.0,0.0,0.0
1569,9.397048675704614e-06,0.0,0.0,0.0
1570,9.397048675704614e-06,0.0,0.0,0.0
1571,3.035401927523448e-06,0.0,0.0,0.0
1572,2.5998038576549983e-06,0.0,0.0,0.0
1573,1.2667078668268264e-05,0.0,0.0,0.0
1574,1.3756501760196573e-05,0.0,0.0,0.0
1575,1.3756501760196573e-05,0.0,0.0,0.0
1576,1.6009904032086653e-05,0.0,0.0,0.0
1577,1.6009904032086653e-05,0.0,0.0,0.0
1578,1.9623600629919175e-05,0.0,0.0,0.0
1579,1.9610815992824166e-05,0.0,0.0,0.0
1580,9.543541182210902e-06,0.0,0.0,0.0
1581,1.0827347588409403e-05,0.0,0.0,0.0
1582,1.2922254427394364e-05,0.0,0.0,0.0
1583,1.235103120831939e-05,0.0,0.0,0.0
