ngram,dsh,dis,dish
1500,0.0,2.1413690092231263e-06,9.356269856652943e-07
1501,0.0,1.7130952073785012e-06,7.485015885322354e-07
1502,0.0,1.6032901915726445e-06,6.237513237768629e-07
1503,0.0,1.3742487356336954e-06,5.346439918087396e-07
1504,0.0,7.059437133908172e-07,0.0
1505,0.0,1.506093017919089e-07,0.0
1506,0.0,1.506093017919089e-07,0.0
1507,0.0,1.506093017919089e-07,0.0
1508,0.0,1.506093017919089e-07,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,1.1426445780671202e-06,2.8566114451678004e-07
1515,0.0,1.1426445780671202e-06,2.8566114451678004e-07
1516,0.0,1.1426445780671202e-06,2.8566114451678004e-07
1517,0.0,3.267751708335709e-06,2.8566114451678004e-07
1518,0.0,3.267751708335709e-06,2.8566114451678004e-07
1519,0.0,3.267751708335709e-06,2.8566114451678004e-07
1520,0.0,5.9489543023768676e-06,5.835725330273687e-07
1521,0.0,4.806309724309747e-06,2.979113885105887e-07
1522,0.0,4.806309724309747e-06,2.979113885105887e-07
1523,0.0,4.806309724309747e-06,2.979113885105887e-07
1524,0.0,2.681202594041159e-06,2.979113885105887e-07
1525,0.0,2.681202594041159e-06,2.979113885105887e-07
1526,0.0,2.681202594041159e-06,9.335608735584953e-07
1527,0.0,0.0,6.356494850479066e-07
1528,0.0,3.1356973652561593e-06,6.356494850479066e-07
1529,0.0,3.1356973652561593e-06,6.356494850479066e-07
1530,0.0,6.7804399545171435e-06,6.356494850479066e-07
1531,0.0,6.7804399545171435e-06,6.356494850479066e-07
1532,0.0,7.231356546201693e-06,6.356494850479066e-07
1533,0.0,7.231356546201693e-06,0.0
1534,0.0,7.231356546201693e-06,0.0
1535,0.0,4.095659180945534e-06,3.7650956333631515e-07
1536,0.0,8.12103855553557e-06,3.7650956333631515e-07
1537,0.0,4.4762959662745875e-06,3.7650956333631515e-07
1538,0.0,7.652734536480108e-06,3.7650956333631515e-07
1539,0.0,7.201817944795559e-06,3.7650956333631515e-07
1540,0.0,7.201817944795559e-06,3.7650956333631515e-07
1541,0.0,7.201817944795559e-06,3.7650956333631515e-07
1542,0.0,7.201817944795559e-06,0.0
1543,0.0,3.1764385702055212e-06,0.0
1544,0.0,3.593753327939859e-06,4.1731475773433756e-07
1545,0.0,1.2210750485662305e-06,4.1731475773433756e-07
1546,0.0,1.2210750485662305e-06,4.1731475773433756e-07
1547,0.0,4.498216250275229e-06,4.1731475773433756e-07
1548,0.0,6.8761517338446406e-06,4.1731475773433756e-07
1549,0.0,6.8761517338446406e-06,4.1731475773433756e-07
1550,0.0,8.497188835982733e-06,4.1731475773433756e-07
1551,0.0,8.079874078248395e-06,0.0
1552,0.0,7.276113787416502e-06,7.211109992307943e-07
1553,0.0,7.276113787416502e-06,7.211109992307943e-07
1554,0.0,3.998972585707504e-06,7.211109992307943e-07
1555,0.0,4.024977118076224e-06,7.211109992307943e-07
1556,0.0,7.147606083890423e-06,7.211109992307943e-07
1557,0.0,5.526568981752332e-06,7.211109992307943e-07
1558,0.0,7.5727149513633255e-06,7.211109992307943e-07
1559,0.0,7.5727149513633255e-06,1.203456278225141e-05
1560,0.0,7.5727149513633255e-06,1.2931943274452351e-05
1561,0.0,7.5727149513633255e-06,1.2931943274452351e-05
1562,0.0,5.1687749354251925e-06,1.2931943274452351e-05
1563,0.0,2.046145969610994e-06,1.2931943274452351e-05
1564,0.0,2.046145969610994e-06,1.2931943274452351e-05
1565,0.0,0.0,1.3943743916960167e-05
1566,0.0,1.9036705063107156e-06,1.909181134708758e-06
1567,0.0,1.9036705063107156e-06,1.011800642507816e-06
1568,0.0,1.9036705063107156e-06,1.011800642507816e-06
1569,0.0,2.6463758331374265e-06,1.011800642507816e-06
1570,0.0,4.157388113006684e-06,1.011800642507816e-06
1571,0.0,4.157388113006684e-06,1.011800642507816e-06
1572,0.0,4.157388113006684e-06,2.0798431380951243e-06
1573,0.0,4.770536309349284e-06,2.0798431380951243e-06
1574,0.0,6.404670914759793e-06,6.4375355058083576e-06
1575,0.0,6.404670914759793e-06,1.0209374262818269e-05
1576,0.0,5.661965587933082e-06,1.111073515858152e-05
1577,0.0,6.702429215822901e-06,1.111073515858152e-05
1578,0.0,8.14790785495591e-06,1.1351648270517347e-05
1579,0.0,1.0088172270375903e-05,1.1212069547842215e-05
1580,0.0,7.571353567722586e-06,1.2202530391342797e-05
1581,0.0,5.937218962312077e-06,7.844838023629563e-06
1582,0.0,7.194163117674179e-06,8.262812944589573e-06
1583,0.0,7.915097025293757e-06,7.601763351366182e-06
1584,0.0,1.075829050023458e-05,7.601763351366182e-06
1585,0.0,1.0067684213156878e-05,9.625467360560183e-06
1586,0.0,1.0284101335855667e-05,7.68520294514019e-06
1587,0.0,1.0630180895532249e-05,7.386901220992773e-06
1588,0.0,1.1299686710637097e-05,8.05640703609762e-06
1589,0.0,1.078964844834575e-05,4.240046304663078e-06
1590,0.0,1.0588665840519493e-05,6.0795402012964975e-06
1591,0.0,5.727063385815459e-06,7.145674057288229e-06
1592,0.0,1.3926768198351575e-05,5.478028729807452e-06
1593,0.0,1.4002854056473422e-05,7.934072657787641e-06
1594,0.0,2.5055722094943382e-05,8.415334637642705e-06
1595,0.0,5.2786432531450244e-05,1.0450611495928439e-05
1596,0.0,6.676880268839471e-05,1.028757677496677e-05
1597,0.0,6.721734812994587e-05,9.05520625695187e-06
1598,0.0,6.739202386337897e-05,7.98907240096014e-06
1599,0.0,5.9027002472638355e-05,7.745834052132392e-06
1600,0.0,5.913736887513161e-05,6.674369257910127e-06
1601,0.0,5.203554623481718e-05,8.430806084496517e-06
1602,0.0,2.4052932855868547e-05,6.352427752582506e-06
1603,0.0,1.0559987133871931e-05,6.1420095270087975e-06
1604,0.0,9.591490392527443e-06,5.975656124844266e-06
1605,0.0,9.108621514185091e-06,7.212461988664083e-06
1606,0.0,9.239786696265842e-06,7.739609697767133e-06
1607,0.0,8.389647047936575e-06,6.355030564009212e-06
1608,0.0,4.6915548637116444e-06,4.223883024678798e-06
1609,0.0,8.990801477791268e-06,3.597478683202228e-06
1610,0.0,8.519160717566723e-06,3.852375211213907e-06
1611,0.0,9.23604665916043e-06,3.376118489281258e-06
1612,0.0,1.0894177973698658e-05,3.753316994854166e-06
1613,0.0,1.1292130433763045e-05,3.511677765085811e-06
1614,0.0,1.4084063098250357e-05,3.511677765085811e-06
1615,0.0,1.4246916829766373e-05,3.093910631183202e-06
1616,0.0,1.0250916407780356e-05,4.175184195836275e-06
1617,0.0,1.3933714659028088e-05,4.414453006315203e-06
1618,0.0,1.3610737271717102e-05,4.308105587824684e-06
1619,0.0,1.3303215155247017e-05,4.044515183717781e-06
1620,0.0,1.3695625479418336e-05,4.009706742635899e-06
1621,0.0,1.1373296631843135e-05,4.723378724845263e-06
1622,0.0,1.152593940137844e-05,4.342435472283666e-06
1623,0.0,1.1613332942163521e-05,3.7999902896704692e-06
1624,0.0,8.36050266376073e-06,4.649814635675804e-06
1625,0.0,9.627887915745045e-06,4.966660948671883e-06
1626,0.0,9.200514016681285e-06,4.305112432640661e-06
1627,0.0,8.967600998792996e-06,4.17999298666213e-06
1628,0.0,8.249723967829986e-06,4.055925631161829e-06
1629,0.0,7.665312068638741e-06,4.386043006629084e-06
1630,0.0,9.530788474876317e-06,4.7959536329601955e-06
1631,0.0,9.072970734840574e-06,4.868963580000647e-06
1632,0.0,8.602816673633892e-06,4.911770799610947e-06
1633,0.0,1.0470749235277513e-05,5.456740544624543e-06
1634,0.0,9.809669303909427e-06,5.1008446705834236e-06
1635,0.0,1.0375982031161715e-05,5.334437210941749e-06
1636,0.0,1.1869597204037876e-05,5.3516974714641814e-06
1637,0.0,1.0512760517095948e-05,5.500360357148436e-06
1638,0.0,1.1324626614493485e-05,5.093386294317627e-06
1639,0.0,1.130154026083931e-05,5.102477018681384e-06
1640,0.0,9.724811401870933e-06,4.999530403893004e-06
1641,0.0,1.0779939007729159e-05,4.935834328177537e-06
1642,0.0,1.1127902065969206e-05,4.328536830046557e-06
1643,0.0,1.0117071529488644e-05,4.523093890286743e-06
1644,0.0,9.99178824453598e-06,3.7006763875524484e-06
1645,0.0,1.1193624816639516e-05,2.7888844808135867e-06
1646,0.0,1.0831478708236578e-05,3.4297855831612523e-06
1647,1.040455523642387e-07,1.084880367281065e-05,3.0272158783515934e-06
1648,1.040455523642387e-07,1.1698293162355964e-05,3.930327758488212e-06
1649,1.040455523642387e-07,1.0634485274100111e-05,4.105566972611996e-06
1650,1.040455523642387e-07,1.2368951112356236e-05,7.3407640327007225e-06
1651,1.040455523642387e-07,1.2811355190933682e-05,7.409780291059828e-06
1652,1.040455523642387e-07,1.128558350111624e-05,8.53631740937999e-06
1653,1.040455523642387e-07,1.4022337901613874e-05,7.654322254373775e-06
1654,0.0,1.6423636355154614e-05,8.792746712060762e-06
1655,0.0,1.6167947251233272e-05,1.0095931526978217e-05
1656,0.0,1.6477285628622796e-05,9.931329291898042e-06
1657,0.0,1.5681597038305233e-05,7.516614752083635e-06
1658,0.0,1.5334369111639846e-05,9.102776890098799e-06
1659,0.0,1.5910960688155944e-05,9.743702873622948e-06
1660,0.0,1.3089872222086082e-05,1.0880547149229511e-05
1661,0.0,1.0441273324041894e-05,1.0223141121709237e-05
1662,0.0,9.636849426897243e-06,9.662316415415262e-06
1663,0.0,1.0006086605634274e-05,9.764254660435004e-06
1664,0.0,1.0691192073863931e-05,9.423714962914736e-06
1665,0.0,1.143263125413796e-05,7.934468352946819e-06
1666,0.0,1.1029462776994997e-05,7.027533099192494e-06
1667,0.0,1.1670886773832276e-05,6.281155492615653e-06
1668,0.0,1.203666527414628e-05,6.078142178012058e-06
1669,0.0,1.1893050473840308e-05,4.732397201223648e-06
1670,0.0,1.2631481955135574e-05,5.060958171400541e-06
1671,0.0,1.215020685257124e-05,5.290606817912444e-06
1672,0.0,1.1376623141196823e-05,5.144897873573687e-06
1673,0.0,1.1438258557713457e-05,4.458307931339992e-06
1674,0.0,1.1701787505964084e-05,4.2320802192209935e-06
1675,0.0,1.1053271204478474e-05,3.6375782233985125e-06
1676,0.0,1.0980739911506784e-05,3.7505407460360274e-06
1677,0.0,1.0147853897381407e-05,3.496539274497731e-06
1678,0.0,9.228109969886386e-06,2.3645245375649082e-06
1679,0.0,9.680790299171349e-06,2.3231067660032878e-06
1680,0.0,1.006735776952285e-05,2.449177624644757e-06
1681,0.0,1.0387530307655521e-05,2.3944490408212005e-06
1682,0.0,1.0690753827345492e-05,2.3455256317512455e-06
1683,0.0,1.099001097567712e-05,2.3585930242526435e-06
1684,0.0,1.0245791664991494e-05,2.2769960180214966e-06
1685,0.0,1.0523405048193776e-05,2.339337080619381e-06
1686,0.0,9.9212623873817e-06,2.3894688833284557e-06
1687,0.0,9.26966816093357e-06,2.2384269868780393e-06
1688,0.0,8.115026308327547e-06,1.9959724275914984e-06
1689,0.0,7.642911376543842e-06,1.696216181861538e-06
