ngram,party,paty,pary,patty
1500,6.097928508097539e-05,0.0,0.0,0.0
1501,4.878342806478031e-05,0.0,0.0,0.0
1502,9.617748401069548e-05,0.0,0.0,0.0
1503,8.243784343773899e-05,0.0,0.0,0.0
1504,7.710400132054929e-05,0.0,0.0,0.0
1505,7.561678311114e-05,0.0,0.0,0.0
1506,7.561678311114e-05,0.0,0.0,0.0
1507,7.561678311114e-05,0.0,0.0,0.0
1508,7.561678311114e-05,0.0,0.0,0.0
1509,2.802424543395838e-05,0.0,0.0,0.0
1510,2.802424543395838e-05,0.0,0.0,0.0
1511,2.4937444582714568e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222760407786e-06,0.0,0.0,0.0
1515,5.713222760407786e-06,0.0,0.0,0.0
1516,5.713222760407786e-06,0.0,0.0,0.0
1517,9.432160108450002e-06,0.0,0.0,0.0
1518,9.432160108450002e-06,0.0,0.0,0.0
1519,9.432160108450002e-06,0.0,0.0,0.0
1520,2.6711021096811498e-05,0.0,0.0,0.0
1521,2.099779833640371e-05,0.0,0.0,0.0
1522,2.099779833640371e-05,0.0,0.0,0.0
1523,8.383439022249409e-05,0.0,0.0,0.0
1524,8.011545287445188e-05,0.0,0.0,0.0
1525,8.011545287445188e-05,0.0,0.0,0.0
1526,8.011545287445188e-05,0.0,0.0,0.0
1527,6.283659188609038e-05,0.0,0.0,0.0
1528,8.687693791996156e-05,0.0,0.0,0.0
1529,8.687693791996156e-05,0.0,0.0,0.0
1530,2.4040346033871174e-05,0.0,0.0,0.0
1531,2.4040346033871174e-05,0.0,0.0,0.0
1532,2.4491262625555725e-05,0.0,0.0,0.0
1533,2.4491262625555725e-05,0.0,0.0,0.0
1534,5.960303006499349e-05,0.0,0.0,0.0
1535,3.970428929278569e-05,0.0,0.0,0.0
1536,0.00010634668098776144,0.0,0.0,0.0
1537,0.00010634668098776144,0.0,0.0,0.0
1538,0.00010634668098776144,0.0,0.0,0.0
1539,0.00010589576439607689,0.0,0.0,0.0
1540,0.00010589576439607689,0.0,0.0,0.0
1541,7.078399695663913e-05,0.0,0.0,0.0
1542,7.266097704164817e-05,0.0,0.0,0.0
1543,6.018585346672418e-06,0.0,0.0,0.0
1544,1.6729664951396573e-05,0.0,0.0,0.0
1545,1.7533425242228467e-05,0.0,0.0,0.0
1546,1.7813131437703434e-05,0.0,0.0,0.0
1547,1.7813131437703434e-05,0.0,0.0,0.0
1548,3.47559221804009e-05,0.0,0.0,0.0
1549,2.9949994573793708e-05,0.0,0.0,0.0
1550,0.00010073528327276498,0.0,0.0,0.0
1551,9.002420366804082e-05,0.0,0.0,0.0
1552,9.643155349944468e-05,0.0,0.0,0.0
1553,9.615184730396972e-05,0.0,0.0,0.0
1554,9.615184730396972e-05,0.0,0.0,0.0
1555,8.221398158119493e-05,0.0,0.0,0.0
1556,8.308307639838728e-05,0.0,0.0,0.0
1557,1.2297787699416013e-05,0.0,9.345008168436055e-06,0.0
1558,1.9800322791395176e-05,0.0,9.345008168436055e-06,0.0
1559,1.4308435960888996e-05,0.0,9.345008168436055e-06,0.0
1560,3.3153426037253144e-05,0.0,9.793698414536525e-06,0.0
1561,3.3153426037253144e-05,0.0,9.793698414536525e-06,0.0
1562,3.014850101733048e-05,0.0,9.793698414536525e-06,0.0
1563,3.124910056482934e-05,0.0,9.793698414536525e-06,0.0
1564,3.124910056482934e-05,0.0,4.4869024610047094e-07,0.0
1565,3.4876372280580525e-05,0.0,4.4869024610047094e-07,0.0
1566,4.077183101409381e-05,0.0,4.4869024610047094e-07,0.0
1567,2.533882746190232e-05,0.0,0.0,0.0
1568,2.533882746190232e-05,0.0,0.0,0.0
1569,3.722211269112969e-05,0.0,0.0,0.0
1570,3.55507728662425e-05,0.0,0.0,0.0
1571,3.55507728662425e-05,0.0,0.0,0.0
1572,2.4940926843035932e-05,0.0,0.0,0.0
1573,1.732624481779307e-05,0.0,0.0,0.0
1574,1.4458969839584565e-05,0.0,0.0,0.0
1575,5.9721034923703496e-05,0.0,0.0,0.0
1576,5.054183231680197e-05,0.0,0.0,0.0
1577,5.668524802006557e-05,0.0,0.0,0.0
1578,6.222624938345689e-05,0.0,0.0,0.0
1579,7.722840392229305e-05,0.0,0.0,0.0
1580,7.821886476579363e-05,0.0,0.0,0.0
1581,7.886076796889288e-05,0.0,0.0,0.0
1582,3.401768425906734e-05,0.0,0.0,0.0
1583,4.212761005614344e-05,0.0,0.0,0.0
1584,3.627140524388649e-05,0.0,0.0,0.0
1585,3.242886665637863e-05,0.0,0.0,0.0
1586,1.8344539025097868e-05,0.0,0.0,0.0
1587,1.943055553965678e-05,0.0,0.0,0.0
1588,2.2930481756182936e-05,0.0,0.0,0.0
1589,3.184782417520182e-05,0.0,0.0,0.0
1590,2.701325593079673e-05,0.0,0.0,0.0
