ngram,task,tsk,tas,taskk
1500,8.098626835817413e-07,0.0,8.098626835817413e-08,0.0
1501,6.47890146865393e-07,0.0,6.47890146865393e-08,0.0
1502,1.067041011992842e-06,0.0,5.3990845572116086e-08,0.0
1503,9.146065817081503e-07,0.0,4.627786763324236e-08,0.0
1504,4.0014074329519644e-06,0.0,4.627786763324236e-08,0.0
1505,4.485620300848885e-06,0.0,3.156638480764481e-07,0.0
1506,4.485620300848885e-06,0.0,3.156638480764481e-07,0.0
1507,4.485620300848885e-06,0.0,3.156638480764481e-07,0.0
1508,4.485620300848885e-06,0.0,3.156638480764481e-07,0.0
1509,4.033792395473158e-06,0.0,3.156638480764481e-07,0.0
1510,4.033792395473158e-06,0.0,3.156638480764481e-07,0.0
1511,9.469915442293444e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,2.4508138137337354e-06,0.0,0.0,0.0
1518,2.4508138137337354e-06,0.0,0.0,0.0
1519,2.4508138137337354e-06,0.0,0.0,0.0
1520,9.004864425930594e-06,0.0,0.0,0.0
1521,8.1478809598983e-06,0.0,0.0,0.0
1522,1.1321637820011737e-05,0.0,0.0,0.0
1523,2.425858253575695e-05,0.0,0.0,0.0
1524,2.266475218805551e-05,0.0,2.064678093509948e-06,0.0
1525,2.266475218805551e-05,0.0,2.064678093509948e-06,0.0
1526,2.647864909834295e-05,0.0,2.064678093509948e-06,0.0
1527,1.992459848614609e-05,0.0,2.064678093509948e-06,0.0
1528,2.0969830919576843e-05,0.0,2.064678093509948e-06,0.0
1529,1.7796074059463406e-05,0.0,2.064678093509948e-06,0.0
1530,4.859129343718191e-06,0.0,3.522575103228779e-06,0.0
1531,1.6348825803496375e-05,0.0,1.4578970097188306e-06,0.0
1532,1.8152492170234575e-05,0.0,1.4578970097188306e-06,0.0
1533,1.4338595259947137e-05,0.0,1.4578970097188306e-06,0.0
1534,1.8552007207160515e-05,0.0,1.4578970097188306e-06,0.0
1535,1.7506774773729766e-05,0.0,1.4578970097188306e-06,0.0
1536,1.7506774773729766e-05,0.0,1.4578970097188306e-06,0.0
1537,1.7506774773729766e-05,0.0,0.0,0.0
1538,6.0170783139515805e-06,0.0,0.0,0.0
1539,7.533856530374448e-06,0.0,0.0,0.0
1540,7.533856530374448e-06,0.0,0.0,0.0
1541,3.320444583161069e-06,0.0,3.411921248438635e-05,0.0
1542,4.825090919829174e-06,0.0,3.411921248438635e-05,0.0
1543,4.825090919829174e-06,0.0,3.411921248438635e-05,0.0
1544,5.520615559362341e-06,0.0,3.425831740904479e-05,0.0
1545,6.056455764077587e-06,0.0,3.425831740904479e-05,0.0
1546,2.7360111809165185e-06,0.0,3.425831740904479e-05,0.0
1547,6.013152382625517e-06,0.0,3.425831740904479e-05,0.0
1548,6.904878156482093e-06,0.0,1.391049246584381e-07,0.0
1549,5.4002318198139875e-06,0.0,1.391049246584381e-07,0.0
1550,1.998956625876807e-05,0.0,1.391049246584381e-07,0.0
1551,2.1655238762312884e-05,0.0,0.0,0.0
1552,2.4724953618715517e-05,0.0,0.0,0.0
1553,2.4724953618715517e-05,0.0,0.0,0.0
1554,2.1447812417006518e-05,0.0,0.0,0.0
1555,2.2359041655103544e-05,0.0,0.0,0.0
1556,2.548167062091774e-05,0.0,0.0,0.0
1557,1.089233618196366e-05,0.0,9.345008168436055e-06,0.0
1558,1.7397771703794467e-05,0.0,9.345008168436055e-06,0.0
1559,1.3792216642676586e-05,0.0,9.345008168436055e-06,0.0
1560,1.8727809479709583e-05,0.0,1.0242388660636997e-05,0.0
1561,2.6386067215103788e-05,0.0,1.0242388660636997e-05,0.0
1562,2.4583112203150188e-05,0.0,1.0242388660636997e-05,0.0
1563,2.146048323733599e-05,0.0,1.1151632082016607e-05,0.0
1564,2.146048323733599e-05,0.0,1.8066239135805517e-06,0.0
1565,1.4617451857442834e-05,0.0,1.8066239135805517e-06,0.0
1566,1.4617451857442834e-05,0.0,1.8066239135805517e-06,0.0
1567,1.0364256338237152e-05,0.0,5.686024451279081e-06,0.0
1568,2.7059986028429454e-06,0.0,5.686024451279081e-06,0.0
1569,2.7059986028429454e-06,0.0,5.686024451279081e-06,0.0
1570,2.7059986028429454e-06,0.0,4.776781029899471e-06,0.0
1571,1.0061553634191764e-05,0.0,4.776781029899471e-06,0.0
1572,1.0117795487271256e-05,0.0,4.776781029899471e-06,0.0
1573,1.515143289257789e-05,0.0,4.776781029899471e-06,0.0
1574,1.4469035574750575e-05,0.0,0.0,0.0
1575,1.4469035574750575e-05,0.0,0.0,0.0
1576,1.627175736627708e-05,0.0,4.5068044788162555e-07,0.0
1577,2.137470918179523e-05,0.0,4.5068044788162555e-07,0.0
1578,1.546463278957942e-05,0.0,4.5068044788162555e-07,0.0
1579,1.5971808872044286e-05,0.0,1.0974352530216232e-06,0.0
1580,1.0938171466737653e-05,0.0,1.0974352530216232e-06,0.0
1581,1.1531478841269355e-05,0.0,1.6907426275533259e-06,0.0
1582,1.1531478841269355e-05,0.0,2.1097240018467086e-06,0.0
1583,1.0930313627406057e-05,0.0,1.8993548565049423e-06,0.0
1584,5.827361811887906e-06,0.0,1.8993548565049423e-06,0.0
1585,4.381883172754897e-06,0.0,1.8993548565049423e-06,0.0
1586,3.2326516442740934e-06,0.0,1.2526000513649445e-06,0.0
