ngram,window,wndow,windw,winow
1500,6.47890146865393e-07,0.0,0.0,0.0
1501,5.183121174923144e-07,0.0,0.0,0.0
1502,7.833484687580494e-07,0.0,0.0,0.0
1503,6.714415446497566e-07,0.0,0.0,0.0
1504,6.714415446497566e-07,0.0,0.0,0.0
1505,3.012186035838178e-07,0.0,0.0,0.0
1506,3.012186035838178e-07,0.0,0.0,0.0
1507,3.012186035838178e-07,0.0,0.0,0.0
1508,3.012186035838178e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.6338758541678544e-06,0.0,0.0,0.0
1518,1.6338758541678544e-06,0.0,0.0,0.0
1519,1.6338758541678544e-06,0.0,0.0,0.0
1520,2.2296986311890317e-06,0.0,0.0,0.0
1521,1.6583763421554716e-06,0.0,0.0,0.0
1522,8.005890062382345e-06,0.0,0.0,0.0
1523,8.005890062382345e-06,0.0,0.0,0.0
1524,6.943336497248051e-06,0.0,0.0,0.0
1525,6.943336497248051e-06,0.0,0.0,0.0
1526,8.85028495239177e-06,0.0,0.0,0.0
1527,8.254462175370594e-06,0.0,0.0,0.0
1528,8.254462175370594e-06,0.0,0.0,0.0
1529,1.90694845514372e-06,0.0,0.0,0.0
1530,1.90694845514372e-06,0.0,0.0,0.0
1531,2.488634137470009e-05,0.0,0.0,0.0
1532,2.5788174558069193e-05,0.0,0.0,0.0
1533,2.3881226102925473e-05,0.0,0.0,0.0
1534,2.5285696795305868e-05,0.0,0.0,0.0
1535,2.716824454702354e-05,0.0,0.0,0.0
1536,2.716824454702354e-05,0.0,0.0,0.0
1537,2.716824454702354e-05,0.0,0.0,0.0
1538,4.188851627467167e-06,0.0,0.0,0.0
1539,5.7773518814688685e-06,0.0,0.0,0.0
1540,5.7773518814688685e-06,0.0,0.0,0.0
1541,4.37288118908847e-06,0.0,0.0,0.0
1542,8.50891878404322e-06,0.0,0.0,0.0
1543,8.50891878404322e-06,0.0,0.0,0.0
1544,1.0873702454513737e-05,0.0,0.0,0.0
1545,1.0873702454513737e-05,0.0,0.0,0.0
1546,8.383369017142936e-06,0.0,0.0,0.0
1547,8.383369017142936e-06,0.0,0.0,0.0
1548,8.680610952589113e-06,0.0,0.0,0.0
1549,2.6620256059166943e-06,0.0,0.0,0.0
1550,2.6620256059166943e-06,0.0,0.0,0.0
1551,2.972419354461765e-07,0.0,0.0,0.0
1552,1.018352934676971e-06,0.0,0.0,0.0
1553,1.018352934676971e-06,0.0,0.0,0.0
1554,1.0274955099833147e-05,0.0,0.0,0.0
1555,9.977713164386972e-06,0.0,0.0,0.0
1556,1.9345600061829566e-05,0.0,0.0,0.0
1557,1.9345600061829566e-05,0.0,0.0,0.0
1558,1.9345600061829566e-05,0.0,0.0,0.0
1559,1.8624489062598775e-05,0.0,0.0,0.0
1560,2.4008772015804425e-05,0.0,0.0,0.0
1561,1.4752169850648248e-05,0.0,0.0,0.0
1562,1.4752169850648248e-05,0.0,0.0,0.0
1563,5.384282953205652e-06,0.0,0.0,0.0
