ngram,introduction,intoduction,introduction
1500,3.239450734326965e-07,0.0,3.239450734326965e-07
1501,2.591560587461572e-07,0.0,2.591560587461572e-07
1502,2.3244936073751887e-06,0.0,2.3244936073751887e-06
1503,1.992423092035876e-06,0.0,1.992423092035876e-06
1504,5.07922394327969e-06,0.0,5.07922394327969e-06
1505,8.050750823583388e-06,0.0,8.050750823583388e-06
1506,8.050750823583388e-06,0.0,8.050750823583388e-06
1507,8.050750823583388e-06,0.0,8.050750823583388e-06
1508,8.050750823583388e-06,0.0,8.050750823583388e-06
1509,6.243439202080481e-06,0.0,6.243439202080481e-06
1510,6.243439202080481e-06,0.0,6.243439202080481e-06
1511,3.1566383508366665e-06,0.0,3.1566383508366665e-06
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,5.713222890335601e-07
1517,2.6964294193021487e-06,0.0,2.6964294193021487e-06
1518,2.6964294193021487e-06,0.0,2.6964294193021487e-06
1519,2.6964294193021487e-06,0.0,2.6964294193021487e-06
1520,4.781809171358223e-06,0.0,4.781809171358223e-06
1521,4.210486882324663e-06,0.0,4.210486882324663e-06
1522,1.0558000602551537e-05,0.0,1.0558000602551537e-05
1523,3.027144066436449e-05,0.0,3.027144066436449e-05
1524,2.8146333534095902e-05,0.0,2.8146333534095902e-05
1525,2.8146333534095902e-05,0.0,2.8146333534095902e-05
1526,3.577412735467078e-05,0.0,3.577412735467078e-05
1527,9.173716067120299e-05,0.0,9.173716067120299e-05
1528,9.487285803645915e-05,0.0,9.487285803645915e-05
1529,8.852534431623229e-05,0.0,8.852534431623229e-05
1530,6.881190425441932e-05,0.0,6.881190425441932e-05
1531,8.030160071419752e-05,0.0,8.030160071419752e-05
1532,9.157451521397369e-05,0.0,9.157451521397369e-05
1533,8.39467213933988e-05,0.0,8.39467213933988e-05
1534,2.5898308324810516e-05,0.0,2.5898308324810516e-05
1535,2.2762610959554358e-05,0.0,2.2762610959554358e-05
1536,2.365713973111789e-05,0.0,2.365713973111789e-05
1537,2.365713973111789e-05,0.0,2.365713973111789e-05
1538,1.5343881841545226e-05,0.0,1.5343881841545226e-05
