ngram,progress,progess,prgress,progres
1500,7.585552850741806e-06,0.0,0.0,0.0
1501,6.068442280593444e-06,0.0,0.0,0.0
1502,6.462722050552354e-06,0.0,0.0,0.0
1503,1.446414278559262e-05,0.0,0.0,0.0
1504,2.3323562085611877e-05,0.0,0.0,0.0
1505,2.1915254235084702e-05,0.0,0.0,0.0
1506,2.1915254235084702e-05,0.0,0.0,0.0
1507,2.1915254235084702e-05,0.0,0.0,0.0
1508,2.1915254235084702e-05,0.0,0.0,0.0
1509,2.071037982074943e-05,0.0,0.0,0.0
1510,1.1785713078487398e-05,0.0,0.0,0.0
1511,2.525310784611585e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.427933864129175e-06,0.0,0.0,0.0
1515,3.427933864129175e-06,0.0,0.0,0.0
1516,3.427933864129175e-06,0.0,0.0,0.0
1517,1.5116022820750783e-05,0.0,0.0,0.0
1518,1.5116022820750783e-05,0.0,0.0,0.0
1519,1.5116022820750783e-05,0.0,0.0,0.0
1520,2.82241240451445e-05,0.0,0.0,0.0
1521,2.4796190181015326e-05,0.0,0.0,0.0
1522,2.4796190181015326e-05,0.0,0.0,0.0
1523,7.223165448522195e-05,0.0,0.0,1.8481350707588717e-06
1524,6.054356552860034e-05,0.0,0.0,1.8481350707588717e-06
1525,6.054356552860034e-05,0.0,0.0,1.8481350707588717e-06
1526,6.372181295383987e-05,0.0,0.0,1.8481350707588717e-06
1527,5.061371172944616e-05,0.0,0.0,1.8481350707588717e-06
1528,5.793033882842532e-05,0.0,0.0,1.8481350707588717e-06
1529,5.793033882842532e-05,0.0,0.0,1.8481350707588717e-06
1530,1.0494874524218695e-05,0.0,0.0,0.0
1531,1.6239722754107788e-05,0.0,0.0,0.0
1532,2.3003471661857994e-05,0.0,0.0,0.0
1533,1.982522423661846e-05,0.0,0.0,0.0
1534,1.982522423661846e-05,0.0,0.0,0.0
1535,1.552067364432982e-05,0.0,0.0,0.0
1536,1.6862466769193168e-05,0.0,0.0,0.0
1537,1.6862466769193168e-05,0.0,0.0,0.0
1538,1.1117618539304073e-05,0.0,0.0,0.0
1539,6.0140919231344014e-06,0.0,0.0,0.0
1540,6.0140919231344014e-06,0.0,0.0,0.0
1541,6.0140919231344014e-06,0.0,0.0,0.0
1542,2.105777197617239e-05,0.0,0.0,0.0
1543,1.9715978851309046e-05,0.0,0.0,0.0
1544,2.8618694029449087e-05,0.0,0.0,0.0
1545,2.915453423416433e-05,0.0,0.0,0.0
1546,2.7774018138058765e-05,0.0,0.0,0.0
1547,2.7774018138058765e-05,0.0,0.0,0.0
1548,3.2529889105197594e-05,0.0,0.0,0.0
1549,1.5686790285534308e-05,0.0,0.0,0.0
1550,2.0549901591948583e-05,0.0,0.0,0.0
1551,1.1647186413808544e-05,0.0,0.0,0.0
1552,1.8322456331329056e-05,0.0,0.0,0.0
1553,1.8042750135854086e-05,0.0,0.0,0.0
1554,1.8042750135854086e-05,0.0,0.0,0.0
1555,1.5089834180668862e-05,0.0,0.0,0.0
1556,1.699980540641783e-05,0.0,0.0,0.0
1557,1.2136694100003556e-05,0.0,0.0,0.0
1558,4.828527302639226e-05,0.0,0.0,0.0
1559,4.107416290415651e-05,0.0,0.0,0.0
1560,4.7804516725591384e-05,0.0,0.0,0.0
1561,4.7804516725591384e-05,0.0,0.0,0.0
1562,4.6001561713637784e-05,0.0,0.0,0.0
1563,4.333355445851339e-05,0.0,0.0,0.0
1564,4.333355445851339e-05,0.0,0.0,0.0
1565,1.2243979004519393e-05,0.0,0.0,0.0
1566,1.2243979004519393e-05,0.0,0.0,0.0
1567,5.513625183084514e-06,0.0,0.0,0.0
1568,5.513625183084514e-06,0.0,0.0,0.0
1569,5.513625183084514e-06,0.0,0.0,0.0
1570,5.059003472394709e-06,0.0,0.0,0.0
1571,5.059003472394709e-06,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,1.2584093513266583e-06,0.0,0.0,0.0
1574,1.2584093513266583e-06,0.0,0.0,0.0
1575,1.2584093513266583e-06,0.0,0.0,0.0
1576,4.863852934379663e-06,0.0,0.0,0.0
1577,9.966804749897814e-06,0.0,0.0,0.0
1578,1.5025980246718973e-05,0.0,0.0,0.0
1579,1.5025980246718973e-05,0.0,0.0,0.0
1580,1.3767570895392314e-05,0.0,0.0,0.0
1581,1.495418564445572e-05,0.0,0.0,0.0
1582,1.621112979981782e-05,0.0,0.0,0.0
1583,1.5970044322395032e-05,0.0,0.0,0.0
1584,1.446353884862869e-05,0.0,0.0,0.0
1585,9.593081439821357e-06,0.0,0.0,0.0
1586,1.174976297794014e-05,0.0,0.0,0.0
1587,1.2441922097293303e-05,0.0,0.0,0.0
1588,1.1255307348229898e-05,0.0,0.0,0.0
1589,1.111872203247393e-05,0.0,0.0,0.0
1590,8.014339576740375e-06,0.0,0.0,0.0
1591,6.017094018976163e-06,0.0,0.0,0.0
1592,5.828375930962336e-06,0.0,0.0,0.0
1593,4.118247846106117e-06,0.0,0.0,0.0
1594,4.264246626917156e-06,0.0,0.0,0.0
1595,4.715043717494284e-06,0.0,0.0,0.0
1596,6.750958391421591e-06,0.0,0.0,2.1041822557370843e-07
1597,7.943727853541662e-06,0.0,0.0,2.1041822557370843e-07
1598,1.244880760558382e-05,0.0,0.0,2.9888605825232973e-07
1599,1.244880760558382e-05,0.0,0.0,2.9888605825232973e-07
1600,1.6475509775253678e-05,0.0,0.0,2.9888605825232973e-07
1601,1.661397118368768e-05,0.0,0.0,2.9888605825232973e-07
1602,1.898199336989949e-05,0.0,0.0,2.9888605825232973e-07
1603,1.582571985636605e-05,0.0,0.0,8.84678326786213e-08
1604,2.033243617916014e-05,0.0,0.0,8.84678326786213e-08
1605,1.5015213908295014e-05,0.0,0.0,0.0
1606,2.5345547848181532e-05,0.0,0.0,8.008010711689297e-08
1607,2.087229222524911e-05,0.0,0.0,8.008010711689297e-08
1608,2.0295028109883007e-05,0.0,0.0,8.008010711689297e-08
1609,2.011764442093928e-05,0.0,0.0,8.008010711689297e-08
1610,2.1137230532985996e-05,0.0,0.0,8.008010711689297e-08
1611,1.7226014701269117e-05,0.0,0.0,8.008010711689297e-08
1612,1.643895643610449e-05,0.0,0.0,8.008010711689297e-08
1613,6.747864420373974e-06,0.0,0.0,0.0
1614,7.077474167869825e-06,0.0,0.0,0.0
1615,8.201891984884111e-06,0.0,0.0,0.0
1616,6.6417299616919734e-06,0.0,0.0,0.0
1617,6.239850498397053e-06,0.0,0.0,0.0
1618,1.1872821914948872e-05,0.0,0.0,0.0
1619,1.2435494389657314e-05,0.0,0.0,0.0
1620,1.371029186105131e-05,0.0,0.0,1.0073891384568664e-07
1621,1.35591001091078e-05,0.0,0.0,1.0073891384568664e-07
1622,1.4005082529625465e-05,0.0,0.0,1.7108732208725996e-07
1623,1.480970833459391e-05,0.0,0.0,1.7108732208725996e-07
1624,1.523732701766026e-05,0.0,0.0,1.7108732208725996e-07
1625,7.556109998014497e-06,0.0,0.0,1.7108732208725996e-07
1626,9.289655687488058e-06,0.0,0.0,1.7108732208725996e-07
1627,7.53538763222293e-06,0.0,0.0,7.034840824157332e-08
1628,8.012085881351336e-06,0.0,0.0,7.034840824157332e-08
1629,1.6275968992626338e-05,0.0,0.0,0.0
1630,1.5080061611375381e-05,0.0,0.0,0.0
1631,1.4374816195023804e-05,0.0,0.0,0.0
1632,1.620733887973204e-05,0.0,0.0,0.0
1633,1.4048213513108618e-05,0.0,0.0,0.0
1634,1.549287826817038e-05,0.0,0.0,0.0
1635,1.5743278855292635e-05,0.0,0.0,0.0
1636,6.89915085721233e-06,0.0,0.0,0.0
1637,6.355479123547931e-06,0.0,0.0,0.0
1638,6.2847393564879894e-06,0.0,0.0,0.0
1639,6.009621236963929e-06,0.0,0.0,0.0
1640,6.386568705758171e-06,0.0,0.0,0.0
1641,5.677963908315828e-06,0.0,0.0,0.0
1642,5.636045752258464e-06,0.0,0.0,0.0
1643,4.427180101629347e-06,0.0,0.0,9.032244666481607e-08
1644,5.930766259812767e-06,0.0,0.0,9.032244666481607e-08
1645,7.675216157362488e-06,0.0,0.0,9.032244666481607e-08
1646,9.44217921577157e-06,0.0,0.0,9.032244666481607e-08
1647,9.864548912576407e-06,0.0,0.0,9.032244666481607e-08
1648,1.0114948460276147e-05,0.0,0.0,9.032244666481607e-08
1649,1.1363499733566382e-05,0.0,0.0,9.032244666481607e-08
1650,1.2061257556134869e-05,0.0,0.0,0.0
1651,1.2303354781449474e-05,0.0,0.0,4.300008121000636e-08
