ngram,training,trining,trainng,traiing
1500,1.524255822005216e-05,0.0,0.0,0.0
1501,1.2194046576041728e-05,0.0,0.0,0.0
1502,1.0337416332125334e-05,0.0,0.0,0.0
1503,8.860642570393143e-06,0.0,0.0,0.0
1504,6.722066603158185e-06,0.0,0.0,0.0
1505,1.8774776143410626e-05,0.0,0.0,0.0
1506,1.8774776143410626e-05,0.0,0.0,0.0
1507,1.8774776143410626e-05,0.0,0.0,0.0
1508,1.8774776143410626e-05,0.0,0.0,0.0
1509,1.8624166841618717e-05,0.0,0.0,0.0
1510,1.8624166841618717e-05,0.0,0.0,0.0
1511,1.8624166841618717e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,2.6964294193021487e-06,0.0,0.0,0.0
1518,2.6964294193021487e-06,0.0,0.0,0.0
1519,2.6964294193021487e-06,0.0,0.0,0.0
1520,2.9943408078127376e-06,0.0,0.0,0.0
1521,2.4230185187791775e-06,0.0,0.0,0.0
1522,2.4230185187791775e-06,0.0,0.0,0.0
1523,0.00010222230662293441,0.0,0.0,0.0
1524,0.00010009719949266582,0.0,0.0,0.0
1525,0.00010009719949266582,0.0,0.0,0.0
1526,0.00010009719949266582,0.0,0.0,0.0
1527,9.979928810415524e-05,0.0,0.0,0.0
1528,9.979928810415524e-05,0.0,0.0,0.0
1529,9.979928810415524e-05,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,9.018331833691004e-07,0.0,0.0,0.0
1533,9.018331833691004e-07,0.0,0.0,0.0
1534,9.018331833691004e-07,0.0,0.0,0.0
1535,9.018331833691004e-07,0.0,0.0,0.0
1536,1.3490975691508668e-06,0.0,0.0,0.0
1537,1.3490975691508668e-06,0.0,0.0,0.0
1538,1.3490975691508668e-06,0.0,0.0,0.0
1539,4.597820114733102e-06,0.0,0.0,0.0
1540,4.597820114733102e-06,0.0,0.0,0.0
1541,4.597820114733102e-06,0.0,0.0,0.0
1542,1.9644283221558518e-05,0.0,0.0,0.0
1543,1.9197018835776752e-05,0.0,0.0,0.0
1544,1.989254347530992e-05,0.0,0.0,0.0
1545,1.989254347530992e-05,0.0,0.0,0.0
1546,1.5741987746358583e-05,0.0,0.0,0.0
1547,1.5741987746358583e-05,0.0,0.0,0.0
1548,1.8714407165784257e-05,0.0,0.0,0.0
1549,3.66794405895884e-06,0.0,0.0,0.0
1550,3.987110514052412e-05,0.0,0.0,0.0
1551,3.917558050099095e-05,0.0,0.0,0.0
1552,4.638669062322671e-05,0.0,0.0,0.0
1553,4.638669062322671e-05,0.0,0.0,0.0
1554,4.638669062322671e-05,0.0,0.0,0.0
1555,4.3414271203801036e-05,0.0,0.0,0.0
1556,4.3414271203801036e-05,0.0,0.0,0.0
1557,7.211110122235758e-06,0.0,0.0,0.0
1558,0.0001668104960117489,0.0,0.0,0.0
1559,0.00015959938588951315,0.0,0.0,0.0
1560,0.00015959938588951315,0.0,0.0,0.0
1561,0.00015959938588951315,0.0,0.0,0.0
1562,0.00015959938588951315,0.0,0.0,0.0
1563,0.00015959938588951315,0.0,0.0,0.0
1564,0.00015959938588951315,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,8.82324405081038e-06,0.0,0.0,0.0
1569,9.56594937763709e-06,0.0,0.0,0.0
1570,9.56594937763709e-06,0.0,0.0,0.0
1571,9.56594937763709e-06,0.0,0.0,0.0
