ngram,communication,communcation,comunication,communicaton
1500,1.671793279456324e-05,0.0,0.0,0.0
1501,1.3374346235650591e-05,0.0,0.0,0.0
1502,1.7998011571762618e-05,0.0,0.0,0.0
1503,3.3276200546034875e-05,0.0,0.0,0.0
1504,3.0201997495688765e-05,0.0,0.0,0.0
1505,2.6564070659722866e-05,0.0,0.0,0.0
1506,2.6564070659722866e-05,0.0,0.0,0.0
1507,2.6564070659722866e-05,0.0,0.0,0.0
1508,2.6564070659722866e-05,0.0,0.0,0.0
1509,2.069030805224819e-05,0.0,0.0,0.0
1510,2.8409745677241257e-06,0.0,0.0,0.0
1511,2.8409745677241257e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,9.141156624536961e-06,0.0,0.0,0.0
1515,9.141156624536961e-06,0.0,0.0,0.0
1516,9.141156624536961e-06,0.0,0.0,0.0
1517,9.141156624536961e-06,0.0,0.0,0.0
1518,9.141156624536961e-06,0.0,0.0,0.0
1519,9.141156624536961e-06,0.0,0.0,0.0
1520,1.271609341659184e-05,0.0,0.0,0.0
1521,3.5749367920548788e-06,0.0,0.0,0.0
1522,3.5749367920548788e-06,0.0,0.0,0.0
1523,6.655161736749246e-06,0.0,0.0,0.0
1524,6.655161736749246e-06,0.0,0.0,0.0
1525,6.655161736749246e-06,0.0,0.0,0.0
1526,1.1104708132084592e-05,0.0,0.0,0.0
1527,7.529771340029713e-06,0.0,0.0,0.0
1528,7.529771340029713e-06,0.0,0.0,0.0
1529,7.529771340029713e-06,0.0,0.0,0.0
1530,1.2467980143680637e-05,0.0,0.0,0.0
1531,1.2467980143680637e-05,0.0,0.0,0.0
1532,1.382072995121624e-05,0.0,0.0,0.0
1533,9.371183555880894e-06,0.0,0.0,0.0
1534,9.371183555880894e-06,0.0,0.0,0.0
1535,2.631411358119554e-05,0.0,0.0,0.0
1536,2.6761377966977307e-05,0.0,0.0,0.0
1537,1.8742944218632018e-05,0.0,0.0,0.0
1538,1.8742944218632018e-05,0.0,0.0,0.0
1539,2.071063899425748e-05,0.0,0.0,0.0
1540,2.071063899425748e-05,0.0,0.0,0.0
1541,2.071063899425748e-05,0.0,0.0,0.0
1542,8.281648108874964e-06,0.0,0.0,0.0
1543,7.834383723093197e-06,0.0,0.0,0.0
1544,1.4094105219036074e-05,0.0,0.0,0.0
1545,1.570162580069986e-05,0.0,0.0,0.0
1546,1.2381181217538792e-05,0.0,0.0,0.0
1547,2.5489746024374783e-05,0.0,0.0,0.0
1548,3.262355221522739e-05,0.0,0.0,0.0
1549,2.8109613075295264e-05,0.0,0.0,0.0
1550,4.161825576634978e-05,0.0,0.0,0.0
1551,3.53585342704069e-05,0.0,0.0,0.0
1552,4.745212312887556e-05,0.0,0.0,0.0
1553,4.745212312887556e-05,0.0,0.0,0.0
1554,3.434355832203957e-05,0.0,0.0,0.0
1555,2.901270714314056e-05,0.0,0.0,0.0
1556,3.0053583421769353e-05,0.0,0.0,0.0
1557,1.6544940730714836e-05,0.0,0.0,0.0
1558,2.677567096855325e-05,0.0,0.0,0.0
1559,1.3074561528420808e-05,0.0,0.0,0.0
1560,1.5766703005023635e-05,0.0,0.0,0.0
1561,1.5766703005023635e-05,0.0,0.0,0.0
1562,1.3963747993070033e-05,0.0,0.0,0.0
1563,1.2922871714441239e-05,0.0,0.0,0.0
1564,3.2007812478695996e-05,0.0,0.0,0.0
1565,2.2788882883365398e-05,0.0,0.0,0.0
1566,2.2788882883365398e-05,0.0,0.0,0.0
1567,2.2143933425208422e-05,0.0,0.0,0.0
1568,2.5085014775478548e-05,0.0,0.0,0.0
1569,2.6570425429131967e-05,0.0,0.0,0.0
1570,2.6570425429131967e-05,0.0,0.0,0.0
1571,7.485484664877211e-06,0.0,0.0,0.0
1572,7.513605591416958e-06,0.0,0.0,0.0
1573,7.513605591416958e-06,0.0,0.0,0.0
1574,7.100548178381619e-06,0.0,0.0,0.0
1575,4.1594668281114925e-06,0.0,0.0,0.0
1576,3.575417070221322e-06,0.0,0.0,0.0
1577,3.575417070221322e-06,0.0,0.0,0.0
1578,4.779982646141434e-06,0.0,0.0,0.0
1579,4.38681588223387e-06,0.0,0.0,0.0
1580,5.377276725734451e-06,0.0,0.0,0.0
1581,3.7431421203239424e-06,0.0,0.0,0.0
1582,7.094993114671004e-06,0.0,0.0,0.0
1583,6.433943521447613e-06,0.0,2.403113025398592e-07,0.0
1584,7.333055106885565e-06,0.0,2.403113025398592e-07,0.0
1585,7.260798091530367e-06,0.0,2.403113025398592e-07,0.0
1586,7.332937132429963e-06,0.0,2.403113025398592e-07,0.0
1587,7.034635408282546e-06,0.0,2.403113025398592e-07,0.0
1588,7.704141223387393e-06,0.0,2.403113025398592e-07,0.0
1589,5.846102015181844e-06,0.0,2.403113025398592e-07,0.0
1590,6.645693312228624e-06,0.0,0.0,0.0
1591,6.54618211878447e-06,0.0,0.0,0.0
1592,5.413873558219555e-06,0.0,0.0,0.0
1593,5.1415331654425245e-06,0.0,0.0,0.0
1594,4.7846372126514325e-06,0.0,0.0,0.0
1595,5.4675227342418764e-06,0.0,0.0,0.0
1596,5.86747497826374e-06,0.0,0.0,0.0
1597,7.612000542524454e-06,0.0,0.0,0.0
1598,1.3580189293601766e-05,0.0,0.0,0.0
1599,1.5466767665982062e-05,0.0,0.0,0.0
1600,1.9919494304433882e-05,0.0,0.0,0.0
1601,2.270941292538607e-05,0.0,1.953238617196413e-07,0.0
1602,2.2818631675493505e-05,0.0,1.953238617196413e-07,0.0
1603,2.1336977754669662e-05,0.0,1.953238617196413e-07,0.0
1604,2.2979577936764273e-05,0.0,1.953238617196413e-07,0.0
1605,1.7673468391876668e-05,0.0,1.953238617196413e-07,0.0
1606,1.8509613645229755e-05,0.0,1.953238617196413e-07,0.0
1607,1.5103327703919994e-05,0.0,1.953238617196413e-07,0.0
1608,1.2976533915726967e-05,0.0,0.0,0.0
1609,1.208094577772759e-05,0.0,0.0,0.0
1610,1.2306076964055787e-05,0.0,0.0,0.0
1611,1.1258653752780187e-05,0.0,0.0,0.0
1612,1.2755982165150012e-05,0.0,0.0,0.0
1613,1.0512689966292652e-05,0.0,0.0,0.0
1614,9.349305563383886e-06,0.0,0.0,0.0
1615,1.0636577014468327e-05,0.0,0.0,0.0
1616,1.2233102194971122e-05,0.0,0.0,0.0
1617,1.2213567548055185e-05,0.0,0.0,0.0
1618,1.1492845227881584e-05,0.0,0.0,0.0
1619,9.996785690548546e-06,0.0,0.0,0.0
1620,9.819571005209582e-06,0.0,0.0,0.0
1621,1.1809395183653188e-05,0.0,0.0,0.0
1622,1.0367916632146392e-05,0.0,0.0,0.0
1623,1.0091268872461764e-05,0.0,0.0,0.0
1624,1.26095381542005e-05,0.0,1.493321925798747e-07,0.0
1625,1.4519213534315765e-05,0.0,5.646556441466341e-07,0.0
1626,1.5352483225277475e-05,0.0,5.646556441466341e-07,0.0
1627,1.6008894557931592e-05,0.0,5.646556441466341e-07,0.0
1628,1.4410088494644566e-05,0.0,5.646556441466341e-07,0.0
1629,1.6536964072396847e-05,0.0,5.646556441466341e-07,0.0
1630,1.9308510672999546e-05,0.0,5.646556441466341e-07,0.0
1631,1.7079414517086532e-05,0.0,4.1532345156675934e-07,0.0
1632,1.4160126738715917e-05,0.0,0.0,0.0
1633,1.2275186950968678e-05,0.0,0.0,0.0
1634,1.3291249485649001e-05,0.0,0.0,0.0
1635,1.3640777914198615e-05,0.0,0.0,0.0
1636,1.1538165511280698e-05,0.0,0.0,0.0
1637,8.197601865893895e-06,0.0,0.0,0.0
1638,8.77209289943234e-06,0.0,0.0,0.0
1639,8.36874616132783e-06,0.0,7.787022988330656e-08,0.0
1640,8.265891957697541e-06,0.0,7.787022988330656e-08,0.0
1641,7.485643079365088e-06,0.0,7.787022988330656e-08,0.0
1642,8.358583759867802e-06,0.0,7.787022988330656e-08,0.0
1643,9.115943709860272e-06,0.0,7.787022988330656e-08,0.0
1644,8.440691642265716e-06,0.0,7.787022988330656e-08,0.0
1645,1.1232485024135843e-05,4.9116830983361326e-08,1.269870608666679e-07,0.0
1646,1.230354483336019e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1647,1.3347712865652284e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1648,1.3253652793667112e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1649,1.2405744655552553e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1650,1.1658343347724959e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1651,1.3381717638237336e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1652,1.0556009718649356e-05,0.0,0.0,0.0
1653,8.992783997590387e-06,0.0,0.0,0.0
1654,9.382485586684197e-06,0.0,0.0,0.0
1655,1.1187256079990351e-05,5.81030446612983e-08,0.0,0.0
1656,1.1541901845443395e-05,5.81030446612983e-08,0.0,0.0
1657,1.1442023216139724e-05,5.81030446612983e-08,0.0,0.0
1658,1.0631872100930195e-05,5.81030446612983e-08,0.0,0.0
1659,1.095361104879495e-05,5.81030446612983e-08,0.0,0.0
1660,1.140247526823909e-05,5.81030446612983e-08,0.0,0.0
1661,1.0869518778885581e-05,5.81030446612983e-08,0.0,0.0
1662,9.304161981812545e-06,0.0,0.0,0.0
1663,8.576972114886822e-06,0.0,0.0,0.0
1664,9.527779184281826e-06,0.0,0.0,0.0
1665,9.295674317399971e-06,0.0,0.0,0.0
1666,9.563847405453479e-06,0.0,0.0,0.0
1667,1.1087219848247645e-05,0.0,0.0,0.0
1668,1.1190479069357804e-05,0.0,0.0,0.0
1669,1.0869122823870775e-05,0.0,0.0,0.0
1670,1.2542726640926308e-05,0.0,0.0,0.0
1671,1.1986701208245773e-05,0.0,0.0,0.0
1672,1.2016985692753224e-05,0.0,0.0,0.0
1673,1.1365218142600497e-05,0.0,0.0,0.0
1674,1.1469379452527001e-05,0.0,0.0,0.0
1675,1.1838389387516404e-05,0.0,0.0,0.0
1676,1.236602461826156e-05,0.0,0.0,0.0
1677,1.1178879244003578e-05,0.0,0.0,0.0
1678,1.1160850720313778e-05,0.0,0.0,0.0
1679,1.079990371571122e-05,0.0,0.0,0.0
1680,1.0590928338517966e-05,0.0,0.0,0.0
1681,9.506088645139243e-06,2.237584746061267e-08,0.0,0.0
1682,8.832533824586011e-06,2.237584746061267e-08,0.0,0.0
1683,8.345686442875636e-06,2.237584746061267e-08,0.0,0.0
1684,8.45155435464611e-06,2.237584746061267e-08,0.0,0.0
1685,8.165127902819741e-06,2.237584746061267e-08,0.0,0.0
1686,8.388726915394987e-06,2.237584746061267e-08,0.0,0.0
1687,8.200903656480868e-06,2.237584746061267e-08,0.0,0.0
1688,7.666968680756067e-06,0.0,0.0,0.0
1689,7.227198109051512e-06,0.0,0.0,0.0
1690,7.331107423981718e-06,0.0,0.0,0.0
1691,6.701185806637763e-06,0.0,0.0,0.0
1692,6.8737290348508395e-06,0.0,0.0,0.0
1693,6.347770262696681e-06,0.0,0.0,0.0
1694,6.041763559291472e-06,0.0,0.0,0.0
1695,5.481668267748319e-06,0.0,0.0,0.0
1696,6.535219589360557e-06,0.0,0.0,0.0
1697,6.408020843602051e-06,0.0,0.0,7.347074821544603e-09
1698,8.00465087585118e-06,0.0,0.0,7.347074821544603e-09
1699,7.603664406425585e-06,0.0,0.0,7.347074821544603e-09
1700,7.459847958151451e-06,0.0,0.0,7.347074821544603e-09
1701,7.183056433340036e-06,0.0,0.0,7.347074821544603e-09
