ngram,list,lis,lsit,liist
1500,3.349874805280706e-05,0.0,0.0,0.0
1501,2.6798998442245646e-05,0.0,0.0,0.0
1502,3.129375242375924e-05,2.811373633448966e-06,0.0,0.0
1503,2.6823216363222207e-05,2.4097488286705423e-06,0.0,0.0
1504,8.214350652581613e-05,2.4097488286705423e-06,0.0,0.0
1505,9.088223409240268e-05,3.0410765248234384e-06,0.0,0.0
1506,9.088223409240268e-05,3.0410765248234384e-06,0.0,0.0
1507,9.088223409240268e-05,3.0410765248234384e-06,0.0,0.0
1508,9.088223409240268e-05,3.0410765248234384e-06,0.0,0.0
1509,8.320115947364164e-05,6.313276961528962e-07,0.0,0.0
1510,8.320115947364164e-05,6.313276961528962e-07,0.0,0.0
1511,2.1465141409342842e-05,6.313276961528962e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,1.4283056901019466e-06,0.0,0.0
1515,1.999628044099414e-06,1.4283056901019466e-06,0.0,0.0
1516,1.999628044099414e-06,1.4283056901019466e-06,0.0,0.0
1517,8.37494943490518e-06,2.4908592552362407e-06,0.0,0.0
1518,8.37494943490518e-06,2.4908592552362407e-06,0.0,0.0
1519,8.37494943490518e-06,2.4908592552362407e-06,0.0,0.0
1520,1.0460329186961254e-05,3.3845934532499607e-06,0.0,0.0
1521,8.46070114286184e-06,1.956287763148014e-06,0.0,0.0
1522,8.46070114286184e-06,1.956287763148014e-06,0.0,0.0
1523,2.078160092163931e-05,1.956287763148014e-06,0.0,0.0
1524,1.4406279530833541e-05,8.937341980137197e-07,0.0,0.0
1525,1.4406279530833541e-05,8.937341980137197e-07,0.0,0.0
1526,1.5677578500929356e-05,8.937341980137197e-07,0.0,0.0
1527,0.00012968902488604987,0.0,0.0,0.0
1528,0.00017149832378241366,0.0,0.0,0.0
1529,0.00017149832378241366,0.0,0.0,0.0
1530,0.00016209321802307386,0.0,0.0,0.0
1531,0.00016209321802307386,5.744848229889092e-06,0.0,0.0
1532,0.00016434780107894248,5.744848229889092e-06,0.0,0.0
1533,0.00016307650210884667,5.744848229889092e-06,0.0,0.0
1534,4.8384146664050475e-05,5.744848229889092e-06,0.0,0.0
1535,1.2222491282695305e-05,5.744848229889092e-06,0.0,0.0
1536,2.385136537798514e-05,5.744848229889092e-06,0.0,0.0
1537,2.093557135854748e-05,5.744848229889092e-06,0.0,0.0
1538,3.0464886809308416e-05,0.0,0.0,0.0
1539,4.9793193024275494e-05,0.0,0.0,0.0
1540,4.9793193024275494e-05,0.0,0.0,0.0
1541,4.8388722331895095e-05,0.0,0.0,0.0
1542,6.531077295741332e-05,0.0,0.0,0.0
1543,5.368189886212349e-05,0.0,0.0,0.0
1544,5.618578740852952e-05,2.782098493168762e-07,0.0,0.0
1545,5.683743568494849e-05,2.782098493168762e-07,0.0,0.0
1546,4.8960150317205784e-05,2.782098493168762e-07,0.0,0.0
1547,4.8960150317205784e-05,2.782098493168762e-07,0.0,0.0
1548,5.9363618025340005e-05,2.782098493168762e-07,0.0,0.0
1549,3.679392388481314e-05,2.782098493168762e-07,0.0,0.0
1550,0.0001508068658690068,2.782098493168762e-07,0.0,0.0
1551,0.00014830297732260078,0.0,0.0,0.0
1552,0.00013956423559388246,7.211109992307943e-07,0.0,0.0
1553,0.00012585863169078948,7.211109992307943e-07,0.0,0.0
1554,0.00012585863169078948,7.211109992307943e-07,0.0,0.0
1555,0.00012266698403046966,7.211109992307943e-07,0.0,0.0
1556,0.00012370786030909846,7.211109992307943e-07,0.0,0.0
1557,9.694918324904783e-06,7.211109992307943e-07,0.0,0.0
1558,4.7207593784800596e-05,7.211109992307943e-07,0.0,0.0
1559,6.639605024767141e-05,0.0,0.0,0.0
1560,7.40237843014516e-05,8.973804922009419e-07,0.0,0.0
1561,8.168204203684581e-05,8.973804922009419e-07,0.0,0.0
1562,7.447022198903142e-05,8.973804922009419e-07,0.0,0.0
1563,7.661169781515907e-05,8.973804922009419e-07,0.0,0.0
1564,8.93349913115214e-05,8.973804922009419e-07,0.0,0.0
1565,5.384591713664122e-05,1.909181134708758e-06,0.0,0.0
1566,5.22519439982716e-05,5.71652214733019e-06,0.0,0.0
1567,5.0083388487109914e-05,4.819141655129247e-06,0.0,0.0
1568,4.5366212101985835e-05,4.819141655129247e-06,0.0,0.0
1569,6.09630234456355e-05,4.819141655129247e-06,0.0,0.0
1570,5.778067134087905e-05,4.819141655129247e-06,0.0,0.0
1571,4.996108119874927e-05,4.819141655129247e-06,0.0,0.0
1572,5.9896577503033246e-05,3.8073410126214313e-06,0.0,0.0
1573,4.211828153139712e-05,1.2584093513266583e-06,0.0,0.0
1574,4.0472083907973554e-05,1.8031208972908125e-06,0.0,0.0
1575,4.2560121073620394e-05,1.8031208972908125e-06,0.0,0.0
1576,3.2822155584913813e-05,2.7044817930540636e-06,0.0,0.0
1577,6.343986751744524e-05,1.035890977618692e-05,0.0,0.0
1578,6.14271214414787e-05,1.0599822888122748e-05,0.0,0.0
1579,5.528881696851126e-05,1.0599822888122748e-05,0.0,0.0
1580,5.9973172808115904e-05,1.033187438029667e-05,0.0,0.0
1581,6.624641745085163e-05,9.787162834332516e-06,0.0,0.0
1582,6.624507555638306e-05,1.0625125582919281e-05,0.0,0.0
1583,6.591338959489284e-05,9.72376468715603e-06,0.0,0.0
1584,3.6194789247799364e-05,2.069336704023174e-06,0.0,0.0
1585,3.839922042711156e-05,2.017141680101174e-06,0.0,0.0
1586,4.408072884741289e-05,2.017141680101174e-06,0.0,0.0
1587,5.4403702636461405e-05,1.0266808366005925e-06,0.0,0.0
1588,4.833451196515982e-05,1.6961866517054399e-06,0.0,0.0
1589,5.1149247350882175e-05,1.0449503763863634e-06,0.0,0.0
1590,5.238145415985075e-05,1.3049260262830233e-06,0.0,0.0
1591,7.440422008845157e-05,1.3049260262830233e-06,0.0,0.0
1592,7.76664367419601e-05,1.2458672277456831e-05,0.0,0.0
1593,9.407372531963379e-05,1.3128502457350675e-05,0.0,0.0
1594,8.518377580912784e-05,1.6648765625047546e-05,0.0,0.0
1595,0.00010145260966964997,1.7782448172251213e-05,0.0,0.0
1596,9.99226446895461e-05,2.348743201504736e-05,0.0,0.0
1597,0.00010054806573732224,2.334851845781876e-05,0.0,0.0
1598,0.00011186324003834411,2.3879325453890488e-05,0.0,0.0
1599,0.00011529674936485077,1.277268341125039e-05,0.0,0.0
1600,0.00011720886271047805,1.2102853231356545e-05,0.0,0.0
1601,0.0001141301981988363,1.3270362744931066e-05,0.0,0.0
1602,9.854236174890372e-05,1.1675975818954093e-05,0.0,0.0
1603,9.511458535728577e-05,6.1963756122297904e-06,0.0,0.0
1604,9.249736675493685e-05,6.5861244625661385e-06,0.0,0.0
1605,6.017174213671491e-05,6.055317466494411e-06,0.0,0.0
1606,5.55878373883648e-05,6.139815598414446e-06,0.0,0.0
1607,2.875212222923957e-05,6.139815598414446e-06,0.0,0.0
1608,2.505403004501464e-05,1.651720513759106e-06,0.0,0.0
