ngram,west,wet,westt,west
1500,1.1238505067012738e-05,1.5744651307159074e-06,0.0,1.1238505067012738e-05
1501,8.99080405361019e-06,1.259572104572726e-06,0.0,8.99080405361019e-06
1502,2.3482024820017006e-05,1.752486828839513e-06,0.0,2.3482024820017006e-05
1503,2.0127449845728863e-05,1.5021315675767255e-06,0.0,2.0127449845728863e-05
1504,2.1743979751980597e-05,8.338265453338474e-07,0.0,2.1743979751980597e-05
1505,2.278986072009762e-05,6.024372071676356e-07,0.0,2.278986072009762e-05
1506,3.0392284315894358e-05,6.024372071676356e-07,0.0,3.0392284315894358e-05
1507,3.0392284315894358e-05,6.024372071676356e-07,0.0,3.0392284315894358e-05
1508,3.0392284315894358e-05,6.024372071676356e-07,0.0,3.0392284315894358e-05
1509,1.6686837365601343e-05,0.0,0.0,1.6686837365601343e-05
1510,1.6686837365601343e-05,0.0,0.0,1.6686837365601343e-05
1511,1.360003651435753e-05,0.0,0.0,1.360003651435753e-05
1512,7.602423595796738e-06,0.0,0.0,7.602423595796738e-06
1513,0.0,0.0,0.0,0.0
1514,3.427933864129175e-06,5.713222890335601e-07,0.0,3.427933864129175e-06
1515,3.427933864129175e-06,5.713222890335601e-07,0.0,3.427933864129175e-06
1516,3.427933864129175e-06,5.713222890335601e-07,0.0,3.427933864129175e-06
1517,3.427933864129175e-06,9.603027722602877e-06,0.0,3.427933864129175e-06
1518,3.427933864129175e-06,9.603027722602877e-06,0.0,3.427933864129175e-06
1519,3.427933864129175e-06,9.603027722602877e-06,0.0,3.427933864129175e-06
1520,7.284128878382035e-05,1.1688407474658951e-05,0.0,7.284128878382035e-05
1521,6.941335491969117e-05,1.1117085185625391e-05,0.0,6.941335491969117e-05
1522,0.0001804948426849608,1.1117085185625391e-05,0.0,0.0001804948426849608
1523,0.00019589596818799952,1.358126519335201e-05,0.0,0.00019589596818799952
1524,0.00019589596818799952,6.648990334464802e-05,0.0,0.00019589596818799952
1525,0.00019589596818799952,6.648990334464802e-05,0.0,0.00019589596818799952
1526,0.00019589596818799952,6.648990334464802e-05,0.0,0.00019589596818799952
1527,0.00012648261326830834,6.440452359259195e-05,0.0,0.00012648261326830834
1528,0.00014320633220320036,6.963068595463742e-05,0.0,0.00014320633220320036
1529,3.212484443793073e-05,6.963068595463742e-05,0.0,3.212484443793073e-05
