ngram,goal,gol,glao,gaol
1500,5.487997611908213e-07,0.0,0.0,0.0
1501,4.3903980895265704e-07,0.0,0.0,0.0
1502,3.6586650746054755e-07,0.0,0.0,7.028434386787315e-06
1503,9.238266605799644e-06,0.0,0.0,6.024372331531984e-06
1504,8.970944609895273e-06,0.0,0.0,6.024372331531984e-06
1505,9.24033059033848e-06,0.0,0.0,6.024372331531984e-06
1506,9.24033059033848e-06,0.0,0.0,6.024372331531984e-06
1507,9.24033059033848e-06,0.0,0.0,6.024372331531984e-06
1508,9.24033059033848e-06,0.0,0.0,6.024372331531984e-06
1509,9.24033059033848e-06,0.0,0.0,0.0
1510,3.156638480764481e-07,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,5.713222760407786e-06
1515,0.0,0.0,0.0,5.713222760407786e-06
1516,0.0,0.0,0.0,5.713222760407786e-06
1517,0.0,0.0,0.0,5.713222760407786e-06
1518,0.0,0.0,0.0,5.713222760407786e-06
1519,0.0,0.0,0.0,5.713222760407786e-06
1520,2.979113885105887e-07,0.0,0.0,5.713222760407786e-06
1521,2.979113885105887e-07,0.0,0.0,0.0
1522,2.979113885105887e-07,0.0,0.0,0.0
1523,5.842316340931575e-06,0.0,0.0,0.0
1524,5.842316340931575e-06,0.0,0.0,0.0
1525,5.842316340931575e-06,0.0,0.0,0.0
1526,6.4779658259794815e-06,0.0,0.0,0.0
1527,6.180054437468893e-06,0.0,0.0,0.0
1528,6.180054437468893e-06,0.0,0.0,0.0
1529,6.180054437468893e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,1.2125345944826091e-05,0.0,0.0,0.0
1532,1.618359523750509e-05,0.0,0.0,0.0
1533,1.5547945752457182e-05,0.0,0.0,0.0
1534,1.5547945752457182e-05,0.0,0.0,0.0
1535,1.59244553157935e-05,0.0,0.0,8.659720021699155e-06
1536,1.59244553157935e-05,0.0,0.0,8.659720021699155e-06
1537,1.59244553157935e-05,0.0,0.0,8.659720021699155e-06
1538,4.434758856015313e-06,0.0,0.0,8.659720021699155e-06
1539,2.8668430007071166e-06,0.0,0.0,8.659720021699155e-06
1540,2.8668430007071166e-06,0.0,0.0,8.659720021699155e-06
1541,2.8668430007071166e-06,0.0,0.0,8.659720021699155e-06
1542,2.4903334373708016e-06,0.0,0.0,0.0
1543,2.4903334373708016e-06,0.0,0.0,0.0
1544,2.4903334373708016e-06,1.391049246584381e-07,0.0,6.955246395331674e-07
1545,2.4903334373708016e-06,1.391049246584381e-07,0.0,2.303045221196953e-06
1546,0.0,1.391049246584381e-07,0.0,3.981282394046762e-06
1547,0.0,3.416246126367436e-06,0.0,3.981282394046762e-06
1548,0.0,3.416246126367436e-06,0.0,3.981282394046762e-06
1549,0.0,3.416246126367436e-06,0.0,3.981282394046762e-06
1550,1.08069142308003e-06,3.416246126367436e-06,0.0,3.981282394046762e-06
1551,1.08069142308003e-06,3.277141201708998e-06,0.0,3.285757754513595e-06
1552,2.5229134215416186e-06,3.277141201708998e-06,0.0,1.678237172849809e-06
1553,2.5229134215416186e-06,3.277141201708998e-06,0.0,0.0
1554,2.5229134215416186e-06,1.8513204330312355e-05,0.0,0.0
1555,2.5229134215416186e-06,1.8513204330312355e-05,0.0,1.8029550119535998e-06
1556,3.5637897001704133e-06,1.8513204330312355e-05,0.0,1.8029550119535998e-06
1557,2.117311461396249e-05,1.8513204330312355e-05,0.0,1.8029550119535998e-06
1558,2.6629503866258475e-05,1.8513204330312355e-05,0.0,2.4850036684905978e-06
1559,2.518728186779689e-05,1.8513204330312355e-05,0.0,2.4850036684905978e-06
1560,2.563597211389736e-05,1.8513204330312355e-05,0.0,2.4850036684905978e-06
1561,2.563597211389736e-05,0.0,0.0,2.4850036684905978e-06
1562,2.563597211389736e-05,0.0,0.0,6.820486565369979e-07
1563,2.4595095835268565e-05,0.0,0.0,6.820486565369979e-07
1564,5.905079498396455e-06,0.0,0.0,6.820486565369979e-07
1565,4.4869024610047094e-07,0.0,0.0,0.0
1566,4.4869024610047094e-07,0.0,0.0,0.0
1567,6.823973178273133e-07,0.0,0.0,0.0
1568,6.823973178273133e-07,0.0,0.0,0.0
1569,6.823973178273133e-07,0.0,0.0,7.427053268267108e-07
1570,6.823973178273133e-07,0.0,0.0,7.427053268267108e-07
1571,6.823973178273133e-07,0.0,0.0,7.427053268267108e-07
1572,6.823973178273133e-07,0.0,0.0,2.5180861224985813e-05
1573,6.823973178273133e-07,0.0,0.0,2.5180861224985813e-05
1574,5.447115459641541e-07,5.447115459641541e-07,0.0,2.5180861224985813e-05
1575,5.447115459641541e-07,5.447115459641541e-07,0.0,2.5180861224985813e-05
1576,5.447115459641541e-07,9.953919938457797e-07,0.0,2.4438155898159103e-05
1577,5.447115459641541e-07,9.953919938457797e-07,0.0,2.4438155898159103e-05
1578,1.0265377698358082e-06,9.953919938457797e-07,0.0,2.4438155898159103e-05
1579,1.0265377698358082e-06,9.953919938457797e-07,0.0,6.467548051399977e-07
1580,1.0265377698358082e-06,9.953919938457797e-07,0.0,6.467548051399977e-07
1581,4.81826223871654e-07,4.5068044788162555e-07,0.0,6.467548051399977e-07
1582,4.81826223871654e-07,8.696618221750083e-07,0.0,6.467548051399977e-07
1583,3.3655618543499647e-06,4.189813742933828e-07,0.0,2.809556592962638e-06
1584,3.3655618543499647e-06,4.189813742933828e-07,0.0,2.809556592962638e-06
1585,3.2611718065059643e-06,4.189813742933828e-07,0.0,2.809556592962638e-06
1586,3.980065652545558e-06,4.189813742933828e-07,0.0,2.16280178782264e-06
1587,3.980065652545558e-06,4.189813742933828e-07,0.0,2.16280178782264e-06
1588,3.980065652545558e-06,4.189813742933828e-07,0.0,2.16280178782264e-06
1589,4.166792125813247e-06,1.867264732676891e-07,0.0,3.843340112195749e-06
1590,1.2830564953349364e-06,1.867264732676891e-07,0.0,2.200489624166429e-06
1591,1.2830564953349364e-06,1.867264732676891e-07,0.0,2.200489624166429e-06
1592,9.056203193072829e-07,1.867264732676891e-07,0.0,2.200489624166429e-06
1593,1.867264732676891e-07,1.867264732676891e-07,0.0,2.4237663507977103e-06
