ngram,coat,cot,cot,coat
1500,7.998089699867705e-06,2.429588050745224e-07,2.429588050745224e-07,7.998089699867705e-06
1501,6.398471759894164e-06,1.9436704405961792e-07,1.9436704405961792e-07,6.398471759894164e-06
1502,5.683481504092924e-06,1.6197253671634826e-07,1.6197253671634826e-07,5.683481504092924e-06
1503,4.871555574936792e-06,1.3883360289972708e-07,1.3883360289972708e-07,4.871555574936792e-06
1504,9.953866018414764e-07,1.3883360289972708e-07,1.3883360289972708e-07,9.953866018414764e-07
1505,9.32546299736714e-07,6.313276961528962e-07,6.313276961528962e-07,9.32546299736714e-07
1506,9.32546299736714e-07,6.313276961528962e-07,6.313276961528962e-07,9.32546299736714e-07
1507,9.32546299736714e-07,6.313276961528962e-07,6.313276961528962e-07,9.32546299736714e-07
1508,9.32546299736714e-07,6.313276961528962e-07,6.313276961528962e-07,9.32546299736714e-07
1509,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07
1510,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07
1511,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.7135949761640016e-06,0.0,0.0,3.7135949761640016e-06
1515,3.7135949761640016e-06,0.0,0.0,3.7135949761640016e-06
1516,3.7135949761640016e-06,0.0,0.0,3.7135949761640016e-06
1517,4.776148541298296e-06,0.0,0.0,4.776148541298296e-06
1518,4.776148541298296e-06,0.0,0.0,4.776148541298296e-06
1519,4.776148541298296e-06,0.0,0.0,4.776148541298296e-06
1520,7.755262361440276e-06,0.0,0.0,7.755262361440276e-06
1521,4.041667385276274e-06,0.0,0.0,4.041667385276274e-06
1522,7.215424245389711e-06,0.0,0.0,7.215424245389711e-06
1523,7.215424245389711e-06,0.0,0.0,7.215424245389711e-06
1524,6.152870680255416e-06,0.0,0.0,6.152870680255416e-06
1525,6.152870680255416e-06,0.0,0.0,6.152870680255416e-06
1526,6.152870680255416e-06,0.0,0.0,6.152870680255416e-06
1527,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1528,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,1.1489696459778185e-05,0.0,0.0,1.1489696459778185e-05
1532,1.1489696459778185e-05,0.0,0.0,1.1489696459778185e-05
1533,1.1489696459778185e-05,0.0,0.0,1.1489696459778185e-05
1534,1.1489696459778185e-05,0.0,0.0,1.1489696459778185e-05
1535,1.8643377968276453e-05,0.0,0.0,1.8643377968276453e-05
1536,1.8643377968276453e-05,0.0,0.0,1.8643377968276453e-05
1537,1.8643377968276453e-05,0.0,0.0,1.8643377968276453e-05
1538,7.153681508498266e-06,0.0,0.0,7.153681508498266e-06
1539,1.2964459788885766e-05,0.0,0.0,1.2964459788885766e-05
1540,1.2964459788885766e-05,0.0,0.0,1.2964459788885766e-05
1541,1.2964459788885766e-05,0.0,0.0,1.2964459788885766e-05
1542,8.820070953723708e-06,0.0,0.0,8.820070953723708e-06
1543,8.820070953723708e-06,0.0,0.0,8.820070953723708e-06
1544,1.062843499052438e-05,1.391049246584381e-07,1.391049246584381e-07,1.062843499052438e-05
1545,1.062843499052438e-05,1.391049246584381e-07,1.391049246584381e-07,1.062843499052438e-05
1546,5.377069101086818e-06,1.391049246584381e-07,1.391049246584381e-07,5.377069101086818e-06
1547,5.377069101086818e-06,1.391049246584381e-07,1.391049246584381e-07,5.377069101086818e-06
1548,5.377069101086818e-06,1.391049246584381e-07,1.391049246584381e-07,5.377069101086818e-06
1549,2.3677764277506086e-06,1.391049246584381e-07,1.391049246584381e-07,2.3677764277506086e-06
1550,2.3677764277506086e-06,1.391049246584381e-07,1.391049246584381e-07,2.3677764277506086e-06
