ngram,duty,dut,dutty,dut
1578,4.292741037456186e-05,6.915935598174526e-07,0.0,6.915935598174526e-07
1579,5.724445665172035e-05,6.915935598174526e-07,0.0,6.915935598174526e-07
1580,4.214354443580045e-05,6.915935598174526e-07,0.0,6.915935598174526e-07
1581,3.9565774256646235e-05,6.915935598174526e-07,0.0,6.915935598174526e-07
1582,4.0403401466651955e-05,6.915935598174526e-07,0.0,6.915935598174526e-07
1583,4.917437672702363e-05,2.40913111935827e-07,0.0,2.40913111935827e-07
1584,4.6768759602855425e-05,2.40913111935827e-07,0.0,2.40913111935827e-07
1585,4.185817851976026e-05,0.0,0.0,0.0
1586,1.9221759690221267e-05,0.0,0.0,0.0
1587,2.0606077928927595e-05,0.0,0.0,0.0
1588,2.150417900078797e-05,0.0,0.0,0.0
1589,2.6691604554278975e-05,0.0,0.0,0.0
1590,2.1577396312620423e-05,0.0,0.0,0.0
1591,2.2611530247169348e-05,0.0,0.0,0.0
1592,2.41174620896345e-05,0.0,0.0,0.0
1593,2.5233845787754816e-05,0.0,0.0,0.0
1594,2.9716633175017444e-05,0.0,0.0,0.0
1595,3.42513633638321e-05,0.0,0.0,0.0
1596,3.580659618559626e-05,0.0,0.0,0.0
1597,3.555277752249302e-05,0.0,0.0,0.0
1598,9.308528361933506e-05,0.0,0.0,0.0
1599,9.763932212081272e-05,0.0,0.0,0.0
1600,0.00012783572674379684,0.0,0.0,0.0
1601,0.00012587509835222072,1.953238617196413e-07,0.0,1.953238617196413e-07
1602,0.00012513518959167413,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1603,0.00011794606481479215,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1604,0.00012891607496255477,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1605,7.125008076919974e-05,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1606,7.584694815575079e-05,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1607,5.274562785676348e-05,2.9972457988541077e-07,0.0,2.9972457988541077e-07
1608,5.083592662101312e-05,1.0440071816576944e-07,0.0,1.0440071816576944e-07
1609,7.11547876822546e-05,0.0,0.0,0.0
