ngram,lan,loon
1630,4.942003248028673e-06,1.4804096995898623e-07
1631,5.1741665174631635e-06,1.4804096995898623e-07
1632,4.2947007321864864e-06,1.4804096995898623e-07
1633,4.1542064731662065e-06,1.4804096995898623e-07
1634,3.602186114091767e-06,1.4804096995898623e-07
1635,3.8508659697202215e-06,9.880461756698163e-07
1636,3.4554794865471194e-06,9.923612408004243e-07
1637,3.2044482622950454e-06,9.923612408004243e-07
1638,2.7936285797685353e-06,9.923612408004243e-07
1639,2.504994272710194e-06,1.0702314706837309e-06
1640,2.3678553020545223e-06,1.0702314706837309e-06
1641,2.3599073253015897e-06,1.0702314706837309e-06
1642,2.215468685205581e-06,4.885641341648547e-07
1643,2.4100257454457667e-06,4.017197251674328e-07
1644,2.062726447807758e-06,4.017197251674328e-07
1645,2.382788238719513e-06,4.017197251674328e-07
1646,2.707871650337828e-06,4.2458790565953155e-07
1647,2.400684983123418e-06,1.0488612360859406e-06
1648,2.2993443410866476e-06,1.140559707632097e-06
1649,2.02400055318971e-06,8.167102123479708e-07
1650,1.7455866847220541e-06,1.0363108913225005e-06
1651,1.9549258029525973e-06,1.2513112973725323e-06
1652,1.5882094511912977e-06,1.529668289939374e-06
1653,1.4113831525719434e-06,1.8811845653285024e-06
1654,1.6392030894556747e-06,1.5887767241500633e-06
1655,2.0245827759676364e-06,2.020005646435103e-06
1656,2.0493565508721597e-06,2.0653129776552045e-06
1657,1.8136401556440823e-06,2.068147758953793e-06
1658,1.7807177467180476e-06,2.0676098902835553e-06
1659,1.7510352664982877e-06,1.7892528977167136e-06
1660,1.925781940518131e-06,1.33699821195218e-06
1661,1.7282872692346376e-06,1.4082451684771513e-06
1662,1.3677593143159226e-06,9.665174941021957e-07
1663,1.4493099038353258e-06,9.212101628820944e-07
1664,1.7359293207976277e-06,9.738955830990953e-07
1665,1.7324008386562388e-06,8.476162796406632e-07
1666,1.819036526740092e-06,1.0873066571548407e-06
1667,1.7426856808404928e-06,1.1197589730370185e-06
1668,2.177106677793615e-06,8.041529590790171e-07
1669,2.374156338191824e-06,7.828614241946395e-07
1670,2.3819205970149985e-06,8.601597605612759e-07
1671,2.458598666115514e-06,6.63259265414646e-07
