ngram,bet,bet,bet,bet
1579,1.0962684557723281e-05,1.0962684557723281e-05,1.0962684557723281e-05,1.0962684557723281e-05
1580,1.1953145401223861e-05,1.1953145401223861e-05,1.1953145401223861e-05,1.1953145401223861e-05
1581,8.684876190402844e-06,8.684876190402844e-06,8.684876190402844e-06,8.684876190402844e-06
1582,7.427596561423602e-06,7.427596561423602e-06,7.427596561423602e-06,7.427596561423602e-06
1583,6.556177855340398e-06,6.556177855340398e-06,6.556177855340398e-06,6.556177855340398e-06
1584,7.45528944077835e-06,7.45528944077835e-06,7.45528944077835e-06,7.45528944077835e-06
1585,7.0055962169135455e-06,7.0055962169135455e-06,7.0055962169135455e-06,7.0055962169135455e-06
1586,4.562855078152747e-06,4.562855078152747e-06,4.562855078152747e-06,4.562855078152747e-06
1587,3.5723942346521653e-06,3.5723942346521653e-06,3.5723942346521653e-06,3.5723942346521653e-06
1588,4.9114058648618605e-06,4.9114058648618605e-06,4.9114058648618605e-06,4.9114058648618605e-06
1589,5.284858811397239e-06,5.284858811397239e-06,5.284858811397239e-06,5.284858811397239e-06
1590,4.80423620631752e-06,4.80423620631752e-06,4.80423620631752e-06,4.80423620631752e-06
1591,4.171658084877501e-06,4.171658084877501e-06,4.171658084877501e-06,4.171658084877501e-06
1592,3.4167857328221932e-06,3.4167857328221932e-06,3.4167857328221932e-06,3.4167857328221932e-06
1593,4.658318760318382e-06,4.658318760318382e-06,4.658318760318382e-06,4.658318760318382e-06
1594,5.831739859526611e-06,5.831739859526611e-06,5.831739859526611e-06,5.831739859526611e-06
1595,1.1254684652937743e-05,1.1254684652937743e-05,1.1254684652937743e-05,1.1254684652937743e-05
1596,1.2143741059844615e-05,1.2143741059844615e-05,1.2143741059844615e-05,1.2143741059844615e-05
1597,1.2749051490702965e-05,1.2749051490702965e-05,1.2749051490702965e-05,1.2749051490702965e-05
1598,1.2703687616522075e-05,1.2703687616522075e-05,1.2703687616522075e-05,1.2703687616522075e-05
1599,1.4354443627390928e-05,1.4354443627390928e-05,1.4354443627390928e-05,1.4354443627390928e-05
1600,1.2314159416096768e-05,1.2314159416096768e-05,1.2314159416096768e-05,1.2314159416096768e-05
1601,1.153138604032782e-05,1.153138604032782e-05,1.153138604032782e-05,1.153138604032782e-05
1602,5.08263178744528e-06,5.08263178744528e-06,5.08263178744528e-06,5.08263178744528e-06
1603,4.232232543342564e-06,4.232232543342564e-06,4.232232543342564e-06,4.232232543342564e-06
1604,3.6269221124842133e-06,3.6269221124842133e-06,3.6269221124842133e-06,3.6269221124842133e-06
1605,4.080373855686048e-06,4.080373855686048e-06,4.080373855686048e-06,4.080373855686048e-06
1606,3.070258701752339e-06,3.070258701752339e-06,3.070258701752339e-06,3.070258701752339e-06
1607,3.1777192686734324e-06,3.1777192686734324e-06,3.1777192686734324e-06,3.1777192686734324e-06
1608,3.1864267384662526e-06,3.1864267384662526e-06,3.1864267384662526e-06,3.1864267384662526e-06
1609,3.439246516531317e-06,3.439246516531317e-06,3.439246516531317e-06,3.439246516531317e-06
1610,3.154584671197621e-06,3.154584671197621e-06,3.154584671197621e-06,3.154584671197621e-06
1611,3.871470612791329e-06,3.871470612791329e-06,3.871470612791329e-06,3.871470612791329e-06
1612,4.003851464468815e-06,4.003851464468815e-06,4.003851464468815e-06,4.003851464468815e-06
1613,4.641694455845677e-06,4.641694455845677e-06,4.641694455845677e-06,4.641694455845677e-06
1614,4.2248071281392185e-06,4.2248071281392185e-06,4.2248071281392185e-06,4.2248071281392185e-06
1615,4.206395187468713e-06,4.206395187468713e-06,4.206395187468713e-06,4.206395187468713e-06
1616,4.7216468033184356e-06,4.7216468033184356e-06,4.7216468033184356e-06,4.7216468033184356e-06
1617,7.312107819806053e-06,7.312107819806053e-06,7.312107819806053e-06,7.312107819806053e-06
1618,7.284561823845641e-06,7.284561823845641e-06,7.284561823845641e-06,7.284561823845641e-06
1619,7.040232113857721e-06,7.040232113857721e-06,7.040232113857721e-06,7.040232113857721e-06
1620,6.4669206949474756e-06,6.4669206949474756e-06,6.4669206949474756e-06,6.4669206949474756e-06
1621,8.456744873391081e-06,8.456744873391081e-06,8.456744873391081e-06,8.456744873391081e-06
1622,8.357195253795777e-06,8.357195253795777e-06,8.357195253795777e-06,8.357195253795777e-06
1623,7.81475007118258e-06,7.81475007118258e-06,7.81475007118258e-06,7.81475007118258e-06
1624,5.694169561008623e-06,5.694169561008623e-06,5.694169561008623e-06,5.694169561008623e-06
1625,5.835476518508845e-06,5.835476518508845e-06,5.835476518508845e-06,5.835476518508845e-06
1626,6.650534942309605e-06,6.650534942309605e-06,6.650534942309605e-06,6.650534942309605e-06
1627,6.9039905870990225e-06,6.9039905870990225e-06,6.9039905870990225e-06,6.9039905870990225e-06
1628,6.15683575233561e-06,6.15683575233561e-06,6.15683575233561e-06,6.15683575233561e-06
1629,8.3513223866508e-06,8.3513223866508e-06,8.3513223866508e-06,8.3513223866508e-06
1630,9.364975994685665e-06,9.364975994685665e-06,9.364975994685665e-06,9.364975994685665e-06
1631,9.957926977222087e-06,9.957926977222087e-06,9.957926977222087e-06,9.957926977222087e-06
1632,1.022679368491351e-05,1.022679368491351e-05,1.022679368491351e-05,1.022679368491351e-05
1633,1.0082897980672506e-05,1.0082897980672506e-05,1.0082897980672506e-05,1.0082897980672506e-05
1634,9.988197039742122e-06,9.988197039742122e-06,9.988197039742122e-06,9.988197039742122e-06
1635,1.1297108033301941e-05,1.1297108033301941e-05,1.1297108033301941e-05,1.1297108033301941e-05
1636,1.029758271085614e-05,1.029758271085614e-05,1.029758271085614e-05,1.029758271085614e-05
1637,9.549862105424317e-06,9.549862105424317e-06,9.549862105424317e-06,9.549862105424317e-06
1638,1.1120318959001452e-05,1.1120318959001452e-05,1.1120318959001452e-05,1.1120318959001452e-05
1639,1.0877377852531417e-05,1.0877377852531417e-05,1.0877377852531417e-05,1.0877377852531417e-05
1640,1.159689574186424e-05,1.159689574186424e-05,1.159689574186424e-05,1.159689574186424e-05
1641,1.2345464905852818e-05,1.2345464905852818e-05,1.2345464905852818e-05,1.2345464905852818e-05
1642,1.0867622677324107e-05,1.0867622677324107e-05,1.0867622677324107e-05,1.0867622677324107e-05
1643,1.0384814621439936e-05,1.0384814621439936e-05,1.0384814621439936e-05,1.0384814621439936e-05
1644,1.0313344968640844e-05,1.0313344968640844e-05,1.0313344968640844e-05,1.0313344968640844e-05
1645,8.878762855601963e-06,8.878762855601963e-06,8.878762855601963e-06,8.878762855601963e-06
1646,8.727359207633917e-06,8.727359207633917e-06,8.727359207633917e-06,8.727359207633917e-06
1647,8.230643873373214e-06,8.230643873373214e-06,8.230643873373214e-06,8.230643873373214e-06
1648,8.222870811940603e-06,8.222870811940603e-06,8.222870811940603e-06,8.222870811940603e-06
1649,1.0261545152648718e-05,1.0261545152648718e-05,1.0261545152648718e-05,1.0261545152648718e-05
1650,1.0190321128383012e-05,1.0190321128383012e-05,1.0190321128383012e-05,1.0190321128383012e-05
1651,1.0704031735388395e-05,1.0704031735388395e-05,1.0704031735388395e-05,1.0704031735388395e-05
1652,1.0658319362326957e-05,1.0658319362326957e-05,1.0658319362326957e-05,1.0658319362326957e-05
1653,1.0706908272238382e-05,1.0706908272238382e-05,1.0706908272238382e-05,1.0706908272238382e-05
1654,1.0453282941723177e-05,1.0453282941723177e-05,1.0453282941723177e-05,1.0453282941723177e-05
1655,9.778208420487187e-06,9.778208420487187e-06,9.778208420487187e-06,9.778208420487187e-06
1656,7.197025492392381e-06,7.197025492392381e-06,7.197025492392381e-06,7.197025492392381e-06
1657,7.053226714301023e-06,7.053226714301023e-06,7.053226714301023e-06,7.053226714301023e-06
1658,6.610458902806775e-06,6.610458902806775e-06,6.610458902806775e-06,6.610458902806775e-06
1659,6.681038550076275e-06,6.681038550076275e-06,6.681038550076275e-06,6.681038550076275e-06
1660,7.450602035013227e-06,7.450602035013227e-06,7.450602035013227e-06,7.450602035013227e-06
1661,7.188185333818962e-06,7.188185333818962e-06,7.188185333818962e-06,7.188185333818962e-06
1662,6.867534531400972e-06,6.867534531400972e-06,6.867534531400972e-06,6.867534531400972e-06
1663,6.663645048580033e-06,6.663645048580033e-06,6.663645048580033e-06,6.663645048580033e-06
1664,6.74978653998031e-06,6.74978653998031e-06,6.74978653998031e-06,6.74978653998031e-06
1665,7.224208924786321e-06,7.224208924786321e-06,7.224208924786321e-06,7.224208924786321e-06
1666,6.7920002818157495e-06,6.7920002818157495e-06,6.7920002818157495e-06,6.7920002818157495e-06
1667,6.3071531388102035e-06,6.3071531388102035e-06,6.3071531388102035e-06,6.3071531388102035e-06
1668,6.329128154902719e-06,6.329128154902719e-06,6.329128154902719e-06,6.329128154902719e-06
1669,6.349166207136088e-06,6.349166207136088e-06,6.349166207136088e-06,6.349166207136088e-06
1670,6.581147317774594e-06,6.581147317774594e-06,6.581147317774594e-06,6.581147317774594e-06
1671,6.733346773606692e-06,6.733346773606692e-06,6.733346773606692e-06,6.733346773606692e-06
1672,6.487915145823665e-06,6.487915145823665e-06,6.487915145823665e-06,6.487915145823665e-06
1673,6.385616740902021e-06,6.385616740902021e-06,6.385616740902021e-06,6.385616740902021e-06
1674,6.192936260569175e-06,6.192936260569175e-06,6.192936260569175e-06,6.192936260569175e-06
1675,5.951054000823726e-06,5.951054000823726e-06,5.951054000823726e-06,5.951054000823726e-06
1676,5.9232691975401915e-06,5.9232691975401915e-06,5.9232691975401915e-06,5.9232691975401915e-06
1677,5.739648453787335e-06,5.739648453787335e-06,5.739648453787335e-06,5.739648453787335e-06
1678,5.439851975097554e-06,5.439851975097554e-06,5.439851975097554e-06,5.439851975097554e-06
1679,4.96034915288744e-06,4.96034915288744e-06,4.96034915288744e-06,4.96034915288744e-06
1680,4.6868922904000754e-06,4.6868922904000754e-06,4.6868922904000754e-06,4.6868922904000754e-06
1681,4.6690049982446776e-06,4.6690049982446776e-06,4.6690049982446776e-06,4.6690049982446776e-06
1682,4.754757810587762e-06,4.754757810587762e-06,4.754757810587762e-06,4.754757810587762e-06
1683,4.903792419749412e-06,4.903792419749412e-06,4.903792419749412e-06,4.903792419749412e-06
1684,4.987464892890005e-06,4.987464892890005e-06,4.987464892890005e-06,4.987464892890005e-06
1685,5.038217945444298e-06,5.038217945444298e-06,5.038217945444298e-06,5.038217945444298e-06
1686,5.1752256565253314e-06,5.1752256565253314e-06,5.1752256565253314e-06,5.1752256565253314e-06
1687,5.332569344318472e-06,5.332569344318472e-06,5.332569344318472e-06,5.332569344318472e-06
1688,5.1103535432568085e-06,5.1103535432568085e-06,5.1103535432568085e-06,5.1103535432568085e-06
1689,4.809050973822845e-06,4.809050973822845e-06,4.809050973822845e-06,4.809050973822845e-06
1690,4.951887701411449e-06,4.951887701411449e-06,4.951887701411449e-06,4.951887701411449e-06
1691,5.043683001661391e-06,5.043683001661391e-06,5.043683001661391e-06,5.043683001661391e-06
1692,5.009570778773715e-06,5.009570778773715e-06,5.009570778773715e-06,5.009570778773715e-06
1693,5.2280252345683816e-06,5.2280252345683816e-06,5.2280252345683816e-06,5.2280252345683816e-06
1694,5.42988907779675e-06,5.42988907779675e-06,5.42988907779675e-06,5.42988907779675e-06
1695,5.723593176298891e-06,5.723593176298891e-06,5.723593176298891e-06,5.723593176298891e-06
1696,5.753816627215461e-06,5.753816627215461e-06,5.753816627215461e-06,5.753816627215461e-06
1697,5.521930883592826e-06,5.521930883592826e-06,5.521930883592826e-06,5.521930883592826e-06
1698,5.242686646462451e-06,5.242686646462451e-06,5.242686646462451e-06,5.242686646462451e-06
1699,5.280080131342402e-06,5.280080131342402e-06,5.280080131342402e-06,5.280080131342402e-06
1700,5.15076668047446e-06,5.15076668047446e-06,5.15076668047446e-06,5.15076668047446e-06
1701,5.01217527926201e-06,5.01217527926201e-06,5.01217527926201e-06,5.01217527926201e-06
1702,4.951741824957675e-06,4.951741824957675e-06,4.951741824957675e-06,4.951741824957675e-06
1703,5.0788522198022946e-06,5.0788522198022946e-06,5.0788522198022946e-06,5.0788522198022946e-06
1704,5.162527421426992e-06,5.162527421426992e-06,5.162527421426992e-06,5.162527421426992e-06
1705,5.220355693122006e-06,5.220355693122006e-06,5.220355693122006e-06,5.220355693122006e-06
1706,5.169152700545965e-06,5.169152700545965e-06,5.169152700545965e-06,5.169152700545965e-06
1707,6.491655832568151e-06,6.491655832568151e-06,6.491655832568151e-06,6.491655832568151e-06
1708,6.470713612673405e-06,6.470713612673405e-06,6.470713612673405e-06,6.470713612673405e-06
1709,6.44945352438039e-06,6.44945352438039e-06,6.44945352438039e-06,6.44945352438039e-06
1710,6.441151851634329e-06,6.441151851634329e-06,6.441151851634329e-06,6.441151851634329e-06
1711,6.14208702895017e-06,6.14208702895017e-06,6.14208702895017e-06,6.14208702895017e-06
1712,6.319208393636343e-06,6.319208393636343e-06,6.319208393636343e-06,6.319208393636343e-06
1713,6.075301176419348e-06,6.075301176419348e-06,6.075301176419348e-06,6.075301176419348e-06
1714,4.690797660649488e-06,4.690797660649488e-06,4.690797660649488e-06,4.690797660649488e-06
1715,4.684018871817638e-06,4.684018871817638e-06,4.684018871817638e-06,4.684018871817638e-06
1716,4.362195438391479e-06,4.362195438391479e-06,4.362195438391479e-06,4.362195438391479e-06
1717,4.120660443212338e-06,4.120660443212338e-06,4.120660443212338e-06,4.120660443212338e-06
1718,4.092868169079468e-06,4.092868169079468e-06,4.092868169079468e-06,4.092868169079468e-06
1719,3.78317453656304e-06,3.78317453656304e-06,3.78317453656304e-06,3.78317453656304e-06
1720,3.850849582574613e-06,3.850849582574613e-06,3.850849582574613e-06,3.850849582574613e-06
1721,3.7023825630707767e-06,3.7023825630707767e-06,3.7023825630707767e-06,3.7023825630707767e-06
1722,3.5537261737772496e-06,3.5537261737772496e-06,3.5537261737772496e-06,3.5537261737772496e-06
1723,3.6691909761949707e-06,3.6691909761949707e-06,3.6691909761949707e-06,3.6691909761949707e-06
1724,3.902356281417139e-06,3.902356281417139e-06,3.902356281417139e-06,3.902356281417139e-06
1725,3.925478592593988e-06,3.925478592593988e-06,3.925478592593988e-06,3.925478592593988e-06
1726,3.9480137599769345e-06,3.9480137599769345e-06,3.9480137599769345e-06,3.9480137599769345e-06
1727,3.890178894445333e-06,3.890178894445333e-06,3.890178894445333e-06,3.890178894445333e-06
1728,3.845619468328161e-06,3.845619468328161e-06,3.845619468328161e-06,3.845619468328161e-06
1729,3.704361233758391e-06,3.704361233758391e-06,3.704361233758391e-06,3.704361233758391e-06
1730,3.6576621888733437e-06,3.6576621888733437e-06,3.6576621888733437e-06,3.6576621888733437e-06
1731,3.450765591748807e-06,3.450765591748807e-06,3.450765591748807e-06,3.450765591748807e-06
1732,3.5478214743177105e-06,3.5478214743177105e-06,3.5478214743177105e-06,3.5478214743177105e-06
1733,3.6447754285161082e-06,3.6447754285161082e-06,3.6447754285161082e-06,3.6447754285161082e-06
1734,3.768026902305012e-06,3.768026902305012e-06,3.768026902305012e-06,3.768026902305012e-06
1735,3.7993381738488097e-06,3.7993381738488097e-06,3.7993381738488097e-06,3.7993381738488097e-06
1736,3.8714583752152976e-06,3.8714583752152976e-06,3.8714583752152976e-06,3.8714583752152976e-06
1737,3.846701961914992e-06,3.846701961914992e-06,3.846701961914992e-06,3.846701961914992e-06
1738,3.874601751314393e-06,3.874601751314393e-06,3.874601751314393e-06,3.874601751314393e-06
1739,3.788697020874159e-06,3.788697020874159e-06,3.788697020874159e-06,3.788697020874159e-06
1740,3.569193073157554e-06,3.569193073157554e-06,3.569193073157554e-06,3.569193073157554e-06
1741,3.5364197563987025e-06,3.5364197563987025e-06,3.5364197563987025e-06,3.5364197563987025e-06
1742,3.426680190646688e-06,3.426680190646688e-06,3.426680190646688e-06,3.426680190646688e-06
1743,3.476773859542196e-06,3.476773859542196e-06,3.476773859542196e-06,3.476773859542196e-06
1744,3.4904303447547136e-06,3.4904303447547136e-06,3.4904303447547136e-06,3.4904303447547136e-06
1745,3.5474867477855047e-06,3.5474867477855047e-06,3.5474867477855047e-06,3.5474867477855047e-06
1746,3.483440650597913e-06,3.483440650597913e-06,3.483440650597913e-06,3.483440650597913e-06
1747,3.430989441507596e-06,3.430989441507596e-06,3.430989441507596e-06,3.430989441507596e-06
1748,4.856530982319132e-06,4.856530982319132e-06,4.856530982319132e-06,4.856530982319132e-06
1749,4.900687697175142e-06,4.900687697175142e-06,4.900687697175142e-06,4.900687697175142e-06
1750,4.860232495827534e-06,4.860232495827534e-06,4.860232495827534e-06,4.860232495827534e-06
1751,4.849198083840227e-06,4.849198083840227e-06,4.849198083840227e-06,4.849198083840227e-06
1752,4.7814723334990305e-06,4.7814723334990305e-06,4.7814723334990305e-06,4.7814723334990305e-06
1753,4.84583181657529e-06,4.84583181657529e-06,4.84583181657529e-06,4.84583181657529e-06
1754,4.969412332554514e-06,4.969412332554514e-06,4.969412332554514e-06,4.969412332554514e-06
1755,3.553262558853021e-06,3.553262558853021e-06,3.553262558853021e-06,3.553262558853021e-06
1756,3.624251836039808e-06,3.624251836039808e-06,3.624251836039808e-06,3.624251836039808e-06
1757,3.6811184794974646e-06,3.6811184794974646e-06,3.6811184794974646e-06,3.6811184794974646e-06
1758,3.642038141801355e-06,3.642038141801355e-06,3.642038141801355e-06,3.642038141801355e-06
1759,3.5824857280074085e-06,3.5824857280074085e-06,3.5824857280074085e-06,3.5824857280074085e-06
1760,3.704699305931821e-06,3.704699305931821e-06,3.704699305931821e-06,3.704699305931821e-06
1761,3.6814171835430898e-06,3.6814171835430898e-06,3.6814171835430898e-06,3.6814171835430898e-06
1762,3.6805173034995927e-06,3.6805173034995927e-06,3.6805173034995927e-06,3.6805173034995927e-06
1763,3.539079086424733e-06,3.539079086424733e-06,3.539079086424733e-06,3.539079086424733e-06
1764,3.536226131473086e-06,3.536226131473086e-06,3.536226131473086e-06,3.536226131473086e-06
1765,3.522067182919792e-06,3.522067182919792e-06,3.522067182919792e-06,3.522067182919792e-06
1766,3.5472150037613962e-06,3.5472150037613962e-06,3.5472150037613962e-06,3.5472150037613962e-06
1767,3.4582025948891115e-06,3.4582025948891115e-06,3.4582025948891115e-06,3.4582025948891115e-06
1768,3.4744254467763573e-06,3.4744254467763573e-06,3.4744254467763573e-06,3.4744254467763573e-06
1769,3.3008676122595456e-06,3.3008676122595456e-06,3.3008676122595456e-06,3.3008676122595456e-06
1770,3.3391283003376363e-06,3.3391283003376363e-06,3.3391283003376363e-06,3.3391283003376363e-06
1771,3.218030250146902e-06,3.218030250146902e-06,3.218030250146902e-06,3.218030250146902e-06
1772,3.4246860585491438e-06,3.4246860585491438e-06,3.4246860585491438e-06,3.4246860585491438e-06
1773,3.3325448579749458e-06,3.3325448579749458e-06,3.3325448579749458e-06,3.3325448579749458e-06
1774,3.415936654554181e-06,3.415936654554181e-06,3.415936654554181e-06,3.415936654554181e-06
1775,3.367061188847791e-06,3.367061188847791e-06,3.367061188847791e-06,3.367061188847791e-06
1776,3.4087818546270554e-06,3.4087818546270554e-06,3.4087818546270554e-06,3.4087818546270554e-06
1777,3.4056131750860785e-06,3.4056131750860785e-06,3.4056131750860785e-06,3.4056131750860785e-06
1778,3.3926646340530297e-06,3.3926646340530297e-06,3.3926646340530297e-06,3.3926646340530297e-06
1779,3.211637866635491e-06,3.211637866635491e-06,3.211637866635491e-06,3.211637866635491e-06
1780,3.3377818259136153e-06,3.3377818259136153e-06,3.3377818259136153e-06,3.3377818259136153e-06
1781,3.263889019373372e-06,3.263889019373372e-06,3.263889019373372e-06,3.263889019373372e-06
1782,3.339871617364614e-06,3.339871617364614e-06,3.339871617364614e-06,3.339871617364614e-06
1783,3.3000797299921814e-06,3.3000797299921814e-06,3.3000797299921814e-06,3.3000797299921814e-06
1784,3.191074093982544e-06,3.191074093982544e-06,3.191074093982544e-06,3.191074093982544e-06
1785,3.1640217912354274e-06,3.1640217912354274e-06,3.1640217912354274e-06,3.1640217912354274e-06
1786,3.002908930024465e-06,3.002908930024465e-06,3.002908930024465e-06,3.002908930024465e-06
1787,2.9945078625002808e-06,2.9945078625002808e-06,2.9945078625002808e-06,2.9945078625002808e-06
1788,3.0779685533031753e-06,3.0779685533031753e-06,3.0779685533031753e-06,3.0779685533031753e-06
1789,3.099827089109957e-06,3.099827089109957e-06,3.099827089109957e-06,3.099827089109957e-06
1790,3.2832713908906693e-06,3.2832713908906693e-06,3.2832713908906693e-06,3.2832713908906693e-06
1791,3.390995061636204e-06,3.390995061636204e-06,3.390995061636204e-06,3.390995061636204e-06
1792,3.4730603277109495e-06,3.4730603277109495e-06,3.4730603277109495e-06,3.4730603277109495e-06
1793,3.553124088284676e-06,3.553124088284676e-06,3.553124088284676e-06,3.553124088284676e-06
1794,3.583827037800802e-06,3.583827037800802e-06,3.583827037800802e-06,3.583827037800802e-06
1795,3.5118905218821183e-06,3.5118905218821183e-06,3.5118905218821183e-06,3.5118905218821183e-06
1796,3.3968563652056867e-06,3.3968563652056867e-06,3.3968563652056867e-06,3.3968563652056867e-06
1797,3.315571835368506e-06,3.315571835368506e-06,3.315571835368506e-06,3.315571835368506e-06
1798,3.34655224573258e-06,3.34655224573258e-06,3.34655224573258e-06,3.34655224573258e-06
