ngram,proof,proof,proof,proof
1500,2.3296406880035647e-05,2.3296406880035647e-05,2.3296406880035647e-05,2.3296406880035647e-05
1501,1.8637125504028517e-05,1.8637125504028517e-05,1.8637125504028517e-05,1.8637125504028517e-05
1502,3.9603324845908595e-05,3.9603324845908595e-05,3.9603324845908595e-05,3.9603324845908595e-05
1503,4.2870373753040827e-05,4.2870373753040827e-05,4.2870373753040827e-05,4.2870373753040827e-05
1504,5.3613645182589865e-05,5.3613645182589865e-05,5.3613645182589865e-05,5.3613645182589865e-05
1505,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05
1506,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05
1507,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05
1508,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05,5.7688536929033163e-05
1509,3.705506242113188e-05,3.705506242113188e-05,3.705506242113188e-05,3.705506242113188e-05
1510,2.8130395678869847e-05,2.8130395678869847e-05,2.8130395678869847e-05,2.8130395678869847e-05
1511,1.578319227389459e-05,1.578319227389459e-05,1.578319227389459e-05,1.578319227389459e-05
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1515,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1516,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1517,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1518,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1519,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07,8.569834660322937e-07
1520,4.729831484187993e-06,4.729831484187993e-06,4.729831484187993e-06,4.729831484187993e-06
1521,3.872848018155699e-06,3.872848018155699e-06,3.872848018155699e-06,3.872848018155699e-06
1522,7.046604878269136e-06,7.046604878269136e-06,7.046604878269136e-06,7.046604878269136e-06
1523,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05
1524,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05
1525,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05,1.074287501978688e-05
1526,1.1378524504834786e-05,1.1378524504834786e-05,1.1378524504834786e-05,1.1378524504834786e-05
1527,6.555408955526738e-05,6.555408955526738e-05,6.555408955526738e-05,6.555408955526738e-05
1528,6.764455442212888e-05,6.764455442212888e-05,6.764455442212888e-05,6.764455442212888e-05
1529,6.447079756201544e-05,6.447079756201544e-05,6.447079756201544e-05,6.447079756201544e-05
1530,6.223242443021653e-05,6.223242443021653e-05,6.223242443021653e-05,6.223242443021653e-05
1531,6.797727266010562e-05,6.797727266010562e-05,6.797727266010562e-05,6.797727266010562e-05
1532,7.068277227517683e-05,7.068277227517683e-05,7.068277227517683e-05,7.068277227517683e-05
1533,7.004712279012892e-05,7.004712279012892e-05,7.004712279012892e-05,7.004712279012892e-05
1534,1.902106331337044e-05,1.902106331337044e-05,1.902106331337044e-05,1.902106331337044e-05
1535,1.956616545482705e-05,1.956616545482705e-05,1.956616545482705e-05,1.956616545482705e-05
1536,3.253683215526897e-05,3.253683215526897e-05,3.253683215526897e-05,3.253683215526897e-05
1537,3.1078935145550144e-05,3.1078935145550144e-05,3.1078935145550144e-05,3.1078935145550144e-05
1538,2.851052548586657e-05,2.851052548586657e-05,2.851052548586657e-05,2.851052548586657e-05
1539,4.489758144440462e-05,4.489758144440462e-05,4.489758144440462e-05,4.489758144440462e-05
