ngram,sense,senese,snse,senes
1725,3.46112267704614e-05,0.0,5.870919750350367e-09,2.3373585987331224e-08
1726,3.5608535264535544e-05,0.0,5.870919750350367e-09,3.595120797886661e-08
1727,3.742629269254394e-05,0.0,5.870919750350367e-09,2.6890079750176354e-08
1728,3.934707690080229e-05,0.0,5.870919750350367e-09,2.6890079750176354e-08
1729,4.2659790259287024e-05,0.0,5.870919750350367e-09,1.9162493052655398e-08
1730,4.228145657439849e-05,0.0,5.870919750350367e-09,3.552896897320222e-08
1731,4.1800149379663966e-05,0.0,0.0,4.249570853939336e-08
1732,4.134081453750176e-05,0.0,0.0,4.249570853939336e-08
1733,4.5268196117831394e-05,0.0,0.0,4.4407523245938915e-08
1734,4.6633299851756806e-05,0.0,0.0,6.505444970019068e-08
1735,4.361182696551883e-05,0.0,0.0,7.152137574247977e-08
1736,3.837956657142578e-05,0.0,0.0,8.805835045271643e-08
1737,3.724654405751997e-05,0.0,0.0,8.553513097808718e-08
1738,3.791903691308107e-05,0.0,0.0,8.406020768347844e-08
1739,3.5408628329085854e-05,0.0,0.0,9.052204065694371e-08
1740,3.2911926090101975e-05,0.0,0.0,6.944773289774275e-08
1741,3.589653325824267e-05,0.0,0.0,5.4742157219932e-08
1742,3.734787995719151e-05,0.0,0.0,4.8275231177642904e-08
1743,3.8348805121911156e-05,0.0,0.0,4.136965005484074e-08
1744,4.075620849367364e-05,0.0,0.0,3.1990453968384306e-08
1745,4.720342362166515e-05,0.0,0.0,2.6498637696801908e-08
1746,5.154599784873426e-05,0.0,0.0,2.003680472333664e-08
1747,5.491188234632968e-05,0.0,8.318303506322472e-09,2.003680472333664e-08
1748,5.597865830558086e-05,0.0,8.318303506322472e-09,5.41325029246309e-08
1749,5.9974682829176474e-05,0.0,1.3273583882827161e-08,7.890890480715435e-08
1750,6.8163523662536e-05,0.0,1.3273583882827161e-08,8.906990040762658e-08
1751,7.645392958823192e-05,0.0,1.3273583882827161e-08,9.174411731903222e-08
1752,8.074925478597703e-05,0.0,1.3273583882827161e-08,1.0343988827392942e-07
1753,8.477872116990122e-05,0.0,1.3273583882827161e-08,1.1349859312710058e-07
1754,8.733902151496815e-05,0.0,4.955280376504691e-09,1.1768266183764808e-07
1755,8.958290293646445e-05,0.0,4.955280376504691e-09,1.0076545946852938e-07
1756,8.76732706923836e-05,0.0,0.0,9.116641080148774e-08
1757,8.431688287860848e-05,0.0,0.0,7.746426814289212e-08
1758,7.785330879934398e-05,0.0,0.0,7.032599087202535e-08
1759,7.511962966028867e-05,0.0,3.4787949029383267e-09,6.210901482006648e-08
1760,7.712781475025363e-05,0.0,3.4787949029383267e-09,5.737304396648467e-08
