ngram,fee,f,fe,fee
1500,3.7511852497118525e-05,0.00010240600386168808,1.340558327456165e-06,3.7511852497118525e-05
1501,3.000948199769482e-05,8.192480308935046e-05,1.072446661964932e-06,3.000948199769482e-05
1502,4.310611984692514e-05,6.985206694783604e-05,1.245127255818564e-06,4.310611984692514e-05
1503,3.694810272593584e-05,5.987320024100232e-05,1.0672519335587692e-06,3.694810272593584e-05
1504,3.308453155373822e-05,4.1904553524675847e-05,5.326079417500296e-07,3.308453155373822e-05
1505,8.141666408586648e-05,3.376549791158011e-05,3.4578569544204844e-06,8.141666408586648e-05
1506,8.141666408586648e-05,4.136792150737685e-05,3.4578569544204844e-06,8.141666408586648e-05
1507,8.141666408586648e-05,4.136792150737685e-05,3.4578569544204844e-06,8.141666408586648e-05
1508,8.141666408586648e-05,4.136792150737685e-05,3.4578569544204844e-06,8.141666408586648e-05
1509,6.590390564399838e-05,4.0012437758767714e-05,3.1566383508366665e-06,6.590390564399838e-05
1510,6.590390564399838e-05,4.0012437758767714e-05,3.1566383508366665e-06,6.590390564399838e-05
1511,6.281710479275457e-05,2.1491633171016084e-05,3.1566383508366665e-06,6.281710479275457e-05
1512,0.0,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,9.99813970078581e-06,2.0281941812884596e-05,0.0,9.99813970078581e-06
1515,9.99813970078581e-06,2.0281941812884596e-05,0.0,9.99813970078581e-06
1516,9.99813970078581e-06,2.0281941812884596e-05,0.0,9.99813970078581e-06
1517,1.0529416483352958e-05,5.694004149907934e-05,0.0,1.0529416483352958e-05
1518,1.0529416483352958e-05,5.694004149907934e-05,0.0,1.0529416483352958e-05
1519,1.0529416483352958e-05,5.694004149907934e-05,0.0,1.0529416483352958e-05
1520,1.9466757943778896e-05,8.345415491411197e-05,5.958227770211774e-07,1.9466757943778896e-05
1521,9.468618242993085e-06,6.317221310122736e-05,5.958227770211774e-07,9.468618242993085e-06
1522,9.468618242993085e-06,7.904099766165018e-05,5.958227770211774e-07,9.468618242993085e-06
1523,1.6245113069349566e-05,8.581749248800666e-05,5.958227770211774e-07,1.6245113069349566e-05
1524,1.777851438029237e-05,0.0001957515451067593,5.0148095981837416e-05,1.777851438029237e-05
1525,7.049332621785911e-05,0.0001957515451067593,5.0148095981837416e-05,7.049332621785911e-05
1526,7.049332621785911e-05,0.00021863492656848393,5.0148095981837416e-05,7.049332621785911e-05
1527,6.155598475743318e-05,0.0001921208131534513,4.955227320481624e-05,6.155598475743318e-05
1528,6.364644962429469e-05,0.0001973469755154968,4.955227320481624e-05,6.364644962429469e-05
1529,6.364644962429469e-05,0.00018147819095507396,4.955227320481624e-05,6.364644962429469e-05
1530,7.873841085321536e-05,0.00032850983552634716,6.413124356186017e-05,7.873841085321536e-05
1531,7.667373275970541e-05,0.00038873221326087205,1.4578970357043935e-05,7.667373275970541e-05
1532,2.4409837513823212e-05,0.00039233954599434843,1.4578970357043935e-05,2.4409837513823212e-05
1533,4.835505144131146e-05,0.0003854196404842826,3.0542446308702764e-05,4.835505144131146e-05
1534,5.3972934210833046e-05,0.0004345761140679575,0.0003409304741320999,5.3972934210833046e-05
1535,6.957841940545353e-05,0.0005163236640198322,0.0003409304741320999,6.957841940545353e-05
1536,8.925805328934595e-05,0.0005176654571446956,0.00034137773851788164,8.925805328934595e-05
