ngram,mountain,mountan,mountin
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0
1520,3.275800219983337e-05,0.0,0.0
1521,3.247234105531659e-05,0.0,0.0
1522,6.738366625670875e-05,0.0,0.0
1523,7.477620653974424e-05,0.0,0.0
1524,7.477620653974424e-05,0.0,0.0
1525,7.477620653974424e-05,0.0,0.0
1526,7.477620653974424e-05,0.0,0.0
1527,4.230386548442766e-05,0.0,0.0
1528,4.334909791785841e-05,0.0,0.0
1529,8.437772716466238e-06,0.0,0.0
1530,1.0452324334307508e-06,0.0,0.0
1531,1.2534928893208936e-05,0.0,0.0
1532,1.2534928893208936e-05,0.0,0.0
1533,1.2534928893208936e-05,0.0,0.0
1534,1.2534928893208936e-05,0.0,0.0
1535,1.1489696459778185e-05,0.0,0.0
1536,1.1489696459778185e-05,0.0,0.0
1537,1.1489696459778185e-05,0.0,0.0
1538,3.1764385702055212e-06,0.0,0.0
1539,3.1764385702055212e-06,0.0,0.0
1540,3.1764385702055212e-06,0.0,0.0
1541,3.1764385702055212e-06,0.0,0.0
1542,3.1764385702055212e-06,0.0,0.0
1543,3.1764385702055212e-06,0.0,0.0
1544,5.123907482941702e-06,0.0,0.0
1545,1.94746891273618e-06,0.0,0.0
1546,2.2271751082111483e-06,0.0,0.0
1547,2.2271751082111483e-06,0.0,0.0
1548,2.2271751082111483e-06,0.0,0.0
1549,2.2271751082111483e-06,0.0,0.0
1550,2.7675208197511632e-06,0.0,0.0
1551,8.200519070149832e-07,0.0,0.0
1552,1.5411629062457775e-06,0.0,0.0
1553,1.2614567107708093e-06,0.0,0.0
1554,1.2614567107708093e-06,0.0,0.0
1555,1.2614567107708093e-06,0.0,0.0
1556,1.2614567107708093e-06,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0
1558,6.85954903799159e-06,0.0,0.0
1559,6.138438038760796e-06,0.0,0.0
1560,8.381889139335336e-06,0.0,0.0
1561,8.381889139335336e-06,0.0,0.0
1562,1.015960372439752e-05,0.0,0.0
1563,1.015960372439752e-05,0.0,0.0
1564,1.015960372439752e-05,0.0,0.0
1565,4.021165685636723e-06,0.0,0.0
1566,4.021165685636723e-06,0.0,0.0
1567,3.1425092207168096e-06,0.0,0.0
1568,3.1425092207168096e-06,0.0,0.0
1569,1.3647946356546266e-06,0.0,0.0
1570,1.3647946356546266e-06,0.0,0.0
1571,1.3647946356546266e-06,0.0,0.0
1572,1.3647946356546266e-06,0.0,0.0
1573,1.3647946356546266e-06,0.0,0.0
1574,5.447115459641541e-07,0.0,0.0
1575,5.447115459641541e-07,0.0,0.0
1576,5.447115459641541e-07,0.0,0.0
1577,5.447115459641541e-07,0.0,0.0
1578,1.2674508655306584e-06,0.0,0.0
1579,1.914205670670656e-06,0.0,0.0
1580,2.9046665141712376e-06,0.0,0.0
1581,2.953262342738786e-06,0.0,0.0
1582,2.953262342738786e-06,0.0,0.0
1583,3.6741962503583636e-06,0.0,0.0
1584,6.371530941708313e-06,0.0,0.0
1585,5.648791622141809e-06,0.0,0.0
1586,5.720930663041404e-06,0.0,0.0
1587,4.7304698195408235e-06,0.0,0.0
1588,4.137162445009121e-06,0.0,0.0
1589,4.510615391544499e-06,0.0,0.0
1590,5.609511000719587e-06,0.0,0.0
1591,3.445243237365503e-06,0.0,0.0
1592,3.445243237365503e-06,0.0,0.0
1593,4.289286412780971e-06,0.0,0.0
1594,4.289286412780971e-06,0.0,0.0
1595,4.289286412780971e-06,0.0,0.0
1596,5.809597496408969e-06,0.0,0.0
1597,4.716140535622669e-06,0.0,0.0
1598,4.935050193515573e-06,0.0,0.0
1599,5.406694786610647e-06,0.0,0.0
1600,4.376288188723265e-06,0.0,0.0
1601,6.915498391078602e-06,0.0,0.0
1602,1.0047519838605825e-05,0.0,0.0
1603,8.153755808442448e-06,0.0,0.0
1604,7.427383252434083e-06,0.0,0.0
1605,9.711202795058074e-06,0.0,1.1243689154330891e-07
1606,1.1962281827696383e-05,0.0,1.1243689154330891e-07
1607,1.1429751404128702e-05,0.0,1.1243689154330891e-07
1608,1.847506557948821e-05,0.0,1.1243689154330891e-07
1609,1.5343044131960986e-05,0.0,1.1243689154330891e-07
1610,1.63626302440077e-05,0.0,1.1243689154330891e-07
1611,1.64650425225383e-05,0.0,1.1243689154330891e-07
1612,1.342924639402554e-05,0.0,0.0
1613,1.1505575189728137e-05,0.0,0.0
1614,1.5131282314736641e-05,0.0,0.0
1615,7.070530947268188e-06,0.0,0.0
1616,7.791380012024871e-06,0.0,0.0
1617,8.007207197481745e-06,0.0,0.0
1618,8.200226342783676e-06,0.0,0.0
1619,8.875433325426587e-06,0.0,0.0
1620,8.8822922147561e-06,0.0,0.0
1621,6.505511009891052e-06,0.0,0.0
1622,5.263131632610956e-06,0.0,0.0
1623,1.289412252195429e-05,0.0,0.0
1624,1.1808041417030576e-05,0.0,0.0
1625,1.1512609993198047e-05,0.0,0.0
1626,1.497059570608274e-05,0.0,0.0
1627,1.4643998432412836e-05,0.0,0.0
1628,1.3591607398666383e-05,0.0,0.0
1629,1.3475272453433718e-05,0.0,0.0
1630,6.158420449407588e-06,0.0,0.0
1631,6.235808200472093e-06,0.0,0.0
1632,6.510686603178328e-06,0.0,0.0
1633,2.925865097885045e-06,0.0,0.0
1634,2.446551060789456e-06,0.0,0.0
1635,2.9908936117603195e-06,0.0,0.0
1636,3.954812265354641e-06,0.0,0.0
1637,4.675667371754701e-06,0.0,0.0
1638,5.32430288201015e-06,0.0,0.0
1639,5.6723863183703675e-06,0.0,0.0
1640,6.049287614067518e-06,0.0,0.0
1641,6.5867864122992614e-06,0.0,0.0
1642,6.0618086438678024e-06,0.0,0.0
1643,6.107023133543927e-06,0.0,0.0
1644,4.901148859711871e-06,0.0,0.0
1645,5.843116095352993e-06,0.0,0.0
1646,6.831968822293025e-06,0.0,0.0
1647,7.051197452970623e-06,0.0,0.0
1648,7.980874199477381e-06,0.0,0.0
1649,9.564213347143127e-06,0.0,0.0
1650,1.0629948454672039e-05,0.0,0.0
1651,1.1670982660559406e-05,0.0,0.0
1652,1.1301116241416562e-05,0.0,0.0
1653,1.0819938324857503e-05,0.0,0.0
1654,1.1500697447835201e-05,0.0,0.0
1655,1.160230411707224e-05,0.0,0.0
1656,1.0663904569290545e-05,0.0,0.0
1657,1.0898572132386367e-05,0.0,0.0
1658,1.0862422576402813e-05,0.0,0.0
1659,1.0798155212147062e-05,0.0,0.0
1660,1.0629616164286354e-05,0.0,0.0
1661,9.341839196557495e-06,0.0,0.0
1662,7.976056281222554e-06,4.059985972812033e-08,0.0
1663,7.312301948201951e-06,4.059985972812033e-08,0.0
1664,6.370523692567076e-06,4.059985972812033e-08,0.0
1665,4.992036727864095e-06,4.059985972812033e-08,0.0
1666,6.644926153447679e-06,4.059985972812033e-08,0.0
1667,7.208087416594415e-06,4.059985972812033e-08,3.245231588217783e-08
1668,7.458162047311946e-06,4.059985972812033e-08,3.245231588217783e-08
1669,8.75286730206426e-06,0.0,3.245231588217783e-08
1670,8.864975711730949e-06,0.0,3.245231588217783e-08
1671,7.918812327391476e-06,0.0,3.245231588217783e-08
1672,8.037653092937294e-06,0.0,3.245231588217783e-08
1673,5.917060954223936e-06,0.0,3.245231588217783e-08
1674,5.205065170749938e-06,0.0,0.0
1675,6.613891238365406e-06,0.0,0.0
1676,5.803330850540078e-06,0.0,0.0
1677,5.89717189671189e-06,0.0,0.0
1678,5.629216177892106e-06,0.0,0.0
1679,5.633941944844472e-06,0.0,0.0
1680,5.225309743244517e-06,0.0,0.0
1681,7.030020924503333e-06,0.0,0.0
1682,5.035247275892678e-06,0.0,0.0
1683,4.9218510217282784e-06,0.0,0.0
1684,4.98636190319043e-06,0.0,0.0
1685,5.051575564201423e-06,0.0,0.0
1686,5.829181613340292e-06,0.0,0.0
1687,5.6519283394404085e-06,0.0,0.0
1688,4.1987435516992785e-06,0.0,0.0
1689,4.375987275904793e-06,0.0,0.0
1690,4.342266915305767e-06,0.0,0.0
1691,5.318218752238733e-06,0.0,0.0
1692,5.668017333196726e-06,0.0,0.0
1693,5.405609337166035e-06,0.0,0.0
1694,5.441791862332528e-06,0.0,0.0
1695,4.58713845676227e-06,0.0,0.0
1696,4.727900626936129e-06,0.0,0.0
1697,5.818923714936578e-06,7.347074821544603e-09,0.0
1698,4.945846480300783e-06,7.347074821544603e-09,0.0
1699,4.329762954772118e-06,7.347074821544603e-09,0.0
1700,3.839578214735541e-06,7.347074821544603e-09,0.0
1701,3.609129602669522e-06,7.347074821544603e-09,0.0
1702,3.6345780115100623e-06,7.347074821544603e-09,0.0
1703,3.5345277800453393e-06,7.347074821544603e-09,0.0
1704,2.0593889433127643e-06,0.0,0.0
1705,2.3955917153476288e-06,0.0,0.0
1706,2.6323781087609987e-06,0.0,0.0
1707,2.4289563254699587e-06,0.0,0.0
1708,2.5154766376545012e-06,0.0,0.0
1709,2.432417505003416e-06,0.0,0.0
1710,2.959677796557766e-06,0.0,0.0
1711,3.1429975138053123e-06,0.0,0.0
1712,3.1814923967691096e-06,0.0,0.0
1713,3.313890821183512e-06,0.0,0.0
1714,3.9676667386499635e-06,0.0,0.0
1715,4.051515345184141e-06,0.0,0.0
1716,4.117768477434376e-06,0.0,0.0
1717,4.706864761569055e-06,0.0,0.0
1718,6.395973384444785e-06,0.0,0.0
1719,5.589138140749128e-06,0.0,0.0
1720,8.391517131453188e-06,0.0,0.0
1721,7.773897729228857e-06,0.0,0.0
1722,8.928708065728383e-06,0.0,0.0
1723,9.622658499860595e-06,0.0,0.0
1724,8.650344219469324e-06,0.0,0.0
1725,8.622007352901814e-06,0.0,0.0
1726,9.045824884066991e-06,0.0,0.0
1727,7.227819164005009e-06,0.0,0.0
1728,7.96431738438384e-06,0.0,0.0
1729,7.402252192280555e-06,0.0,0.0
1730,8.517165172504195e-06,0.0,0.0
1731,8.629330620481466e-06,0.0,0.0
1732,7.5555889062733125e-06,0.0,0.0
1733,7.991006376479553e-06,0.0,0.0
1734,7.949622028848222e-06,0.0,0.0
1735,8.82738049767795e-06,0.0,0.0
1736,8.458114994677349e-06,0.0,0.0
1737,7.181833357857873e-06,0.0,0.0
1738,7.736226442440447e-06,0.0,0.0
1739,8.250953604666783e-06,0.0,0.0
