ngram,year,yer,yea,yaer
1500,0.000305809222481912,2.3390674641632359e-07,8.098626835817413e-08,0.0
1501,0.0002446473779855296,1.8712539713305886e-07,6.47890146865393e-08,0.0
1502,0.000270291515334975,1.5593783094421573e-07,9.325451439205305e-07,0.0
1503,0.00023167844171569283,1.336609979521849e-07,7.993244090747404e-07,0.0
1504,0.0006624862643158329,0.0,7.993244090747404e-07,0.0
1505,0.0007507007061836443,9.469915442293444e-07,7.53046541441498e-07,0.0
1506,0.0007507007061836443,9.469915442293444e-07,7.53046541441498e-07,0.0
1507,0.0007507007061836443,9.469915442293444e-07,7.53046541441498e-07,0.0
1508,0.0007507007061836443,9.469915442293444e-07,7.53046541441498e-07,0.0
1509,0.0006937703916004726,9.469915442293444e-07,0.0,0.0
1510,0.0006937703916004726,9.469915442293444e-07,0.0,0.0
1511,0.00023075026859130179,9.469915442293444e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.170652911333101e-05,5.713222890335601e-07,0.0,0.0
1515,4.170652911333101e-05,5.713222890335601e-07,0.0,0.0
1516,4.170652911333101e-05,5.713222890335601e-07,0.0,0.0
1517,6.8270368501544e-05,5.713222890335601e-07,0.0,0.0
1518,6.8270368501544e-05,5.713222890335601e-07,0.0,0.0
1519,6.8270368501544e-05,5.713222890335601e-07,0.0,0.0
1520,0.00018237043072336486,1.1671450660547374e-06,0.0,0.0
1521,0.00035230411283139674,5.958227770211774e-07,0.0,0.0
1522,0.0003872154380327889,5.958227770211774e-07,0.0,0.0
1523,0.0005523154977709055,5.958227770211774e-07,0.0,0.0
1524,0.0005257516583826925,5.958227770211774e-07,2.064678093509948e-06,0.0
1525,0.0005257516583826925,5.958227770211774e-07,2.064678093509948e-06,0.0
1526,0.0005289299058079321,5.958227770211774e-07,2.064678093509948e-06,0.0
1527,0.0005309266697232877,0.0,2.064678093509948e-06,0.0
1528,0.0007143843280833348,0.0,2.064678093509948e-06,0.0
1529,0.0006794730028819426,0.0,2.064678093509948e-06,0.0
1530,0.0005165597885934403,7.289485048594153e-07,6.438368992738626e-06,0.0
1531,0.0005854979652732643,7.289485048594153e-07,4.373690899228677e-06,0.0
1532,0.000730693100454768,7.289485048594153e-07,4.824607490913227e-06,0.0
1533,0.0007275148530295285,7.289485048594153e-07,4.824607490913227e-06,0.0
1534,0.0006549566171867939,7.289485048594153e-07,6.229078183293625e-06,0.0
1535,0.00034607943572544694,1.1054580681957304e-06,8.111625935011294e-06,0.0
1536,0.0004015402189127469,1.1054580681957304e-06,8.55889032079306e-06,0.0
1537,0.00039935337346313257,3.7650956333631515e-07,4.185199421564383e-06,0.0
1538,0.0003399445122340694,3.7650956333631515e-07,4.185199421564383e-06,0.0
1539,0.00019640959934414632,3.7650956333631515e-07,3.734282829879833e-06,0.0
1540,0.00019640959934414632,3.7650956333631515e-07,3.734282829879833e-06,0.0
1541,0.0001528710090497043,3.7650956333631515e-07,2.329812137499435e-06,0.0
1542,0.0001268361733569431,0.0,1.951910722449871e-06,0.0
1543,7.137539016964314e-05,0.0,1.5046463366681046e-06,0.0
1544,0.00010754267038594532,1.391049246584381e-07,3.869430007138622e-06,0.0
1545,0.00011408856153138913,1.391049246584381e-07,2.5838878432945682e-05,0.0
1546,0.00012753247366552905,4.188111201334063e-07,5.101243615562063e-05,0.0
1547,0.00012753247366552905,4.188111201334063e-07,5.101243615562063e-05,0.0
1548,0.0003210369738683637,4.188111201334063e-07,6.37938396071799e-05,0.0
1549,0.0002644890945313299,4.188111201334063e-07,7.805374350157633e-05,0.0
1550,0.0003341936914824016,4.188111201334063e-07,7.913443492465635e-05,0.0
1551,0.0002980264112660994,2.7970619547496814e-07,7.676965125418584e-05,0.0
1552,0.00042112563044481376,2.7970619547496814e-07,5.4800202828378784e-05,0.0
1553,0.0004060214960190933,0.0,2.9626645105703835e-05,0.0
1554,0.0004060214960190933,0.0,6.665305376632855e-05,0.0
1555,0.0002587928429420572,0.0,5.387165031476927e-05,0.0
1556,0.0002666045090466339,0.0,3.810710008370474e-05,0.0
1557,0.0002062449202639982,1.869001633687211e-05,3.702640866062471e-05,0.0
1558,0.0004067672187894849,1.869001633687211e-05,3.702640866062471e-05,0.0
1559,0.00033120405402899323,1.869001633687211e-05,6.453398132829793e-05,0.0
1560,0.00039536675779215457,1.869001633687211e-05,6.722612280490077e-05,0.0
1561,0.0004030250155275488,1.869001633687211e-05,6.849100438038087e-05,0.0
1562,0.00035674916840175034,1.869001633687211e-05,7.204643355050524e-05,0.0
1563,0.0003512096113159454,1.869001633687211e-05,7.250105526119504e-05,0.0
1564,0.00036731119014023406,0.0,7.88627020093762e-05,0.0
1565,0.00018702490550432621,0.0,7.987450265188402e-05,0.0
1566,0.00020717515040554905,0.0,6.759629403469651e-05,0.0
1567,0.0001566603927390783,0.0,6.831613908226635e-05,0.0
1568,0.0001490021350036841,0.0,3.002484884616154e-05,0.0
1569,0.00018390928588425077,0.0,6.50900945921811e-05,0.0
1570,0.00017799920377521112,0.0,6.765749744122982e-05,0.0
1571,0.00018933039141951928,0.0,6.374770237016492e-05,2.4518516771162728e-06
1572,0.00018677304407382117,0.0,6.689558800384734e-05,2.4518516771162728e-06
1573,0.0001080451755634775,0.0,6.047508967250386e-05,2.4518516771162728e-06
1574,9.821021038598181e-05,5.447115459641541e-07,6.79573341975421e-05,2.4518516771162728e-06
1575,0.00011958396368884548,5.447115459641541e-07,6.921461382652134e-05,2.4518516771162728e-06
1576,0.00011442172165386313,5.447115459641541e-07,4.8621157085498066e-05,2.4518516771162728e-06
