ngram,reception,recepton,receptin,recepton
1500,1.8984102325703134e-06,0.0,0.0,0.0
1501,1.5187281860562507e-06,0.0,0.0,0.0
1502,4.604112973538577e-06,0.0,0.0,0.0
1503,3.946382548747351e-06,0.0,0.0,0.0
1504,3.2780775265044733e-06,0.0,0.0,0.0
1505,3.8085682457936594e-06,0.0,0.0,0.0
1506,3.8085682457936594e-06,0.0,0.0,0.0
1507,3.8085682457936594e-06,0.0,0.0,0.0
1508,3.8085682457936594e-06,0.0,0.0,0.0
1509,9.469915442293444e-07,0.0,0.0,0.0
1510,9.469915442293444e-07,0.0,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,9.426817996427417e-06,0.0,0.0,0.0
1515,9.426817996427417e-06,0.0,0.0,0.0
1516,9.426817996427417e-06,0.0,0.0,0.0
1517,9.426817996427417e-06,0.0,0.0,0.0
1518,9.426817996427417e-06,0.0,0.0,0.0
1519,9.426817996427417e-06,0.0,0.0,0.0
1520,1.1214286392454856e-05,0.0,0.0,0.0
1521,1.7874683960274394e-06,0.0,0.0,0.0
1522,1.7874683960274394e-06,0.0,0.0,0.0
1523,9.796053616030673e-06,0.0,0.0,0.0
1524,9.796053616030673e-06,0.0,0.0,0.0
1525,9.796053616030673e-06,0.0,0.0,0.0
1526,9.796053616030673e-06,0.0,0.0,0.0
1527,8.008585220003234e-06,0.0,0.0,0.0
1528,8.008585220003234e-06,0.0,0.0,0.0
1529,8.008585220003234e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,5.744848229889092e-06,0.0,0.0,0.0
1533,5.744848229889092e-06,0.0,0.0,0.0
1534,5.744848229889092e-06,0.0,0.0,0.0
1535,9.133434234952023e-06,0.0,0.0,0.0
1536,9.133434234952023e-06,0.0,0.0,0.0
1537,9.133434234952023e-06,0.0,0.0,0.0
1538,3.388586005062929e-06,0.0,0.0,0.0
1539,3.388586005062929e-06,0.0,0.0,0.0
1540,3.388586005062929e-06,0.0,0.0,0.0
1541,3.388586005062929e-06,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,2.22567879453501e-06,0.0,0.0,0.0
1545,2.7615189992502565e-06,0.0,0.0,0.0
1546,3.0412251947252244e-06,0.0,0.0,0.0
1547,3.0412251947252244e-06,0.0,0.0,0.0
1548,3.3384671301714012e-06,0.0,0.0,0.0
1549,3.3384671301714012e-06,0.0,0.0,0.0
1550,5.499849976331461e-06,0.0,0.0,0.0
1551,3.2741711817964514e-06,0.0,0.0,0.0
1552,7.064996842538156e-06,0.0,0.0,0.0
1553,6.785290647063188e-06,0.0,0.0,0.0
1554,6.785290647063188e-06,0.0,0.0,0.0
1555,7.089033715601545e-06,0.0,0.0,0.0
1556,7.089033715601545e-06,0.0,0.0,0.0
1557,4.927650869441484e-06,0.0,0.0,0.0
1558,6.973796839052479e-06,0.0,0.0,0.0
1559,2.6471309735955273e-06,0.0,0.0,0.0
1560,3.544511465796469e-06,0.0,0.0,0.0
1561,3.544511465796469e-06,0.0,0.0,0.0
1562,2.9435264618119357e-06,0.0,0.0,0.0
1563,2.9435264618119357e-06,0.0,0.0,0.0
1564,2.9435264618119357e-06,0.0,0.0,0.0
1565,8.973804922009419e-07,0.0,0.0,0.0
1566,8.973804922009419e-07,0.0,0.0,0.0
1567,1.3647946356546266e-06,0.0,0.0,0.0
1568,1.3647946356546266e-06,0.0,0.0,0.0
1569,1.3647946356546266e-06,0.0,0.0,0.0
1570,1.3647946356546266e-06,0.0,0.0,0.0
1571,1.3647946356546266e-06,0.0,0.0,0.0
1572,1.3647946356546266e-06,0.0,0.0,0.0
1573,1.3647946356546266e-06,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,0.0
1577,4.5068044788162555e-07,0.0,0.0,0.0
1578,4.5068044788162555e-07,0.0,0.0,0.0
1579,4.5068044788162555e-07,0.0,0.0,0.0
1580,4.5068044788162555e-07,0.0,0.0,0.0
1581,4.5068044788162555e-07,0.0,0.0,0.0
1582,2.1266059450551566e-06,0.0,0.0,0.0
1583,2.396859404793109e-06,0.0,0.0,0.0
1584,2.396859404793109e-06,0.0,0.0,0.0
1585,4.0953221806765735e-06,0.0,0.0,0.0
1586,4.814216026716167e-06,0.0,0.0,0.0
1587,5.852454705745913e-06,0.0,0.0,0.0
1588,5.852454705745913e-06,0.0,0.0,0.0
1589,4.1765292085723815e-06,0.0,0.0,0.0
1590,3.455595300952804e-06,0.0,0.0,0.0
1591,5.054796084940401e-06,0.0,0.0,0.0
1592,3.953305102705988e-06,0.0,0.0,0.0
1593,3.234411256666395e-06,0.0,0.0,0.0
1594,2.3638041609176852e-06,0.0,0.0,0.0
1595,2.3638041609176852e-06,0.0,0.0,0.0
1596,2.5742223864913934e-06,0.0,0.0,0.0
1597,2.6952844791594543e-06,0.0,0.0,0.0
1598,1.582656766783787e-06,0.0,0.0,0.0
1599,1.3394184179560398e-06,0.0,0.0,0.0
1600,2.4044792650914004e-06,0.0,0.0,0.0
1601,2.4321715435300054e-06,0.0,0.0,0.0
1602,3.893781630332731e-06,0.0,0.0,0.0
1603,3.683363404759023e-06,0.0,0.0,0.0
1604,2.1270414695858824e-05,0.0,0.0,0.0
1605,2.2245521222430398e-05,0.0,0.0,0.0
1606,2.2612508733540642e-05,0.0,0.0,0.0
1607,2.154744788640528e-05,0.0,0.0,0.0
1608,2.2749867184757022e-05,0.0,0.0,0.0
1609,2.204295300803746e-05,0.0,0.0,0.0
1610,2.204295300803746e-05,0.0,0.0,0.0
1611,4.437251902800199e-06,0.0,0.0,0.0
1612,3.2445730328488154e-06,0.0,0.0,0.0
1613,2.683662557956268e-06,0.0,0.0,0.0
1614,2.683662557956268e-06,0.0,0.0,0.0
1615,1.6668626504464816e-06,0.0,0.0,0.0
1616,1.2725912727416601e-06,0.0,0.0,0.0
1617,1.2725912727416601e-06,0.0,0.0,0.0
1618,7.177284438902072e-06,0.0,0.0,0.0
1619,7.133352710297913e-06,0.0,0.0,0.0
1620,7.37649788464166e-06,0.0,0.0,0.0
1621,7.37649788464166e-06,0.0,0.0,0.0
1622,6.995554632080062e-06,0.0,0.0,0.0
1623,7.71278686378147e-06,0.0,0.0,0.0
1624,7.71278686378147e-06,0.0,0.0,0.0
1625,1.7056814190904594e-06,0.0,0.0,0.0
1626,4.465696162826914e-06,0.0,0.0,0.0
1627,4.062740507444167e-06,0.0,0.0,0.0
1628,4.128252133536339e-06,0.0,0.0,0.0
1629,9.74024761392554e-06,0.0,0.0,0.0
1630,9.09383585069788e-06,0.0,0.0,0.0
1631,9.547275737986638e-06,0.0,0.0,0.0
1632,1.1379798422694876e-05,0.0,0.0,0.0
1633,8.531807476889039e-06,0.0,0.0,0.0
1634,8.531807476889039e-06,0.0,0.0,0.0
1635,8.630935277713953e-06,0.0,0.0,0.0
1636,3.0189397973247523e-06,0.0,0.0,0.0
1637,3.1729758152973124e-06,0.0,0.0,0.0
1638,3.0562111175770823e-06,0.0,0.0,0.0
1639,1.4572991306392526e-06,0.0,0.0,0.0
1640,1.937054678689622e-06,0.0,0.0,0.0
1641,2.0564988533676243e-06,0.0,0.0,0.0
1642,4.374705643580715e-06,0.0,0.0,0.0
1643,4.465028090245531e-06,0.0,0.0,0.0
1644,5.712976433512397e-06,0.0,0.0,0.0
1645,6.26040421788535e-06,0.0,0.0,0.0
1646,7.739346447773901e-06,0.0,0.0,0.0
1647,8.058908065322612e-06,0.0,0.0,0.0
1648,9.085694736248634e-06,0.0,0.0,0.0
1649,7.0722151528051266e-06,0.0,0.0,0.0
1650,8.958298881874985e-06,0.0,0.0,0.0
1651,7.813070819143572e-06,0.0,0.0,0.0
1652,8.320752775554346e-06,0.0,0.0,0.0
1653,7.588084957075937e-06,0.0,0.0,0.0
1654,7.522821891013466e-06,0.0,0.0,0.0
1655,8.06157939743051e-06,0.0,0.0,0.0
1656,8.588974066827046e-06,0.0,0.0,0.0
1657,7.835962865751103e-06,0.0,0.0,0.0
1658,7.952196093745962e-06,0.0,0.0,0.0
1659,7.911432930995943e-06,0.0,0.0,0.0
1660,8.535043889423832e-06,0.0,0.0,0.0
1661,8.20138026418655e-06,0.0,0.0,0.0
1662,8.465185179115256e-06,0.0,0.0,0.0
1663,8.388153576431381e-06,0.0,0.0,0.0
1664,9.011998729744977e-06,0.0,0.0,0.0
1665,1.0059612090377154e-05,0.0,0.0,0.0
1666,1.1385132925819822e-05,0.0,0.0,0.0
1667,1.1144634072479676e-05,0.0,0.0,0.0
1668,1.261979878108832e-05,0.0,0.0,0.0
1669,1.3396827918248683e-05,0.0,0.0,0.0
1670,1.3713871599715535e-05,0.0,0.0,0.0
1671,1.4682565311626864e-05,0.0,0.0,0.0
1672,1.4454357109830848e-05,0.0,0.0,0.0
1673,1.3509815419508544e-05,0.0,0.0,0.0
1674,1.3675752857774828e-05,0.0,0.0,0.0
1675,1.2864252312283497e-05,0.0,0.0,0.0
1676,1.19421833265473e-05,0.0,0.0,0.0
1677,1.1746582068943618e-05,0.0,0.0,0.0
1678,1.0524133878269432e-05,0.0,0.0,0.0
1679,9.823364962358028e-06,0.0,0.0,0.0
1680,9.086970164519568e-06,0.0,0.0,0.0
1681,8.811083002261252e-06,0.0,0.0,0.0
1682,1.0251031004112779e-05,0.0,0.0,0.0
1683,1.0300924714101711e-05,0.0,0.0,0.0
1684,1.028250790113816e-05,0.0,0.0,0.0
1685,9.780137198894018e-06,0.0,0.0,0.0
1686,9.851917898881116e-06,0.0,0.0,0.0
1687,9.515513219022459e-06,0.0,0.0,0.0
1688,8.774973074261133e-06,0.0,0.0,0.0
1689,7.207297390518111e-06,0.0,0.0,0.0
1690,6.246772760018107e-06,0.0,0.0,0.0
1691,5.811202689593691e-06,0.0,0.0,0.0
1692,5.35912496551256e-06,0.0,0.0,0.0
1693,4.960146205641129e-06,0.0,0.0,0.0
1694,5.349523429945943e-06,0.0,0.0,0.0
1695,5.596849470228855e-06,0.0,0.0,0.0
1696,5.735867489420343e-06,0.0,0.0,0.0
1697,5.856641304749896e-06,0.0,0.0,0.0
1698,6.0473013426027526e-06,0.0,0.0,0.0
1699,6.179366989402167e-06,0.0,0.0,0.0
1700,6.259582603109136e-06,0.0,0.0,0.0
1701,5.926344134162978e-06,0.0,0.0,0.0
1702,5.693857766735684e-06,0.0,0.0,0.0
1703,5.232222292761435e-06,0.0,0.0,0.0
1704,6.964106075559227e-06,0.0,0.0,0.0
1705,6.662466635784117e-06,0.0,0.0,0.0
1706,6.54481134785913e-06,0.0,0.0,0.0
1707,6.440088295026466e-06,0.0,0.0,0.0
1708,6.197395610537829e-06,0.0,0.0,0.0
1709,7.293425824173028e-06,0.0,0.0,0.0
1710,6.955784101592144e-06,0.0,0.0,0.0
1711,4.549235524921512e-06,0.0,0.0,0.0
1712,4.464112797515034e-06,0.0,0.0,0.0
1713,4.286657875646986e-06,0.0,0.0,0.0
1714,5.447954111202437e-06,0.0,0.0,0.0
1715,5.292332486663197e-06,0.0,0.0,0.0
1716,3.934604007684227e-06,0.0,0.0,0.0
1717,3.895872298796478e-06,0.0,0.0,0.0
1718,5.050799732738856e-06,0.0,0.0,0.0
1719,5.133827341653939e-06,0.0,0.0,0.0
1720,5.591130859881689e-06,0.0,0.0,0.0
1721,4.463113360283647e-06,0.0,0.0,0.0
1722,4.756566828031542e-06,0.0,0.0,0.0
1723,5.602449748818929e-06,0.0,0.0,0.0
1724,5.897305754842819e-06,0.0,0.0,0.0
1725,5.836972604811308e-06,0.0,0.0,0.0
1726,6.0846491578558926e-06,0.0,0.0,0.0
1727,5.726141093223955e-06,0.0,0.0,0.0
1728,6.709189295049457e-06,0.0,0.0,0.0
1729,6.933438921156007e-06,0.0,0.0,0.0
1730,6.27198534987526e-06,0.0,0.0,0.0
1731,6.118239200856936e-06,0.0,0.0,0.0
1732,5.153802671234839e-06,0.0,0.0,0.0
