ngram,daughter,daughtr,daughtr,daugter
1500,8.90848923518206e-07,0.0,0.0,0.0
1501,7.126791388145648e-07,0.0,0.0,0.0
1502,7.973755145940231e-06,0.0,0.0,0.0
1503,6.8346472679487694e-06,0.0,0.0,0.0
1504,6.8346472679487694e-06,0.0,0.0,0.0
1505,1.0113556917141458e-05,0.0,0.0,0.0
1506,1.0113556917141458e-05,0.0,0.0,0.0
1507,1.0113556917141458e-05,0.0,0.0,0.0
1508,1.0113556917141458e-05,0.0,0.0,0.0
1509,3.7879661769173774e-06,0.0,0.0,0.0
1510,3.7879661769173774e-06,0.0,0.0,0.0
1511,3.7879661769173774e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.1135204290705065e-05,0.0,0.0,0.0
1515,4.1135204290705065e-05,0.0,0.0,0.0
1516,4.1135204290705065e-05,0.0,0.0,0.0
1517,4.3260311420973654e-05,0.0,0.0,0.0
1518,4.3260311420973654e-05,0.0,0.0,0.0
1519,4.3260311420973654e-05,0.0,0.0,0.0
1520,7.007233580225147e-05,0.0,0.0,0.0
1521,2.8937131511546405e-05,0.0,0.0,0.0
1522,5.750094247300045e-05,0.0,0.0,0.0
1523,5.750094247300045e-05,0.0,0.0,0.0
1524,5.537583534273186e-05,0.0,0.0,0.0
1525,5.537583534273186e-05,0.0,0.0,0.0
1526,5.537583534273186e-05,0.0,0.0,0.0
1527,2.8563810961454044e-05,0.0,0.0,0.0
1528,2.8563810961454044e-05,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,2.254583055868612e-06,0.0,0.0,0.0
1533,2.254583055868612e-06,0.0,0.0,0.0
1534,3.174846720607353e-05,0.0,0.0,0.0
1535,7.429404727840197e-05,0.0,0.0,0.0
1536,7.429404727840197e-05,0.0,0.0,0.0
1537,7.429404727840197e-05,0.0,0.0,0.0
1538,7.429404727840197e-05,0.0,0.0,0.0
1539,7.203946422253336e-05,0.0,0.0,0.0
1540,7.203946422253336e-05,0.0,0.0,0.0
1541,7.666479255671479e-05,0.0,0.0,0.0
1542,4.3147090764250606e-05,0.0,0.0,0.0
1543,4.3147090764250606e-05,0.0,0.0,0.0
1544,6.12307308724017e-05,0.0,0.0,0.0
1545,6.873249367345124e-05,0.0,0.0,0.0
1546,7.600485488572823e-05,0.0,0.0,0.0
1547,7.600485488572823e-05,0.0,0.0,0.0
1548,4.485806182076756e-05,0.0,0.0,0.0
1549,4.189347237115726e-05,0.0,0.0,0.0
1550,4.297416379423729e-05,0.0,0.0,0.0
1551,2.7251720829164177e-05,0.0,0.0,0.0
1552,2.335551308923251e-05,0.0,0.0,0.0
1553,1.6083151876955526e-05,0.0,0.0,0.0
1554,1.6083151876955526e-05,0.0,0.0,0.0
1555,1.4913687469483453e-05,0.0,0.0,0.0
1556,8.850398639229492e-06,0.0,0.0,0.0
1557,7.769707216149463e-06,0.0,0.0,0.0
1558,5.408510073071479e-06,0.0,0.0,0.0
1559,6.9606246272867016e-06,0.0,0.0,0.0
1560,1.9523952037811148e-05,0.0,0.0,0.0
1561,2.7182209773205352e-05,0.0,0.0,0.0
1562,3.0712398646366114e-05,0.0,0.0,0.0
1563,5.207961813929225e-05,0.0,0.0,0.0
1564,9.024949966780176e-05,0.0,0.0,0.0
1565,0.00010542650904556337,0.0,0.0,0.0
1566,0.0001040761804428517,0.0,0.0,0.0
1567,9.151285303232726e-05,0.0,0.0,0.0
1568,8.385459529693305e-05,0.0,0.0,0.0
1569,8.743391533373921e-05,0.0,0.0,0.0
1570,6.757770812068234e-05,0.0,0.0,0.0
1571,3.18596782692891e-05,0.0,0.0,0.0
1572,7.85580028345326e-05,0.0,0.0,0.0
1573,8.230111792987113e-05,0.0,0.0,0.0
1574,8.556938714069215e-05,0.0,0.0,0.0
1575,0.00010568586120436001,0.0,0.0,0.0
1576,0.00010488564514941703,0.0,0.0,0.0
1577,0.00011358053650058406,0.0,0.0,0.0
1578,0.00011715151257314054,0.0,0.0,0.0
1579,5.721644304555541e-05,0.0,0.0,0.0
1580,5.758967368560012e-05,0.0,0.0,0.0
1581,0.0002607923762687798,0.0,0.0,0.0
1582,0.0002494745109028632,0.0,0.0,0.0
1583,0.0002452072438765234,0.0,0.0,0.0
1584,0.0002484880137022368,0.0,0.0,0.0
1585,0.00026662110121833393,0.0,0.0,0.0
1586,0.0002704319875712307,0.0,0.0,0.0
1587,0.00029088682432692233,0.0,0.0,0.0
1588,8.97718990537604e-05,0.0,0.0,0.0
1589,0.00010898226173594594,0.0,0.0,0.0
1590,0.00012047584459651262,0.0,0.0,0.0
1591,0.00014803532602465047,0.0,0.0,0.0
1592,0.000149549197106223,0.0,0.0,0.0
1593,0.00016657227180465789,0.0,0.0,0.0
1594,0.00014188164303569856,0.0,0.0,0.0
1595,0.00016627820540244493,0.0,0.0,0.0
1596,0.00014710679923674825,0.0,0.0,0.0
1597,0.00014278488561103586,0.0,0.0,0.0
1598,0.00010399466035388676,0.0,0.0,0.0
1599,8.162638602828207e-05,0.0,0.0,0.0
1600,7.557361563418194e-05,0.0,0.0,0.0
1601,8.86835724876229e-05,0.0,0.0,0.0
1602,6.529940765176434e-05,0.0,0.0,0.0
1603,6.964936593638933e-05,0.0,0.0,0.0
1604,7.480839615579628e-05,0.0,0.0,0.0
1605,8.435833972596032e-05,0.0,0.0,0.0
1606,8.714291574766062e-05,0.0,0.0,0.0
1607,9.281637384057311e-05,0.0,0.0,0.0
1608,0.00010736790448260893,0.0,0.0,0.0
1609,0.00014552652074988664,0.0,0.0,0.0
1610,0.00015515223640250042,0.0,0.0,0.0
1611,0.0001485008979216218,0.0,0.0,0.0
1612,0.0001471860533846276,0.0,0.0,0.0
1613,0.00015132783612768565,0.0,0.0,0.0
1614,0.0001335474594920275,0.0,0.0,0.0
1615,0.00010867411245791507,0.0,0.0,0.0
1616,8.433082673166479e-05,0.0,0.0,0.0
1617,6.868298493957679e-05,0.0,0.0,0.0
1618,6.71352915690347e-05,0.0,0.0,0.0
1619,6.643476444878615e-05,0.0,0.0,0.0
1620,7.071329673635773e-05,0.0,0.0,0.0
1621,7.537649591020974e-05,0.0,0.0,3.5683599110468223e-07
1622,7.276962319987692e-05,0.0,0.0,3.5683599110468223e-07
1623,6.066827440268493e-05,0.0,0.0,3.5683599110468223e-07
1624,5.798284265828053e-05,0.0,0.0,3.5683599110468223e-07
1625,6.0804604020501885e-05,0.0,0.0,3.5683599110468223e-07
1626,5.537691686186008e-05,0.0,0.0,3.5683599110468223e-07
1627,4.582342548279225e-05,0.0,0.0,3.5683599110468223e-07
1628,4.093496889774022e-05,0.0,0.0,0.0
1629,4.961026622498009e-05,0.0,0.0,0.0
1630,5.0411487401496356e-05,0.0,0.0,8.624899854632012e-08
1631,5.103272061595427e-05,0.0,0.0,8.624899854632012e-08
1632,5.416148321403723e-05,0.0,0.0,8.624899854632012e-08
1633,5.8846792983656216e-05,0.0,0.0,8.624899854632012e-08
1634,5.673249896582482e-05,0.0,0.0,8.624899854632012e-08
1635,5.950503483680742e-05,0.0,0.0,8.624899854632012e-08
1636,5.564501615091493e-05,0.0,0.0,8.624899854632012e-08
1637,6.175919562727878e-05,0.0,0.0,0.0
1638,6.682558731491943e-05,0.0,0.0,0.0
1639,7.119791812978551e-05,0.0,0.0,0.0
1640,6.502841954768104e-05,0.0,0.0,0.0
1641,6.517590632678807e-05,0.0,0.0,0.0
1642,6.503083048820762e-05,0.0,0.0,0.0
1643,6.321089521017191e-05,0.0,0.0,0.0
1644,5.609595505770163e-05,0.0,0.0,0.0
1645,5.2608253359462e-05,0.0,0.0,0.0
1646,4.4080375768576884e-05,0.0,0.0,0.0
1647,4.8797075578477234e-05,0.0,0.0,0.0
1648,5.424723037452038e-05,0.0,0.0,0.0
1649,5.106365227090594e-05,0.0,0.0,0.0
1650,5.228045171991523e-05,0.0,0.0,0.0
1651,5.03745764685196e-05,0.0,0.0,4.300008121000636e-08
1652,4.9373170311030534e-05,0.0,0.0,4.300008121000636e-08
1653,4.623461323457637e-05,0.0,0.0,4.300008121000636e-08
1654,4.444693383577812e-05,0.0,0.0,4.300008121000636e-08
1655,4.385458565333725e-05,0.0,0.0,4.300008121000636e-08
1656,5.365893178220306e-05,0.0,0.0,4.300008121000636e-08
1657,5.116631759197584e-05,0.0,0.0,4.300008121000636e-08
