ngram,tree,tree,tret,tre
1500,2.5463003794357064e-06,2.5463003794357064e-06,0.0,1.781697847036412e-06
1501,2.037040303548565e-06,2.037040303548565e-06,0.0,1.4253582776291296e-06
1502,2.0489552904715915e-06,2.0489552904715915e-06,0.0,1.1877985646909413e-06
1503,1.756247391832793e-06,1.756247391832793e-06,0.0,1.0181130554493784e-06
1504,1.0879423695899147e-06,1.0879423695899147e-06,0.0,4.104913906693193e-06
1505,6.168824516602658e-07,6.168824516602658e-07,0.0,3.0868008512438142e-06
1506,6.168824516602658e-07,6.168824516602658e-07,0.0,4.870134242602424e-05
1507,6.168824516602658e-07,6.168824516602658e-07,0.0,4.870134242602424e-05
1508,6.168824516602658e-07,6.168824516602658e-07,0.0,4.870134242602424e-05
1509,3.156638480764481e-07,3.156638480764481e-07,0.0,4.870134242602424e-05
1510,3.156638480764481e-07,3.156638480764481e-07,0.0,4.870134242602424e-05
1511,3.156638480764481e-07,3.156638480764481e-07,0.0,4.561454157478043e-05
1512,0.0,0.0,0.0,4.561454157478043e-05
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1515,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1516,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1517,8.009196985117992e-06,8.009196985117992e-06,0.0,5.312767825671472e-07
1518,8.009196985117992e-06,8.009196985117992e-06,0.0,5.312767825671472e-07
1519,8.009196985117992e-06,8.009196985117992e-06,0.0,5.312767825671472e-07
1520,2.737343681604086e-05,2.737343681604086e-05,0.0,8.291881710777358e-07
1521,2.68021145270073e-05,2.68021145270073e-05,0.0,8.291881710777358e-07
1522,0.00013788360229227692,0.00013788360229227692,0.0,8.291881710777358e-07
1523,0.00014096382723697128,0.00014096382723697128,0.0,8.291881710777358e-07
1524,0.00013971998669148888,0.00013971998669148888,0.0,4.427267575530485e-06
1525,0.00013971998669148888,0.00013971998669148888,0.0,4.427267575530485e-06
1526,0.00013971998669148888,0.00013971998669148888,0.0,4.427267575530485e-06
1527,0.00012035574686056602,0.00012035574686056602,0.0,4.129356187019896e-06
1528,0.00012349144422582218,0.00012349144422582218,0.0,4.129356187019896e-06
1529,1.2409956460552557e-05,1.2409956460552557e-05,0.0,4.129356187019896e-06
1530,2.0992907593608834e-05,2.0992907593608834e-05,0.0,7.045150206457558e-06
1531,3.203341761296282e-05,3.203341761296282e-05,0.0,2.915794019437661e-06
1532,3.609166690564182e-05,3.609166690564182e-05,0.0,2.915794019437661e-06
1533,3.609166690564182e-05,3.609166690564182e-05,0.0,2.915794019437661e-06
1534,3.609166690564182e-05,3.609166690564182e-05,0.0,2.915794019437661e-06
1535,3.2955969540385664e-05,3.2955969540385664e-05,0.0,2.915794019437661e-06
1536,3.340323392616743e-05,3.340323392616743e-05,0.0,2.915794019437661e-06
1537,2.1740057848416783e-05,2.1740057848416783e-05,0.0,0.0
1538,7.681952248666285e-06,7.681952248666285e-06,0.0,0.0
1539,4.453814101777555e-06,4.453814101777555e-06,0.0,0.0
1540,4.453814101777555e-06,4.453814101777555e-06,0.0,0.0
1541,4.453814101777555e-06,4.453814101777555e-06,0.0,0.0
1542,4.453814101777555e-06,4.453814101777555e-06,0.0,0.0
1543,4.0065497159957886e-06,4.0065497159957886e-06,0.0,0.0
1544,6.232228510530799e-06,6.232228510530799e-06,0.0,1.391049246584381e-07
1545,1.002171276403325e-05,1.002171276403325e-05,0.0,1.391049246584381e-07
1546,1.450601926730347e-05,1.450601926730347e-05,0.0,1.391049246584381e-07
1547,1.450601926730347e-05,1.450601926730347e-05,0.0,3.416246126367436e-06
1548,1.5397745041160045e-05,1.5397745041160045e-05,0.0,3.416246126367436e-06
1549,2.3886349091688836e-05,2.3886349091688836e-05,0.0,1.0692192306903183e-05
1550,2.442669480322885e-05,2.442669480322885e-05,0.0,1.0692192306903183e-05
1551,2.4562213151771823e-05,2.4562213151771823e-05,0.0,1.527548166840071e-05
1552,3.12973997681963e-05,3.12973997681963e-05,0.0,1.527548166840071e-05
1553,2.5982982119135807e-05,2.5982982119135807e-05,0.0,1.527548166840071e-05
1554,3.523958428429198e-05,3.523958428429198e-05,0.0,1.1998340466691713e-05
1555,3.434785851043541e-05,3.434785851043541e-05,0.0,1.1998340466691713e-05
1556,2.5859254459906617e-05,2.5859254459906617e-05,0.0,4.722394286155966e-06
1557,8.138895983782797e-05,8.138895983782797e-05,0.0,4.722394286155966e-06
1558,8.448415194704597e-05,8.448415194704597e-05,0.0,0.0
1559,7.765993567383183e-05,7.765993567383183e-05,0.0,0.0
1560,8.394159937909405e-05,8.394159937909405e-05,0.0,4.4869024610047094e-07
1561,0.0001053180281555147,0.0001053180281555147,0.0,1.5765205716888886e-05
1562,0.00011953974483601217,0.00011953974483601217,0.0,1.5765205716888886e-05
1563,0.00011953974483601217,0.00011953974483601217,0.0,1.6219827427578692e-05
1564,6.34696937465508e-05,6.34696937465508e-05,0.0,1.6219827427578692e-05
1565,5.8013304494254824e-05,5.8013304494254824e-05,0.0,1.925522935510214e-05
1566,6.065476398881791e-05,6.065476398881791e-05,0.0,1.925522935510214e-05
1567,7.552741694131068e-05,7.552741694131068e-05,0.0,1.880653910900167e-05
1568,4.4894385999733845e-05,4.4894385999733845e-05,0.0,3.490023638213253e-06
1569,3.438619595336994e-05,3.438619595336994e-05,0.0,3.490023638213253e-06
1570,3.58972082332392e-05,3.58972082332392e-05,0.0,3.035401927523448e-06
1571,6.7771280555462e-05,6.7771280555462e-05,0.0,3.035401927523448e-06
1572,7.661061382740237e-05,7.661061382740237e-05,0.0,0.0
1573,6.709226116592098e-05,6.709226116592098e-05,0.0,0.0
1574,5.192977148128973e-05,5.192977148128973e-05,0.0,0.0
1575,7.833264381978162e-05,7.833264381978162e-05,0.0,0.0
1576,7.687251945753815e-05,7.687251945753815e-05,0.0,0.0
1577,8.301593516080175e-05,8.301593516080175e-05,0.0,0.0
1578,5.4996472629552174e-05,5.4996472629552174e-05,0.0,2.40913111935827e-07
1579,5.1331177798731786e-05,5.1331177798731786e-05,0.0,2.40913111935827e-07
1580,5.529302117273411e-05,5.529302117273411e-05,0.0,2.22183479893699e-06
1581,5.167442369773718e-05,5.167442369773718e-05,0.0,2.22183479893699e-06
1582,3.0299327980693696e-05,3.0299327980693696e-05,0.0,3.478778954299092e-06
1583,2.9968416129122488e-05,2.9968416129122488e-05,0.0,3.478778954299092e-06
1584,2.770865752868953e-05,2.770865752868953e-05,0.0,4.377890539737044e-06
1585,3.3478669917842906e-05,3.3478669917842906e-05,0.0,4.136977427801217e-06
1586,3.405578224503968e-05,3.405578224503968e-05,0.0,4.8558712738408105e-06
1587,4.912831380871856e-05,4.912831380871856e-05,0.0,2.874949586839648e-06
1588,4.6755084310591754e-05,4.6755084310591754e-05,0.0,2.874949586839648e-06
1589,5.3864527996795785e-05,5.3864527996795785e-05,0.0,1.991458378012924e-06
1590,7.30000642111658e-05,7.30000642111658e-05,0.0,2.5114096778062437e-06
1591,6.893806208349165e-05,6.893806208349165e-05,0.0,2.1453650203641572e-06
1592,6.408921425255747e-05,6.408921425255747e-05,0.0,2.74233681401321e-06
1593,6.749240934108716e-05,6.749240934108716e-05,0.0,2.023442967973616e-06
1594,5.734250875580723e-05,5.734250875580723e-05,0.0,2.8616008681378195e-06
1595,7.266960970550176e-05,7.266960970550176e-05,0.0,3.763195049292075e-06
1596,6.158448052571787e-05,6.158448052571787e-05,0.0,3.3897421027566973e-06
1597,6.0743822619510214e-05,6.0743822619510214e-05,1.2106209266806089e-07,3.111914988299499e-06
1598,6.011889802591343e-05,6.011889802591343e-05,1.2106209266806089e-07,2.578848060303634e-06
1599,6.17103256185406e-05,6.17103256185406e-05,2.3897324094182946e-07,3.3968100459398035e-06
1600,5.6496704928576946e-05,5.6496704928576946e-05,2.3897324094182946e-07,3.5033161306533396e-06
1601,6.792591219501836e-05,6.792591219501836e-05,2.3897324094182946e-07,4.032425262526626e-06
1602,6.147287266295669e-05,6.147287266295669e-05,2.3897324094182946e-07,3.65283465596024e-06
1603,6.660243304525335e-05,6.660243304525335e-05,2.3897324094182946e-07,3.65283465596024e-06
