ngram,army,amy,ary,arm
1500,1.4577528872905532e-06,0.0,2.5734565269885934e-06,2.582026382924596e-06
1501,1.1662023098324426e-06,0.0,2.0587652215908745e-06,2.0656211063396766e-06
1502,1.1475461102842626e-06,0.0,1.7156376846590622e-06,1.897061774040291e-06
1503,9.83610951672225e-07,0.0,1.4705465868506247e-06,2.8400053175963486e-05
1504,9.83610951672225e-07,0.0,4.290025442190069e-06,2.706344313147773e-05
1505,2.0445923902505977e-06,0.0,3.0868008512438142e-06,2.6924609528578003e-05
1506,2.0445923902505977e-06,0.0,3.0868008512438142e-06,2.6924609528578003e-05
1507,2.0445923902505977e-06,0.0,3.0868008512438142e-06,2.6924609528578003e-05
1508,2.0445923902505977e-06,0.0,3.0868008512438142e-06,2.6924609528578003e-05
1509,1.8939830884586887e-06,0.0,3.0868008512438142e-06,2.6774000226786094e-05
1510,1.8939830884586887e-06,0.0,3.0868008512438142e-06,0.0
1511,1.8939830884586887e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.5140040237123945e-05,0.0,2.8566114451678004e-07,1.7139669320645875e-06
1515,1.5140040237123945e-05,0.0,2.8566114451678004e-07,1.7139669320645875e-06
1516,1.5140040237123945e-05,0.0,2.8566114451678004e-07,1.7139669320645875e-06
1517,1.620259380225824e-05,0.0,2.8566114451678004e-07,4.370350974828138e-06
1518,1.620259380225824e-05,0.0,2.8566114451678004e-07,4.370350974828138e-06
1519,1.620259380225824e-05,0.0,2.8566114451678004e-07,4.370350974828138e-06
1520,9.216999413703369e-05,0.0,5.835725330273687e-07,1.1222313072981446e-05
1521,7.702995389990974e-05,0.0,2.979113885105887e-07,9.508346140916859e-06
1522,8.020371076002317e-05,0.0,2.979113885105887e-07,5.3940943741638747e-05
1523,8.328393570471755e-05,0.0,2.979113885105887e-07,5.578907881239762e-05
1524,8.222138213958325e-05,0.0,2.979113885105887e-07,5.313269476963407e-05
1525,8.222138213958325e-05,0.0,2.979113885105887e-07,5.313269476963407e-05
1526,8.222138213958325e-05,0.0,2.979113885105887e-07,5.313269476963407e-05
1527,6.253981804807804e-06,0.0,0.0,4.628073267148076e-05
1528,6.253981804807804e-06,0.0,0.0,4.628073267148076e-05
1529,3.0802249446943667e-06,0.0,0.0,1.8481350707588717e-06
1530,0.0,0.0,0.0,0.0
1531,2.297939291955637e-05,0.0,0.0,5.744848229889092e-06
1532,2.343030951124092e-05,0.0,0.0,6.195764821573643e-06
1533,2.343030951124092e-05,0.0,0.0,6.195764821573643e-06
1534,3.0452663103070726e-05,0.0,0.0,9.00470620633444e-06
1535,3.647681611645177e-05,0.0,0.0,1.0134234961307292e-05
1536,3.6924080502233535e-05,0.0,0.0,1.0134234961307292e-05
1537,3.6924080502233535e-05,0.0,0.0,1.0134234961307292e-05
1538,1.3944687582677164e-05,0.0,0.0,4.389386731418199e-06
1539,1.3493770990992613e-05,0.0,0.0,4.768581285523916e-06
1540,1.3493770990992613e-05,0.0,0.0,4.768581285523916e-06
1541,6.471417399162809e-06,0.0,0.0,1.95963990076312e-06
1542,4.961203525713895e-06,0.0,0.0,8.301111457902672e-07
1543,4.513939139932128e-06,0.0,0.0,8.301111457902672e-07
1544,4.429794820940255e-05,0.0,1.391049246584381e-07,4.725048971262627e-06
1545,4.6441309028263534e-05,0.0,1.391049246584381e-07,4.725048971262627e-06
1546,4.7000721419213475e-05,0.0,1.391049246584381e-07,3.89493782547236e-06
1547,4.7000721419213475e-05,0.0,1.391049246584381e-07,3.89493782547236e-06
1548,4.96758987407832e-05,0.0,1.391049246584381e-07,4.786663599328936e-06
1549,4.63746173409163e-05,0.0,1.391049246584381e-07,5.999321339394166e-06
1550,5.015703741914227e-05,0.0,1.391049246584381e-07,7.620358441532257e-06
