ngram,metal,mtal,metl,metl
1500,4.174595460426644e-06,0.0,0.0,0.0
1501,3.3396763683413155e-06,0.0,0.0,0.0
1502,6.8244133520541555e-06,0.0,0.0,0.0
1503,5.849497158903562e-06,0.0,0.0,0.0
1504,4.111904153043204e-06,0.0,0.0,0.0
1505,4.095341734812662e-06,0.0,0.0,0.0
1506,4.095341734812662e-06,0.0,0.0,0.0
1507,4.095341734812662e-06,0.0,0.0,0.0
1508,4.095341734812662e-06,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,6.741073775629047e-06,0.0,0.0,0.0
1518,6.741073775629047e-06,0.0,0.0,0.0
1519,6.741073775629047e-06,0.0,0.0,0.0
1520,1.7167972146125976e-05,0.0,0.0,0.0
1521,1.573966645602403e-05,0.0,0.0,0.0
1522,2.2087180176250903e-05,0.0,0.0,0.0
1523,2.2703225178182557e-05,0.0,0.0,0.0
1524,1.9455135186165406e-05,0.0,0.0,0.0
1525,1.9455135186165406e-05,0.0,0.0,0.0
1526,9.891131977773122e-05,0.0,0.0,0.0
1527,8.848442140723429e-05,0.0,0.0,0.0
1528,8.848442140723429e-05,0.0,0.0,0.0
1529,8.213690768700741e-05,0.0,0.0,0.0
1530,8.152086268507577e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1531,7.945618459156581e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1532,0.00010064926339379911,0.0,7.289485048594153e-07,7.289485048594153e-07
1533,2.1193078802233295e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1534,2.1193078802233295e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1535,2.1946097928905927e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1536,2.1946097928905927e-05,0.0,7.289485048594153e-07,7.289485048594153e-07
1537,2.1946097928905927e-05,0.0,0.0,0.0
1538,2.1946097928905927e-05,0.0,0.0,0.0
1539,2.980690948918761e-05,0.0,0.0,0.0
1540,2.980690948918761e-05,0.0,0.0,0.0
1541,2.980690948918761e-05,0.0,0.0,0.0
1542,3.055853669918308e-05,0.0,0.0,0.0
1543,3.055853669918308e-05,0.0,0.0,0.0
1544,4.7251128047979106e-05,0.0,0.0,0.0
1545,4.751904815033673e-05,0.0,0.0,0.0
1546,1.8465157787821746e-05,0.0,0.0,0.0
1547,1.8465157787821746e-05,0.0,0.0,0.0
1548,2.1140335109391473e-05,0.0,0.0,0.0
1549,1.963568877272337e-05,0.0,0.0,0.0
1550,2.3418108850949337e-05,0.0,0.0,0.0
1551,1.1447911788309284e-05,0.0,0.0,0.0
1552,3.353443181757549e-05,0.0,0.0,0.0
1553,3.353443181757549e-05,0.0,0.0,0.0
1554,3.353443181757549e-05,0.0,0.0,0.0
