ngram,arm,am,armm,amm
1500,2.582026382924596e-06,1.9470983716018964e-05,0.0,0.0
1501,2.0656211063396766e-06,1.557678697281517e-05,0.0,0.0
1502,1.897061774040291e-06,0.0001082159366584771,0.0,0.0
1503,2.8400053175963486e-05,0.00011060585062036157,0.0,0.0
1504,2.706344313147773e-05,0.00010941549953713547,0.0,0.0
1505,2.6924609528578003e-05,0.00010382903045475749,0.0,0.0
1506,2.6924609528578003e-05,0.00011903387764635096,0.0,0.0
1507,2.6924609528578003e-05,0.00011903387764635096,0.0,0.0
1508,2.6924609528578003e-05,0.00011903387764635096,0.0,0.0
1509,2.6774000226786094e-05,3.740363691966715e-05,0.0,0.0
1510,0.0,1.9554303435143083e-05,0.0,0.0
1511,0.0,1.646750258389927e-05,0.0,0.0
1512,0.0,1.5204847191593476e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139669320645875e-06,8.284173028576853e-06,0.0,0.0
1515,1.7139669320645875e-06,8.284173028576853e-06,0.0,0.0
1516,1.7139669320645875e-06,8.284173028576853e-06,0.0,0.0
1517,4.370350974828138e-06,2.47537531582306e-05,0.0,0.0
1518,4.370350974828138e-06,2.47537531582306e-05,0.0,0.0
1519,4.370350974828138e-06,2.47537531582306e-05,0.0,0.0
1520,1.1222313072981446e-05,2.9818246860356468e-05,0.0,0.0
1521,9.508346140916859e-06,2.1534073831779616e-05,0.0,0.0
1522,5.3940943741638747e-05,2.4707830691893052e-05,0.0,0.0
1523,5.578907881239762e-05,3.1484325518249534e-05,0.0,0.0
1524,5.313269476963407e-05,6.0437663185959014e-05,0.0,0.0
1525,5.313269476963407e-05,0.00021858209038327914,0.0,0.0
1526,5.313269476963407e-05,0.00021985338935337495,0.0,0.0
1527,4.628073267148076e-05,0.0002147888956512491,0.0,0.0
1528,4.628073267148076e-05,0.00021583412808467983,0.0,0.0
1529,1.8481350707588717e-06,0.0002126603712245664,0.0,0.0
1530,0.0,0.0002467049921506259,0.0,0.0
1531,5.744848229889092e-06,0.00021277177081304086,0.0,0.0
1532,6.195764821573643e-06,5.462734361572075e-05,0.0,0.0
1533,6.195764821573643e-06,0.00010922821047643083,0.0,0.0
1534,9.00470620633444e-06,0.00012186844683778222,0.0,0.0
1535,1.0134234961307292e-05,0.00016562785042749186,0.0,0.0
1536,1.0134234961307292e-05,0.00016652237919905538,0.0,0.0
1537,1.0134234961307292e-05,0.0001257012634466394,0.0,0.0
1538,4.389386731418199e-06,0.00011421156698686121,0.0,0.0
1539,4.768581285523916e-06,0.00011421156698686121,0.0,0.0
1540,4.768581285523916e-06,0.0002738102086498527,0.0,0.0
