ngram,degree,degre,degee,dgree
1500,1.3146449532541737e-05,0.0,0.0,0.0
1501,1.051715962603339e-05,0.0,0.0,0.0
1502,1.9482662006945855e-05,0.0,0.0,0.0
1503,6.132275620984728e-05,0.0,0.0,0.0
1504,7.595479473820888e-05,0.0,0.0,0.0
1505,8.660601555935241e-05,0.0,0.0,0.0
1506,8.660601555935241e-05,7.602423595796738e-06,0.0,0.0
1507,8.660601555935241e-05,7.602423595796738e-06,0.0,0.0
1508,8.660601555935241e-05,7.602423595796738e-06,0.0,0.0
1509,7.741884785770838e-05,7.602423595796738e-06,0.0,0.0
1510,3.279551622524325e-05,7.602423595796738e-06,0.0,0.0
1511,1.7361511709168553e-05,7.602423595796738e-06,0.0,0.0
1512,0.0,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.3281919694106494e-05,0.0,0.0,0.0
1518,1.3281919694106494e-05,0.0,0.0,0.0
1519,1.3281919694106494e-05,0.0,0.0,0.0
1520,3.473154044643577e-05,0.0,0.0,0.0
1521,3.473154044643577e-05,0.0,0.0,0.0
1522,3.79052973065492e-05,0.0,0.0,0.0
1523,5.1458286959262167e-05,0.0,0.0,0.0
1524,3.8176367265155674e-05,4.129356187019896e-06,0.0,0.0
1525,9.089117910272242e-05,4.129356187019896e-06,0.0,0.0
1526,0.00010106157086348893,4.129356187019896e-06,0.0,0.0
1527,7.961195011115965e-05,4.129356187019896e-06,0.0,0.0
1528,7.961195011115965e-05,4.129356187019896e-06,0.0,0.0
1529,7.643819325104622e-05,4.129356187019896e-06,0.0,0.0
1530,6.725889449756193e-05,1.1418841365541863e-05,0.0,0.0
1531,7.874859095734012e-05,7.289485178521968e-06,0.0,0.0
1532,4.3168609408894554e-05,7.289485178521968e-06,0.0,0.0
1533,4.896169359978687e-05,7.289485178521968e-06,0.0,0.0
1534,5.036616429216727e-05,8.693955870902365e-06,0.0,0.0
1535,5.262522180211298e-05,8.693955870902365e-06,0.0,0.0
1536,5.4414279345240046e-05,8.693955870902365e-06,0.0,0.0
1537,5.004058844601137e-05,1.4044706923803979e-06,0.0,0.0
1538,0.00014654980181408713,2.3639541463385933e-05,0.0,0.0
1539,0.00014186663897167558,2.3639541463385933e-05,0.0,0.0
1540,0.00012590316302001675,2.3639541463385933e-05,0.0,0.0
1541,0.0001586179048120227,2.2235070771005538e-05,0.0,0.0
1542,0.0001774238962752861,2.2235070771005538e-05,0.0,0.0
1543,0.00017563483873215904,0.00020477095261282687,0.0,0.0
1544,0.0001825900851274907,0.00020477095261282687,0.0,0.0
1545,7.673453611849774e-05,0.00018280380194417894,0.0,0.0
1546,6.735963675704884e-05,0.00018364292053060387,0.0,0.0
1547,6.735963675704884e-05,0.00018364292053060387,0.0,0.0
1548,3.829353733765727e-05,0.00018364292053060387,0.0,0.0
1549,2.207911932470909e-05,0.00018485557827066908,0.0,0.0
1550,3.55877620157636e-05,2.319696428847757e-06,0.0,0.0
1551,4.0438501075966216e-05,7.042090715003724e-06,0.0,0.0
1552,5.271736050157675e-05,6.774170612646101e-06,0.0,0.0
1553,4.964059241631601e-05,5.935052026221196e-06,0.0,0.0
1554,4.964059241631601e-05,1.5191654191377374e-05,0.0,0.0
1555,4.518846435530577e-05,1.5792639195361907e-05,0.0,0.0
1556,4.9705720292487445e-05,1.4579981455296678e-05,0.0,0.0
1557,3.6197077601432935e-05,1.4579981455296678e-05,0.0,0.0
1558,3.2575676024342624e-05,9.85758716914071e-06,0.0,0.0
1559,3.190724211370772e-05,9.85758716914071e-06,0.0,0.0
1560,4.0432356919544486e-05,9.85758716914071e-06,0.0,0.0
1561,4.0432356919544486e-05,6.009850039845333e-07,0.0,0.0
1562,4.160908650062213e-05,0.0,0.0,0.0
1563,3.360506473524895e-05,0.0,0.0,0.0
1564,3.360506473524895e-05,0.0,0.0,0.0
1565,2.6432281499312792e-05,0.0,0.0,0.0
1566,1.6485836178097607e-05,0.0,0.0,0.0
1567,1.0690310643570098e-05,0.0,0.0,0.0
1568,1.0690310643570098e-05,0.0,0.0,0.0
