ngram,Qt,Q,Q,Q
1500,3.148930147744977e-07,3.976897096436005e-05,3.976897096436005e-05,3.976897096436005e-05
1501,2.519144118195982e-07,3.181517677148804e-05,3.181517677148804e-05,3.181517677148804e-05
1502,2.0992867651633182e-07,2.7391201607921783e-05,2.7391201607921783e-05,2.7391201607921783e-05
1503,1.7993886558542727e-07,2.34781728067901e-05,2.34781728067901e-05,2.34781728067901e-05
1504,4.627786763324236e-08,1.8958894153391676e-05,1.8958894153391676e-05,1.8958894153391676e-05
1505,0.0,2.6813470217998008e-05,2.6813470217998008e-05,2.6813470217998008e-05
1506,0.0,2.6813470217998008e-05,2.6813470217998008e-05,2.6813470217998008e-05
1507,0.0,2.6813470217998008e-05,2.6813470217998008e-05,2.6813470217998008e-05
1508,0.0,2.6813470217998008e-05,2.6813470217998008e-05,2.6813470217998008e-05
1509,0.0,2.606042367655651e-05,2.606042367655651e-05,2.606042367655651e-05
1510,0.0,2.606042367655651e-05,2.606042367655651e-05,2.606042367655651e-05
1511,0.0,1.988682197406888e-05,1.988682197406888e-05,1.988682197406888e-05
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,2.8566114451678004e-07,2.8566114451678004e-07,2.8566114451678004e-07
1515,0.0,2.8566114451678004e-07,2.8566114451678004e-07,2.8566114451678004e-07
1516,0.0,2.8566114451678004e-07,2.8566114451678004e-07,2.8566114451678004e-07
1517,0.0,4.535875405053957e-06,4.535875405053957e-06,4.535875405053957e-06
1518,0.0,4.535875405053957e-06,4.535875405053957e-06,4.535875405053957e-06
1519,0.0,4.535875405053957e-06,4.535875405053957e-06,4.535875405053957e-06
1520,0.0,4.535875405053957e-06,4.535875405053957e-06,4.535875405053957e-06
1521,0.0,4.250214260537177e-06,4.250214260537177e-06,4.250214260537177e-06
1522,0.0,4.250214260537177e-06,4.250214260537177e-06,4.250214260537177e-06
1523,0.0,5.482304264400487e-06,5.482304264400487e-06,5.482304264400487e-06
1524,0.0,2.3943548902544925e-05,2.3943548902544925e-05,2.3943548902544925e-05
1525,0.0,2.3943548902544925e-05,2.3943548902544925e-05,2.3943548902544925e-05
1526,0.0,4.8098229334365374e-05,4.8098229334365374e-05,4.8098229334365374e-05
1527,0.0,4.8098229334365374e-05,4.8098229334365374e-05,4.8098229334365374e-05
1528,0.0,5.227915906808838e-05,5.227915906808838e-05,5.227915906808838e-05
1529,0.0,5.227915906808838e-05,5.227915906808838e-05,5.227915906808838e-05
1530,0.0,5.614970853327707e-05,5.614970853327707e-05,5.614970853327707e-05
1531,0.0,3.343824963459545e-05,3.343824963459545e-05,3.343824963459545e-05
1532,0.0,4.6514830371182014e-05,4.6514830371182014e-05,4.6514830371182014e-05
1533,0.0,2.236014993936156e-05,2.236014993936156e-05,2.236014993936156e-05
1534,0.0,2.236014993936156e-05,2.236014993936156e-05,2.236014993936156e-05
1535,0.0,1.8555729768974872e-05,1.8555729768974872e-05,1.8555729768974872e-05
1536,0.0,1.989752289383822e-05,1.989752289383822e-05,1.989752289383822e-05
1537,0.0,1.4794883424786218e-05,1.4794883424786218e-05,1.4794883424786218e-05
1538,0.0,1.797132199499174e-05,1.797132199499174e-05,1.797132199499174e-05
1539,0.0,6.5549635499857165e-06,6.5549635499857165e-06,6.5549635499857165e-06
1540,0.0,6.5549635499857165e-06,6.5549635499857165e-06,6.5549635499857165e-06
1541,0.0,6.5549635499857165e-06,6.5549635499857165e-06,6.5549635499857165e-06
1542,0.0,6.1784539866494015e-06,6.1784539866494015e-06,6.1784539866494015e-06
1543,0.0,4.836660861786056e-06,4.836660861786056e-06,4.836660861786056e-06
1544,0.0,5.532185501319223e-06,5.532185501319223e-06,5.532185501319223e-06
1545,0.0,6.642468568835673e-06,6.642468568835673e-06,6.642468568835673e-06
1546,0.0,7.779308361932635e-06,7.779308361932635e-06,7.779308361932635e-06
1547,0.0,7.779308361932635e-06,7.779308361932635e-06,7.779308361932635e-06
1548,0.0,9.860001877573918e-06,9.860001877573918e-06,9.860001877573918e-06
1549,0.0,9.860001877573918e-06,9.860001877573918e-06,9.860001877573918e-06
1550,0.0,1.3642421955799883e-05,1.3642421955799883e-05,1.3642421955799883e-05
1551,0.0,1.53080944593447e-05,1.53080944593447e-05,1.53080944593447e-05
1552,0.0,1.1021372821622727e-05,1.1021372821622727e-05,1.1021372821622727e-05
1553,0.0,8.224310736945231e-06,8.224310736945231e-06,8.224310736945231e-06
1554,0.0,8.224310736945231e-06,8.224310736945231e-06,8.224310736945231e-06
1555,0.0,6.14361722130395e-06,6.14361722130395e-06,6.14361722130395e-06
1556,0.0,1.7593256416148506e-05,1.7593256416148506e-05,1.7593256416148506e-05
1557,0.0,1.381083633792254e-05,1.381083633792254e-05,1.381083633792254e-05
1558,6.820486565369979e-07,2.372651527236615e-05,2.372651527236615e-05,2.372651527236615e-05
1559,6.820486565369979e-07,2.372651527236615e-05,2.372651527236615e-05,2.372651527236615e-05
1560,6.820486565369979e-07,2.7316037241169916e-05,2.7316037241169916e-05,2.7316037241169916e-05
1561,6.820486565369979e-07,2.7316037241169916e-05,2.7316037241169916e-05,2.7316037241169916e-05
1562,6.820486565369979e-07,2.90937518262321e-05,2.90937518262321e-05,2.90937518262321e-05
1563,6.820486565369979e-07,1.7644112631387543e-05,1.7644112631387543e-05,1.7644112631387543e-05
1564,6.820486565369979e-07,1.7644112631387543e-05,1.7644112631387543e-05,1.7644112631387543e-05
1565,0.0,6.379037196373767e-06,6.379037196373767e-06,6.379037196373767e-06
1566,0.0,6.379037196373767e-06,6.379037196373767e-06,6.379037196373767e-06
1567,0.0,3.471912545397312e-06,3.471912545397312e-06,3.471912545397312e-06
1568,0.0,1.5236237946477818e-05,1.5236237946477818e-05,1.5236237946477818e-05
1569,0.0,1.3458523361415636e-05,1.3458523361415636e-05,1.3458523361415636e-05
1570,0.0,1.4969535641284892e-05,1.4969535641284892e-05,1.4969535641284892e-05
1571,0.0,1.7421387318401166e-05,1.7421387318401166e-05,1.7421387318401166e-05
1572,0.0,1.692954746041713e-05,1.692954746041713e-05,1.692954746041713e-05
1573,0.0,2.1963184865723762e-05,2.1963184865723762e-05,2.1963184865723762e-05
1574,0.0,2.1825499093860605e-05,2.1825499093860605e-05,2.1825499093860605e-05
1575,0.0,1.257573295073858e-05,1.257573295073858e-05,1.257573295073858e-05
1576,0.0,1.3477093846501833e-05,1.3477093846501833e-05,1.3477093846501833e-05
1577,0.0,1.1966081566632575e-05,1.1966081566632575e-05,1.1966081566632575e-05
1578,2.40913111935827e-07,1.1441534785002919e-05,1.1441534785002919e-05,1.1441534785002919e-05
1579,2.40913111935827e-07,1.2215083610759134e-05,1.2215083610759134e-05,1.2215083610759134e-05
1580,2.40913111935827e-07,9.162367892453663e-06,9.162367892453663e-06,9.162367892453663e-06
1581,2.40913111935827e-07,8.617656346489508e-06,8.617656346489508e-06,8.617656346489508e-06
1582,2.40913111935827e-07,6.941059837117791e-06,6.941059837117791e-06,6.941059837117791e-06
