ngram,Qi,Q,Qii,Qi
1500,1.8712539713305887e-06,3.976897096436005e-05,4.6781349283264717e-07,1.8712539713305887e-06
1501,1.4970031770644709e-06,3.181517677148804e-05,3.742507942661177e-07,1.4970031770644709e-06
1502,1.2475026475537259e-06,2.7391201607921783e-05,3.1187566188843146e-07,1.2475026475537259e-06
1503,1.0692879836174792e-06,2.34781728067901e-05,2.673219959043698e-07,1.0692879836174792e-06
1504,0.0,1.8958894153391676e-05,0.0,0.0
1505,6.313276961528962e-07,2.6813470217998008e-05,0.0,6.313276961528962e-07
1506,6.313276961528962e-07,2.6813470217998008e-05,0.0,6.313276961528962e-07
1507,6.313276961528962e-07,2.6813470217998008e-05,0.0,6.313276961528962e-07
1508,6.313276961528962e-07,2.6813470217998008e-05,0.0,6.313276961528962e-07
1509,6.313276961528962e-07,2.606042367655651e-05,0.0,6.313276961528962e-07
1510,6.313276961528962e-07,2.606042367655651e-05,0.0,6.313276961528962e-07
1511,6.313276961528962e-07,1.988682197406888e-05,0.0,6.313276961528962e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,2.8566114451678004e-07,0.0,0.0
1515,0.0,2.8566114451678004e-07,0.0,0.0
1516,0.0,2.8566114451678004e-07,0.0,0.0
1517,0.0,4.535875405053957e-06,0.0,0.0
1518,0.0,4.535875405053957e-06,0.0,0.0
1519,0.0,4.535875405053957e-06,0.0,0.0
1520,0.0,4.535875405053957e-06,0.0,0.0
1521,0.0,4.250214260537177e-06,0.0,0.0
1522,0.0,4.250214260537177e-06,0.0,0.0
1523,0.0,5.482304264400487e-06,0.0,0.0
1524,0.0,2.3943548902544925e-05,0.0,0.0
1525,0.0,2.3943548902544925e-05,0.0,0.0
1526,6.356494850479066e-07,4.8098229334365374e-05,0.0,6.356494850479066e-07
1527,6.356494850479066e-07,4.8098229334365374e-05,0.0,6.356494850479066e-07
1528,6.356494850479066e-07,5.227915906808838e-05,0.0,6.356494850479066e-07
