ngram,Join,Jin,Jon,Jon
1500,7.017202392489708e-07,0.0,8.098626835817413e-08,8.098626835817413e-08
1501,5.613761913991766e-07,0.0,6.47890146865393e-08,6.47890146865393e-08
1502,4.6781349283264717e-07,0.0,5.3990845572116086e-08,5.3990845572116086e-08
1503,4.009829938565547e-07,0.0,4.627786763324236e-08,4.627786763324236e-08
1504,0.0,0.0,4.627786763324236e-08,4.627786763324236e-08
1505,0.0,0.0,3.156638480764481e-07,3.156638480764481e-07
1506,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1507,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1508,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1509,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1510,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1511,7.602423595796738e-06,3.8012117978983694e-05,3.156638480764481e-07,3.156638480764481e-07
1512,7.602423595796738e-06,3.8012117978983694e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,1.5938303477014415e-06,1.5938303477014415e-06
1518,0.0,0.0,1.5938303477014415e-06,1.5938303477014415e-06
1519,0.0,0.0,1.5938303477014415e-06,1.5938303477014415e-06
1520,0.0,0.0,1.8917417362120302e-06,1.8917417362120302e-06
1521,0.0,0.0,1.8917417362120302e-06,1.8917417362120302e-06
1522,0.0,0.0,1.8917417362120302e-06,1.8917417362120302e-06
1523,0.0,0.0,1.8917417362120302e-06,1.8917417362120302e-06
1524,0.0,2.064678093509948e-06,2.979113885105887e-07,2.979113885105887e-07
1525,0.0,2.064678093509948e-06,5.301272322607734e-05,5.301272322607734e-05
1526,0.0,2.064678093509948e-06,5.301272322607734e-05,5.301272322607734e-05
1527,0.0,2.064678093509948e-06,5.271481183756675e-05,5.271481183756675e-05
